EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Loose Ball Fouls,3SecondViolations,PenaltyOffPoss,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,LongMidRangeAssists,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctAssisted,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,PenaltyArc3FGA,PenaltyFG3A,PenaltyFtPoints,LongMidRangePctBlocked,DefCorner3ReboundPct,PenaltyArc3Frequency,PtsPutbacks,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangePctBlocked,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
100284-100628-100646-100666-100928,1611661325,"Tully Bevilaqua, Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Ebony Hoffman","Bevilaqua, Sutton-Brown, Catchings, Douglas, Hoffman",100284-100628-100646-100666-100928,IND,2539.0,3,42,18.0,73,71,8.0,144,14.0,21.0,1.0,3.0,5.0,12.0,2.0,11.0,2.0,4.0,7.0,14.0,1.0,1.0,21.0,44.0,9.0,18.0,16.0,85.0,67,2.0,5.0,1.0,1.0,2.0,9.0,16.0,26.0,21.0,6.0,14.0,7.0,3.0,8.0,7.0,15.0,5.0,2.0,5.0,3.0,37.0,3.0,7.0,9.0,15.0,1.0,25.0,10.0,35.0,2.0,9.0,6.0,3.0,6.0,1.0,4.0,6.0,2.0,1.0,12.0,2.0,3.0,11.0,3.0,20.0,1.0,1.0,21.0,1.0,11.0,5.0,3.0,1.0,1.0,5.0,1.0,76.0,0.38095238095238093,0.38095238095238093,0.7777777777777778,0.5,1.0,0.5,0.4772727272727273,0.4,0.5564516129032258,0.5833333333333334,0.5902777777777778,0.6428571428571429,0.2903225806451613,0.06818181818181818,0.14285714285714285,0.5,1.0,0.5555555555555556,0.30434782608695654,0.6,0.375,0.5714285714285714,0.3225806451612903,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.5,0.4,0.6363636363636364,0.6666666666666666,0.6923076923076923,0.07142857142857142,81.66994879873965,0.2,16.575342465753426,18.718309859154928,15.561643835616438,17.35211267605634,0.3387096774193548,0.6666666666666666,0.7777777777777778,0.35714285714285715,0.1935483870967742,0.4166666666666667,0.4166666666666667,0.6,0.1774193548387097,0.18181818181818182,0.18181818181818182,0.06451612903225806,0.5,0.5,1.0,0.22580645161290322,0.5,0.5,0.7142857142857143,0.5,0.3333333333333333,0.16666666666666666,1.0,1.0,0.6290322580645161,0.5,0.5065556451612904,0.49821,0.1527777777777778,0.2037037037037037,0.10588235294117647,7.1022727272727275,22.12222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2010,2010,False
100284-100628-100646-100928-201896,1611661325,"Tully Bevilaqua, Tammy Sutton-Brown, Tamika Catchings, Ebony Hoffman, Briann January","Bevilaqua, Sutton-Brown, Catchings, Hoffman, January",100284-100628-100646-100928-201896,IND,124.0,1,2,-4.0,4,3,,7,,,,,,1.0,,,,,1.0,3.0,,,,1.0,1.0,3.0,,3.0,7,,,,,,,,,3.0,,3.0,1.0,,,1.0,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,0.3333333333333333,,0.3333333333333333,,,0.375,,0.375,,0.75,,,,,,,,,,,,,,,,,,,,,81.29032258064515,,17.0,18.666666666666668,17.0,18.666666666666668,,,,,0.25,,,,,,,,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.75,0.3333333333333333,0.488275,,,,,11.6,22.53333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2010,2010,False
100284-100628-100646-100928-201919,1611661325,"Tully Bevilaqua, Tammy Sutton-Brown, Tamika Catchings, Ebony Hoffman, Shavonte Zellous","Bevilaqua, Sutton-Brown, Catchings, Hoffman, Zellous",100284-100628-100646-100928-201919,IND,129.0,2,2,3.0,4,2,1.0,6,,,,,,,,1.0,,,1.0,2.0,,,,1.0,1.0,2.0,2.0,5.0,2,,,,,,,,,3.0,,2.0,1.0,,,1.0,1.0,1.0,,,,3.0,1.0,,,1.0,,1.0,1.0,2.0,,,,,,,,1.0,,,1.0,1.0,1.0,2.0,,3.0,,,2.0,,1.0,,,,,,,5.0,,,1.0,0.5,,0.5,,,0.5,,0.625,,0.6666666666666666,,,,,1.0,,,1.0,0.5,0.5,,,,1.0,,,,1.0,,,66.97674418604652,,22.75,19.0,21.0,19.0,,,,,,,,,0.3333333333333333,,,,,,,0.6666666666666666,0.5,0.5,1.0,,,,,,0.6666666666666666,0.5,0.4791666666666667,,0.25,0.5,,19.2,22.55,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2010,2010,False
100284-100628-100646-201047-201896,1611661325,"Tully Bevilaqua, Tammy Sutton-Brown, Tamika Catchings, Jessica Davenport, Briann January","Bevilaqua, Sutton-Brown, Catchings, Davenport, January",100284-100628-100646-201047-201896,IND,55.0,1,1,-4.0,1,2,,3,,,,,,1.0,,,,,,,,,,1.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.54545454545455,,27.0,14.0,27.0,12.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.3547,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2010,2010,False
100284-100628-100646-201047-201919,1611661325,"Tully Bevilaqua, Tammy Sutton-Brown, Tamika Catchings, Jessica Davenport, Shavonte Zellous","Bevilaqua, Sutton-Brown, Catchings, Davenport, Zellous",100284-100628-100646-201047-201919,IND,166.0,2,3,-2.0,5,6,,11,,,,,,,2.0,3.0,,,,,,,2.0,3.0,,,2.0,6.0,8,,,,,,,2.0,2.0,,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,,2.0,2.0,,2.0,,1.0,2.0,,1.0,,,,,,,6.0,0.5,0.5,,,,,0.6666666666666666,,0.6666666666666666,,0.75,,,,,,,,,,,,,,,,,,,,,,,95.42168674698796,,19.0,11.833333333333334,19.0,11.833333333333334,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,0.3947,,0.25,0.25,,18.0,,,,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.5,0.5,0.5,0.5,0.38385,0.3333333333333333,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2010,2010,False
100284-100628-100666-100928-201919,1611661325,"Tully Bevilaqua, Tammy Sutton-Brown, Katie Douglas, Ebony Hoffman, Shavonte Zellous","Bevilaqua, Sutton-Brown, Douglas, Hoffman, Zellous",100284-100628-100666-100928-201919,IND,275.0,2,5,,6,6,1.0,12,1.0,2.0,,,,,1.0,1.0,,,,1.0,,,2.0,3.0,,1.0,2.0,6.0,6,,,,,2.0,2.0,4.0,,,,1.0,,,2.0,,2.0,,,1.0,,4.0,1.0,,,1.0,,1.0,1.0,2.0,,2.0,2.0,,1.0,,1.0,1.0,,1.0,2.0,,,1.0,,1.0,,,2.0,,1.0,1.0,1.0,,,1.0,1.0,4.0,1.0,1.0,,,,,0.6666666666666666,,0.5,,0.6,1.0,0.25,,,0.5,,0.2,,,1.0,0.2,0.5,,,,1.0,,1.0,,,,,62.83636363636364,1.0,18.666666666666668,27.166666666666668,16.833333333333332,16.666666666666668,0.5,0.5,0.5,1.0,,,,,0.25,1.0,1.0,,,,,0.25,,,,,,,,,0.75,,0.4875125,,0.2,0.25,0.3333333333333333,5.733333333333333,23.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2010,2010,False
100284-100646-100666-100928-101042,1611661325,"Tully Bevilaqua, Tamika Catchings, Katie Douglas, Ebony Hoffman, Jessica Moore","Bevilaqua, Catchings, Douglas, Hoffman, Moore",100284-100646-100666-100928-101042,IND,128.0,1,2,-2.0,3,4,,7,,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,2.0,,1.0,,2.0,4,,,,,,,2.0,,,,,,,1.0,,1.0,,,,1.0,2.0,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,1.0,1.0,,,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,0.6666666666666666,,,,0.6666666666666666,,,,,,,0.5,1.0,,,,78.75,,22.666666666666668,15.0,22.666666666666668,15.0,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,,,,0.3333333333333333,,,,,,,,,,,,,0.6666666666666666,,0.5158166666666667,,,,,2.75,22.3,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2010,2010,False
100284-100646-100666-100928-201047,1611661325,"Tully Bevilaqua, Tamika Catchings, Katie Douglas, Ebony Hoffman, Jessica Davenport","Bevilaqua, Catchings, Douglas, Hoffman, Davenport",100284-100646-100666-100928-201047,IND,273.0,2,5,-6.0,9,10,,19,,,,,,,,3.0,,,,1.0,,,,3.0,,1.0,3.0,3.0,9,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,4.0,,5.0,,5.0,,1.0,1.0,,2.0,,2.0,1.0,,1.0,3.0,,1.0,3.0,,2.0,,,4.0,,2.0,,,,,,,3.0,,,,,,,,,,,0.25,,0.25,0.3333333333333333,,0.6666666666666666,,0.8,,1.0,,0.8333333333333334,,,,,,,1.0,0.6666666666666666,1.0,,,100.21978021978022,,13.444444444444445,15.2,13.444444444444445,13.5,,,,,,,,,0.75,,,,,,,0.25,,,,,,,,,0.25,,0.45455,,0.3333333333333333,0.4,,16.366666666666667,22.2,,,2.0,,,2.0,,2.0,2.0,,,0.5,,0.4947,0.6666666666666666,0.2222222222222222,,1.0,1.0,2.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1611661325,2010,2010,False
100284-100646-100928-201047-201919,1611661325,"Tully Bevilaqua, Tamika Catchings, Ebony Hoffman, Jessica Davenport, Shavonte Zellous","Bevilaqua, Catchings, Hoffman, Davenport, Zellous",100284-100646-100928-201047-201919,IND,78.0,1,1,,2,2,,4,,,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,2.0,2,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,0.5,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,73.84615384615384,,18.0,21.0,18.0,21.0,,,,,0.5,1.0,1.0,,,,,,,,,0.5,,,,,,,,,0.5,,0.481725,,,,,10.8,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2010,2010,False
100284-100666-100928-201047-201896,1611661325,"Tully Bevilaqua, Katie Douglas, Ebony Hoffman, Jessica Davenport, Briann January","Bevilaqua, Douglas, Hoffman, Davenport, January",100284-100666-100928-201047-201896,IND,113.0,1,2,,4,4,2.0,8,1.0,3.0,1.0,1.0,,,,1.0,,,,,,,1.0,4.0,,,,2.0,2,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,2.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,,,2.0,1.0,,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,0.25,1.0,0.25,1.0,0.25,1.0,,,,0.5,,,0.6666666666666666,,,,0.6666666666666666,0.5,,1.0,,,,,,,,101.94690265486726,,14.75,13.5,13.75,13.5,0.75,0.3333333333333333,0.3333333333333333,,,,,,0.25,,,,,,,,,,,1.0,1.0,,,,0.75,,0.5211,0.5087,,,1.0,4.05,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1611661325,2010,2010,False
