EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Loose Ball Fouls,OffAtRimReboundPct,PenaltyAtRimFGM,AtRimAssists,NonShootingPenaltyNonTakeFouls,AtRimPctAssisted,PenaltyAtRimAccuracy,ShortMidRangeAssists,FTDefRebounds,LostBallTurnovers,2pt And 1 Free Throw Trips,DefFTReboundPct,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,Corner3FGA,Corner3Frequency,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,PenaltyCorner3FGA,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Arc3Assists,SelfOReb,BadPassSteals,Loose Ball Fouls Drawn,Assisted3sPct,SelfORebPct,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,Offensive Fouls,BlockedShortMidRange,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
100404-100433-200673-201046-201518,1611661322,"Katie Smith, Chasity Melvin, Monique Currie, Lindsey Harding, Crystal Langhorne","Smith, Melvin, Currie, Harding, Langhorne",100404-100433-200673-201046-201518,WAS,739.0,1,12.0,-10.0,23.0,23,10.0,10.0,5.0,46,2.0,4.0,1.0,1.0,1.0,5.0,2.0,6.0,4.0,1.0,2.0,5.0,15.0,4.0,7.0,17.0,27,1.0,3.0,1.0,1.0,3.0,2.0,6.0,2.0,2.0,6.0,2.0,8.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,5.0,9.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,10.0,1.0,10.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,14.0,6.0,10.0,1.0,0.2,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2631578947368421,0.25,0.25,0.3541666666666667,0.3,0.3,0.21052631578947367,0.26666666666666666,0.25,0.4,0.16666666666666666,0.25,0.5,0.6,0.2,1.0,0.5,0.6666666666666666,0.2857142857142857,0.25,0.25,0.5,1.0,0.5,1.0,89.63464140730717,1.0,21.08695652173913,11.043478260869565,19.0,10.826086956521738,0.21052631578947367,0.5,0.6666666666666666,0.2631578947368421,0.2,0.3333333333333333,0.3157894736842105,0.3333333333333333,0.4,0.5,0.21052631578947367,0.25,0.25,0.125,0.25,0.42105263157894735,0.4388263157894737,0.5491,0.41488125,0.17391304347826086,0.21052631578947367,0.17647058823529413,0.35294117647058826,9.313333333333333,21.975,0.43478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,False
100404-100433-200673-201046-201889,1611661322,"Katie Smith, Chasity Melvin, Monique Currie, Lindsey Harding, Marissa Coleman","Smith, Melvin, Currie, Harding, Coleman",100404-100433-200673-201046-201889,WAS,44.0,1,1.0,-2.0,1.0,1,,,1.0,2,,1.0,,,,,,,2.0,2.0,,,1.0,2.0,,,2,,,2.0,,,,,,,,,,2.0,1.0,,,,,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,1.0,1.0,,,,,,1.0,,0.5,,0.6666666666666666,,,0.5,,,,65.45454545454545,,30.0,14.0,11.0,14.0,0.3333333333333333,,,,,,,,,,0.6666666666666666,,1.0,,,1.0,0.6027166666666667,0.56865,,,,,,1.6,21.8,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,False
100404-100433-200673-201492-201889,1611661322,"Katie Smith, Chasity Melvin, Monique Currie, Matee Ajavon, Marissa Coleman","Smith, Melvin, Currie, Ajavon, Coleman",100404-100433-200673-201492-201889,WAS,68.0,1,1.0,1.0,3.0,2,3.0,2.0,,5,1.0,1.0,,1.0,1.0,1.0,,,,,,2.0,2.0,,,4.0,3,,,,,,2.0,2.0,,,4.0,2.0,2.0,,,1.0,1.0,,2.0,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,4.0,4.0,3.0,,0.5,0.5,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,105.88235294117648,,11.666666666666666,16.5,11.666666666666666,16.5,0.5,1.0,1.0,0.5,1.0,1.0,,,,,,,,0.5,,0.5,0.49565,,0.49565,,,,1.0,4.6,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,False
100404-100433-200673-201518-201889,1611661322,"Katie Smith, Chasity Melvin, Monique Currie, Crystal Langhorne, Marissa Coleman","Smith, Melvin, Currie, Langhorne, Coleman",100404-100433-200673-201518-201889,WAS,316.0,1,5.0,-7.0,10.0,11,4.0,9.0,,21,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,,,3.0,5.0,1.0,4.0,10.0,17,,,,,,,1.0,,3.0,3.0,4.0,2.0,1.0,,2.0,2.0,,4.0,,,,,2.0,3.0,,3.0,,,1.0,1.0,,1.0,,2.0,1.0,,1.0,4.0,1.0,5.0,2.0,1.0,,,,,,10.0,3.0,4.0,1.0,0.6666666666666666,0.6666666666666666,0.6,,,0.5,,,0.625,,0.5,0.16666666666666666,,,,,0.5,,1.0,,,,1.0,,,,,,1.0,,95.69620253164557,,18.0,12.363636363636363,18.0,12.363636363636363,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,0.16666666666666666,1.0,1.0,,0.16666666666666666,,,,,0.5,0.4637166666666667,,0.3746,0.2857142857142857,0.3333333333333333,,0.3,8.26,22.7,0.4,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,False
100404-100433-201046-201492-201889,1611661322,"Katie Smith, Chasity Melvin, Lindsey Harding, Matee Ajavon, Marissa Coleman","Smith, Melvin, Harding, Ajavon, Coleman",100404-100433-201046-201492-201889,WAS,35.0,1,1.0,-2.0,2.0,2,,,,4,,,,,,1.0,,,,,,,1.0,1.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,164.57142857142856,,13.0,4.5,13.0,3.5,,,,0.5,,,,,,,,,,,,0.5,0.5342,,,,,,,4.7,21.5,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,False
100404-100433-201046-201518-201889,1611661322,"Katie Smith, Chasity Melvin, Lindsey Harding, Crystal Langhorne, Marissa Coleman","Smith, Melvin, Harding, Langhorne, Coleman",100404-100433-201046-201518-201889,WAS,106.0,2,2.0,4.0,3.0,3,2.0,3.0,,6,,,,,,,,,1.0,,1.0,,,2.0,3.0,6.0,2,,,,,,,,1.0,3.0,6.0,,,1.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,2.0,2.0,,4.0,2.0,,,,,,,6.0,6.0,2.0,,,,,,,0.75,,1.5,0.75,,1.0,1.0,,,,,,,,,,,,,,,,,,,81.50943396226415,,20.666666666666668,14.666666666666666,20.666666666666668,14.333333333333334,,,,,,,,,,,0.5,,,,1.0,1.0,0.508875,,0.4767,0.5,1.0,,1.0,,21.45,0.6666666666666666,,,,,1.0,,,,2.0,,,1.0,,,1.0,0.5,1.0,1.0,1.0,1.0,3.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,False
100404-100433-201492-201518-201889,1611661322,"Katie Smith, Chasity Melvin, Matee Ajavon, Crystal Langhorne, Marissa Coleman","Smith, Melvin, Ajavon, Langhorne, Coleman",100404-100433-201492-201518-201889,WAS,110.0,2,2.0,1.0,4.0,2,2.0,2.0,1.0,6,,2.0,1.0,,,1.0,1.0,1.0,,,,1.0,4.0,,3.0,5.0,4,,1.0,,,,1.0,1.0,,3.0,5.0,2.0,,,,1.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,1.0,,3.0,,,,,,,,5.0,5.0,2.0,,1.0,1.0,0.25,,1.0,0.25,,1.0,0.5,,1.25,,,,,,,,1.0,0.3333333333333333,,,1.0,0.3333333333333333,,,,,,,78.54545454545455,,20.5,14.0,19.75,14.0,0.5,,,0.25,,,0.25,1.0,1.0,1.0,,1.0,,,,0.5,0.39815,0.4662,0.329,0.2,,,1.0,6.5,,0.5,,0.5,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,False
100404-100556-200673-201046-201518,1611661322,"Katie Smith, Nakia Sanford, Monique Currie, Lindsey Harding, Crystal Langhorne","Smith, Sanford, Currie, Harding, Langhorne",100404-100556-200673-201046-201518,WAS,567.0,2,9.0,17.0,20.0,19,12.0,,4.0,39,7.0,12.0,5.0,7.0,2.0,4.0,,3.0,2.0,,1.0,9.0,19.0,3.0,4.0,25.0,8,3.0,5.0,,,6.0,5.0,9.0,2.0,1.0,14.0,8.0,10.0,2.0,1.0,4.0,5.0,,11.0,,6.0,,1.0,10.0,12.0,6.0,18.0,2.0,,,1.0,,2.0,1.0,2.0,2.0,1.0,6.0,6.0,1.0,5.0,3.0,,1.0,,1.0,1.0,,19.0,14.0,12.0,,0.4444444444444444,0.5714285714285714,0.47368421052631576,0.6,0.5555555555555556,0.4772727272727273,0.6,0.5909090909090909,0.5208333333333334,0.6,0.5833333333333334,0.13636363636363635,0.05263157894736842,0.08333333333333333,,,,,0.7692307692307693,0.6,1.0,,0.7857142857142857,0.5,1.0,0.6666666666666666,,0.75,0.6666666666666666,1.0,99.04761904761905,,13.6,15.526315789473685,12.9,15.052631578947368,0.5454545454545454,0.5833333333333334,0.6363636363636364,0.18181818181818182,0.5,0.5,0.13636363636363635,,,,0.09090909090909091,1.0,,0.6363636363636364,0.09090909090909091,0.6818181818181818,0.5298227272727273,0.58926,0.5828863636363636,0.125,0.14285714285714285,0.24,0.56,4.510526315789474,22.266666666666666,0.6,2.0,0.4,5.0,3.0,,0.42857142857142855,0.7142857142857143,1.0,1.0,,1.0,1.0,1.0,0.5,1.0,0.045454545454545456,1.0,1.0,1.0,1.0,,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,1.0,0.5,,,3.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,0.09090909090909091,1.0,0.6,0.09090909090909091,,,,,,,,,,,,,,,,1611661322,2010,2010,False
100404-100556-200673-201046-201889,1611661322,"Katie Smith, Nakia Sanford, Monique Currie, Lindsey Harding, Marissa Coleman","Smith, Sanford, Currie, Harding, Coleman",100404-100556-200673-201046-201889,WAS,38.0,1,1.0,-2.0,2.0,2,2.0,2.0,,4,,,,,,2.0,,,,,,,2.0,,,,2,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.57894736842107,,13.5,5.5,13.5,5.5,,,,1.0,,,,,,,,,,,,,0.34395,,0.34395,,,,,8.2,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2010,2010,False
100404-100556-201046-201492-201518,1611661322,"Katie Smith, Nakia Sanford, Lindsey Harding, Matee Ajavon, Crystal Langhorne","Smith, Sanford, Harding, Ajavon, Langhorne",100404-100556-201046-201492-201518,WAS,134.0,1,2.0,,4.0,4,4.0,,,8,,,,,2.0,2.0,,,,,,2.0,2.0,,2.0,6.0,6,,,,,,2.0,2.0,,2.0,6.0,,4.0,,,,,,,,,,,2.0,2.0,,2.0,,,,,,1.0,,1.0,1.0,1.0,2.0,1.0,,2.0,,1.0,1.0,,,1.0,,6.0,6.0,4.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,0.6666666666666666,,,,0.6666666666666666,,,,,,1.0,,85.97014925373134,,13.75,19.75,13.75,18.0,,,,1.0,1.0,1.0,,,,,,,,,,,0.3656,,0.3656,,,,1.0,11.9,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1611661322,2010,2010,False
