EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,LongMidRangeAssists,LostBallTurnovers,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,OffArc3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PtsPutbacks,HeaveAttempts,Technical Free Throw Trips,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,Clear Path Fouls,Fg3aBlocked,FTOffRebounds,3SecondViolations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
100658-100682-100720-100721-100973,1611661328,"Svetlana Abrosimova, Lauren Jackson, Sue Bird, Swin Cash, Le'coe Willingham","Abrosimova, Jackson, Bird, Cash, Willingham",100658-100682-100720-100721-100973,SEA,1647.0,6,27.0,-4.0,55.0,56,13.0,13.0,7.0,111,5.0,10.0,1.0,1.0,5.0,21.0,2.0,6.0,1.0,4.0,2.0,4.0,5.0,12.0,37.0,5.0,9.0,13.0,52.0,56.0,3.0,4.0,4.0,4.0,8.0,2.0,6.0,14.0,14.0,10.0,15.0,5.0,4.0,3.0,7.0,5.0,12.0,4.0,1.0,4.0,3.0,29.0,2.0,6.0,8.0,6.0,1.0,15.0,8.0,23.0,2.0,8.0,7.0,1.0,1.0,2.0,1.0,9.0,1.0,2.0,2.0,10.0,2.0,2.0,7.0,10.0,1.0,1.0,16.0,3.0,1.0,15.0,3.0,8.0,1.0,4.0,3.0,1.0,4.0,1.0,48.0,14.0,13.0,1.0,1.0,0.5833333333333334,0.5833333333333334,1.0,0.5555555555555556,0.5555555555555556,0.32432432432432434,0.5,0.42391304347826086,0.4,0.5,0.4,0.5384615384615384,0.1956521739130435,0.08108108108108109,0.1,0.09523809523809523,0.1,1.0,0.5,0.24,0.6666666666666666,0.5,0.5833333333333334,0.27586206896551724,0.2,0.25,0.25,0.6666666666666666,0.4,0.4,1.0,0.5555555555555556,1.0,0.07692307692307693,97.04918032786885,0.25,14.363636363636363,15.303571428571429,13.327272727272728,14.535714285714286,0.21739130434782608,0.5,0.5555555555555556,0.8,0.45652173913043476,0.23809523809523808,0.2631578947368421,0.6,0.13043478260869565,0.3333333333333333,0.3333333333333333,0.08695652173913043,0.25,0.25,1.0,0.10869565217391304,0.8,0.8,1.0,0.1,1.0,0.2,0.41304347826086957,0.8,0.43500652173913046,0.3096666666666667,0.42871,0.1568627450980392,0.19047619047619047,0.07692307692307693,0.2692307692307692,7.467567567567568,22.62222222222222,0.23636363636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100682-100720-100721-201067,1611661328,"Svetlana Abrosimova, Lauren Jackson, Sue Bird, Swin Cash, Camille Little","Abrosimova, Jackson, Bird, Cash, Little",100658-100682-100720-100721-201067,SEA,1269.0,6,21.0,-2.0,37.0,37,8.0,1.0,9.0,74,5.0,11.0,,3.0,1.0,11.0,2.0,5.0,2.0,2.0,,4.0,10.0,8.0,27.0,6.0,12.0,8.0,42.0,44.0,3.0,3.0,11.0,,7.0,,4.0,4.0,6.0,10.0,15.0,10.0,4.0,2.0,3.0,5.0,8.0,3.0,2.0,1.0,,21.0,3.0,8.0,4.0,6.0,1.0,11.0,11.0,22.0,1.0,5.0,5.0,,3.0,,1.0,2.0,,1.0,,5.0,2.0,2.0,4.0,10.0,1.0,1.0,9.0,,1.0,9.0,1.0,5.0,,,,,,,31.0,4.0,8.0,1.0,,0.375,0.375,0.8333333333333334,0.5,0.5,0.2962962962962963,,0.4358974358974359,,0.4883720930232558,0.55,0.2222222222222222,0.3076923076923077,0.07407407407407407,0.09090909090909091,0.09090909090909091,0.6,1.0,0.6,0.42105263157894735,1.0,0.5,0.7142857142857143,0.44,0.3333333333333333,0.5,0.3333333333333333,,0.6,0.6666666666666666,0.5,1.0,1.0,0.043478260869565216,83.97163120567376,,15.81081081081081,18.486486486486488,14.054054054054054,18.08108108108108,0.28205128205128205,0.45454545454545453,0.5,0.2,0.28205128205128205,0.09090909090909091,0.1,,0.1282051282051282,0.4,0.4,0.05128205128205128,1.0,1.0,1.0,0.2564102564102564,0.4,0.4,0.75,0.42857142857142855,,,0.5897435897435898,0.4,0.45909487179487174,0.51659,0.48082857142857144,0.11627906976744186,0.16129032258064516,0.2619047619047619,0.09523809523809523,5.877777777777777,22.71666666666667,0.21621621621621623,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,3.0,2.0,2.0,0.4,0.3333333333333333,0.5,0.5,1.0,0.25,0.5,0.125,1.0,1.0,0.5,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100682-100720-100721-202239,1611661328,"Svetlana Abrosimova, Lauren Jackson, Sue Bird, Swin Cash, Jana Vesela","Abrosimova, Jackson, Bird, Cash, Vesela",100658-100682-100720-100721-202239,SEA,64.0,1,1.0,3.0,2.0,1,,,,3,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,3.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,1.0,,,1.5,,1.5,,,1.0,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,67.5,,15.0,34.0,15.0,34.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,0.4992,,,,,,,,23.5,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100682-100720-100973-101030,1611661328,"Svetlana Abrosimova, Lauren Jackson, Sue Bird, Le'coe Willingham, Tanisha Wright","Abrosimova, Jackson, Bird, Willingham, Wright",100658-100682-100720-100973-101030,SEA,548.0,3,9.0,6.0,19.0,18,16.0,4.0,2.0,37,3.0,5.0,3.0,5.0,1.0,7.0,1.0,1.0,,,,3.0,6.0,5.0,13.0,3.0,6.0,3.0,22.0,16.0,2.0,2.0,4.0,5.0,12.0,4.0,1.0,20.0,4.0,6.0,9.0,5.0,3.0,1.0,2.0,3.0,5.0,3.0,,2.0,,13.0,1.0,2.0,2.0,5.0,,7.0,3.0,10.0,,1.0,1.0,,1.0,2.0,,2.0,,,,3.0,,3.0,3.0,4.0,1.0,,4.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,,2.0,,18.0,20.0,16.0,,,0.4,0.5,1.0,0.5,0.6,0.38461538461538464,0.4166666666666667,0.5,0.59375,0.55,0.6666666666666666,0.625,0.3157894736842105,0.07692307692307693,,0.14285714285714285,0.3333333333333333,,0.5,0.25,1.0,0.5,0.5833333333333334,0.3,0.5,0.16666666666666666,,,0.4,1.0,,1.0,1.0,,97.22627737226279,,12.368421052631579,17.38888888888889,12.0,15.61111111111111,0.2631578947368421,0.6,0.6,0.6666666666666666,0.3684210526315789,0.14285714285714285,0.16666666666666666,,0.05263157894736842,1.0,1.0,,,,,0.3157894736842105,0.5,0.5,1.0,0.3125,0.6,,0.5789473684210527,0.6,0.4911916666666667,0.61285,0.48691999999999996,0.05263157894736842,0.07692307692307693,0.18181818181818182,0.9090909090909091,6.800000000000001,25.8,0.8421052631578947,1.0,2.0,,,,,1.0,,,,,1.0,,0.5,0.5,0.5,,1.0,0.5,,,,,,,3.0,4.0,3.0,2.0,1.0,1.0,0.75,0.25,0.75,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100682-100720-100973-202239,1611661328,"Svetlana Abrosimova, Lauren Jackson, Sue Bird, Le'coe Willingham, Jana Vesela","Abrosimova, Jackson, Bird, Willingham, Vesela",100658-100682-100720-100973-202239,SEA,61.0,1,1.0,4.0,3.0,2,,,,5,1.0,1.0,,,,,,1.0,,,,,,1.0,2.0,,,2.0,4.0,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,1.0,,2.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,,1.0,1.0,,1.0,1.0,4.0,,,,,1.0,1.0,,,,0.5,,0.5,,0.6666666666666666,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,118.03278688524591,1.0,12.0,12.5,12.0,12.5,0.5,1.0,1.0,1.0,,,,,0.5,,,,,,,,,,,,,,0.5,,0.4858,,,0.3333333333333333,0.3333333333333333,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100682-100720-101030-201067,1611661328,"Svetlana Abrosimova, Lauren Jackson, Sue Bird, Tanisha Wright, Camille Little","Abrosimova, Jackson, Bird, Wright, Little",100658-100682-100720-101030-201067,SEA,707.0,3,12.0,,21.0,21,9.0,4.0,4.0,42,6.0,6.0,3.0,3.0,1.0,7.0,2.0,5.0,,1.0,,1.0,1.0,9.0,18.0,1.0,2.0,2.0,23.0,23.0,4.0,,4.0,3.0,7.0,1.0,,9.0,8.0,10.0,,1.0,1.0,1.0,4.0,,4.0,,,3.0,,8.0,1.0,2.0,2.0,4.0,1.0,7.0,3.0,10.0,,2.0,2.0,,3.0,,,,,,,3.0,,2.0,2.0,8.0,2.0,,3.0,1.0,,2.0,,1.0,,1.0,1.0,,1.0,,19.0,9.0,9.0,,,0.4444444444444444,0.5,,0.5,0.5,0.5,0.42857142857142855,0.525,0.5625,0.5476190476190477,0.5,0.5625,0.1,0.05555555555555555,,0.14285714285714285,1.0,1.0,0.4444444444444444,0.2222222222222222,1.0,1.0,0.5454545454545454,0.3,,0.3333333333333333,,1.0,0.6666666666666666,,1.0,1.0,,,85.54455445544555,,14.0,19.666666666666668,12.380952380952381,18.61904761904762,0.3,1.0,1.0,0.5,0.35,0.14285714285714285,0.16666666666666666,,0.25,0.4,0.4,0.05,,,,0.05,1.0,1.0,,0.375,1.0,,0.4,1.0,0.4333,0.3529333333333333,0.43525,0.047619047619047616,0.05263157894736842,0.17391304347826086,0.391304347826087,8.483333333333333,22.25,0.42857142857142855,2.0,2.0,,,,,2.0,,,3.0,1.0,3.0,,0.5,0.5,,0.5,0.5,1.0,,,,,,,1.0,1.0,1.0,2.0,,,1.0,0.125,1.0,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100682-100720-201067-202239,1611661328,"Svetlana Abrosimova, Lauren Jackson, Sue Bird, Camille Little, Jana Vesela","Abrosimova, Jackson, Bird, Little, Vesela",100658-100682-100720-201067-202239,SEA,355.0,2,6.0,-10.0,11.0,12,1.0,5.0,,23,1.0,4.0,,,,2.0,,1.0,1.0,1.0,,,1.0,1.0,7.0,1.0,2.0,,5.0,15.0,,,,,,1.0,,,2.0,,3.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,5.0,,,1.0,1.0,,2.0,,2.0,,1.0,,1.0,,,,2.0,,,1.0,2.0,,,,1.0,1.0,,2.0,,1.0,,,,,,,,,,5.0,,1.0,,,1.0,1.0,1.0,0.5,0.5,0.14285714285714285,,0.2777777777777778,,0.2777777777777778,,,0.2222222222222222,0.14285714285714285,0.25,,,,0.5,,1.0,,0.6666666666666666,,,,,,,,1.0,,1.0,,93.29577464788731,,15.909090909090908,15.0,15.909090909090908,13.916666666666666,0.4444444444444444,0.25,0.3333333333333333,1.0,0.2222222222222222,,,,0.1111111111111111,,,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,,,,,,,0.6666666666666666,,0.5042166666666668,,0.4527,,,,,5.671428571428572,22.0,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100682-100721-100973-101030,1611661328,"Svetlana Abrosimova, Lauren Jackson, Swin Cash, Le'coe Willingham, Tanisha Wright","Abrosimova, Jackson, Cash, Willingham, Wright",100658-100682-100721-100973-101030,SEA,411.0,4,7.0,-2.0,12.0,12,8.0,3.0,2.0,24,1.0,4.0,1.0,4.0,2.0,4.0,,2.0,,,,1.0,1.0,3.0,10.0,1.0,1.0,3.0,12.0,14.0,2.0,,,2.0,7.0,1.0,3.0,10.0,2.0,4.0,,1.0,1.0,,1.0,,1.0,,,,1.0,2.0,,2.0,2.0,2.0,,4.0,2.0,6.0,,1.0,1.0,,2.0,,2.0,,,,,2.0,,,1.0,5.0,1.0,,6.0,1.0,,3.0,,1.0,,,,,,,12.0,10.0,8.0,1.0,,0.3333333333333333,0.3333333333333333,,1.0,1.0,0.3,0.2857142857142857,0.4090909090909091,0.4375,0.5,,0.5555555555555556,0.09090909090909091,,,,1.0,,0.6666666666666666,0.2857142857142857,0.6666666666666666,,0.6666666666666666,0.2857142857142857,,1.0,,,1.0,,,0.5,1.0,,84.08759124087592,,17.083333333333332,17.166666666666668,14.916666666666666,17.0,0.36363636363636365,0.25,0.25,,0.36363636363636365,0.5,0.5,0.5,0.18181818181818182,,,,,,,0.09090909090909091,1.0,1.0,,0.5,0.25,,0.45454545454545453,1.0,0.39442727272727274,0.3039,0.434325,0.16666666666666666,0.09090909090909091,,0.8333333333333334,7.2700000000000005,21.8,0.6666666666666666,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,0.125,1.0,1.0,1.0,1.0,,,,,,,,,,,1611661328,2010,2010,True
100658-100682-100721-101030-201067,1611661328,"Svetlana Abrosimova, Lauren Jackson, Swin Cash, Tanisha Wright, Camille Little","Abrosimova, Jackson, Cash, Wright, Little",100658-100682-100721-101030-201067,SEA,60.0,1,1.0,2.0,3.0,3,,3.0,,6,,,,,1.0,1.0,,1.0,,,,,,1.0,2.0,,,2.0,4.0,2.0,,,,,,,,,2.0,,,,,,1.0,,1.0,,,,1.0,2.0,,,1.0,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,,,4.0,,,,,1.0,1.0,,,,0.5,,0.5,,0.6666666666666666,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,144.0,,8.666666666666666,11.333333333333334,8.666666666666666,11.333333333333334,,,,,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,0.4177,,,0.3333333333333333,0.3333333333333333,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
100658-100682-100973-101030-202239,1611661328,"Svetlana Abrosimova, Lauren Jackson, Le'coe Willingham, Tanisha Wright, Jana Vesela","Abrosimova, Jackson, Willingham, Wright, Vesela",100658-100682-100973-101030-202239,SEA,74.0,1,1.0,1.0,2.0,2,,,,4,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,2.0,4.0,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0,,2.0,,1.0,,,,,,,4.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,77.83783783783784,,19.0,18.0,19.0,18.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,0.568,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2010,2010,True
