EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceFG2A,Corner3Assists,OffTwoPtRebounds,OffRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,BlockingFouls,Blocked3s,BlockedArc3,OffCorner3ReboundPct,SecondChanceCorner3FGA,Fg3aBlocked,FTOffRebounds,BlockingFoulsDrawn,Technical Free Throw Trips,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3PctAssisted,HeaveAttempts,Charge Fouls,PenaltyCorner3FGA,Charge Fouls Drawn,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,Corner3PctBlocked,BlockedCorner3,PenaltyCorner3FGM,PenaltyCorner3Accuracy,team_id,year,season,team_vs
100952-101033-200674-202654-202658,1611661319,"Jia Perkins, Roneeka Hodges, Sophia Young-Malcolm, Porsha Phillips, Danielle Robinson","Perkins, Hodges, Young-Malcolm, Phillips, Robinson",100952-101033-200674-202654-202658,SAN,525.0,4,9.0,-1.0,17.0,18.0,4.0,5.0,1.0,35.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,3.0,6.0,2.0,5.0,3.0,15.0,16.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,4.0,2.0,6.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,10.0,2.0,6.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,7.0,4.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.4,1.0,0.4,0.5,0.5,0.5454545454545454,0.8333333333333334,0.625,0.875,0.45454545454545453,0.2,1.0,0.8571428571428571,0.6666666666666666,0.8,1.0,1.0,1.0,0.5,96.0,14.470588235294118,15.5,13.882352941176471,14.777777777777779,0.18181818181818182,1.0,1.0,1.0,0.36363636363636365,0.25,0.25,0.45454545454545453,0.4,0.4,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6363636363636364,0.4,0.4722863636363636,0.5778,0.4574666666666667,0.09090909090909091,0.2,0.4666666666666667,6.6499999999999995,22.04,0.23529411764705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100342-100952-101033-200674-202634,1611661319,"Becky Hammon, Jia Perkins, Roneeka Hodges, Sophia Young-Malcolm, Danielle Adams","Hammon, Perkins, Hodges, Young-Malcolm, Adams",100342-100952-101033-200674-202634,SAN,386.0,1,6.0,5.0,11.0,11.0,1.0,3.0,1.0,22.0,,2.0,,,1.0,1.0,1.0,1.0,,,,2.0,6.0,2.0,3.0,,10.0,5.0,,,,,,,,,4.0,6.0,1.0,1.0,,2.0,2.0,1.0,,6.0,3.0,3.0,1.0,7.0,8.0,1.0,,1.0,,1.0,,2.0,1.0,3.0,,1.0,,,,,,,,10.0,,1.0,,,,1.0,0.6666666666666666,,0.6666666666666666,0.3333333333333333,,0.5555555555555556,,0.5555555555555556,,0.3333333333333333,0.5,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.5,82.07253886010362,18.727272727272727,16.363636363636363,18.545454545454547,15.454545454545455,0.2222222222222222,,,,0.1111111111111111,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,,,,,,0.5555555555555556,1.0,0.5368666666666667,0.7363,,,,,9.933333333333334,22.46666666666667,0.09090909090909091,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.2,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-100656-100952-200674,1611661319,"Tully Bevilaqua, Becky Hammon, Ruth Riley, Jia Perkins, Sophia Young-Malcolm","Bevilaqua, Hammon, Riley, Perkins, Young-Malcolm",100284-100342-100656-100952-200674,SAN,3238.0,13,54.0,-13.0,101.0,98.0,15.0,24.0,21.0,199.0,13.0,31.0,1.0,4.0,7.0,22.0,3.0,13.0,2.0,,3.0,28.0,70.0,6.0,19.0,19.0,93.0,106.0,2.0,4.0,7.0,,3.0,8.0,16.0,36.0,20.0,15.0,13.0,3.0,18.0,5.0,23.0,2.0,8.0,51.0,7.0,21.0,4.0,32.0,56.0,10.0,7.0,13.0,10.0,13.0,5.0,26.0,12.0,23.0,1.0,19.0,19.0,,,3.0,3.0,2.0,3.0,72.0,16.0,15.0,3.0,0.6428571428571429,0.75,0.8333333333333334,0.3157894736842105,,0.3157894736842105,0.4,0.5714285714285714,0.4157303370786517,0.4,0.4744897959183674,0.5714285714285714,0.21348314606741572,0.5,1.0,0.8076923076923077,0.7,0.7777777777777778,0.7272727272727273,0.875,0.8571428571428571,0.3333333333333333,88.49907350216182,17.08910891089109,15.428571428571429,15.772277227722773,14.908163265306122,0.34831460674157305,0.41935483870967744,0.5652173913043478,0.6153846153846154,0.24719101123595505,0.3181818181818182,0.3888888888888889,0.14606741573033707,0.23076923076923078,0.23076923076923078,0.6666666666666666,0.1,0.4,0.25,0.3,,0.5617977528089888,0.23076923076923078,0.46350280898876406,0.549053125,0.52877,0.07368421052631578,,0.17204301075268819,7.488571428571429,22.400000000000002,0.1485148514851485,12.0,8.0,17.0,3.0,6.0,18.0,3.0,20.0,24.0,3.0,2.0,3.0,0.47619047619047616,0.43636363636363634,0.6111111111111112,0.8571428571428571,0.19101123595505617,0.47058823529411764,0.5,0.06741573033707865,0.5,0.5,1.0,0.6,5.0,1.0,7.0,1.0,4.0,21.0,3.0,8.0,13.0,3.0,7.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,7.0,1.0,2.0,1.0,0.5,0.3888888888888889,0.425,0.4772727272727273,0.18571428571428572,0.25806451612903225,0.18181818181818182,0.058823529411764705,0.3076923076923077,0.26666666666666666,0.5555555555555556,0.4,0.047619047619047616,0.6666666666666666,0.42857142857142855,0.875,0.4166666666666667,0.4,0.5,0.09210526315789473,0.22580645161290322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100342-100656-200674-200684-202658,1611661319,"Becky Hammon, Ruth Riley, Sophia Young-Malcolm, Scholanda Dorrell, Danielle Robinson","Hammon, Riley, Young-Malcolm, Dorrell, Robinson",100342-100656-200674-200684-202658,SAN,3544.0,16,59.0,12.0,114.0,114.0,25.0,22.0,15.0,228.0,23.0,34.0,5.0,7.0,10.0,21.0,5.0,14.0,2.0,2.0,5.0,39.0,74.0,5.0,19.0,29.0,122.0,110.0,2.0,7.0,11.0,2.0,5.0,13.0,33.0,34.0,44.0,12.0,14.0,5.0,17.0,4.0,21.0,4.0,9.0,46.0,11.0,30.0,2.0,43.0,60.0,14.0,12.0,12.0,6.0,11.0,1.0,23.0,10.0,27.0,3.0,30.0,34.0,,,7.0,7.0,3.0,8.0,107.0,31.0,24.0,5.0,0.4358974358974359,0.4722222222222222,0.8,0.2631578947368421,0.4,0.2631578947368421,0.527027027027027,0.6363636363636364,0.5,0.625,0.5648148148148148,0.75,0.20430107526881722,0.5217391304347826,1.0,0.8571428571428571,0.8461538461538461,0.8541666666666666,0.75,0.8888888888888888,0.8181818181818182,1.0,92.64108352144468,15.359649122807017,15.728070175438596,14.298245614035087,15.219298245614034,0.3655913978494624,0.6764705882352942,0.71875,0.391304347826087,0.22580645161290322,0.47619047619047616,0.5,0.15053763440860216,0.35714285714285715,0.35714285714285715,0.8,0.15384615384615385,0.4375,0.7142857142857143,0.3125,0.4,0.5698924731182796,0.35714285714285715,0.48871344086021506,0.41478000000000004,0.549190625,0.1188118811881188,,0.27049180327868855,7.928378378378379,21.968421052631577,0.21929824561403508,4.0,6.0,19.0,,5.0,11.0,,13.0,17.0,2.0,4.0,6.0,0.37142857142857144,0.3617021276595745,0.09090909090909091,0.9285714285714286,0.20430107526881722,0.3157894736842105,0.3157894736842105,0.053763440860215055,,,,0.3076923076923077,4.0,,7.0,,1.0,15.0,3.0,6.0,3.0,4.0,4.0,4.0,1.0,,1.0,3.0,4.0,,1.0,2.0,4.0,12.0,4.0,5.0,1.0,,0.6363636363636364,0.5384615384615384,0.5357142857142857,0.04054054054054054,0.058823529411764705,0.047619047619047616,,0.3333333333333333,0.5454545454545454,0.46153846153846156,0.375,0.022727272727272728,0.625,0.4,0.6666666666666666,1.0,,,0.14634146341463414,0.12295081967213115,2.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-100952-202634-202654,1611661319,"Tully Bevilaqua, Becky Hammon, Jia Perkins, Danielle Adams, Porsha Phillips","Bevilaqua, Hammon, Perkins, Adams, Phillips",100284-100342-100952-202634-202654,SAN,180.0,2,3.0,,6.0,5.0,5.0,1.0,2.0,11.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,5.0,1.0,1.0,3.0,8.0,8.0,,,4.0,1.0,1.0,2.0,5.0,,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,,,,2.0,,,,,,,,2.0,2.0,,3.0,3.0,,,,,,,6.0,5.0,5.0,,,,1.0,1.0,1.0,1.0,0.2,,0.4166666666666667,0.3,0.5714285714285714,0.4166666666666667,0.16666666666666666,,,,,,,,,,88.0,17.333333333333332,15.2,14.0,15.2,0.16666666666666666,1.0,1.0,,0.16666666666666666,,,0.16666666666666666,1.0,1.0,1.0,,,,0.2,1.0,0.3333333333333333,1.0,0.4306833333333333,0.3512,0.40026,0.2857142857142857,,0.625,11.2,23.1,0.8333333333333334,,,3.0,,,1.0,,2.0,2.0,,,,0.5,0.5,,,0.5,,,,,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,0.5,0.2,,1.0,,,1.0,0.3333333333333333,,,,,,,,,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100656-100952-101033-202634-202658,1611661319,"Ruth Riley, Jia Perkins, Roneeka Hodges, Danielle Adams, Danielle Robinson","Riley, Perkins, Hodges, Adams, Robinson",100656-100952-101033-202634-202658,SAN,110.0,2,2.0,6.0,4.0,5.0,1.0,5.0,1.0,9.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,,8.0,2.0,,,,1.0,1.0,,3.0,,2.0,3.0,1.0,1.0,,1.0,1.0,,,3.0,1.0,1.0,1.0,3.0,4.0,,,,,1.0,,1.0,,,,,,,,,,,,6.0,3.0,1.0,,,,0.5,1.0,1.0,1.0,0.5,,1.0,1.5,1.0,1.5,0.5,,1.0,1.0,1.0,1.0,,1.0,1.0,,117.81818181818183,13.5,11.2,11.75,11.2,0.25,,,,0.25,1.0,1.0,0.25,1.0,1.0,,,,,1.0,1.0,0.75,1.0,0.5648625,0.3351,0.5352,,,0.375,2.95,21.35,0.25,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,0.25,1.0,1.0,1.0,,,,1.0,,,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-100656-100952-202654,1611661319,"Tully Bevilaqua, Becky Hammon, Ruth Riley, Jia Perkins, Porsha Phillips","Bevilaqua, Hammon, Riley, Perkins, Phillips",100284-100342-100656-100952-202654,SAN,230.0,3,4.0,2.0,8.0,8.0,,,1.0,16.0,1.0,1.0,,,1.0,3.0,,1.0,1.0,,,2.0,4.0,1.0,2.0,,7.0,5.0,1.0,,,,,,,4.0,,3.0,1.0,,2.0,1.0,3.0,,1.0,7.0,1.0,3.0,,4.0,5.0,,,1.0,,1.0,,2.0,,2.0,1.0,1.0,,,,,,,,7.0,,,,1.0,1.0,1.0,0.5,,0.5,0.5,,0.5833333333333334,,0.5833333333333334,,0.3333333333333333,0.5,,0.75,1.0,0.8,1.0,0.6666666666666666,,1.0,100.17391304347825,12.5,16.25,10.75,15.625,0.16666666666666666,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,,,,1.0,,,,,0.5,,0.44855,0.55575,,,,,5.75,21.9,,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,0.5,0.3333333333333333,,,,,,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-100656-200674-200684,1611661319,"Tully Bevilaqua, Becky Hammon, Ruth Riley, Sophia Young-Malcolm, Scholanda Dorrell","Bevilaqua, Hammon, Riley, Young-Malcolm, Dorrell",100284-100342-100656-200674-200684,SAN,10319.0,19,172.0,4.0,326.0,326.0,17.0,18.0,41.0,652.0,48.0,89.0,2.0,3.0,24.0,74.0,11.0,40.0,6.0,1.0,6.0,93.0,220.0,20.0,59.0,49.0,295.0,291.0,7.0,7.0,13.0,1.0,6.0,1.0,18.0,104.0,82.0,57.0,40.0,11.0,52.0,19.0,71.0,11.0,29.0,161.0,34.0,95.0,6.0,135.0,186.0,38.0,27.0,39.0,29.0,32.0,5.0,71.0,28.0,52.0,4.0,67.0,69.0,,,,21.0,13.0,21.0,259.0,18.0,17.0,,0.5591397849462365,0.5909090909090909,0.95,0.3389830508474576,0.16666666666666666,0.3389830508474576,0.42272727272727273,0.5384615384615384,0.44086021505376344,0.4473684210526316,0.47106109324758844,0.425,0.2114695340501792,0.5492957746478874,0.8571428571428571,0.8189655172413793,0.8292682926829268,0.821656050955414,0.8571428571428571,0.85,0.84,0.8125,90.9855606163388,15.484662576687116,16.16871165644172,14.196319018404909,15.542944785276074,0.31899641577060933,0.5393258426966292,0.5925925925925926,0.6041666666666666,0.26523297491039427,0.32432432432432434,0.3380281690140845,0.14336917562724014,0.275,0.28205128205128205,1.0,0.15,0.15789473684210525,0.6666666666666666,0.3157894736842105,0.16666666666666666,0.5304659498207885,0.275,0.4802005395683453,0.5009657142857142,0.4111236842105263,0.11254019292604502,,0.061016949152542375,8.124545454545455,22.140677966101695,0.05214723926380368,18.0,21.0,57.0,9.0,19.0,33.0,8.0,39.0,51.0,11.0,10.0,10.0,0.312,0.3067484662576687,0.38461538461538464,0.7037037037037037,0.20430107526881722,0.3684210526315789,0.3684210526315789,0.06810035842293907,0.47368421052631576,0.47368421052631576,0.8888888888888888,0.45,6.0,1.0,11.0,1.0,11.0,36.0,3.0,10.0,11.0,9.0,14.0,11.0,7.0,4.0,2.0,4.0,3.0,3.0,4.0,1.0,3.0,35.0,6.0,13.0,1.0,0.14285714285714285,0.3333333333333333,0.3125,0.3723404255319149,0.05,0.0898876404494382,0.04054054054054054,,0.2894736842105263,0.26,0.3055555555555556,0.21428571428571427,0.046357615894039736,0.6190476190476191,0.375,0.6666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.1388888888888889,0.12203389830508475,2.0,,,0.5,1.0,1.0,1.0,3.0,2.0,2.0,0.01694915254237288,0.025,0.25,0.025,1.0,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-100952-200674-200684,1611661319,"Tully Bevilaqua, Becky Hammon, Jia Perkins, Sophia Young-Malcolm, Scholanda Dorrell","Bevilaqua, Hammon, Perkins, Young-Malcolm, Dorrell",100284-100342-100952-200674-200684,SAN,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-101033-202251-202654,1611661319,"Tully Bevilaqua, Becky Hammon, Roneeka Hodges, Jayne Appel Marinelli, Porsha Phillips","Bevilaqua, Hammon, Hodges, Appel Marinelli, Phillips",100284-100342-101033-202251-202654,SAN,41.0,1,1.0,-2.0,1.0,2.0,,,,3.0,,,,,,,,,,,,1.0,1.0,,,,2.0,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,105.36585365853658,18.0,11.5,18.0,11.5,,,,,,,,,,,,,,,,,,,0.3923,,,,,,16.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
