EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,NonShootingPenaltyNonTakeFouls,OffAtRimReboundPct,BadPassSteals,BadPassTurnovers,DeadBallTurnovers,SecondChanceTurnovers,Offensive Fouls,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,StepOutOfBoundsTurnovers,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffLongMidRangeReboundPct,DefAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceFtPoints,PtsAssisted3s,HeaveAttempts,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,FTOffRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,PenaltyAtRimAccuracy,LostBallOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,BlockedLongMidRange,3SecondViolations,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,Clear Path Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Arc3PctBlocked,team_id,year,season,team_vs
100690-100796-201054-201881-201907,1611661330,"Coco Miller, Iziane Castro Marques, Alison Bales, Angel McCoughtry, Courtney Paris","Miller, Castro Marques, Bales, McCoughtry, Paris",100690-100796-201054-201881-201907,ATL,467.0,5,8.0,-5.0,17.0,16.0,6.0,5.0,3.0,33.0,1.0,2.0,1.0,2.0,1.0,3.0,7.0,2.0,3.0,4.0,1.0,6.0,12.0,4.0,4.0,16.0,21.0,2.0,3.0,4.0,2.0,4.0,1.0,2.0,6.0,4.0,8.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,3.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,1.0,6.0,2.0,1.0,12.0,6.0,6.0,1.0,0.3333333333333333,0.4,0.5,0.6666666666666666,0.5,0.375,0.6666666666666666,0.4,0.42105263157894735,0.6666666666666666,0.5,0.25,1.0,0.4,0.4,0.3333333333333333,0.3333333333333333,0.375,0.375,0.5,0.3333333333333333,1.0,0.5,0.125,101.7558886509636,14.764705882352942,13.5,14.470588235294118,13.0,0.125,0.5,0.5,0.4375,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.1875,0.6666666666666666,0.6666666666666666,0.5,0.25,0.6666666666666666,0.5,0.2,0.2,0.375,0.416315625,0.51715,0.3339,0.1111111111111111,0.14285714285714285,0.25,0.375,8.558333333333334,23.075,0.35294117647058826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,False
100690-201046-201048-201881-201907,1611661330,"Coco Miller, Lindsey Harding, Armintie Herrington, Angel McCoughtry, Courtney Paris","Miller, Harding, Herrington, McCoughtry, Paris",100690-201046-201048-201881-201907,ATL,101.0,1,2.0,-3.0,4.0,4.0,4.0,4.0,2.0,8.0,,3.0,,2.0,3.0,,,,,,,,3.0,,2.0,2.0,5.0,,2.0,,,3.0,,2.0,2.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,1.0,2.0,2.0,,4.0,2.0,,2.0,2.0,4.0,,,,,,,,,,0.2,,0.2,,,0.5,0.3333333333333333,,,0.5,0.3333333333333333,,,0.5,,,114.05940594059406,11.5,13.75,9.0,13.5,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,0.4996666666666667,0.5691,0.4996666666666667,0.4,0.4,,1.0,2.533333333333333,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,False
100796-100812-101021-201048-201898,1611661330,"Iziane Castro Marques, Erika de Souza, Sandora Irvin, Armintie Herrington, Shalee Lehning","Castro Marques, de Souza, Irvin, Herrington, Lehning",100796-100812-101021-201048-201898,ATL,166.0,1,3.0,-2.0,5.0,4.0,,4.0,1.0,9.0,,,,,,1.0,2.0,,,1.0,,1.0,2.0,1.0,2.0,4.0,6.0,,,,,,,,,,2.0,,1.0,,,,,,,1.0,,1.0,1.0,1.0,2.0,,1.0,,1.0,,2.0,,1.0,2.0,1.0,,2.0,1.0,,4.0,,,,,,0.5,,,0.3333333333333333,,,0.5,,,0.3333333333333333,0.5,0.5,1.0,,,0.3333333333333333,0.5,1.0,,0.5,,,78.07228915662651,15.2,22.5,13.0,11.5,,,,0.6666666666666666,0.5,0.5,,,,,,0.3333333333333333,,,,,0.3333333333333333,0.4098833333333333,,,0.25,0.3333333333333333,,,9.9,22.2,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,False
100796-100920-101023-201046-201054,1611661330,"Iziane Castro Marques, Kelly Mazzante, Sancho Lyttle, Lindsey Harding, Alison Bales","Castro Marques, Mazzante, Lyttle, Harding, Bales",100796-100920-101023-201046-201054,ATL,38.0,1,1.0,2.0,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,75.78947368421053,11.0,27.0,11.0,26.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,False
100690-100796-101021-201048-201054,1611661330,"Coco Miller, Iziane Castro Marques, Sandora Irvin, Armintie Herrington, Alison Bales","Miller, Castro Marques, Irvin, Herrington, Bales",100690-100796-101021-201048-201054,ATL,224.0,2,4.0,,5.0,6.0,2.0,1.0,1.0,11.0,1.0,2.0,,1.0,1.0,,,,3.0,1.0,1.0,1.0,5.0,1.0,,5.0,5.0,,2.0,,,3.0,1.0,,3.0,,2.0,,1.0,,,,,,,2.0,,3.0,3.0,2.0,5.0,,,,,,1.0,,2.0,3.0,,,,,,5.0,3.0,2.0,,,,0.2,,,0.4166666666666667,,0.375,0.4166666666666667,,0.375,0.16666666666666666,,0.75,0.5,,,0.75,0.5,,,1.0,,,70.71428571428571,20.2,20.5,15.8,16.166666666666668,0.3333333333333333,0.5,0.5,,,,,0.5,,,,0.16666666666666666,0.5,,0.25,0.25,0.5,0.416825,0.47545,0.4220875,,,,0.6,11.2,21.9,0.4,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,False
100796-100812-201046-201054-201881,1611661330,"Iziane Castro Marques, Erika de Souza, Lindsey Harding, Alison Bales, Angel McCoughtry","Castro Marques, de Souza, Harding, Bales, McCoughtry",100796-100812-201046-201054-201881,ATL,5150.0,13,86.0,7.0,179.0,181.0,26.0,17.0,18.0,360.0,37.0,61.0,5.0,9.0,8.0,26.0,51.0,8.0,25.0,10.0,3.0,71.0,137.0,16.0,22.0,176.0,169.0,9.0,16.0,19.0,14.0,21.0,3.0,,28.0,72.0,70.0,14.0,8.0,36.0,39.0,13.0,7.0,81.0,2.0,16.0,17.0,52.0,72.0,20.0,92.0,1.0,18.0,6.0,19.0,9.0,34.0,5.0,16.0,33.0,26.0,,30.0,14.0,1.0,157.0,28.0,26.0,,0.5070422535211268,0.5625,0.5182481751824818,0.5625,0.6666666666666666,0.5032679738562091,0.5625,0.5833333333333334,0.5238095238095238,0.5588235294117647,0.5833333333333334,0.10457516339869281,0.5588235294117647,0.7647058823529411,0.24615384615384617,0.7391304347826086,0.2,0.7582417582417582,0.24,0.3333333333333333,0.16666666666666666,0.88,0.8571428571428571,0.017241379310344827,100.6601941747573,13.664804469273744,14.939226519337016,13.139664804469273,14.027624309392266,0.39869281045751637,0.6065573770491803,0.6981132075471698,0.3333333333333333,0.5098039215686274,0.5777777777777777,0.5,0.16339869281045752,0.32,0.34782608695652173,0.875,0.06535947712418301,0.5625,0.5555555555555556,0.3333333333333333,0.125,0.5032679738562091,0.4739165562913908,0.46418666666666664,0.45987954545454546,0.08383233532934131,0.09271523178807947,0.10795454545454546,0.1590909090909091,7.38102189781022,25.83125,0.1452513966480447,2.0,0.25,12.0,10.0,15.0,3.0,1.0,2.0,,4.0,,3.0,2.0,1.0,0.25,,0.2857142857142857,0.11764705882352941,0.6086956521739131,0.2,0.2,,0.25,7.0,2.0,6.0,1.0,9.0,2.0,16.0,1.0,3.0,1.0,2.0,16.0,2.0,3.0,9.0,1.0,1.0,2.0,1.0,12.0,8.0,4.0,12.0,8.0,0.75,0.0625,0.11678832116788321,0.13114754098360656,0.11764705882352941,0.08,0.16666666666666666,0.6,0.6666666666666666,0.25,0.8,0.6875,0.6666666666666666,0.43243243243243246,0.0392156862745098,0.3333333333333333,0.4,1.0,0.5,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,False
100812-201046-201048-201054-201881,1611661330,"Erika de Souza, Lindsey Harding, Armintie Herrington, Alison Bales, Angel McCoughtry","de Souza, Harding, Herrington, Bales, McCoughtry",100812-201046-201048-201054-201881,ATL,6235.0,18,104.0,16.0,210.0,205.0,38.0,14.0,23.0,415.0,43.0,71.0,9.0,13.0,9.0,16.0,52.0,24.0,52.0,9.0,3.0,83.0,175.0,9.0,35.0,204.0,188.0,11.0,22.0,30.0,14.0,28.0,3.0,15.0,43.0,100.0,66.0,14.0,9.0,50.0,51.0,10.0,18.0,103.0,1.0,28.0,17.0,59.0,80.0,31.0,111.0,7.0,23.0,11.0,21.0,7.0,35.0,5.0,19.0,44.0,47.0,1.0,55.0,23.0,7.0,174.0,43.0,38.0,7.0,0.6024096385542169,0.6578947368421053,0.4742857142857143,0.5,0.5,0.4592391304347826,0.5,0.45161290322580644,0.4880382775119617,0.5172413793103449,0.524390243902439,0.04891304347826087,0.6,0.6704545454545454,0.3146067415730337,0.7727272727272727,0.125,0.6909090909090909,0.29896907216494845,0.4411764705882353,0.125,0.8695652173913043,0.8333333333333334,0.08333333333333333,95.84603047313553,14.095238095238095,15.975609756097562,13.557142857142857,14.839024390243903,0.3858695652173913,0.6056338028169014,0.671875,0.2826086956521739,0.3076923076923077,0.3404255319148936,0.625,0.2826086956521739,0.46153846153846156,0.47058823529411764,0.75,0.04891304347826087,0.5909090909090909,0.6923076923076923,0.2903225806451613,0.0967741935483871,0.43478260869565216,0.47030625,0.4535666666666667,0.42932741935483876,0.11386138613861387,0.11917098445595854,0.14705882352941177,0.2107843137254902,8.349142857142857,22.533333333333335,0.18095238095238095,,0.2857142857142857,12.0,14.0,14.0,1.0,3.0,1.0,,1.0,,,1.0,,0.1111111111111111,,0.1111111111111111,0.18518518518518517,0.5483870967741935,0.1111111111111111,0.1111111111111111,,0.1111111111111111,6.0,,,8.0,3.0,,13.0,,1.0,1.0,,22.0,2.0,4.0,1.0,2.0,3.0,4.0,1.0,21.0,15.0,3.0,21.0,12.0,1.0,,0.07428571428571429,0.09859154929577464,0.09615384615384616,0.019230769230769232,,1.0,0.25,,0.6470588235294118,0.75,0.5714285714285714,0.5116279069767442,,,,,1.0,0.6666666666666666,3.0,1.0,2.0,2.0,5.0,3.0,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,False
100690-100796-101021-201054-201881,1611661330,"Coco Miller, Iziane Castro Marques, Sandora Irvin, Alison Bales, Angel McCoughtry","Miller, Castro Marques, Irvin, Bales, McCoughtry",100690-100796-101021-201054-201881,ATL,659.0,3,11.0,5.0,21.0,24.0,3.0,14.0,4.0,45.0,6.0,8.0,1.0,1.0,,2.0,3.0,,5.0,1.0,,8.0,16.0,1.0,5.0,21.0,16.0,1.0,2.0,4.0,1.0,2.0,,2.0,4.0,8.0,8.0,2.0,1.0,4.0,4.0,1.0,,8.0,1.0,3.0,1.0,9.0,10.0,4.0,14.0,,3.0,1.0,2.0,2.0,6.0,,1.0,2.0,5.0,,5.0,1.0,2.0,17.0,4.0,3.0,1.0,0.5,0.5714285714285714,0.5,0.5,0.5,0.47058823529411764,0.5,0.5,0.5526315789473685,0.6666666666666666,0.6666666666666666,0.058823529411764705,0.3333333333333333,1.0,0.375,0.3333333333333333,1.0,0.8333333333333334,0.4444444444444444,,1.0,,,,98.33080424886192,12.095238095238095,16.875,11.523809523809524,15.416666666666666,0.47058823529411764,0.75,0.75,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.5,0.29411764705882354,,,,0.058823529411764705,0.5,1.0,,,0.5294117647058824,0.4895147058823529,0.4144,0.3781,0.058823529411764705,0.0625,0.19047619047619047,0.19047619047619047,7.8125,21.5,0.14285714285714285,1.0,1.0,2.0,,4.0,1.0,,,,,,,,,,,,0.2,1.0,,,,,,,,2.0,,,,,,,,3.0,,,2.0,1.0,,,1.0,3.0,3.0,,3.0,3.0,,,,,,,,,,,1.0,0.3333333333333333,1.0,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,False
100690-100812-101021-201881-201898,1611661330,"Coco Miller, Erika de Souza, Sandora Irvin, Angel McCoughtry, Shalee Lehning","Miller, de Souza, Irvin, McCoughtry, Lehning",100690-100812-101021-201881-201898,ATL,110.0,1,2.0,-1.0,3.0,3.0,,,,6.0,,,,,,,,1.0,2.0,,,1.0,2.0,,,2.0,3.0,,,,,,,,,2.0,,,,1.0,1.0,,1.0,2.0,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,2.0,,,,,,2.0,,,,1.0,1.0,0.5,,,0.5,,,0.5,,,,1.0,,,1.0,,0.5,,,,,,,78.54545454545455,20.333333333333332,16.333333333333332,20.333333333333332,15.333333333333334,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,0.37885,,,,,,,15.45,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,False
100690-100812-201048-201054-201898,1611661330,"Coco Miller, Erika de Souza, Armintie Herrington, Alison Bales, Shalee Lehning","Miller, de Souza, Herrington, Bales, Lehning",100690-100812-201048-201054-201898,ATL,168.0,3,3.0,-3.0,8.0,11.0,3.0,8.0,1.0,19.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,,2.0,4.0,1.0,3.0,10.0,13.0,,1.0,,1.0,1.0,,2.0,4.0,2.0,2.0,,1.0,1.0,2.0,,,5.0,,1.0,,2.0,2.0,1.0,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,4.0,2.0,,4.0,1.0,1.0,10.0,4.0,3.0,1.0,0.5,0.5,0.5,,1.0,0.7,,1.0,0.7142857142857143,,1.0,0.2,0.5,1.0,0.5,,,1.0,0.5,1.0,,,,0.5,162.85714285714286,9.375,8.454545454545455,9.125,8.454545454545455,0.4,0.5,0.5,0.2,,,,0.2,1.0,1.0,,0.2,1.0,,,,0.6,0.53198,0.5757,0.3711,0.16666666666666666,0.2,,0.4,7.175,21.6,0.375,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,3.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,False
