EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,FG2M,PtsAssisted2s,TwoPtAssists,AtRimAssists,Fouls,Loose Ball Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFGA,LongMidRangeFGM,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGA,OffTwoPtRebounds,OffTwoPtReboundPct,OffAtRimReboundPct,PenaltyAtRimFrequency,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,Fg2aBlocked,FTOffRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Offensive Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyArc3FGA,SecondChanceFG2M,PenaltyFG2M,PenaltyFG3A,PtsUnassisted2s,PtsPutbacks,PenaltyTurnovers,BlockedAtRim,SecondChanceFg2Pct,PenaltyFg2Pct,PenaltyEfgPct,OffShortMidRangeReboundPct,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonShootingPenaltyNonTakeFouls,SelfOReb,BadPassSteals,SelfORebPct,ShortMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFtPoints,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,AtRimPctBlocked,ShortMidRangePctBlocked,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,LostBallTurnovers,ShortMidRangeAssists,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,ShortMidRangePctAssisted,PenaltyCorner3FGA,PtsUnassisted3s,BlockingFouls,Clear Path Fouls,Charge Fouls Drawn,DefCorner3ReboundPct,PenaltyCorner3Frequency,Technical Free Throw Trips,Offensive Fouls Drawn,HeaveAttempts,3SecondViolations,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,team_id,year,season,team_vs
100690-100796-100812-101023-201046,1611661330,"Coco Miller, Iziane Castro Marques, Erika de Souza, Sancho Lyttle, Lindsey Harding","Miller, Castro Marques, de Souza, Lyttle, Harding",100690-100796-100812-101023-201046,ATL,135.0,3,2.0,1.0,7.0,5.0,5.0,2.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,6.0,5.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,5.0,2.0,1.0,0.5,0.5,0.3,0.42857142857142855,0.375,0.4,0.5,1.0,1.0,0.6666666666666666,0.25,1.0,1.0,1.0,128.0,1.0,11.142857142857142,11.4,9.142857142857142,11.4,0.2,0.4,0.2,1.0,1.0,1.0,0.2,0.4,0.41928,0.3802,0.36955,0.5,12.033333333333333,22.75,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,True
100690-100796-100812-101023-201048,1611661330,"Coco Miller, Iziane Castro Marques, Erika de Souza, Sancho Lyttle, Armintie Herrington","Miller, Castro Marques, de Souza, Lyttle, Herrington",100690-100796-100812-101023-201048,ATL,135.0,1,2.0,,5.0,4.0,,,,9.0,1.0,2.0,,,,5.0,,,,2.0,2.0,,,,,,,,1.0,,2.0,,,3.0,3.0,,3.0,,,,,,,,,,2.0,,,,,,,0.2,0.2,,,1.0,,,1.0,,,1.0,,96.0,,20.2,8.5,20.2,8.5,0.2,0.4,,,,,,0.4,0.45834,,,,9.379999999999999,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.4,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,True
100690-100796-100812-201046-201054,1611661330,"Coco Miller, Iziane Castro Marques, Erika de Souza, Lindsey Harding, Alison Bales","Miller, Castro Marques, de Souza, Harding, Bales",100690-100796-100812-201046-201054,ATL,273.0,2,5.0,2.0,8.0,9.0,,,1.0,17.0,1.0,2.0,,,3.0,4.0,1.0,3.0,1.0,6.0,4.0,1.0,,,,3.0,3.0,1.0,2.0,,5.0,1.0,1.0,5.0,6.0,1.0,7.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,6.0,,,,1.0,0.3333333333333333,0.3333333333333333,0.35714285714285715,0.375,,0.42857142857142855,1.0,1.0,0.5,1.0,0.2,0.5,1.0,1.0,89.67032967032968,1.0,14.5,17.444444444444443,14.125,17.444444444444443,0.14285714285714285,0.2857142857142857,,,,,0.42857142857142855,0.5714285714285714,0.5078571428571429,,,,10.95,22.433333333333334,,,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,0.25,1.0,0.14285714285714285,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.125,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,True
100690-100796-100812-201048-201054,1611661330,"Coco Miller, Iziane Castro Marques, Erika de Souza, Armintie Herrington, Alison Bales","Miller, Castro Marques, de Souza, Herrington, Bales",100690-100796-100812-201048-201054,ATL,42.0,1,1.0,,2.0,1.0,2.0,1.0,1.0,3.0,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,1.0,1.0,1.0,2.0,,,1.0,2.0,,,,,,,,2.0,,,,,,,,,1.0,,,1.0,0.5,,,,102.85714285714286,,9.5,23.0,9.5,23.0,,,,,,,,1.0,0.4463,,0.4463,,3.05,,1.0,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,2.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,True
100690-100796-100812-201054-201881,1611661330,"Coco Miller, Iziane Castro Marques, Erika de Souza, Alison Bales, Angel McCoughtry","Miller, Castro Marques, de Souza, Bales, McCoughtry",100690-100796-100812-201054-201881,ATL,235.0,2,4.0,8.0,7.0,8.0,,5.0,3.0,15.0,,3.0,,1.0,5.0,4.0,4.0,6.0,,12.0,4.0,1.0,,,,12.0,5.0,4.0,4.0,,12.0,1.0,,4.0,6.0,4.0,10.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,6.0,,,,1.0,0.6666666666666666,0.6666666666666666,0.6,0.6,,0.6,0.6666666666666666,,1.0,0.6666666666666666,0.6,,0.6666666666666666,,91.91489361702128,1.0,13.0,18.0,11.285714285714286,17.5,,0.3,0.1,,,,0.5,0.7,0.45752,0.40235,,,12.375,22.516666666666666,,,1.0,,,,,3.0,,,,,,0.1,,,,,,4.0,4.0,4.0,,1.0,,2.0,,1.0,,,,,,0.8,0.8,1.0,,0.8,0.1,,,2.0,0.5,,,2.0,2.0,2.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.5,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,True
100690-100796-101021-101023-201046,1611661330,"Coco Miller, Iziane Castro Marques, Sandora Irvin, Sancho Lyttle, Lindsey Harding","Miller, Castro Marques, Irvin, Lyttle, Harding",100690-100796-101021-101023-201046,ATL,169.0,1,3.0,1.0,5.0,5.0,5.0,5.0,1.0,10.0,2.0,,,,1.0,4.0,,1.0,,4.0,3.0,1.0,4.0,,4.0,,1.0,,1.0,,2.0,,,4.0,4.0,1.0,5.0,,,,,,,,1.0,1.0,2.0,4.0,5.0,,,,,0.4,0.4,0.4,0.2,0.8,,,0.8,0.3333333333333333,,,,85.20710059171597,1.0,12.4,21.4,12.0,17.8,0.4,,,,,,0.2,0.6,0.45126999999999995,0.507,0.45126999999999995,1.0,5.225,23.1,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,,0.5,1.0,0.5,0.75,0.4,1.0,1.0,0.5,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,2.0,1.0,0.5,,0.4,,,,,2.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,0.5,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.4,0.5,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,True
100690-100796-101021-201046-201054,1611661330,"Coco Miller, Iziane Castro Marques, Sandora Irvin, Lindsey Harding, Alison Bales","Miller, Castro Marques, Irvin, Harding, Bales",100690-100796-101021-201046-201054,ATL,30.0,1,,-1.0,1.0,1.0,,1.0,,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,14.0,16.0,14.0,16.0,1.0,,,,,,,,0.3941,,,,4.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,True
100690-100796-101021-201046-201907,1611661330,"Coco Miller, Iziane Castro Marques, Sandora Irvin, Lindsey Harding, Courtney Paris","Miller, Castro Marques, Irvin, Harding, Paris",100690-100796-101021-201046-201907,ATL,57.0,1,1.0,3.0,2.0,1.0,,1.0,1.0,3.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,3.0,,,,,,3.0,1.0,1.0,1.0,,3.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,,0.3333333333333333,,,,,0.5,,,,75.78947368421053,,13.0,31.0,12.0,29.0,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,0.3333333333333333,0.4399,0.6561,,,10.45,21.8,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,0.5,,,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,1.0,1.5,1.5,0.5,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,True
100690-100796-101023-201046-201054,1611661330,"Coco Miller, Iziane Castro Marques, Sancho Lyttle, Lindsey Harding, Alison Bales","Miller, Castro Marques, Lyttle, Harding, Bales",100690-100796-101023-201046-201054,ATL,687.0,5,11.0,1.0,21.0,22.0,4.0,4.0,7.0,43.0,6.0,5.0,1.0,1.0,5.0,16.0,2.0,6.0,4.0,16.0,15.0,3.0,3.0,,2.0,6.0,5.0,2.0,4.0,1.0,10.0,2.0,1.0,10.0,11.0,7.0,18.0,2.0,,6.0,4.0,,,,1.0,1.0,9.0,2.0,4.0,,1.0,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.3333333333333333,0.2,0.2727272727272727,0.7692307692307693,0.3333333333333333,0.5,0.6875,0.4117647058823529,0.5,0.8333333333333334,0.5,90.13100436681223,1.0,16.333333333333332,15.636363636363637,14.142857142857142,14.545454545454545,0.2727272727272727,0.22727272727272727,0.045454545454545456,1.0,1.0,1.0,0.22727272727272727,0.5,0.43831818181818183,0.4235333333333333,0.46071,0.125,8.83125,21.7,0.19047619047619047,2.0,5.0,3.0,4.0,2.0,2.0,4.0,2.0,0.6666666666666666,0.6666666666666666,0.1875,0.7142857142857143,0.22727272727272727,0.4,0.5,1.0,1.0,,1.0,1.0,1.0,,4.0,,4.0,2.0,1.0,,,,,,0.2,0.2,1.0,0.2,0.2,0.08333333333333333,0.1111111111111111,2.0,5.0,0.38461538461538464,0.3333333333333333,0.4,,1.0,1.0,2.0,7.0,2.0,,,,,,1.0,,,1.0,0.5,0.5,0.5833333333333334,0.125,,,,,0.4,,0.2,,,,0.4375,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,1.0,,0.3333333333333333,0.3333333333333333,0.2,0.4,1.0,0.5,0.4,,2.0,2.0,0.13333333333333333,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,0.16666666666666666,0.16666666666666666,0.2,1.0,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,True
100690-100796-101023-201046-201881,1611661330,"Coco Miller, Iziane Castro Marques, Sancho Lyttle, Lindsey Harding, Angel McCoughtry","Miller, Castro Marques, Lyttle, Harding, McCoughtry",100690-100796-101023-201046-201881,ATL,123.0,1,2.0,-7.0,5.0,5.0,,2.0,1.0,10.0,,1.0,,1.0,,3.0,,1.0,,2.0,9.0,1.0,,,,,,,1.0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,,,,,,,0.25,0.25,,0.25,,,1.0,,0.3333333333333333,,,,117.07317073170732,,17.6,7.0,16.0,7.0,,0.25,0.25,,,,,0.75,0.4968,0.506,,,6.3999999999999995,22.2,,1.0,2.0,1.0,2.0,1.0,1.0,3.0,,1.0,1.0,0.3333333333333333,,0.5,0.5,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,2.0,2.0,2.0,,,,,,,,0.3333333333333333,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2011,2011,True
