EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Clear Path Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,Blocked3s,BlockedArc3,BlockedLongMidRange,Technical Free Throw Trips,Loose Ball Fouls,ShortMidRangeAssists,ShortMidRangePctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockingFouls,PenaltyCorner3FGM,Charge Fouls Drawn,PenaltyCorner3Accuracy,team_id,year,season,team_vs
100236-100628-100646-100666-101039,1611661325,"Tangela Smith, Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Erin Phillips","Smith, Sutton-Brown, Catchings, Douglas, Phillips",100236-100628-100646-100666-101039,IND,5007.0,6,83.0,10.0,160.0,158.0,31.0,27.0,24.0,318.0,30.0,52.0,7.0,15.0,5.0,8.0,5.0,21.0,6.0,25.0,4.0,10.0,1.0,1.0,10.0,27.0,1.0,2.0,2.0,6.0,41.0,98.0,14.0,37.0,29.0,153.0,143.0,8.0,19.0,1.0,3.0,6.0,25.0,9.0,19.0,2.0,7.0,12.0,36.0,36.0,46.0,33.0,9.0,4.0,27.0,10.0,8.0,18.0,11.0,29.0,7.0,4.0,16.0,2.0,69.0,4.0,26.0,14.0,42.0,3.0,59.0,30.0,89.0,8.0,17.0,13.0,4.0,21.0,4.0,13.0,17.0,8.0,2.0,38.0,5.0,6.0,13.0,33.0,3.0,1.0,3.0,36.0,2.0,1.0,1.0,37.0,3.0,15.0,5.0,9.0,4.0,5.0,9.0,2.0,1.0,128.0,36.0,31.0,1.0,6.0,0.43902439024390244,0.46153846153846156,0.7857142857142857,0.3783783783783784,0.3333333333333333,0.2857142857142857,0.3783783783783784,0.41836734693877553,0.42105263157894735,0.47368421052631576,0.45925925925925926,0.4318181818181818,0.46153846153846156,0.5032894736842105,0.5,0.5454545454545454,0.2740740740740741,0.08163265306122448,0.09615384615384616,0.09523809523809523,0.04,0.5526315789473685,0.75,0.6885245901639344,0.45614035087719296,0.9333333333333333,0.18181818181818182,0.7368421052631579,0.379746835443038,0.45454545454545453,0.5,0.42105263157894735,0.1875,0.16666666666666666,0.5384615384615384,0.5652173913043478,0.88,0.9090909090909091,1.0,0.11267605633802817,91.45596165368484,0.2222222222222222,16.33125,15.151898734177216,15.05625,14.537974683544304,0.3851851851851852,0.5769230769230769,0.6382978723404256,0.5333333333333333,0.15555555555555556,0.23809523809523808,0.2631578947368421,0.18518518518518517,0.24,0.25,0.3333333333333333,0.07407407407407407,0.4,0.4,1.0,0.2,0.37037037037037035,0.37037037037037035,0.7,0.6818181818181818,0.4666666666666667,0.5714285714285714,0.045454545454545456,0.09090909090909091,0.5,1.0,0.3076923076923077,0.625,0.038461538461538464,0.23076923076923078,0.3333333333333333,0.6592592592592592,0.37037037037037035,0.5043903703703704,0.5587526315789474,0.43111346153846153,0.10204081632653061,0.13636363636363635,0.16339869281045752,0.23529411764705882,7.492857142857142,22.48108108108108,0.19375,,,,,,,,,,,,,,,,,,,,1611661325,2011,2011,False
100236-100628-100646-100666-201497,1611661325,"Tangela Smith, Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Shannon Bobbitt","Smith, Sutton-Brown, Catchings, Douglas, Bobbitt",100236-100628-100646-100666-201497,IND,830.0,5,14.0,-2.0,23.0,21.0,7.0,2.0,7.0,44.0,2.0,10.0,,1.0,1.0,3.0,,3.0,,2.0,,3.0,2.0,1.0,2.0,6.0,,1.0,1.0,2.0,2.0,15.0,2.0,9.0,6.0,16.0,18.0,,2.0,,3.0,5.0,5.0,1.0,4.0,1.0,3.0,3.0,8.0,4.0,,6.0,,,6.0,2.0,6.0,2.0,2.0,4.0,2.0,,2.0,,10.0,6.0,3.0,2.0,5.0,,7.0,10.0,17.0,1.0,4.0,3.0,1.0,3.0,,2.0,3.0,1.0,,6.0,1.0,2.0,3.0,8.0,,,1.0,5.0,,,,8.0,,3.0,1.0,1.0,1.0,,1.0,1.0,,11.0,8.0,7.0,,1.0,1.0,1.0,1.0,0.2222222222222222,,0.3333333333333333,0.2222222222222222,0.13333333333333333,,0.25,0.20833333333333334,,0.35714285714285715,0.2857142857142857,0.3125,0.4444444444444444,0.375,0.4,0.4,0.6666666666666666,,0.5,,0.45454545454545453,0.25,0.6666666666666666,0.8571428571428571,0.5,0.47368421052631576,0.2857142857142857,0.3333333333333333,,0.75,1.0,0.75,0.3333333333333333,0.25,0.6666666666666666,,0.08333333333333333,76.33734939759036,1.0,19.73913043478261,17.904761904761905,16.956521739130434,15.857142857142858,0.4166666666666667,0.2,0.3333333333333333,1.0,0.125,,,0.08333333333333333,,,,0.125,,,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.2,,,0.4,0.2,,,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.2857142857142857,0.5,0.7916666666666666,0.3333333333333333,0.49324999999999997,0.4107,0.5879642857142857,0.1111111111111111,0.16666666666666666,0.3125,0.5,5.319999999999999,22.677777777777777,0.30434782608695654,1.0,1.0,0.1111111111111111,0.3333333333333333,0.5,,,,,,,,,,,,,,,1611661325,2011,2011,False
100236-100628-100646-100666-201919,1611661325,"Tangela Smith, Tammy Sutton-Brown, Tamika Catchings, Katie Douglas, Shavonte Zellous","Smith, Sutton-Brown, Catchings, Douglas, Zellous",100236-100628-100646-100666-201919,IND,286.0,1,5.0,7.0,10.0,10.0,8.0,3.0,2.0,20.0,2.0,4.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,1.0,2.0,,,,,3.0,5.0,1.0,2.0,6.0,15.0,8.0,2.0,2.0,,,,4.0,2.0,3.0,,,6.0,10.0,2.0,4.0,3.0,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,5.0,1.0,1.0,2.0,2.0,,4.0,2.0,6.0,,2.0,,2.0,1.0,,1.0,,,,1.0,,1.0,1.0,2.0,,,,6.0,,,,8.0,,,4.0,,,,1.0,1.0,,11.0,10.0,8.0,,3.0,0.3333333333333333,0.3333333333333333,1.0,0.5,,,0.5,0.6,1.0,0.6666666666666666,0.6428571428571429,1.0,0.6666666666666666,0.6818181818181818,0.6666666666666666,0.8333333333333334,0.2857142857142857,0.2,0.25,,,1.0,,0.4,0.5,1.0,1.0,0.5714285714285714,0.6666666666666666,0.5,,,1.0,,,0.6666666666666666,,1.0,,,100.69930069930071,1.0,17.6,11.0,13.4,9.4,0.5714285714285714,0.5,0.6666666666666666,0.5,,,,0.14285714285714285,1.0,1.0,,,,,,0.2857142857142857,0.5,0.5,1.0,0.5,1.0,1.0,,,,,0.6666666666666666,0.5,,,,0.8571428571428571,0.5,0.5301571428571429,0.6979,0.5283333333333333,,,0.26666666666666666,0.6666666666666666,5.6,22.95,0.8,,,,,,1.0,1.0,,,,,,,,,,,,,1611661325,2011,2011,False
100236-100628-100646-101039-201919,1611661325,"Tangela Smith, Tammy Sutton-Brown, Tamika Catchings, Erin Phillips, Shavonte Zellous","Smith, Sutton-Brown, Catchings, Phillips, Zellous",100236-100628-100646-101039-201919,IND,331.0,2,6.0,8.0,11.0,10.0,,,1.0,21.0,,1.0,,,,,,,1.0,1.0,1.0,3.0,,,1.0,2.0,,,,,1.0,2.0,2.0,5.0,5.0,13.0,5.0,,,,,,,,,,,,,,2.0,6.0,,,2.0,1.0,,,2.0,2.0,1.0,1.0,,,6.0,,1.0,,3.0,,3.0,1.0,4.0,,2.0,1.0,1.0,2.0,,1.0,,1.0,,2.0,1.0,,1.0,1.0,,,,4.0,,,,6.0,,3.0,,1.0,,,1.0,1.0,,13.0,,,,,,,1.0,0.4,,,0.4,0.5,,,0.5714285714285714,,,0.65,,,0.7142857142857143,,,,,1.0,,1.0,1.0,,,0.75,0.25,1.0,,,,,1.0,,1.0,,,,91.3595166163142,1.0,14.636363636363637,17.0,14.454545454545455,16.0,0.14285714285714285,,,,,,,0.14285714285714285,1.0,1.0,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.5,0.5,1.0,,,,,,,,,,,,,0.8571428571428571,0.5,0.54935,,,0.3,0.6,,,9.4,22.02,,,,,,,,,1.0,,,,,,,,,,,,1611661325,2011,2011,False
100236-100628-100646-201497-201919,1611661325,"Tangela Smith, Tammy Sutton-Brown, Tamika Catchings, Shannon Bobbitt, Shavonte Zellous","Smith, Sutton-Brown, Catchings, Bobbitt, Zellous",100236-100628-100646-201497-201919,IND,251.0,2,4.0,3.0,10.0,10.0,,,1.0,20.0,3.0,4.0,,,,,,2.0,,,,2.0,,,,,,,,,3.0,6.0,,2.0,1.0,7.0,4.0,,1.0,,,,,,,,,,,4.0,2.0,,,,,,1.0,2.0,,2.0,,,2.0,,4.0,,1.0,,4.0,2.0,6.0,1.0,7.0,,2.0,2.0,,,2.0,,2.0,,,2.0,,,2.0,2.0,,,,2.0,,1.0,,2.0,,1.0,,2.0,1.0,1.0,2.0,,,7.0,,,,,0.6666666666666666,0.6666666666666666,,,,,,0.5,,,0.375,,,0.3888888888888889,,,0.25,0.16666666666666666,,0.5,,,1.0,0.6666666666666666,0.3333333333333333,,,0.6666666666666666,0.2,1.0,,,,,,0.75,1.0,,,,114.7410358565737,,12.7,12.4,12.2,11.1,0.5,0.75,0.75,0.6666666666666666,0.25,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.75,,0.5503375,0.4497,,0.1111111111111111,0.14285714285714285,,,3.033333333333333,22.05,,,,,,,,,,,,,,,,,,,,,1611661325,2011,2011,False
100236-100628-100646-201497-202656,1611661325,"Tangela Smith, Tammy Sutton-Brown, Tamika Catchings, Shannon Bobbitt, Jeanette Pohlen-Mavunga","Smith, Sutton-Brown, Catchings, Bobbitt, Pohlen-Mavunga",100236-100628-100646-201497-202656,IND,54.0,1,1.0,-2.0,1.0,2.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,3.0,5.0,,,,,,,,,1.0,1.0,,3.0,,,3.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,,1.5,,1.5,1.5,,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,80.0,,15.0,19.5,15.0,19.5,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,0.60555,,0.60555,,,,1.0,,22.3,1.0,,,,,,,,,,,,,,,,,,,,1611661325,2011,2011,False
100236-100628-100666-101039-201919,1611661325,"Tangela Smith, Tammy Sutton-Brown, Katie Douglas, Erin Phillips, Shavonte Zellous","Smith, Sutton-Brown, Douglas, Phillips, Zellous",100236-100628-100666-101039-201919,IND,597.0,1,10.0,-2.0,18.0,19.0,7.0,7.0,4.0,37.0,6.0,9.0,3.0,3.0,2.0,3.0,,3.0,1.0,2.0,1.0,2.0,,,,3.0,,2.0,,2.0,7.0,14.0,1.0,5.0,2.0,19.0,21.0,3.0,4.0,,2.0,1.0,7.0,2.0,5.0,,2.0,,4.0,6.0,8.0,3.0,,4.0,3.0,,1.0,3.0,1.0,4.0,,1.0,3.0,,9.0,1.0,4.0,,8.0,1.0,9.0,6.0,15.0,2.0,1.0,1.0,,2.0,1.0,2.0,2.0,,,4.0,,2.0,1.0,1.0,,,,3.0,,,,3.0,1.0,2.0,,2.0,2.0,,2.0,1.0,1.0,12.0,4.0,7.0,,,0.42857142857142855,0.6,1.0,0.2,,,0.2,0.5,0.75,0.4,0.4473684210526316,0.5,0.2857142857142857,0.475,0.5833333333333334,0.2857142857142857,0.2631578947368421,0.07142857142857142,0.1111111111111111,,,0.5,1.0,0.7272727272727273,0.5714285714285714,,0.25,0.7272727272727273,0.45454545454545453,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,,0.3333333333333333,1.0,0.8571428571428571,,,0.2,89.2462311557789,0.5,17.166666666666668,15.157894736842104,15.055555555555555,14.0,0.47368421052631576,0.6666666666666666,0.75,0.5,0.15789473684210525,,,0.10526315789473684,0.5,0.5,,0.10526315789473684,0.5,0.5,1.0,0.15789473684210525,,,,0.5,1.0,,,0.3333333333333333,,,0.42857142857142855,0.6666666666666666,,0.2857142857142857,,0.7368421052631579,,0.499128947368421,0.52809,0.5005499999999999,0.1,0.13333333333333333,0.3684210526315789,0.21052631578947367,5.45,22.34,0.3888888888888889,,1.0,,,1.0,,,,,,,,,,,,,,,1611661325,2011,2011,False
100236-100628-100666-101039-202656,1611661325,"Tangela Smith, Tammy Sutton-Brown, Katie Douglas, Erin Phillips, Jeanette Pohlen-Mavunga","Smith, Sutton-Brown, Douglas, Phillips, Pohlen-Mavunga",100236-100628-100666-101039-202656,IND,112.0,1,2.0,-1.0,3.0,3.0,,,,6.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,2.0,3.0,,,1.0,5.0,6.0,,,,,,,,,,,,,2.0,2.0,,,,,,,1.0,,1.0,,,1.0,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,2.0,4.0,,,,,,,,1.0,,,,,,,,,,5.0,,,,,0.5,0.5,,,,,,0.6666666666666666,,,0.6666666666666666,,,0.6666666666666666,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,77.14285714285714,,14.333333333333334,23.0,14.333333333333334,22.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.4595,,,,,,,10.566666666666666,,,,,,,,,,,1.0,,,,,,,,,,,1611661325,2011,2011,False
100236-100628-100666-201497-201919,1611661325,"Tangela Smith, Tammy Sutton-Brown, Katie Douglas, Shannon Bobbitt, Shavonte Zellous","Smith, Sutton-Brown, Douglas, Bobbitt, Zellous",100236-100628-100666-201497-201919,IND,47.0,2,1.0,-2.0,1.0,2.0,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,91.91489361702128,,22.0,12.5,22.0,12.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3984,,,,,,,17.3,,,,,,,,,,,,1.0,,,,,,,,,,1611661325,2011,2011,False
100236-100628-101039-201497-202656,1611661325,"Tangela Smith, Tammy Sutton-Brown, Erin Phillips, Shannon Bobbitt, Jeanette Pohlen-Mavunga","Smith, Sutton-Brown, Phillips, Bobbitt, Pohlen-Mavunga",100236-100628-101039-201497-202656,IND,79.0,1,1.0,-2.0,2.0,2.0,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,72.9113924050633,,27.5,12.0,27.5,12.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3332,,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,1611661325,2011,2011,False
