EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,DeadBallTurnovers,SecondChanceTurnovers,ShootingFouls,BlockingFouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,3SecondViolations,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,BadPassSteals,Charge Fouls Drawn,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,Arc3Assists,FTOffRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,LongMidRangePctBlocked,Loose Ball Fouls Drawn,BlockedLongMidRange,Corner3PctBlocked,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
100404-100696-100720-100973-201067,1611661328,"Katie Smith, Belinda Snell, Sue Bird, Le'coe Willingham, Camille Little","Smith, Snell, Bird, Willingham, Little",100404-100696-100720-100973-201067,SEA,37.0,2,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,116.75675675675676,10.0,17.0,10.0,17.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2011,2011,False
100404-100721-101030-201067-202318,1611661328,"Katie Smith, Swin Cash, Tanisha Wright, Camille Little, Ewelina Kobryn","Smith, Cash, Wright, Little, Kobryn",100404-100721-101030-201067-202318,SEA,539.0,4,9.0,,14.0,15.0,1.0,1.0,29.0,5.0,17.0,1.0,3.0,1.0,4.0,6.0,1.0,1.0,2.0,,4.0,4.0,5.0,,14.0,3.0,1.0,,0.6071428571428571,0.75,0.5,0.5,0.6666666666666666,,77.47680890538034,19.428571428571427,17.8,19.071428571428573,17.466666666666665,0.17647058823529413,0.07142857142857142,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,6.0,10.0,2.0,17.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.4,0.6,1.0,0.5,0.5,1.0,0.5,1.5,0.16666666666666666,0.75,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,1.0,0.5,0.16666666666666666,0.25,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,1.0,1.0,0.5,1.0,0.4166666666666667,0.40391249999999995,0.6026,0.463,0.21428571428571427,0.25,0.17647058823529413,8.83,27.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2011,2011,False
100404-100682-100721-100973-101030,1611661328,"Katie Smith, Lauren Jackson, Swin Cash, Le'coe Willingham, Tanisha Wright","Smith, Jackson, Cash, Willingham, Wright",100404-100682-100721-100973-101030,SEA,380.0,4,6.0,8.0,13.0,12.0,3.0,2.0,25.0,,11.0,,2.0,2.0,6.0,6.0,,,1.0,,2.0,1.0,,,11.0,2.0,3.0,1.0,0.4583333333333333,0.3333333333333333,,1.0,0.75,1.0,94.73684210526316,13.307692307692308,17.25,13.307692307692308,17.0,0.18181818181818182,0.23076923076923078,,2.0,3.0,,,,1.0,2.0,6.0,,,1.0,4.0,9.0,3.0,3.0,,,,,1.0,3.0,8.0,,,1.0,4.0,5.0,2.0,,11.0,,,4.0,,,2.0,2.0,1.0,,,,,,,1.0,1.0,0.4444444444444444,,0.3333333333333333,0.4583333333333333,,0.3333333333333333,,0.25,0.6666666666666666,,,,,,0.6666666666666666,1.0,1.0,,0.25,0.6666666666666666,0.6666666666666666,1.0,0.5,0.3333333333333333,0.3333333333333333,,,,,0.08333333333333333,,,0.3333333333333333,,0.5,0.44509166666666666,,0.3847666666666667,,,,7.300000000000001,22.366666666666664,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.16666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2011,2011,False
100404-100696-101030-201067-202318,1611661328,"Katie Smith, Belinda Snell, Tanisha Wright, Camille Little, Ewelina Kobryn","Smith, Snell, Wright, Little, Kobryn",100404-100696-101030-201067-202318,SEA,361.0,2,6.0,-4.0,8.0,8.0,,,16.0,,6.0,,,,1.0,3.0,,,,,2.0,1.0,,,4.0,,,,0.3,,,,0.25,,63.822714681440445,21.0,24.125,18.875,21.5,,,2.0,3.0,4.0,1.0,1.0,,,,1.0,,2.0,2.0,3.0,7.0,3.0,10.0,1.0,1.0,,2.0,,,,6.0,,2.0,,,,,,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,0.42857142857142855,1.0,,0.3,0.5,,0.5,0.3,0.3333333333333333,0.25,0.3333333333333333,0.2857142857142857,,0.5,,1.0,,,0.4,0.75,0.75,,0.1,,,0.2,,,,0.2,0.5,1.0,,,0.7,0.452625,0.47895,,,,0.3333333333333333,8.185714285714285,22.599999999999998,,1.0,,,,,,,,,,,,,,,,0.1,,,,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2011,2011,False
100404-100720-100721-100942-100973,1611661328,"Katie Smith, Sue Bird, Swin Cash, Ashley Robinson, Le'coe Willingham","Smith, Bird, Cash, Robinson, Willingham",100404-100720-100721-100942-100973,SEA,4480.0,27,75.0,12.0,132.0,127.0,33.0,31.0,259.0,22.0,140.0,5.0,41.0,8.0,41.0,66.0,16.0,10.0,31.0,6.0,37.0,34.0,28.0,2.0,119.0,41.0,33.0,3.0,0.5511811023622047,0.6612903225806451,0.5161290322580645,0.5714285714285714,0.5873015873015873,0.6,83.25,17.78030303030303,16.79527559055118,15.909090909090908,15.236220472440944,0.29285714285714287,0.25,21.0,15.0,24.0,2.0,4.0,1.0,2.0,9.0,31.0,11.0,18.0,39.0,35.0,73.0,42.0,128.0,5.0,14.0,8.0,21.0,6.0,14.0,38.0,32.0,2.0,38.0,19.0,29.0,9.0,6.0,68.0,7.0,17.0,29.0,25.0,2.0,12.0,4.0,15.0,5.0,16.0,,3.0,12.0,,0.5428571428571428,0.5588235294117647,0.4794520547945205,0.35714285714285715,0.42857142857142855,0.5130434782608696,0.34210526315789475,0.6206896551724138,0.4375,0.3652173913043478,0.5918367346938775,0.4473684210526316,0.30434782608695654,0.39344262295081966,0.4090909090909091,0.2857142857142857,0.48,0.7857142857142857,0.5,0.0392156862745098,0.20869565217391303,0.625,0.6818181818181818,0.6,0.26956521739130435,0.2903225806451613,0.375,0.1565217391304348,0.6111111111111112,0.6111111111111112,0.5454545454545454,0.3391304347826087,0.21052631578947367,0.5,0.06896551724137931,0.5,0.5739130434782609,0.4502517543859649,0.4666666666666667,0.42239642857142856,0.104,0.14634146341463414,0.15,8.083561643835617,22.928571428571427,1.0,3.0,16.0,30.0,10.0,1.0,4.0,4.0,7.0,4.0,7.0,3.0,0.625,0.38095238095238093,0.3902439024390244,0.6,0.4444444444444444,0.02608695652173913,0.3333333333333333,0.3333333333333333,1.0,4.0,5.0,8.0,1.0,0.42857142857142855,0.21052631578947367,1.0,1.0,1.0,15.0,1.0,7.0,14.0,1.0,8.0,15.0,18.0,1.0,15.0,9.0,2.0,9.0,1.0,4.0,1.0,6.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,3.0,2.0,0.2,0.5333333333333333,0.047619047619047616,0.1232876712328767,0.08333333333333333,0.22580645161290322,0.05128205128205128,1.0,0.25,0.5555555555555556,0.5,0.2857142857142857,0.38461538461538464,0.40540540540540543,0.6,0.5,0.05263157894736842,0.25,0.034482758620689655,1.0,0.4827586206896552,0.5,0.39473684210526316,0.023255813953488372,,,,,,,,,,,,,1611661328,2011,2011,False
100696-100942-100973-201516-202318,1611661328,"Belinda Snell, Ashley Robinson, Le'coe Willingham, Allie Quigley, Ewelina Kobryn","Snell, Robinson, Willingham, Quigley, Kobryn",100696-100942-100973-201516-202318,SEA,194.0,2,3.0,1.0,5.0,6.0,5.0,5.0,11.0,1.0,5.0,1.0,5.0,,1.0,1.0,,,1.0,1.0,2.0,1.0,2.0,,5.0,5.0,5.0,,0.625,0.625,,,0.5,,81.64948453608247,12.0,22.333333333333332,12.0,18.666666666666668,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,4.0,,,,,2.0,2.0,,4.0,,1.0,,,,,,,,1.0,,,2.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,1.0,0.6666666666666666,,0.6666666666666666,,0.3333333333333333,0.5,,,,,,0.5,,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,,,0.3333333333333333,1.0,0.6666666666666666,0.5996,,0.5996,0.25,0.3333333333333333,,5.9,21.6,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,1611661328,2011,2011,False
100404-100720-100721-201067-202318,1611661328,"Katie Smith, Sue Bird, Swin Cash, Camille Little, Ewelina Kobryn","Smith, Bird, Cash, Little, Kobryn",100404-100720-100721-201067-202318,SEA,312.0,4,5.0,1.0,8.0,9.0,1.0,5.0,17.0,1.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,,5.0,2.0,2.0,,6.0,1.0,1.0,,0.42857142857142855,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,78.46153846153845,14.0,22.22222222222222,13.125,18.11111111111111,0.16666666666666666,0.125,1.0,1.0,1.0,,,,,,3.0,,1.0,1.0,1.0,5.0,1.0,5.0,,1.0,,,,,,2.0,,1.0,,1.0,,,3.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,0.2,,,0.4166666666666667,,,,0.16666666666666666,0.5,0.25,,0.25,0.3333333333333333,,,1.0,,,0.16666666666666666,1.0,1.0,,0.5,,,0.16666666666666666,,,,0.16666666666666666,,,,,0.3333333333333333,0.477425,0.4428,,0.14285714285714285,0.16666666666666666,,8.959999999999999,21.8,,,1.0,3.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,0.2,,0.3333333333333333,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1611661328,2011,2011,False
100404-100696-100720-100721-202663,1611661328,"Katie Smith, Belinda Snell, Sue Bird, Swin Cash, Krystal Thomas","Smith, Snell, Bird, Cash, Thomas",100404-100696-100720-100721-202663,SEA,7.0,1,,-2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,,7.0,,7.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2011,2011,False
100404-100696-100721-100942-101030,1611661328,"Katie Smith, Belinda Snell, Swin Cash, Ashley Robinson, Tanisha Wright","Smith, Snell, Cash, Robinson, Wright",100404-100696-100721-100942-101030,SEA,8.0,1,,-1.0,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,180.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2011,2011,False
100404-100696-101030-201067-201516,1611661328,"Katie Smith, Belinda Snell, Tanisha Wright, Camille Little, Allie Quigley","Smith, Snell, Wright, Little, Quigley",100404-100696-101030-201067-201516,SEA,7.0,1,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2011,2011,False
