EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPoss,LongMidRangeFGM,Arc3FGA,FG3A,PenaltyFG2A,NonHeaveArc3FGA,LongMidRangeAssists,OffThreePtRebounds,Travels,ShootingFouls,PenaltyOffPossExcludingTakeFouls,FG3APct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,Corner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,FTDefRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,BlockingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,NonHeaveArc3Accuracy,PenaltyPointsPct,PenaltyAtRimFGM,Corner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,Corner3Assists,FTOffRebounds,PenaltyTurnovers,BlockingFouls,NonShootingFoulsDrawn,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,OffFTReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3FGM,Loose Ball Fouls Drawn,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,LostBallOutOfBoundsTurnovers,Charge Fouls,Blocked3s,BlockedArc3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Charge Fouls Drawn,HeaveMakes,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
100685-100940-101024-101025-200676,1611661317,"Marie Ferdinand-Harris, Diana Taurasi, Temeka Johnson, Kara Braxton, Candice Dupree","Ferdinand-Harris, Taurasi, Johnson, Braxton, Dupree",100685-100940-101024-101025-200676,PHO,357.0,7,6.0,11.0,13.0,12.0,1.0,3.0,25.0,7.0,9.0,3.0,4.0,1.0,2.0,1.0,8.0,12.0,5.0,21.0,10.0,3.0,4.0,6.0,8.0,8.0,4.0,3.0,4.0,4.0,4.0,8.0,3.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,5.0,7.0,2.0,1.0,4.0,15.0,0.5,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.75,0.7142857142857143,0.75,0.25,0.2222222222222222,1.0,0.6666666666666666,0.3333333333333333,0.75,1.0,0.42857142857142855,0.75,1.0,1.0,0.4,1.0,100.84033613445378,16.692307692307693,11.666666666666666,15.538461538461538,10.75,0.75,0.7777777777777778,1.0,0.5714285714285714,0.16666666666666666,0.5,0.5,0.08333333333333333,1.0,0.75,0.75,0.49545,0.502725,0.2857142857142857,0.2857142857142857,0.2857142857142857,4.566666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100685-101024-201086-201886,1611661317,"Nakia Sanford, Marie Ferdinand-Harris, Temeka Johnson, Sidney Spencer, DeWanna Bonner","Sanford, Ferdinand-Harris, Johnson, Spencer, Bonner",100556-100685-101024-201086-201886,PHO,302.0,1,5.0,-2.0,10.0,10.0,9.0,1.0,20.0,,2.0,,1.0,,1.0,5.0,4.0,8.0,,8.0,10.0,,1.0,,6.0,2.0,,1.0,3.0,3.0,,6.0,,2.0,3.0,5.0,1.0,6.0,,,,,1.0,1.0,3.0,,,2.0,,,,,8.0,0.75,0.75,0.5,,0.4444444444444444,,0.4444444444444444,,0.125,,,,0.6,,1.0,0.7142857142857143,0.25,,,,,95.36423841059603,14.2,16.0,13.5,13.5,0.2222222222222222,,,,0.1111111111111111,,,0.5555555555555556,1.0,,0.3333333333333333,0.35932222222222227,,,,,11.7625,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.75,0.1111111111111111,0.2687,22.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100940-101024-200676-201886,1611661317,"Nakia Sanford, Diana Taurasi, Temeka Johnson, Candice Dupree, DeWanna Bonner","Sanford, Taurasi, Johnson, Dupree, Bonner",100556-100940-101024-200676-201886,PHO,3014.0,8,50.0,9.0,97.0,97.0,4.0,12.0,194.0,12.0,29.0,1.0,4.0,9.0,25.0,15.0,29.0,69.0,16.0,98.0,89.0,2.0,9.0,11.0,26.0,32.0,2.0,7.0,13.0,20.0,6.0,47.0,13.0,17.0,21.0,39.0,17.0,56.0,12.0,11.0,3.0,2.0,10.0,13.0,22.0,1.0,1.0,24.0,21.0,2.0,1.0,11.0,87.0,0.4482758620689655,0.4642857142857143,0.42028985507246375,0.2222222222222222,0.43617021276595747,0.38461538461538464,0.470873786407767,0.39285714285714285,0.10144927536231885,0.10344827586206896,,0.23076923076923078,0.7241379310344828,0.3333333333333333,0.8095238095238095,0.76,0.30357142857142855,0.47058823529411764,0.5,0.6875,1.0,92.68745852687458,17.309278350515463,13.762886597938145,16.350515463917525,13.144329896907216,0.30851063829787234,0.41379310344827586,0.46153846153846156,0.5,0.26595744680851063,0.36,0.42857142857142855,0.1595744680851064,0.3076923076923077,0.25,0.574468085106383,0.48053989361702126,0.4512277777777778,0.10679611650485436,0.14102564102564102,0.11224489795918367,7.23768115942029,2.0,8.0,23.0,25.0,2.0,23.0,4.0,4.0,2.0,12.0,2.0,0.26595744680851063,0.16,0.23529411764705882,0.26666666666666666,0.8,0.75,0.8,0.5333333333333333,0.5333333333333333,0.5,0.24468085106382978,0.403,22.092,0.020618556701030927,1.0,2.0,8.0,2.0,4.0,8.0,2.0,4.0,1.0,1.0,2.0,21.0,3.0,8.0,7.0,7.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,0.875,0.32,0.5,0.32,0.5,0.5,0.5,1.0,0.125,0.08163265306122448,0.75,0.3333333333333333,0.02127659574468085,0.34782608695652173,0.34782608695652173,0.875,0.3076923076923077,0.5,1.0,0.5,0.34782608695652173,0.02040816326530612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100685-100940-200676-201484-201886,1611661317,"Marie Ferdinand-Harris, Diana Taurasi, Candice Dupree, Ketia Swanier, DeWanna Bonner","Ferdinand-Harris, Taurasi, Dupree, Swanier, Bonner",100685-100940-200676-201484-201886,PHO,2435.0,18,41.0,-21.0,83.0,85.0,13.0,6.0,168.0,17.0,21.0,3.0,3.0,5.0,18.0,13.0,27.0,52.0,10.0,76.0,97.0,3.0,4.0,11.0,38.0,16.0,2.0,2.0,19.0,23.0,12.0,50.0,5.0,11.0,17.0,28.0,7.0,35.0,8.0,5.0,8.0,6.0,12.0,20.0,24.0,,2.0,16.0,15.0,1.0,,7.0,65.0,0.7037037037037037,0.7307692307692307,0.5192307692307693,0.75,0.5076923076923077,0.6428571428571429,0.5277777777777778,0.6875,0.038461538461538464,0.047619047619047616,,0.4,0.7391304347826086,0.20833333333333334,0.7333333333333333,0.7368421052631579,0.18181818181818182,0.5,0.2857142857142857,1.0,0.5,99.35112936344969,14.759036144578314,14.235294117647058,13.927710843373495,13.635294117647058,0.3230769230769231,0.8095238095238095,0.85,0.7058823529411765,0.27692307692307694,0.2777777777777778,0.29411764705882354,0.2,0.42857142857142855,1.0,0.5230769230769231,0.45513846153846155,0.472775,0.09859154929577464,0.1206896551724138,0.14473684210526316,8.415384615384616,22.0,5.0,10.0,13.0,16.0,10.0,3.0,1.0,3.0,13.0,22.0,0.2,0.05555555555555555,0.1111111111111111,,0.5714285714285714,0.6666666666666666,0.7692307692307693,0.38461538461538464,0.38461538461538464,0.6,0.15384615384615385,0.41465526315789475,22.569230769230767,0.26506024096385544,4.0,3.0,3.0,1.0,2.0,4.0,1.0,3.0,2.0,8.0,20.0,12.0,,3.0,4.0,3.0,4.0,,1.0,3.0,2.0,2.0,,1.0,,,3.0,1.0,1.0,3.0,2.0,1.0,20.0,,1.0,0.3076923076923077,0.3333333333333333,0.3076923076923077,0.5,0.5,0.5,,0.07692307692307693,0.03225806451612903,0.6666666666666666,0.8,0.046153846153846156,0.3,0.3,1.0,0.2857142857142857,0.5,1.0,0.21052631578947367,0.3,0.2631578947368421,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.14285714285714285,0.75,0.15789473684210525,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100940-200676-201484-201886-202663,1611661317,"Diana Taurasi, Candice Dupree, Ketia Swanier, DeWanna Bonner, Krystal Thomas","Taurasi, Dupree, Swanier, Bonner, Thomas",100940-200676-201484-201886-202663,PHO,302.0,2,5.0,7.0,10.0,9.0,2.0,1.0,19.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,7.0,,17.0,10.0,1.0,1.0,2.0,2.0,6.0,,1.0,1.0,4.0,,11.0,1.0,1.0,3.0,4.0,1.0,5.0,,,,,,,1.0,,,1.0,,,,,15.0,0.25,0.25,0.5714285714285714,1.0,0.7727272727272727,1.0,0.7727272727272727,1.0,0.14285714285714285,,,,1.0,0.3333333333333333,1.0,1.0,0.25,,,1.0,,90.59602649006622,17.1,14.555555555555555,16.2,14.555555555555555,0.18181818181818182,1.0,1.0,,0.2727272727272727,0.3333333333333333,0.5,0.18181818181818182,1.0,1.0,0.5454545454545454,0.47213636363636363,0.4131,,,0.11764705882352941,8.471428571428572,,1.0,3.0,4.0,,3.0,1.0,,,1.0,,0.36363636363636365,0.3333333333333333,,,,1.0,1.0,0.5,0.5,1.0,0.2727272727272727,,22.25,,,1.0,2.0,,,3.0,,,,,,9.0,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,1.0,0.75,,0.75,,,,,0.5,,,,0.09090909090909091,0.6666666666666666,0.6666666666666666,1.0,,,,,0.6666666666666666,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100634-101024-200676-201886,1611661317,"Nakia Sanford, Penny Taylor, Temeka Johnson, Candice Dupree, DeWanna Bonner","Sanford, Taylor, Johnson, Dupree, Bonner",100556-100634-101024-200676-201886,PHO,300.0,2,5.0,-4.0,11.0,12.0,3.0,,23.0,1.0,2.0,,,,2.0,2.0,3.0,6.0,,6.0,10.0,,,,4.0,2.0,,,2.0,2.0,,4.0,,1.0,4.0,7.0,,7.0,,,1.0,,,1.0,2.0,,,,,,,,6.0,0.6666666666666666,0.6666666666666666,0.5,,0.3,,0.3,,,,,1.0,0.5714285714285714,,1.0,0.625,,,,,,110.4,15.909090909090908,10.416666666666666,15.909090909090908,9.583333333333334,0.2,0.5,0.5,,0.2,,,0.2,,,0.6,0.49782000000000004,,,,,10.116666666666667,6.0,2.0,2.0,4.0,4.0,2.0,2.0,,,2.0,6.0,0.4,,,,0.6666666666666666,,1.0,1.0,1.0,1.0,0.2,0.46045,21.3,0.5454545454545454,1.0,2.0,,,,,,,,2.0,4.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,4.0,,,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,,0.2,,,,,,,0.16666666666666666,,0.6666666666666666,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,0.16666666666666666,,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100634-100685-201484-201886-202663,1611661317,"Penny Taylor, Marie Ferdinand-Harris, Ketia Swanier, DeWanna Bonner, Krystal Thomas","Taylor, Ferdinand-Harris, Swanier, Bonner, Thomas",100634-100685-201484-201886-202663,PHO,163.0,1,3.0,-2.0,6.0,5.0,5.0,2.0,11.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,4.0,6.0,8.0,1.0,1.0,2.0,,2.0,,,,,,,2.0,1.0,,1.0,2.0,3.0,,,1.0,1.0,1.0,2.0,,,,3.0,4.0,,,2.0,4.0,,,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6,1.0,,,,0.5,,1.0,1.0,0.5,1.0,,1.0,,,97.17791411042944,13.5,16.4,11.833333333333334,16.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,0.3333333333333333,1.0,1.0,0.3333333333333333,0.4697,0.6837,0.4,0.4,0.3333333333333333,9.733333333333333,2.0,,,,,,,,1.0,,2.0,,,,,,,1.0,,,,,,,0.3333333333333333,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100634-100940-101025-201484-201886,1611661317,"Penny Taylor, Diana Taurasi, Kara Braxton, Ketia Swanier, DeWanna Bonner","Taylor, Taurasi, Braxton, Swanier, Bonner",100634-100940-101025-201484-201886,PHO,230.0,2,4.0,-2.0,8.0,8.0,3.0,1.0,16.0,1.0,2.0,,1.0,1.0,1.0,2.0,3.0,5.0,1.0,10.0,12.0,,1.0,3.0,4.0,2.0,,,2.0,2.0,1.0,4.0,2.0,1.0,,1.0,2.0,3.0,,,1.0,1.0,,1.0,1.0,,,1.0,2.0,,,1.0,7.0,0.6666666666666666,0.6666666666666666,0.6,,0.6428571428571429,0.75,0.625,0.75,,,,1.0,,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,,,100.17391304347825,17.875,10.875,15.375,10.5,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,1.0,1.0,0.2857142857142857,0.5,,0.5714285714285714,0.49039285714285713,0.572075,0.125,0.16666666666666666,0.3,9.58,3.0,1.0,2.0,2.0,2.0,2.0,1.0,,,1.0,3.0,0.2857142857142857,,,,,,1.0,0.5,0.5,1.0,0.2857142857142857,0.46865,22.05,0.375,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,4.0,,3.0,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,4.0,,,0.5,1.0,0.5,1.0,1.0,1.0,,,,,,,0.5,0.5,,0.5,1.0,,0.5,0.5,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100685-200676-201484-201886-202280,1611661317,"Marie Ferdinand-Harris, Candice Dupree, Ketia Swanier, DeWanna Bonner, Alexis Gray-Lawson","Ferdinand-Harris, Dupree, Swanier, Bonner, Gray-Lawson",100685-200676-201484-201886-202280,PHO,436.0,2,7.0,13.0,15.0,14.0,6.0,1.0,29.0,3.0,3.0,,,2.0,3.0,,5.0,6.0,3.0,19.0,6.0,,,,6.0,4.0,,,3.0,4.0,1.0,9.0,,4.0,3.0,7.0,,7.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,,,4.0,6.0,,,2.0,19.0,0.6,0.6,0.8333333333333334,,0.7272727272727273,,0.6785714285714286,,,,,0.5,0.6,,1.0,0.7777777777777778,,,,0.75,,95.77981651376147,11.2,19.142857142857142,10.933333333333334,17.642857142857142,0.2727272727272727,1.0,1.0,0.3333333333333333,0.2727272727272727,0.6666666666666666,0.6666666666666666,,,,0.7272727272727273,0.5277590909090909,0.3744,0.15384615384615385,0.25,,4.916666666666667,7.0,,3.0,5.0,2.0,3.0,,,,,7.0,0.45454545454545453,,,,,,1.0,,,,0.2727272727272727,0.6533375,21.98,0.4666666666666667,2.0,2.0,1.0,,1.0,2.0,,1.0,,2.0,13.0,3.0,3.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,13.0,1.0,0.5,0.4,,0.4,1.0,1.25,0.9285714285714286,,,,,1.0,0.18181818181818182,0.3333333333333333,0.3333333333333333,1.0,1.0,,,0.5,0.3333333333333333,0.6842105263157895,2.0,1.0,,1.0,1.0,2.0,2.0,3.0,,,1.0,,1.0,,1.0,1.0,,,0.5,0.5,,,,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100634-100685-100940-201886,1611661317,"Nakia Sanford, Penny Taylor, Marie Ferdinand-Harris, Diana Taurasi, DeWanna Bonner","Sanford, Taylor, Ferdinand-Harris, Taurasi, Bonner",100556-100634-100685-100940-201886,PHO,12.0,1,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,120.0,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
