EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Steals,LostBallSteals,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyDefPoss,ShootingFouls,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsPutbacks,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Offensive Fouls,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PtsAssisted3s,ThreePtAssists,Arc3Assists,BadPassSteals,Charge Fouls,Assisted3sPct,Arc3PctAssisted,NonShootingPenaltyNonTakeFouls,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,LiveBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,LiveBallTurnoverPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,2pt And 1 Free Throw Trips,PenaltyTurnovers,FTOffRebounds,OffFTReboundPct,BlockingFoulsDrawn,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3A,PenaltyFG3A,PenaltyFtPoints,FTDefRebounds,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,OffArc3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,Offensive Fouls Drawn,PenaltyArc3FGA,PenaltyArc3Frequency,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PenaltyFG3M,BadPassTurnovers,BlockingFouls,Charge Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg3Pct,PenaltyFg3Pct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Travels,Blocked3s,BlockedArc3,team_id,year,season,team_vs
100284-100342-100656-100952-200674,1611661319,"Tully Bevilaqua, Becky Hammon, Ruth Riley, Jia Perkins, Sophia Young-Malcolm","Bevilaqua, Hammon, Riley, Perkins, Young-Malcolm",100284-100342-100656-100952-200674,SAN,147.0,2,2.0,6.0,5.0,5.0,10.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,8.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,8.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,97.95918367346938,14.4,15.0,14.4,12.2,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3516333333333333,5.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-100656-100952-202634,1611661319,"Tully Bevilaqua, Becky Hammon, Ruth Riley, Jia Perkins, Danielle Adams","Bevilaqua, Hammon, Riley, Perkins, Adams",100284-100342-100656-100952-202634,SAN,149.0,2,2.0,5.0,4.0,4.0,8.0,1.0,1.0,1.0,2.0,2.0,3.0,,7.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,2.0,2.0,,,,,2.0,,1.0,,,7.0,0.5,0.5,0.6666666666666666,0.875,0.875,,1.0,1.0,,1.0,77.31543624161074,14.25,23.0,14.25,23.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.48575,8.566666666666666,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.5,0.25,1.0,1.0,1.0,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-100656-200674-202658,1611661319,"Tully Bevilaqua, Becky Hammon, Ruth Riley, Sophia Young-Malcolm, Danielle Robinson","Bevilaqua, Hammon, Riley, Young-Malcolm, Robinson",100284-100342-100656-200674-202658,SAN,48.0,1,1.0,,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,,2.0,2.0,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5,1.0,,90.0,7.0,20.5,7.0,8.0,1.0,1.0,1.0,1.0,,,,1.0,0.5574,2.6,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-100952-200674-202634,1611661319,"Tully Bevilaqua, Becky Hammon, Jia Perkins, Sophia Young-Malcolm, Danielle Adams","Bevilaqua, Hammon, Perkins, Young-Malcolm, Adams",100284-100342-100952-200674-202634,SAN,239.0,2,4.0,,6.0,6.0,12.0,2.0,4.0,1.0,1.0,3.0,8.0,2.0,8.0,8.0,2.0,4.0,1.0,1.0,,2.0,1.0,1.0,2.0,7.0,,1.0,,1.0,1.0,,1.0,2.0,,4.0,0.3333333333333333,0.5,0.375,0.3333333333333333,0.4,1.0,1.0,1.0,,,72.30125523012552,26.666666666666668,13.166666666666666,17.166666666666668,13.166666666666666,0.4444444444444444,0.5,0.6666666666666666,,0.1111111111111111,1.0,1.0,0.5555555555555556,0.47252222222222223,7.8,,,,1.0,,,,1.0,,,,,0.1111111111111111,0.125,,,,,,20.8,3.0,,2.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,0.3333333333333333,0.25,0.3333333333333333,0.25,0.5,0.25,0.25,0.8,1.0,0.8333333333333334,1.0,0.6666666666666666,1.0,1.0,1.0,0.2,1.0,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.5,0.5,0.5,0.5254333333333333,0.4503,0.1,0.1111111111111111,0.5,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-100952-202251-202634,1611661319,"Tully Bevilaqua, Becky Hammon, Jia Perkins, Jayne Appel Marinelli, Danielle Adams","Bevilaqua, Hammon, Perkins, Appel Marinelli, Adams",100284-100342-100952-202251-202634,SAN,152.0,1,3.0,1.0,5.0,5.0,10.0,1.0,2.0,,2.0,1.0,5.0,,5.0,4.0,2.0,,1.0,2.0,1.0,5.0,,1.0,1.0,3.0,,1.0,,1.0,1.0,,,,,5.0,1.0,1.0,0.2,0.4166666666666667,0.4166666666666667,1.0,,1.0,,,94.73684210526316,17.2,13.2,10.4,13.2,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,,,0.5,0.40458333333333335,8.120000000000001,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,0.16666666666666666,0.2,,0.16666666666666666,1.0,1.0,1.0,21.4,,,,1.0,,,,,1.0,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,0.5,0.5,,0.5,1.0,1.0,,1.0,,,,0.16666666666666666,,,,,,0.3193,,,,,,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-101033-200674-202634,1611661319,"Tully Bevilaqua, Becky Hammon, Roneeka Hodges, Sophia Young-Malcolm, Danielle Adams","Bevilaqua, Hammon, Hodges, Young-Malcolm, Adams",100284-100342-101033-200674-202634,SAN,110.0,1,2.0,-7.0,3.0,4.0,7.0,,2.0,,1.0,,3.0,,,7.0,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,0.5,,1.0,91.63636363636364,20.666666666666668,12.0,20.666666666666668,11.5,0.6666666666666666,,,,0.3333333333333333,,,0.6666666666666666,0.5303,3.4333333333333336,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-200674-200684-202251,1611661319,"Tully Bevilaqua, Becky Hammon, Sophia Young-Malcolm, Scholanda Dorrell, Jayne Appel Marinelli","Bevilaqua, Hammon, Young-Malcolm, Dorrell, Appel Marinelli",100284-100342-200674-200684-202251,SAN,49.0,1,1.0,3.0,2.0,2.0,4.0,,,,,1.0,1.0,,5.0,2.0,2.0,,1.0,2.0,,5.0,1.0,,1.0,1.0,,,,,1.0,,,,,5.0,1.0,1.0,1.0,1.25,1.25,,1.0,1.0,,1.0,117.55102040816327,11.5,13.0,11.5,13.0,,,,,,,,0.5,0.460675,17.6,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,0.5,,,0.5,1.0,1.0,1.0,21.5,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,3.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-200674-202251-202634,1611661319,"Tully Bevilaqua, Becky Hammon, Sophia Young-Malcolm, Jayne Appel Marinelli, Danielle Adams","Bevilaqua, Hammon, Young-Malcolm, Appel Marinelli, Adams",100284-100342-200674-202251-202634,SAN,179.0,2,3.0,,7.0,7.0,14.0,2.0,2.0,,1.0,3.0,5.0,1.0,7.0,7.0,2.0,4.0,1.0,1.0,,2.0,1.0,1.0,2.0,3.0,1.0,1.0,,2.0,3.0,,1.0,2.0,,5.0,0.3333333333333333,0.5,0.6,0.6,0.5833333333333334,1.0,0.3333333333333333,0.5,1.0,,112.62569832402234,8.857142857142858,16.714285714285715,8.857142857142858,12.142857142857142,0.4,1.0,1.0,,0.2,,,0.4,0.4284,9.86,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,2.0,1.0,1.0,,,2.0,,1.0,1.0,,2.0,,,,2.0,,,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,,0.5,,0.5,,,,,1.0,,,0.4,,1.0,1.0,,,0.7837,,0.16666666666666666,0.16666666666666666,0.2857142857142857,,,,,,,,,,,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-200674-202251-202658,1611661319,"Tully Bevilaqua, Becky Hammon, Sophia Young-Malcolm, Jayne Appel Marinelli, Danielle Robinson","Bevilaqua, Hammon, Young-Malcolm, Appel Marinelli, Robinson",100284-100342-200674-202251-202658,SAN,69.0,1,1.0,2.0,2.0,2.0,4.0,1.0,1.0,,1.0,1.0,2.0,,2.0,,2.0,,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,,,,,,,,,,2.0,1.0,1.0,0.5,0.5,0.5,1.0,,1.0,1.0,,83.47826086956522,16.0,18.5,16.0,18.5,0.5,1.0,1.0,1.0,0.5,,,0.5,0.466,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
100284-100342-200674-202634-202658,1611661319,"Tully Bevilaqua, Becky Hammon, Sophia Young-Malcolm, Danielle Adams, Danielle Robinson","Bevilaqua, Hammon, Young-Malcolm, Adams, Robinson",100284-100342-200674-202634-202658,SAN,76.0,1,1.0,,2.0,1.0,3.0,,,1.0,1.0,1.0,2.0,1.0,3.0,3.0,,2.0,,,,,,,,,,,,,1.0,,1.0,1.0,,3.0,,,0.5,0.5,0.75,,,,,,56.8421052631579,22.5,31.0,22.5,31.0,,,,,0.5,1.0,1.0,,0.36025,11.8,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.3722,0.5,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,True
