EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,FtPoints,OpponentPoints,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangeFrequency,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LongMidRangeFGM,LongMidRangeFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted2s,TwoPtAssists,AtRimAssists,OffTwoPtRebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,ShortMidRangeFGM,ShortMidRangeAssists,FTOffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedLongMidRange,OffFTReboundPct,OffShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFtPoints,PtsUnassisted3s,FTDefRebounds,Travels,SecondChanceTurnovers,PenaltyTurnovers,3SecondViolations,DefFTReboundPct,Fg2aBlocked,LongMidRangeAssists,DefThreePtRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,LongMidRangePctAssisted,Corner3FGM,Corner3Assists,Offensive Fouls,Technical Free Throw Trips,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,HeaveAttempts,SecondChanceCorner3FGA,PenaltyCorner3FGM,OffCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,BlockingFoulsDrawn,ShortMidRangePctBlocked,Fg3aBlocked,SelfOReb,BlockedShortMidRange,FG3APctBlocked,Arc3PctBlocked,SelfORebPct,LostBallTurnovers,LostBallOutOfBoundsTurnovers,Charge Fouls,Charge Fouls Drawn,Blocked3s,BlockedArc3,BlockedCorner3,SecondChanceAtRimPctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
100556-100634-100685-100940-200676,1611661317,"Nakia Sanford, Penny Taylor, Marie Ferdinand-Harris, Diana Taurasi, Candice Dupree","Sanford, Taylor, Ferdinand-Harris, Taurasi, Dupree",100556-100634-100685-100940-200676,PHO,34.0,1,1,2.0,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,84.70588235294117,17.0,17.0,15.0,17.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.608925,0.608925,1.0,1.0,2.1,22.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100634-100685-100940-201886,1611661317,"Nakia Sanford, Penny Taylor, Marie Ferdinand-Harris, Diana Taurasi, DeWanna Bonner","Sanford, Taylor, Ferdinand-Harris, Taurasi, Bonner",100556-100634-100685-100940-201886,PHO,114.0,1,2,2.0,4.0,4.0,4.0,2.0,,8,,,,,,,1.0,1.0,,1.0,2.0,5.0,,,,,1.0,2.0,5.0,,,1.0,,,,,,5.0,4.0,,,,0.5,,0.5,0.625,,0.625,0.6666666666666666,,,,,,,101.05263157894737,19.25,9.25,19.25,9.25,,,,0.3333333333333333,,,,,0.3333333333333333,0.6666666666666666,0.5292666666666667,0.5292666666666667,,1.0,6.1,21.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100634-100685-101024-200676,1611661317,"Nakia Sanford, Penny Taylor, Marie Ferdinand-Harris, Temeka Johnson, Candice Dupree","Sanford, Taylor, Ferdinand-Harris, Johnson, Dupree",100556-100634-100685-101024-200676,PHO,144.0,1,2,7.0,6.0,4.0,2.0,1.0,1.0,10,2.0,3.0,,,1.0,1.0,2.0,1.0,3.0,5.0,2.0,9.0,,,3.0,1.0,2.0,1.0,5.0,2.0,,2.0,,2.0,2.0,1.0,3.0,5.0,2.0,0.6,,0.5,0.6428571428571429,1.5,0.8333333333333334,0.6428571428571429,1.5,0.8333333333333334,0.2857142857142857,1.0,,1.0,0.3333333333333333,,,100.0,12.166666666666666,17.75,9.833333333333334,17.75,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.2857142857142857,,,0.3333333333333333,1.0,0.3333333333333333,0.7142857142857143,0.5328928571428572,0.5360166666666667,0.3333333333333333,0.5555555555555556,8.8,22.5,0.3333333333333333,,,,1.0,1.0,1.0,,2.0,1.0,,3.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,,,,,,,6.0,,1.0,0.5,1.0,0.5,,,0.5,0.5,1.0,,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,0.54765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100634-100685-101024-201886,1611661317,"Nakia Sanford, Penny Taylor, Marie Ferdinand-Harris, Temeka Johnson, DeWanna Bonner","Sanford, Taylor, Ferdinand-Harris, Johnson, Bonner",100556-100634-100685-101024-201886,PHO,116.0,2,2,-4.0,4.0,3.0,2.0,2.0,,7,,,,,,,1.0,1.0,,2.0,2.0,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,2.0,,,,,,,,,,0.5,0.5,,0.25,,,,86.89655172413794,14.0,20.0,14.0,13.0,,,,0.25,,,,,0.5,0.5,0.485125,0.476175,,,13.45,21.95,0.5,1.0,1.0,,,,,,4.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.25,0.25,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100634-100685-201484-201886,1611661317,"Nakia Sanford, Penny Taylor, Marie Ferdinand-Harris, Ketia Swanier, DeWanna Bonner","Sanford, Taylor, Ferdinand-Harris, Swanier, Bonner",100556-100634-100685-201484-201886,PHO,187.0,1,3,5.0,6.0,6.0,,,1.0,12,1.0,1.0,,,,,1.0,,4.0,6.0,1.0,11.0,,1.0,3.0,,,,,2.0,,1.0,,2.0,2.0,2.0,4.0,,,0.6666666666666666,,,0.7857142857142857,0.75,,0.7857142857142857,0.75,,0.14285714285714285,0.6666666666666666,,0.6666666666666666,0.5,,,92.40641711229947,16.666666666666668,14.5,13.0,13.833333333333334,0.14285714285714285,1.0,1.0,0.14285714285714285,,,,,,0.2857142857142857,0.4629142857142857,,0.2727272727272727,,8.416666666666666,21.7,,5.0,,,1.0,,1.0,,6.0,,,3.0,1.0,1.0,4.0,1.0,9.0,,,1.0,2.0,3.0,,2.0,,8.0,,1.0,1.0,,1.0,0.7142857142857143,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.75,0.75,1.0,0.5,,1.0,0.5,1.0,,,,0.5,1.0,1.0,0.5338,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,0.5,0.6,0.6,0.6666666666666666,0.2857142857142857,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100634-100940-101024-200676,1611661317,"Nakia Sanford, Penny Taylor, Diana Taurasi, Temeka Johnson, Candice Dupree","Sanford, Taylor, Taurasi, Johnson, Dupree",100556-100634-100940-101024-200676,PHO,469.0,4,8,-5.0,15.0,16.0,7.0,4.0,2.0,31,,,,,,,3.0,1.0,1.0,4.0,3.0,16.0,,,2.0,,1.0,1.0,5.0,2.0,,3.0,,2.0,4.0,2.0,6.0,5.0,7.0,0.25,,,0.5714285714285714,,0.75,0.6666666666666666,1.0,0.8333333333333334,0.42857142857142855,0.4,,0.4,0.25,,1.0,95.181236673774,17.066666666666666,13.3125,16.933333333333334,12.8125,,,,0.42857142857142855,,,,,0.5,0.42857142857142855,0.45017857142857143,0.37175,0.125,0.3125,16.7,21.933333333333334,0.4666666666666667,,,,2.0,1.0,2.0,8.0,21.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,6.0,,10.0,,14.0,,0.5,0.6666666666666666,1.0,0.6666666666666666,,,0.6666666666666666,0.6666666666666666,0.5,,1.0,0.6666666666666666,1.0,4.0,,,,,,,,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,0.5,,,0.5714285714285714,0.25,0.25,,,,,,,1.0,1.0,3.0,3.0,,,,5.0,,1.0,,,,,0.4166666666666667,0.5555555555555556,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100634-100940-101024-201886,1611661317,"Nakia Sanford, Penny Taylor, Diana Taurasi, Temeka Johnson, DeWanna Bonner","Sanford, Taylor, Taurasi, Johnson, Bonner",100556-100634-100940-101024-201886,PHO,476.0,2,8,-1.0,18.0,16.0,10.0,5.0,2.0,34,,2.0,,,,,5.0,3.0,4.0,8.0,5.0,15.0,,1.0,,2.0,3.0,3.0,9.0,4.0,,5.0,1.0,2.0,5.0,2.0,7.0,9.0,10.0,0.5,,0.6666666666666666,0.4230769230769231,,0.5833333333333334,0.46875,,0.5625,0.38461538461538464,0.6666666666666666,0.25,0.7142857142857143,0.25,0.25,0.5,102.85714285714285,12.944444444444445,15.1875,12.555555555555555,14.375,0.15384615384615385,,,0.38461538461538464,,,,,0.5,0.5384615384615384,0.45701538461538466,0.4380583333333334,,0.6,11.6375,22.22,0.5555555555555556,2.0,,,1.0,1.0,1.0,4.0,16.0,1.0,2.0,,1.0,,2.0,,4.0,2.0,1.0,2.0,4.0,3.0,,6.0,1.0,15.0,1.0,,0.2,0.3333333333333333,0.2,0.15384615384615385,,0.2,0.2,,,0.3333333333333333,0.2,3.0,4.0,,,,,4.0,2.0,,1.0,,,,,0.5,0.5,,0.25,,,,,0.3076923076923077,0.75,0.75,,,,0.4636,1.0,1.0,,1.0,2.0,4.0,,,,2.0,,,,0.5,0.5,1.0,0.13333333333333333,0.2,,3.0,,1.0,1.0,2.0,,,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.25,1.0,0.5,0.75,0.5,1.0,0.6666666666666666,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100634-100940-200676-201886,1611661317,"Nakia Sanford, Penny Taylor, Diana Taurasi, Candice Dupree, DeWanna Bonner","Sanford, Taylor, Taurasi, Dupree, Bonner",100556-100634-100940-200676-201886,PHO,662.0,2,11,-8.0,22.0,21.0,8.0,9.0,3.0,43,3.0,4.0,,,1.0,2.0,5.0,3.0,7.0,14.0,7.0,22.0,,1.0,1.0,1.0,5.0,3.0,5.0,6.0,,5.0,1.0,3.0,6.0,3.0,9.0,5.0,8.0,0.5,,0.2,0.40476190476190477,,0.125,0.4583333333333333,0.16666666666666666,0.25,0.3333333333333333,1.0,0.16666666666666666,1.0,0.23076923076923078,0.2,1.0,93.53474320241692,18.954545454545453,11.666666666666666,17.59090909090909,11.666666666666666,0.19047619047619047,0.75,1.0,0.23809523809523808,,,0.25,0.5,0.375,0.5238095238095238,0.44600238095238093,0.3997875,0.045454545454545456,0.22727272727272727,7.628571428571428,22.32857142857143,0.36363636363636365,9.0,2.0,,,,1.0,5.0,30.0,,3.0,3.0,,1.0,5.0,,11.0,1.0,,2.0,8.0,7.0,,9.0,2.0,21.0,2.0,1.0,0.14285714285714285,,0.14285714285714285,0.42857142857142855,0.09523809523809523,,,,,,,1.0,1.0,,1.0,,1.0,8.0,4.0,2.0,2.0,,,,,0.5714285714285714,0.5714285714285714,,0.2857142857142857,,,,0.6666666666666666,0.047619047619047616,1.0,1.0,0.5,,,0.42345,3.0,2.0,,,1.0,1.0,,1.0,2.0,3.0,,,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.13636363636363635,0.2,1.0,,,,,,,,1.0,,3.0,1.0,,,3.0,0.07142857142857142,0.25,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100634-100940-201484-201886,1611661317,"Nakia Sanford, Penny Taylor, Diana Taurasi, Ketia Swanier, DeWanna Bonner","Sanford, Taylor, Taurasi, Swanier, Bonner",100556-100634-100940-201484-201886,PHO,128.0,2,2,2.0,3.0,4.0,3.0,4.0,1.0,7,,,,,,,1.0,1.0,2.0,4.0,1.0,5.0,,1.0,1.0,2.0,3.0,1.0,4.0,4.0,,,,,2.0,2.0,4.0,4.0,3.0,0.5,,0.6666666666666666,0.4,,0.5,0.4166666666666667,0.25,0.5,0.2,,,0.4,0.5,,,78.75,20.0,17.0,15.0,15.0,,,,0.2,,,,,0.25,0.2,0.3458,0.3346,0.2,0.8,14.35,69.4,1.0,2.0,,,,,,1.0,3.0,,,,,,,,,,,1.0,2.0,1.0,,2.0,,4.0,,,,,,0.4,,,,,,,,1.0,2.0,,,,,,,,1.0,,,,,,,,0.5,,,,,0.4,0.5,0.5,,,,0.4052,1.0,,1.0,,,,,,,1.0,,1.0,1.0,0.5,0.5,,0.16666666666666666,0.2,1.0,,,,,,,,,,2.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
100556-100634-101024-200676-201886,1611661317,"Nakia Sanford, Penny Taylor, Temeka Johnson, Candice Dupree, DeWanna Bonner","Sanford, Taylor, Johnson, Dupree, Bonner",100556-100634-101024-200676-201886,PHO,822.0,4,14,-4.0,24.0,26.0,13.0,7.0,4.0,50,3.0,6.0,,1.0,1.0,3.0,7.0,5.0,9.0,16.0,9.0,31.0,1.0,2.0,5.0,4.0,8.0,7.0,18.0,12.0,,7.0,3.0,6.0,8.0,5.0,13.0,18.0,13.0,0.5625,0.5,0.5,0.6,0.625,0.5666666666666667,0.5961538461538461,0.625,0.5625,0.36,0.6,0.6,0.6666666666666666,0.4166666666666667,0.5,0.2,87.59124087591242,19.375,13.73076923076923,18.041666666666668,13.538461538461538,0.24,0.5,0.5,0.28,0.25,,0.2,0.3333333333333333,0.3333333333333333,0.6,0.42926400000000003,0.40990333333333334,0.16129032258064516,0.5806451612903226,7.54375,22.311111111111114,0.5416666666666666,9.0,2.0,2.0,3.0,2.0,4.0,1.0,35.0,3.0,1.0,12.0,3.0,4.0,7.0,3.0,18.0,1.0,1.0,4.0,7.0,4.0,1.0,3.0,1.0,26.0,1.0,1.0,0.4444444444444444,0.42857142857142855,0.4444444444444444,0.36,0.08,0.42857142857142855,0.42857142857142855,1.0,0.13333333333333333,0.4,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.2857142857142857,,1.0,1.0,0.6666666666666666,0.04,1.0,1.0,0.25,1.0,1.0,0.4629833333333333,5.0,1.0,,1.0,2.0,3.0,,,,,,,0.5,0.5555555555555556,0.5555555555555556,0.2,,,,,,,1.0,2.0,,,,,2.0,,1.0,1.0,,,,0.3333333333333333,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,1.0,1.0,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,1611661317,2011,2011,True
