EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,FTOffRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,OffFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,ShortMidRangeAssists,DefTwoPtRebounds,DefRebounds,LiveBallTurnovers,LostBallTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyOffPoss,SecondChanceArc3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,OffThreePtRebounds,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGA,PenaltyFG2M,LongMidRangeAssists,ShootingFouls,Offensive Fouls Drawn,BlockedAtRim,PenaltyFg2Pct,PenaltyEfgPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PtsUnassisted2s,BadPassTurnovers,Charge Fouls Drawn,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,OffTwoPtRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Assists,Steals,LostBallSteals,LostBallOutOfBoundsTurnovers,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,HeaveAttempts,Travels,PenaltyTurnovers,SelfOReb,BlockingFouls,OffCorner3ReboundPct,SelfORebPct,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Offensive Fouls,StepOutOfBoundsTurnovers,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,Fg2aBlocked,FTDefRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,Charge Fouls,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
100284-100342-100656-100952-200674,1611661319,"Tully Bevilaqua, Becky Hammon, Ruth Riley, Jia Perkins, Sophia Young-Malcolm","Bevilaqua, Hammon, Riley, Perkins, Young-Malcolm",100284-100342-100656-100952-200674,SAN,147.0,2,2.0,-6.0,5.0,5.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.25,0.25,0.25,1.0,97.95918367346938,15.0,14.4,12.2,14.4,0.25,1.0,1.0,1.0,0.5,0.25,0.5,0.448775,11.799999999999999,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,False
100284-100342-100656-100952-202634,1611661319,"Tully Bevilaqua, Becky Hammon, Ruth Riley, Jia Perkins, Danielle Adams","Bevilaqua, Hammon, Riley, Perkins, Adams",100284-100342-100656-100952-202634,SAN,149.0,2,2.0,-5.0,4.0,4.0,,8.0,,,,2.0,1.0,1.0,2.0,2.0,7.0,2.0,2.0,1.0,1.0,,2.0,,,1.0,,1.0,,1.0,2.0,,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,,77.31543624161074,23.0,14.25,23.0,14.25,,,,,,0.6666666666666666,0.6666666666666666,0.4414833333333333,6.4,21.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,False
100284-100342-100656-200674-202658,1611661319,"Tully Bevilaqua, Becky Hammon, Ruth Riley, Sophia Young-Malcolm, Danielle Robinson","Bevilaqua, Hammon, Riley, Young-Malcolm, Robinson",100284-100342-100656-200674-202658,SAN,48.0,1,1.0,,2.0,1.0,1.0,3.0,,,1.0,1.0,,1.0,1.0,2.0,2.0,,1.0,,,,,1.0,2.0,2.0,,,,,1.0,,2.0,,,,,0.3333333333333333,0.5,1.0,90.0,20.5,7.0,8.0,7.0,,,,,0.5,0.5,0.5,0.4136,19.4,22.5,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.3333333333333333,1.0,0.5,1.0,0.5,0.5,0.4596,0.4136,0.3333333333333333,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,False
100284-100342-100952-200674-202634,1611661319,"Tully Bevilaqua, Becky Hammon, Jia Perkins, Sophia Young-Malcolm, Danielle Adams","Bevilaqua, Hammon, Perkins, Young-Malcolm, Adams",100284-100342-100952-200674-202634,SAN,239.0,2,4.0,,6.0,6.0,,12.0,1.0,2.0,2.0,,4.0,5.0,1.0,8.0,8.0,8.0,,4.0,4.0,1.0,8.0,,,1.0,,,,1.0,1.0,,8.0,1.0,1.0,0.8,0.6666666666666666,0.6666666666666666,0.16666666666666666,,72.30125523012552,13.166666666666666,26.666666666666668,13.166666666666666,17.166666666666668,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,,0.5,0.49615000000000004,9.16,21.5,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,0.2,0.16666666666666666,,,0.16666666666666666,1.0,1.0,1.0,3.0,,,,,,3.0,,,4.0,,,,4.0,3.0,0.6666666666666666,,,,,,,0.5354666666666666,,,0.5,0.5,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,False
100284-100342-100952-202251-202634,1611661319,"Tully Bevilaqua, Becky Hammon, Jia Perkins, Jayne Appel Marinelli, Danielle Adams","Bevilaqua, Hammon, Perkins, Appel Marinelli, Adams",100284-100342-100952-202251-202634,SAN,152.0,1,3.0,-1.0,5.0,5.0,,10.0,,1.0,2.0,,2.0,3.0,,4.0,5.0,2.0,,1.0,1.0,,2.0,,,2.0,,2.0,,,1.0,,4.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,94.73684210526316,13.2,17.2,13.2,10.4,0.3333333333333333,,,,0.6666666666666666,,0.3333333333333333,0.4888666666666666,10.266666666666667,,,,,2.0,2.0,2.0,,1.0,,1.0,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,1.0,,,,1.0,1.0,0.5,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,False
100284-100342-101033-200674-202634,1611661319,"Tully Bevilaqua, Becky Hammon, Roneeka Hodges, Sophia Young-Malcolm, Danielle Adams","Bevilaqua, Hammon, Hodges, Young-Malcolm, Adams",100284-100342-101033-200674-202634,SAN,110.0,1,2.0,7.0,4.0,3.0,1.0,7.0,,,1.0,1.0,1.0,2.0,2.0,7.0,,2.0,1.0,1.0,2.0,,5.0,,1.0,4.0,,,,,1.0,,7.0,1.0,1.0,0.5,0.625,0.7,0.5,,91.63636363636364,12.0,20.666666666666668,11.5,20.666666666666668,,,,,0.25,0.25,0.5,0.472425,12.15,21.8,1.0,1.0,1.0,3.0,3.0,,,,,,,,1.0,1.0,1.0,,0.25,1.0,1.0,1.0,4.0,1.0,1.0,2.0,,1.0,2.0,2.0,2.0,7.0,,2.0,,7.0,4.0,0.7,,0.5,,1.0,0.25,0.6135,0.472425,,,1.0,1.0,,,,,1.0,1.0,,,,,0.5,0.625,,,,,0.25,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,False
100284-100342-200674-200684-202251,1611661319,"Tully Bevilaqua, Becky Hammon, Sophia Young-Malcolm, Scholanda Dorrell, Jayne Appel Marinelli","Bevilaqua, Hammon, Young-Malcolm, Dorrell, Appel Marinelli",100284-100342-200674-200684-202251,SAN,49.0,1,1.0,-3.0,2.0,2.0,,4.0,,,,1.0,,,1.0,2.0,5.0,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,0.5,1.0,,117.55102040816327,13.0,11.5,13.0,11.5,,,,,,1.0,1.0,0.49815,,21.7,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,False
100284-100342-200674-202251-202634,1611661319,"Tully Bevilaqua, Becky Hammon, Sophia Young-Malcolm, Jayne Appel Marinelli, Danielle Adams","Bevilaqua, Hammon, Young-Malcolm, Appel Marinelli, Adams",100284-100342-200674-202251-202634,SAN,179.0,2,3.0,,7.0,7.0,2.0,14.0,,,2.0,4.0,1.0,2.0,5.0,7.0,7.0,,4.0,,1.0,,3.0,,2.0,3.0,1.0,1.0,1.0,1.0,3.0,,7.0,,,0.5,0.35714285714285715,0.4375,0.7142857142857143,,112.62569832402234,16.714285714285715,8.857142857142858,12.142857142857142,8.857142857142858,,,,,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.4267785714285714,16.6,23.740000000000002,,,,1.0,1.0,,,,,,,,0.5,0.5,,,,,,,3.0,,2.0,2.0,,1.0,1.0,2.0,,3.0,2.0,2.0,1.0,3.0,3.0,0.5,0.6666666666666666,0.5,1.0,,0.6666666666666666,,0.38491666666666663,0.125,0.3333333333333333,0.42857142857142855,0.42857142857142855,,,,1.0,1.0,,,1.0,,,,0.5,1.0,0.5,0.5,,0.14285714285714285,,,2.0,,,,,,1.0,1.0,3.0,1.0,,,,,1.0,0.2,0.5,0.2,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,False
100284-100342-200674-202251-202658,1611661319,"Tully Bevilaqua, Becky Hammon, Sophia Young-Malcolm, Jayne Appel Marinelli, Danielle Robinson","Bevilaqua, Hammon, Young-Malcolm, Appel Marinelli, Robinson",100284-100342-200674-202251-202658,SAN,69.0,1,1.0,-2.0,2.0,2.0,,4.0,,,1.0,,,2.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,83.47826086956522,18.5,16.0,18.5,16.0,,,,,0.5,,,0.39845,14.1,,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,False
100284-100342-200674-202634-202658,1611661319,"Tully Bevilaqua, Becky Hammon, Sophia Young-Malcolm, Danielle Adams, Danielle Robinson","Bevilaqua, Hammon, Young-Malcolm, Adams, Robinson",100284-100342-200674-202634-202658,SAN,76.0,1,1.0,,1.0,2.0,,3.0,1.0,1.0,,,1.0,1.0,,3.0,3.0,,,,,,,,,1.0,,,,1.0,1.0,,3.0,,,1.0,1.0,0.75,,,56.8421052631579,31.0,22.5,31.0,22.5,1.0,1.0,1.0,,,,1.0,0.6056,1.4,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,1.0,3.0,,2.0,1.0,3.0,1.0,0.75,,,,,,,0.6056,0.5,0.5,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2011,2011,False
