EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,ShootingFouls,Fouls,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2A,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceShotQualityAvg,SecondChanceFG2M,Blocked3s,BlockedCorner3,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,BlocksRecoveredPct,OffThreePtRebounds,Travels,SecondChanceTurnovers,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,Steals,BadPassSteals,SecondChanceFg3Pct,DefAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimFGM,PtsPutbacks,FTDefRebounds,Blocked2s,BlockedShortMidRange,DefFTReboundPct,OffShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceArc3FGA,SecondChanceArc3Frequency,BlockedAtRim,ShortMidRangePctBlocked,SecondChanceAtRimFGM,AtRimAssists,BadPassOutOfBoundsTurnovers,AtRimPctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffAtRimReboundPct,HeaveAttempts,LostBallTurnovers,Charge Fouls Drawn,SelfOReb,OffCorner3ReboundPct,SelfORebPct,PenaltyAtRimFGM,PenaltyAtRimFGA,LostBallOutOfBoundsTurnovers,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallSteals,BlockedArc3,PtsUnassisted3s,FTOffRebounds,StepOutOfBoundsTurnovers,OffFTReboundPct,Technical Free Throw Trips,Defensive 3 Seconds Violations,Charge Fouls,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Transition Take Fouls,Transition Take Fouls Drawn,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
1630096-1630143-1641650-1642784-1642808,1611661321,"DiJonai Carrington, Luisa Geiselsöder, Haley Jones, Paige Bueckers, JJ Quinerly","Carrington, Geiselsöder, Jones, Bueckers, Quinerly",1630096-1630143-1641650-1642784-1642808,DAL,14.0,1,-2.0,1.0,1.0,1.0,2.0,1.0,1.0,102.85714285714286,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,False
1629481-1630096-1630143-1641650-1642784,1611661321,"Arike Ogunbowale, DiJonai Carrington, Luisa Geiselsöder, Haley Jones, Paige Bueckers","Ogunbowale, Carrington, Geiselsöder, Jones, Bueckers",1629481-1630096-1630143-1641650-1642784,DAL,421.0,4,19.0,12.0,4.0,26.0,9.0,,3.0,88.93111638954869,19.75,18.916666666666668,7.0,14.0,4.0,1.0,1.0,6.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,6.0,7.0,3.0,4.0,7.0,28.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,8.0,8.0,4.0,9.0,3.0,2.0,1.0,4.0,3.0,7.0,2.0,1.0,4.0,17.0,2.0,5.0,7.0,7.0,1.0,1.0,1.0,1.0,7.0,7.0,3.0,4.0,1.0,26.0,6.0,3.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.75,1.0,0.75,0.8571428571428571,1.0,0.9545454545454546,1.25,1.0769230769230769,1.0,1.3333333333333333,0.36363636363636365,0.14285714285714285,1.0,0.8333333333333334,0.6666666666666666,0.7777777777777778,0.75,1.0,0.5,1.0,13.142857142857142,12.571428571428571,0.09090909090909091,0.5454545454545454,1.0,1.0,0.6666666666666666,0.09090909090909091,1.0,1.0,1.0,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,0.45454545454545453,0.6666666666666666,0.44616,0.4229,0.3333333333333333,0.5,0.07142857142857142,0.2857142857142857,6.3999999999999995,27.775,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,False
1629479-1629481-1630096-1641650-1641658,1611661321,"Teaira McCowan, Arike Ogunbowale, DiJonai Carrington, Haley Jones, Grace Berger","McCowan, Ogunbowale, Carrington, Jones, Berger",1629479-1629481-1630096-1641650-1641658,DAL,178.0,1,-1.0,6.0,,12.0,3.0,1.0,2.0,97.07865168539325,11.833333333333334,11.0,3.0,6.0,,1.0,,,1.0,,,,1.0,,,1.0,4.0,,1.0,,2.0,,,,,,,,,2.0,,,1.0,,,1.0,,1.0,,,,2.0,2.0,2.0,4.0,5.0,1.0,2.0,,,2.0,,,,,2.0,,,,1.0,1.0,,,,,0.25,,0.2,,0.2,,,0.2,,,1.0,0.5,0.6666666666666666,1.0,,0.6666666666666666,,17.833333333333332,16.166666666666668,,0.2,,,,,,,,0.2,,,,,,0.2,,0.42691999999999997,,,,,,14.4,25.6,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.5,0.6,0.3333333333333333,0.3333333333333333,1.0,0.3222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,False
1628899-1629479-1629481-1630096-1642808,1611661321,"Myisha Hines-Allen, Teaira McCowan, Arike Ogunbowale, DiJonai Carrington, JJ Quinerly","Hines-Allen, McCowan, Ogunbowale, Carrington, Quinerly",1628899-1629479-1629481-1630096-1642808,DAL,-491.99999999999994,2,-1.0,5.0,,10.0,5.0,1.0,1.0,,-105.96,-108.31999999999998,-8.0,5.0,3.0,3.0,,1.0,2.0,,,,,,,1.0,3.0,,,2.0,4.0,,2.0,1.0,2.0,,,2.0,4.0,2.0,,,,,,1.0,,1.0,,,1.0,2.0,2.0,,2.0,3.0,,1.0,1.0,,1.0,2.0,,1.0,,2.0,4.0,3.0,,1.0,1.0,,,,,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,,,,,0.6666666666666666,0.5,,,0.5,1.0,7.56,5.159999999999999,,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,0.4578333333333333,0.43875,0.25,0.25,0.5,1.0,8.9,,0.6,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,1.0,0.5,0.5,1.0,0.3333333333333333,,,,0.4899,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,False
1628899-1629481-1629574-1630097-1642808,1611661321,"Myisha Hines-Allen, Arike Ogunbowale, Li Yueru, Kaila Charles, JJ Quinerly","Hines-Allen, Ogunbowale, Yueru, Charles, Quinerly",1628899-1629481-1629574-1630097-1642808,DAL,187.0,3,-11.0,7.0,7.0,11.0,14.0,2.0,5.0,84.70588235294117,11.857142857142858,11.857142857142858,3.0,4.0,2.0,1.0,,,1.0,,,1.0,2.0,,,,2.0,1.0,2.0,,3.0,,,,2.0,,,,,,,3.0,2.0,1.0,,,1.0,1.0,1.0,,,3.0,,,,1.0,1.0,1.0,,1.0,2.0,2.0,,,1.0,3.0,,2.0,2.0,,,1.0,0.5,,0.5,,,0.375,,0.3,,,0.5,,,,,,,,,,26.0,25.75,,0.25,,,,,,,,0.5,0.5,0.5,1.0,,,0.5,0.5,0.4082,0.35575,,,,,11.45,24.05,0.5,,1.0,,,,1.0,,,,,,,,0.3333333333333333,,0.25,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,False
1629574-1630096-1630097-1642784-1642808,1611661321,"Li Yueru, DiJonai Carrington, Kaila Charles, Paige Bueckers, JJ Quinerly","Yueru, Carrington, Charles, Bueckers, Quinerly",1629574-1630096-1630097-1642784-1642808,DAL,123.0,2,7.0,3.0,2.0,7.0,,,,81.95121951219512,19.0,19.0,2.0,4.0,2.0,2.0,1.0,,,1.0,1.0,,1.0,,1.0,2.0,3.0,1.0,2.0,,7.0,,3.0,2.0,2.0,,1.0,,4.0,,4.0,3.0,1.0,,1.0,,1.0,1.0,,1.0,,3.0,,2.0,2.0,3.0,,,,,1.0,,,,,4.0,4.0,2.0,,,,1.0,0.5,,0.5,0.6666666666666666,1.0,0.7,0.6666666666666666,0.7,0.75,0.6666666666666666,0.4,0.3333333333333333,1.0,1.0,,1.0,,1.0,,,16.5,8.25,0.2,,,,,0.2,1.0,1.0,1.0,0.2,,,,0.3333333333333333,,0.6,,0.35855000000000004,0.28975,,,0.42857142857142855,0.5714285714285714,12.766666666666666,24.6,0.5,2.0,2.0,1.0,,,1.0,,,,1.0,,,,0.5,,0.4,1.0,1.0,,0.46175,,,,,,,0.75,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,False
1628899-1629574-1630097-1642793-1642808,1611661321,"Myisha Hines-Allen, Li Yueru, Kaila Charles, Aziaha James, JJ Quinerly","Hines-Allen, Yueru, Charles, James, Quinerly",1628899-1629574-1630097-1642793-1642808,DAL,74.0,1,,1.0,,2.0,,,,38.91891891891892,59.0,47.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.3333333333333333,,,0.5,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,False
1629479-1629574-1630143-1642793-1642808,1611661321,"Teaira McCowan, Li Yueru, Luisa Geiselsöder, Aziaha James, JJ Quinerly","McCowan, Yueru, Geiselsöder, James, Quinerly",1629479-1629574-1630143-1642793-1642808,DAL,392.0,2,6.0,13.0,3.0,27.0,12.0,1.0,1.0,99.18367346938776,14.692307692307692,14.384615384615385,7.0,14.0,2.0,3.0,1.0,3.0,8.0,,,2.0,5.0,,,4.0,9.0,2.0,5.0,4.0,18.0,2.0,4.0,,1.0,,,2.0,2.0,4.0,4.0,6.0,5.0,2.0,,2.0,2.0,4.0,2.0,,2.0,10.0,3.0,3.0,7.0,10.0,,,,,4.0,6.0,,2.0,1.0,14.0,2.0,2.0,,0.5,0.6666666666666666,1.0,0.4,,0.4,0.4444444444444444,,0.5,,0.5294117647058824,0.6666666666666666,0.5,0.35714285714285715,,,0.6,1.0,0.75,0.6,,1.0,1.0,14.357142857142858,13.214285714285714,0.07142857142857142,0.5714285714285714,0.375,0.375,0.6666666666666666,,,,,0.35714285714285715,0.4,0.4,1.0,,,0.42857142857142855,0.4,0.4669214285714286,0.374,0.125,0.18181818181818182,0.2222222222222222,0.1111111111111111,6.322222222222222,24.32,0.14285714285714285,,,1.0,,3.0,3.0,,,,,,,0.6,0.375,,,,,,0.5388,1.0,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,False
1629479-1630096-1630143-1641658-1642793,1611661321,"Teaira McCowan, DiJonai Carrington, Luisa Geiselsöder, Grace Berger, Aziaha James","McCowan, Carrington, Geiselsöder, Berger, James",1629479-1630096-1630143-1641658-1642793,DAL,196.0,1,-17.0,8.0,6.0,14.0,17.0,2.0,3.0,102.85714285714286,12.125,10.75,3.0,6.0,5.0,1.0,,,,,,,3.0,,3.0,,2.0,,3.0,,,,,,2.0,,3.0,,,,,,3.0,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,5.0,1.0,,,,,,,,,,,,,,0.6,,,,,,,,,,16.5,15.333333333333334,,,,,,,,,,0.6,,,,0.6,,0.6,,0.43563,0.43563,,,,,18.3,24.7,0.8333333333333334,,2.0,,,1.0,1.0,2.0,2.0,,,,1.0,0.5,0.2,0.5,0.4,,,,0.5661,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,False
1629481-1629574-1630096-1630143-1642808,1611661321,"Arike Ogunbowale, Li Yueru, DiJonai Carrington, Luisa Geiselsöder, JJ Quinerly","Ogunbowale, Yueru, Carrington, Geiselsöder, Quinerly",1629481-1629574-1630096-1630143-1642808,DAL,382.0,1,-11.0,11.0,,21.0,13.0,1.0,2.0,79.16230366492147,17.09090909090909,16.545454545454547,6.0,10.0,,2.0,3.0,,4.0,,1.0,,2.0,,,1.0,8.0,,3.0,,2.0,,,,,,,,,,2.0,,2.0,,1.0,,,,,,,,1.0,3.0,4.0,7.0,,2.0,,1.0,3.0,,,,,2.0,,,,,,,,,,0.125,,0.09090909090909091,,0.09090909090909091,,,0.2727272727272727,0.125,,0.75,0.5,0.6666666666666666,0.5,,0.5,,19.4,16.9,0.2727272727272727,0.36363636363636365,,,,0.09090909090909091,,,,0.18181818181818182,,,,,,0.5454545454545454,,0.44619545454545456,,,,,,8.425,24.766666666666666,,,1.0,1.0,,2.0,3.0,2.0,2.0,,1.0,1.0,1.0,0.2857142857142857,0.3,,0.09090909090909091,,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,0.3333333333333333,0.5,,,,,,,,,1.0,,,,,1.0,,,1.0,,,0.5,0.3333333333333333,0.3333333333333333,,,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2025,2025,False
