EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,Fg2aBlocked,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,ShortMidRangeFGA,PenaltyArc3FGA,PenaltyFG3A,OffTwoPtRebounds,FTDefRebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,PenaltyArc3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,Travels,PenaltyCorner3FGM,FTOffRebounds,OffFTReboundPct,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,Charge Fouls,Charge Fouls Drawn,BlockedCorner3,BlockedLongMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,Defensive 3 Seconds Violations,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Transition Take Fouls,Transition Take Fouls Drawn,team_id,year,season,team_vs
1628269-1628278-1628280-1628886-1631009,1611661330,"Nia Coffey, Shatori Walker-Kimbrough, Brionna Jones, Jordin Canada, Rhyne Howard","Coffey, Walker-Kimbrough, Jones, Canada, Howard",1628269-1628278-1628280-1628886-1631009,ATL,158.0,2,3.0,-5.0,5.0,5.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.2,0.4,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,91.13924050632912,16.8,14.8,14.6,14.8,0.4,0.5,0.5,1.0,0.2,0.4,0.8,0.51522,6.266666666666667,24.45,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,False
1628269-1628278-1630154-1630471-1642804,1611661330,"Nia Coffey, Shatori Walker-Kimbrough, Kamiah Smalls, Maya Caldwell, Te-Hina Paopao","Coffey, Walker-Kimbrough, Smalls, Caldwell, Paopao",1628269-1628278-1630154-1630471-1642804,ATL,77.0,1,1.0,-3.0,2.0,3.0,2.0,3.0,,5.0,1.0,2.0,,,1.0,2.0,,2.0,5.0,,2.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,,1.0,,,2.0,2.0,1.0,1.0,0.5,0.5,0.5,,1.0,,,1.0,,,,,93.5064935064935,13.0,17.0,13.0,17.0,1.0,0.5,1.0,1.0,,,1.0,0.54865,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.54865,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,False
1628269-1628278-1631021-1642804-1642814,1611661330,"Nia Coffey, Shatori Walker-Kimbrough, Sika Koné, Te-Hina Paopao, Taylor Thierry","Coffey, Walker-Kimbrough, Koné, Paopao, Thierry",1628269-1628278-1631021-1642804-1642814,ATL,112.0,1,2.0,-4.0,4.0,3.0,4.0,3.0,1.0,7.0,,,,2.0,,1.0,2.0,,4.0,,,2.0,,,,,,1.0,,2.0,1.0,3.0,1.0,1.0,,4.0,,,,,,0.6666666666666666,,1.0,,1.0,0.3333333333333333,,,1.0,90.0,16.5,15.333333333333334,14.0,15.333333333333334,,,,,,0.6666666666666666,0.6666666666666666,0.3806333333333333,5.6,25.6,1.0,,,,1.0,,1.0,,,,,1.0,,,,,0.3806333333333333,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,False
1628277-1631009-1631044-1642804-203398,1611661330,"Allisha Gray, Rhyne Howard, Naz Hillmon, Te-Hina Paopao, Brittney Griner","Gray, Howard, Hillmon, Paopao, Griner",1628277-1631009-1631044-1642804-203398,ATL,3861.0,23,64.0,21.0,132.0,122.0,18.0,10.0,10.0,254.0,15.0,30.0,4.0,42.0,27.0,56.0,54.0,148.0,127.0,5.0,34.0,41.0,17.0,38.0,8.0,97.0,2.0,15.0,28.0,46.0,10.0,56.0,8.0,19.0,139.0,18.0,0.6296296296296297,0.68,0.48214285714285715,0.5727272727272728,0.6065573770491803,0.4909090909090909,0.8235294117647058,0.75,0.07142857142857142,0.7962962962962963,0.17543859649122806,0.08695652173913043,0.9444444444444444,0.7647058823529411,94.73193473193474,15.825757575757576,14.524590163934427,15.348484848484848,14.19672131147541,0.2727272727272727,0.5,0.5769230769230769,0.5333333333333333,0.03636363636363636,0.38181818181818183,0.7636363636363637,0.5257192660550459,5.875,24.927777777777777,0.13636363636363635,1.0,5.0,2.0,7.0,14.0,6.0,14.0,0.2857142857142857,0.38461538461538464,0.4666666666666667,0.10714285714285714,0.13333333333333333,0.7272727272727273,0.38461538461538464,0.2,0.5087653846153846,0.0945945945945946,22.0,5.0,6.0,8.0,3.0,10.0,18.0,1.0,5.0,0.09090909090909091,1.0,0.27586206896551724,0.4166666666666667,0.2,0.38461538461538464,2.0,3.0,10.0,2.0,6.0,12.0,1.0,1.0,18.0,1.0,2.0,2.0,24.0,22.0,2.0,1.0,3.0,2.0,9.0,2.0,4.0,20.0,63.0,9.0,4.0,1.0,18.0,21.0,15.0,6.0,7.0,2.0,2.0,13.0,8.0,5.0,8.0,1.0,6.0,1.0,2.0,1.0,2.0,3.0,28.0,1.0,2.0,27.0,2.0,12.0,1.0,1.0,5.0,1.0,1.0,2.0,3.0,6.0,5.0,1.0,0.875,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.4528301886792453,0.4,0.4375,0.5,0.4444444444444444,0.13333333333333333,0.5,0.6,0.6666666666666666,0.0392156862745098,0.8333333333333334,0.45454545454545453,0.5,0.7,0.5,0.5,1.0,0.10909090909090909,0.5,0.5,1.0,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.375,0.6666666666666666,0.125,0.25,0.5,1.0,0.07692307692307693,0.4,0.43902439024390244,0.5138416666666666,0.10743801652892562,0.18181818181818182,0.01818181818181818,0.060810810810810814,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,False
1628269-1628277-1628278-1630471-203398,1611661330,"Nia Coffey, Allisha Gray, Shatori Walker-Kimbrough, Maya Caldwell, Brittney Griner","Coffey, Gray, Walker-Kimbrough, Caldwell, Griner",1628269-1628277-1628278-1630471-203398,ATL,14.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,False
1628277-1628278-1628280-1631044-1642804,1611661330,"Allisha Gray, Shatori Walker-Kimbrough, Brionna Jones, Naz Hillmon, Te-Hina Paopao","Gray, Walker-Kimbrough, Jones, Hillmon, Paopao",1628277-1628278-1628280-1631044-1642804,ATL,778.0,6,13.0,-15.0,24.0,23.0,,,2.0,47.0,1.0,2.0,1.0,7.0,2.0,12.0,7.0,12.0,27.0,1.0,2.0,7.0,1.0,3.0,1.0,8.0,1.0,2.0,4.0,7.0,3.0,10.0,2.0,5.0,10.0,,0.5,0.5,0.16666666666666666,0.2631578947368421,0.3,0.3684210526315789,0.8,0.5,0.2,0.6666666666666666,0.2,0.2,1.0,0.3333333333333333,86.99228791773778,17.958333333333332,15.08695652173913,17.708333333333332,13.478260869565217,0.10526315789473684,0.5,0.5,1.0,0.05263157894736842,0.3684210526315789,0.47368421052631576,0.4736789473684211,7.566666666666666,24.814285714285713,,,,,,,1.0,,,,,0.08333333333333333,,1.0,,,,,9.0,,,2.0,1.0,2.0,7.0,1.0,,0.1111111111111111,1.0,0.2,0.125,0.47368421052631576,,,,1.0,,,,,,2.0,,,,2.0,2.0,1.0,,,,2.0,,,2.0,6.0,,,,2.0,2.0,2.0,,,,1.0,1.0,,1.0,5.0,,4.0,,1.0,,,1.0,2.0,,,3.0,,,1.0,,,,,,,,,,1.0,0.2857142857142857,,,0.2857142857142857,1.0,1.0,1.0,0.7142857142857143,1.0,,,1.0,0.07142857142857142,,0.1111111111111111,0.125,,,,,,,,,0.2857142857142857,0.2857142857142857,1.0,,,,,,,,,0.2857142857142857,,0.05,,0.125,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,False
1628278-1630471-1631044-1642804-1642814,1611661330,"Shatori Walker-Kimbrough, Maya Caldwell, Naz Hillmon, Te-Hina Paopao, Taylor Thierry","Walker-Kimbrough, Caldwell, Hillmon, Paopao, Thierry",1628278-1630471-1631044-1642804-1642814,ATL,195.0,1,3.0,1.0,8.0,7.0,8.0,7.0,1.0,15.0,1.0,2.0,,2.0,1.0,3.0,3.0,6.0,5.0,,,2.0,,1.0,,3.0,,2.0,1.0,3.0,1.0,4.0,1.0,1.0,6.0,8.0,,,0.3333333333333333,0.4166666666666667,0.42857142857142855,0.5,1.0,1.0,,1.0,,,,1.0,110.76923076923077,15.625,10.0,14.625,10.0,0.3333333333333333,0.5,0.5,,,0.3333333333333333,0.8333333333333334,0.498925,3.3666666666666667,24.099999999999998,1.0,1.0,2.0,1.0,3.0,6.0,,6.0,0.3333333333333333,0.4166666666666667,0.42857142857142855,,,1.0,0.3333333333333333,0.5,0.498925,1.0,1.0,2.0,3.0,,,,1.0,1.0,1.0,,,,,0.16666666666666666,0.3333333333333333,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,2.0,3.0,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,2.0,,1.0,,,,,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,1.0,,,,,,,,,,,,,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,0.16666666666666666,,,,0.14285714285714285,0.25,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,False
1628277-1628280-1628886-1631009-1631044,1611661330,"Allisha Gray, Brionna Jones, Jordin Canada, Rhyne Howard, Naz Hillmon","Gray, Jones, Canada, Howard, Hillmon",1628277-1628280-1628886-1631009-1631044,ATL,5750.0,16,96.0,61.0,178.0,181.0,43.0,35.0,24.0,359.0,28.0,49.0,10.0,46.0,46.0,97.0,56.0,224.0,163.0,12.0,44.0,46.0,22.0,44.0,17.0,110.0,5.0,18.0,47.0,65.0,27.0,92.0,16.0,39.0,193.0,41.0,0.4782608695652174,0.5238095238095238,0.4742268041237113,0.5555555555555556,0.6153846153846154,0.3660130718954248,0.7014925373134329,0.75,0.17857142857142858,0.7142857142857143,0.33766233766233766,0.21739130434782608,0.7666666666666667,0.7619047619047619,89.90608695652175,15.44943820224719,16.574585635359117,14.870786516853933,15.392265193370166,0.3202614379084967,0.5714285714285714,0.6666666666666666,0.6071428571428571,0.06535947712418301,0.3006535947712418,0.6862745098039216,0.5142042483660131,5.5639175257731965,24.68035714285714,0.24157303370786518,6.0,10.0,8.0,21.0,54.0,13.0,51.0,0.38095238095238093,0.4117647058823529,0.5625,0.13402061855670103,0.14285714285714285,0.52,0.29411764705882354,0.6,0.4852941176470588,0.24107142857142858,38.0,12.0,13.0,21.0,,14.0,26.0,2.0,3.0,0.15789473684210525,,0.42857142857142855,0.36363636363636365,0.24836601307189543,0.35294117647058826,4.0,9.0,16.0,2.0,5.0,10.0,1.0,1.0,21.0,3.0,7.0,4.0,26.0,54.0,5.0,4.0,8.0,9.0,31.0,4.0,26.0,48.0,66.0,12.0,8.0,,21.0,22.0,17.0,5.0,4.0,1.0,5.0,21.0,13.0,8.0,12.0,2.0,7.0,,5.0,1.0,2.0,1.0,51.0,2.0,2.0,68.0,9.0,34.0,,4.0,9.0,3.0,2.0,4.0,4.0,12.0,5.0,2.0,0.8461538461538461,0.4642857142857143,0.5,0.3076923076923077,0.4642857142857143,0.4166666666666667,0.55,0.5961538461538461,0.46153846153846156,0.55,0.2857142857142857,0.9166666666666666,0.6666666666666666,0.078125,0.4166666666666667,0.42105263157894735,0.5,0.25,0.2,0.2,0.5,0.06535947712418301,0.5,0.5,1.0,0.45652173913043476,0.45652173913043476,0.8095238095238095,0.45,0.4444444444444444,0.05,0.35,0.42857142857142855,1.0,0.029411764705882353,0.3333333333333333,0.45652173913043476,0.569934375,0.19101123595505617,0.2786885245901639,,0.13839285714285715,1.0,,1.0,0.2,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,1611661330,2025,2025,False
1628277-1628278-1630471-1631009-1631044,1611661330,"Allisha Gray, Shatori Walker-Kimbrough, Maya Caldwell, Rhyne Howard, Naz Hillmon","Gray, Walker-Kimbrough, Caldwell, Howard, Hillmon",1628277-1628278-1630471-1631009-1631044,ATL,5.0,1,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,288.0,5.0,,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,False
1628277-1628280-1631009-1631044-1642804,1611661330,"Allisha Gray, Brionna Jones, Rhyne Howard, Naz Hillmon, Te-Hina Paopao","Gray, Jones, Howard, Hillmon, Paopao",1628277-1628280-1631009-1631044-1642804,ATL,8004.0,22,133.0,43.0,252.0,245.0,29.0,24.0,43.0,497.0,51.0,79.0,8.0,106.0,75.0,125.0,128.0,300.0,257.0,20.0,98.0,105.0,49.0,85.0,37.0,206.0,26.0,29.0,57.0,91.0,49.0,140.0,25.0,50.0,248.0,29.0,0.6533333333333333,0.7101449275362319,0.6,0.5217391304347826,0.5514705882352942,0.5059288537549407,0.8028169014084507,0.7837837837837838,0.3058823529411765,0.7962962962962963,0.362962962962963,0.35714285714285715,0.9655172413793104,0.7666666666666667,89.41529235382309,16.30952380952381,15.893877551020408,15.321428571428571,15.579591836734695,0.31225296442687744,0.6455696202531646,0.68,0.7254901960784313,0.03162055335968379,0.4189723320158103,0.8181818181818182,0.5329795634920634,4.8648,24.97421875,0.11507936507936507,3.0,5.0,7.0,12.0,27.0,11.0,27.0,0.5833333333333334,0.4107142857142857,0.45,0.088,0.05063291139240506,0.5384615384615384,0.17857142857142858,0.6,0.4693259259259259,0.09,38.0,13.0,16.0,23.0,5.0,12.0,31.0,5.0,6.0,0.15789473684210525,1.0,0.46,0.6875,0.15019762845849802,0.4642857142857143,10.0,14.0,22.0,2.0,7.0,22.0,3.0,3.0,31.0,6.0,19.0,1.0,38.0,36.0,11.0,7.0,22.0,9.0,52.0,3.0,4.0,52.0,108.0,6.0,12.0,1.0,31.0,36.0,30.0,6.0,11.0,1.0,5.0,25.0,12.0,13.0,19.0,3.0,9.0,1.0,10.0,1.0,2.0,1.0,45.0,3.0,4.0,43.0,4.0,22.0,1.0,1.0,12.0,,,11.0,1.0,12.0,7.0,1.0,0.9473684210526315,0.296875,0.3181818181818182,0.1875,0.2992125984251969,0.55,0.5119047619047619,0.5652173913043478,0.6129032258064516,0.39285714285714285,0.16666666666666666,0.9375,0.8571428571428571,0.04032258064516129,0.5833333333333334,0.5789473684210527,0.6875,0.5,0.25,0.2857142857142857,0.5,0.08695652173913043,0.3181818181818182,0.3181818181818182,0.8571428571428571,0.29245283018867924,0.29245283018867924,0.967741935483871,0.3333333333333333,0.7142857142857143,0.07142857142857142,0.4523809523809524,0.3157894736842105,1.0,0.10714285714285714,0.07692307692307693,0.29523809523809524,0.5687652173913044,0.08487084870848709,0.15384615384615385,0.0078125,0.17333333333333334,3.0,2.0,,,0.6666666666666666,1.0,,,,,1.0,0.3333333333333333,1.0,1.0,0.125,0.06666666666666667,0.4,,,,,,,,,,1611661330,2025,2025,False
