EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,FG3M,FtPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,LostBallSteals,BadPassTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefTwoPtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyFtPoints,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Technical Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,OffThreePtRebounds,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,Corner3Frequency,SecondChanceArc3Frequency,LongMidRangeFGM,Corner3FGM,Fg3aBlocked,Corner3Assists,Offensive Fouls Drawn,FG3APctBlocked,Corner3PctBlocked,OffArc3ReboundPct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGA,BadPassOutOfBoundsTurnovers,BlockedShortMidRange,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,FTOffRebounds,FTDefRebounds,Transition Take Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyFg3Pct,DefFTReboundPct,OffFTReboundPct,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Loose Ball Fouls,Offensive Fouls,NonShootingPenaltyNonTakeFouls,PtsPutbacks,LongMidRangeAssists,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,NonShootingPenaltyNonTakeFoulsDrawn,Arc3PctBlocked,OffShortMidRangeReboundPct,SelfORebPct,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PtsUnassisted3s,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,Transition Take Fouls,BlockedLongMidRange,SecondChanceCorner3Accuracy,HeaveAttempts,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,SecondChanceCorner3PctAssisted,Charge Fouls,Blocked3s,BlockedCorner3,Charge Fouls Drawn,BlockedArc3,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1629497-1641641-202250-203829-203863,1611661323,"Marina Mabrey, Robyn Parks, Tina Charles, Bria Hartley, Haley Peters","Mabrey, Parks, Charles, Hartley, Peters",1629497-1641641-202250-203829-203863,CON,107.0,1,2.0,-1.0,3.0,3.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.5,1.0,1.0,0.3333333333333333,1.0,0.5,0.25,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,80.74766355140187,13.666666666666666,22.0,10.0,20.666666666666668,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,1.0,0.5,1.0,0.5,1.0,0.6479833333333334,0.593,0.594325,0.25,0.3333333333333333,1.0,1.0,1.05,24.7,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2025,2025,True
1641641-1642292-1642773-203829-203863,1611661323,"Robyn Parks, Jacy Sheldon, Kariata Diaby, Bria Hartley, Haley Peters","Parks, Sheldon, Diaby, Hartley, Peters",1641641-1642292-1642773-203829-203863,CON,48.0,1,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,60.0,26.0,22.0,26.0,22.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2025,2025,True
1628263-1629497-1642290-1642841-202250,1611661323,"Lindsay Allen, Marina Mabrey, Aaliyah Edwards, Mamignan Touré, Tina Charles","Allen, Mabrey, Edwards, Touré, Charles",1628263-1629497-1642290-1642841-202250,CON,689.0,4,11.0,1.0,21.0,20.0,,6.0,,41.0,1.0,1.0,,,,,8.0,,7.0,10.0,8.0,29.0,28.0,,,,,,,,2.0,8.0,1.0,5.0,5.0,2.0,3.0,4.0,3.0,2.0,,,0.7,,,0.7222222222222222,,,0.7631578947368421,,,0.4444444444444444,1.0,0.8333333333333334,,1.0,85.68940493468796,17.952380952380953,15.6,17.952380952380953,15.5,0.05555555555555555,1.0,1.0,0.4444444444444444,,,,,,0.5,0.44313888888888886,,,0.10526315789473684,0.18181818181818182,,,8.11,24.875,,2.0,1.0,2.0,1.0,2.0,1.0,6.0,8.0,1.0,4.0,4.0,3.0,12.0,12.0,4.0,6.0,4.0,10.0,4.0,1.0,5.0,24.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,0.8571428571428571,0.8571428571428571,1.0,0.5,0.5,0.8,1.0,1.0,1.0,1.0,0.4444444444444444,0.75,0.75,0.8333333333333334,0.05555555555555555,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2025,2025,True
1628263-1631135-1642292-1642809-203863,1611661323,"Lindsay Allen, Olivia Nelson-Ododa, Jacy Sheldon, Saniya Rivers, Haley Peters","Allen, Nelson-Ododa, Sheldon, Rivers, Peters",1628263-1631135-1642292-1642809-203863,CON,97.0,1,2.0,-2.0,3.0,2.0,3.0,,1.0,5.0,,1.0,,,,1.0,2.0,2.0,,1.0,2.0,1.0,3.0,,,,,1.0,2.0,1.0,,2.0,,,1.0,,1.0,,2.0,,1.0,3.0,,,,,,,,,,0.6666666666666666,,,,,74.22680412371133,24.0,12.5,18.333333333333332,12.5,0.3333333333333333,,,0.6666666666666666,,,0.3333333333333333,,0.6666666666666666,1.0,0.48325,,0.48325,,,,1.0,1.6,26.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2025,2025,True
1629497-1631135-1641641-1642809-203863,1611661323,"Marina Mabrey, Olivia Nelson-Ododa, Robyn Parks, Saniya Rivers, Haley Peters","Mabrey, Nelson-Ododa, Parks, Rivers, Peters",1629497-1631135-1641641-1642809-203863,CON,111.0,1,2.0,1.0,3.0,4.0,,4.0,,7.0,,,,,,,2.0,,1.0,1.0,2.0,5.0,4.0,,,,,,,,,2.0,1.0,2.0,2.0,,,1.0,,,,,1.0,,,0.8333333333333334,,,0.8333333333333334,,,0.6666666666666666,1.0,1.0,1.0,,90.8108108108108,13.333333333333334,17.75,13.333333333333334,17.75,,,,0.6666666666666666,,,,,,0.6666666666666666,0.4763,,,,,,,6.8,23.3,,,,,,,,1.0,1.0,,1.0,1.0,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,1.0,,,,,,,,5.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,,,,0.3333333333333333,1.0,1.0,1.0,,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2025,2025,True
1628263-1631135-1642240-202250-203829,1611661323,"Lindsay Allen, Olivia Nelson-Ododa, Jaelyn Brown, Tina Charles, Bria Hartley","Allen, Nelson-Ododa, Brown, Charles, Hartley",1628263-1631135-1642240-202250-203829,CON,219.0,2,4.0,-2.0,8.0,7.0,,3.0,1.0,15.0,1.0,1.0,,,,,2.0,,1.0,3.0,4.0,4.0,6.0,,1.0,,,,,,,2.0,1.0,4.0,6.0,,1.0,1.0,2.0,1.0,,,0.3333333333333333,,,0.14285714285714285,,,0.25,,,0.5714285714285714,1.0,0.8,1.0,,98.63013698630137,16.375,12.571428571428571,14.5,12.428571428571429,0.14285714285714285,1.0,1.0,0.2857142857142857,,,,,,0.7142857142857143,0.5340142857142858,0.5046,,0.125,0.25,,,8.866666666666667,24.05,,,,2.0,,2.0,1.0,,1.0,1.0,,,2.0,2.0,,,1.0,,1.0,,1.0,,2.0,3.0,,2.0,,,,,,4.0,1.0,1.0,,,,0.75,1.0,,,1.0,0.14285714285714285,,,,0.14285714285714285,,,,,,,1.0,2.0,,,,,,,0.5,0.3333333333333333,,2.0,1.0,1.0,1.0,0.25,1.0,0.5,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2025,2025,True
1628263-1631135-1642809-202250-203829,1611661323,"Lindsay Allen, Olivia Nelson-Ododa, Saniya Rivers, Tina Charles, Bria Hartley","Allen, Nelson-Ododa, Rivers, Charles, Hartley",1628263-1631135-1642809-202250-203829,CON,299.0,2,5.0,2.0,10.0,10.0,,,2.0,20.0,2.0,4.0,,1.0,,,1.0,,4.0,7.0,3.0,11.0,9.0,,1.0,,,,,,4.0,1.0,,2.0,4.0,2.0,4.0,1.0,,,,,0.5714285714285714,,,0.55,,,0.55,,,0.3,,1.0,,,96.3210702341137,14.8,15.1,14.2,15.1,0.4,0.5,0.5,0.1,1.0,,,,,0.7,0.52783,0.6181,,,,,,6.914285714285714,23.266666666666666,,2.0,2.0,2.0,,3.0,0.6666666666666666,1.0,1.0,2.0,,1.0,,4.0,3.0,,2.0,1.0,3.0,,2.0,,7.0,2.0,,2.0,,,,,,11.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,,1.0,,1.0,0.1,1.0,1.0,,0.2,,,,,,,1.0,2.0,1.0,1.0,,,,,0.3333333333333333,0.5,0.5,2.0,,,1.0,1.0,,,0.2,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2025,2025,True
1629497-1631135-1642240-1642292-203863,1611661323,"Marina Mabrey, Olivia Nelson-Ododa, Jaelyn Brown, Jacy Sheldon, Haley Peters","Mabrey, Nelson-Ododa, Brown, Sheldon, Peters",1629497-1631135-1642240-1642292-203863,CON,331.0,2,6.0,-3.0,10.0,10.0,,,1.0,20.0,2.0,4.0,,,,,2.0,,3.0,6.0,2.0,6.0,9.0,,1.0,,,,,,2.0,2.0,3.0,5.0,6.0,2.0,2.0,1.0,,,,,0.5,,,0.375,,,0.375,,,0.25,0.75,0.8333333333333334,0.6666666666666666,1.0,87.00906344410876,19.0,14.1,17.9,13.8,0.5,0.5,0.6666666666666666,0.25,,,,,,0.75,0.508225,,,,,,,5.033333333333333,24.45,,,,3.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,4.0,,,2.0,,2.0,,1.0,1.0,4.0,2.0,,2.0,,,,,,6.0,0.6666666666666666,0.6666666666666666,,,,1.0,1.0,,,0.5,0.125,1.0,1.0,1.0,0.125,,,,,,1.0,,1.0,,,,,0.16666666666666666,0.25,,0.25,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2025,2025,True
1628263-1642292-1642303-1642796-1642800,1611661323,"Lindsay Allen, Jacy Sheldon, Leïla Lacan, Rayah Marshall, Aneesah Morrow","Allen, Sheldon, Lacan, Marshall, Morrow",1628263-1642292-1642303-1642796-1642800,CON,95.0,1,2.0,-7.0,3.0,4.0,,,,7.0,,1.0,,,,,,,1.0,2.0,,2.0,9.0,,,,,,,,2.0,,,,,1.0,1.0,,,,,,0.5,,,0.5,,,0.5,,,,,,,,106.10526315789474,20.0,8.75,20.0,8.75,0.5,,,,,,,,,0.5,0.51335,,,,,,,4.3,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2025,2025,True
1628263-1642303-1642796-1642800-1642841,1611661323,"Lindsay Allen, Leïla Lacan, Rayah Marshall, Aneesah Morrow, Mamignan Touré","Allen, Lacan, Marshall, Morrow, Touré",1628263-1642303-1642796-1642800-1642841,CON,281.0,1,5.0,,10.0,10.0,3.0,,1.0,20.0,,,,,,,3.0,1.0,1.0,2.0,6.0,5.0,5.0,,,,,,2.0,,2.0,3.0,1.0,5.0,6.0,,1.0,1.0,1.0,1.0,,3.0,0.5,,,0.3125,,,0.3125,,,0.75,1.0,1.0,1.0,,102.49110320284697,13.8,14.3,13.4,14.3,,,,0.375,,,,,0.5,0.75,0.55305625,0.5673,0.71565,0.125,0.5,,,5.8,24.45,0.3,2.0,2.0,2.0,1.0,3.0,0.6666666666666666,1.0,2.0,,1.0,1.0,,,3.0,1.0,,1.0,1.0,1.0,,,3.0,4.0,,1.0,1.0,2.0,,2.0,2.0,5.0,,,1.0,0.16666666666666666,0.16666666666666666,1.0,,1.0,1.0,,0.25,0.5,1.0,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,1.0,,1.0,1.0,,1.0,,0.5,,,0.16666666666666666,,3.0,,1.0,1.0,0.2,,,0.375,,,,,,,,,0.5,1.0,,,,,,1.0,1.0,1.0,2.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2025,2025,True
