EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG3A,FtPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChancePoints,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,OffRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,LongMidRangeFGM,Fg2aBlocked,Steals,LostBallSteals,LostBallTurnovers,ShootingFouls,FG2APctBlocked,AtRimPctBlocked,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,BadPassSteals,DeadBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,FTDefRebounds,DefFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffThreePtRebounds,SecondChanceTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,Corner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted3s,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,Offensive Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,BlockedAtRim,SecondChanceFg3Pct,OffAtRimReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonShootingPenaltyNonTakeFouls,team_id,year,season,team_vs
1628269-1628277-1628280-1628886-1630471,1611661330,"Nia Coffey, Allisha Gray, Brionna Jones, Jordin Canada, Maya Caldwell","Coffey, Gray, Jones, Canada, Caldwell",1628269-1628277-1628280-1628886-1630471,ATL,68.0,1,1.0,-2.0,3.0,3.0,6,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,127.05882352941177,1.0,12.333333333333334,10.333333333333334,12.333333333333334,10.333333333333334,1.0,1.0,1.0,0.4024,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628277-1628280-1628886-1631009,1611661330,"Nia Coffey, Allisha Gray, Brionna Jones, Jordin Canada, Rhyne Howard","Coffey, Gray, Jones, Canada, Howard",1628269-1628277-1628280-1628886-1631009,ATL,210.0,2,4.0,6.0,7.0,6.0,13,1.0,2.0,3.0,5.0,8.0,2.0,4.0,4.0,5.0,5.0,,,,1.0,,,,,8.0,0.6,0.5,0.5714285714285714,,1.0,1.0,1.0,89.14285714285714,,14.714285714285714,17.833333333333332,12.142857142857142,17.833333333333332,0.3333333333333333,0.5,0.5,0.5231833333333333,5.36,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3014,0.4902666666666667,0.14285714285714285,0.16666666666666666,0.25,23.6,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628277-1628280-1630471-1631009,1611661330,"Nia Coffey, Allisha Gray, Brionna Jones, Maya Caldwell, Rhyne Howard","Coffey, Gray, Jones, Caldwell, Howard",1628269-1628277-1628280-1630471-1631009,ATL,126.0,2,2.0,7.0,4.0,4.0,8,,,2.0,3.0,9.0,2.0,,3.0,3.0,4.0,,,,1.0,,,,,7.0,0.6666666666666666,0.875,0.9,,1.0,1.0,1.0,91.42857142857143,,11.75,19.75,11.25,19.75,,,,0.586825,6.866666666666667,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,,1.0,2.0,1.0,2.0,3.0,1.0,9.0,4.0,2.0,3.0,2.0,7.0,,,2.0,,9.0,4.0,1.0,1.0,0.6666666666666666,0.875,0.9,0.25,,1.0,,,0.5,1.0,1.0,1.0,0.25,,0.5,1.0,,0.75,0.81,0.586825,,,1.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628277-1628886-1630471-203398,1611661330,"Nia Coffey, Allisha Gray, Jordin Canada, Maya Caldwell, Brittney Griner","Coffey, Gray, Canada, Caldwell, Griner",1628269-1628277-1628886-1630471-203398,ATL,188.0,1,3.0,-5.0,8.0,7.0,15,,,2.0,5.0,5.0,10.0,4.0,,1.0,1.0,1.0,,1.0,2.0,,,,,5.0,0.4,0.3333333333333333,0.35714285714285715,1.0,,0.3333333333333333,,114.8936170212766,,14.0,10.857142857142858,14.0,10.857142857142858,,,,0.5140833333333333,8.78,,,,1.0,3.0,,,2.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,0.16666666666666666,1.0,,,,0.5,0.3333333333333333,0.5,,0.3333333333333333,,,,,0.6666666666666666,,,0.14285714285714285,0.16666666666666666,,23.2,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628277-1630471-1631009-1631044,1611661330,"Nia Coffey, Allisha Gray, Maya Caldwell, Rhyne Howard, Naz Hillmon","Coffey, Gray, Caldwell, Howard, Hillmon",1628269-1628277-1630471-1631009-1631044,ATL,23.0,1,,1.0,1.0,,1,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,0.5,,,,,62.60869565217391,,23.0,,23.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,2.0,1.0,1.0,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628278-1630471-1631021-1642804,1611661330,"Nia Coffey, Shatori Walker-Kimbrough, Maya Caldwell, Sika Koné, Te-Hina Paopao","Coffey, Walker-Kimbrough, Caldwell, Koné, Paopao",1628269-1628278-1630471-1631021-1642804,ATL,70.0,1,1.0,3.0,2.0,3.0,5,,1.0,1.0,2.0,3.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,0.5,0.5,0.5,,,,,102.85714285714285,,7.5,18.333333333333332,7.5,18.333333333333332,0.5,,,0.4783,6.45,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,,3.0,2.0,1.0,1.0,1.0,2.0,,,2.0,,3.0,2.0,1.0,1.0,0.5,0.5,0.5,,,,,,0.5,1.0,1.0,1.0,,,0.5,1.0,,0.5,0.6821,0.4783,,,1.0,,1.0,1.0,1.0,,,,,,1.0,2.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,0.6666666666666666,,1.0,,,,,0.5,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628278-1630471-1642804-203398,1611661330,"Nia Coffey, Shatori Walker-Kimbrough, Maya Caldwell, Te-Hina Paopao, Brittney Griner","Coffey, Walker-Kimbrough, Caldwell, Paopao, Griner",1628269-1628278-1630471-1642804-203398,ATL,224.0,1,4.0,-5.0,7.0,7.0,14,,1.0,,3.0,2.0,7.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,,2.0,,,0.16666666666666666,0.5,1.0,1.0,1.0,90.0,,20.0,12.0,20.0,12.0,0.2,,,0.47032999999999997,9.799999999999999,7.0,,,,1.0,,1.0,1.0,,,2.0,2.0,,,3.0,2.0,2.0,,,,,,,2.0,2.0,1.0,2.0,7.0,,,,,0.16666666666666666,0.4,,1.0,,,0.2,,,,0.2,,0.2,,,0.6,,0.47032999999999997,0.16666666666666666,0.25,1.0,26.7,1.0,,,,2.0,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,0.4,,,,,,,0.4,,,,,,1.0,,,,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628280-1628886-1630471-1631009,1611661330,"Nia Coffey, Brionna Jones, Jordin Canada, Maya Caldwell, Rhyne Howard","Coffey, Jones, Canada, Caldwell, Howard",1628269-1628280-1628886-1630471-1631009,ATL,10.0,1,,,1.0,1.0,2,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,288.0,,7.0,3.0,7.0,3.0,1.0,,,0.1837,11.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.1837,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628269-1628886-1630471-1642804-203398,1611661330,"Nia Coffey, Jordin Canada, Maya Caldwell, Te-Hina Paopao, Brittney Griner","Coffey, Canada, Caldwell, Paopao, Griner",1628269-1628886-1630471-1642804-203398,ATL,56.0,1,1.0,-1.0,2.0,2.0,4,,,,,2.0,3.0,,1.0,1.0,1.0,,,1.0,2.0,,,,,2.0,,,0.5,,1.0,1.0,,102.85714285714286,,16.5,11.5,16.5,11.5,,,,0.41775,,2.0,,,,,,,,,,1.0,2.0,,,,1.0,2.0,,,,,,,,2.0,1.0,2.0,2.0,,,,,0.5,1.0,,1.0,,,,,,,,,,,,1.0,,0.41775,0.5,1.0,1.0,26.9,1.0,,,,1.0,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
1628277-1628280-1628886-1630471-1631044,1611661330,"Allisha Gray, Brionna Jones, Jordin Canada, Maya Caldwell, Naz Hillmon","Gray, Jones, Canada, Caldwell, Hillmon",1628277-1628280-1628886-1630471-1631044,ATL,117.0,2,2.0,-3.0,3.0,4.0,7,,1.0,,2.0,1.0,4.0,,,1.0,2.0,,,2.0,1.0,,,,,1.0,,,0.125,,,1.0,,86.15384615384616,,25.333333333333332,10.25,20.0,7.25,0.3333333333333333,,,0.46295,3.2,3.0,1.0,2.0,,1.0,,1.0,,,,1.0,1.0,1.0,,2.0,1.0,,,,,,,1.0,1.0,2.0,1.0,,3.0,,,,,,0.3333333333333333,1.0,,,1.0,0.3333333333333333,,,,,,0.3333333333333333,,,0.6666666666666666,,0.46295,0.25,0.3333333333333333,,23.8,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.5,,0.3333333333333333,,,,1.0,,,0.3333333333333333,,,,,,,,,1.0,,,,,,,,,,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2025,2025,True
