EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,DefAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimAssists,BadPassOutOfBoundsTurnovers,AtRimPctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,PenaltyCorner3FGA,PenaltyFG2M,HeaveAttempts,BadPassSteals,Travels,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,LongMidRangeFGM,PenaltyArc3FGM,PenaltyFG3M,LostBallTurnovers,PenaltyFg3Pct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyArc3Accuracy,SecondChanceFtPoints,AtRimPctBlocked,BlockedLongMidRange,LongMidRangeAssists,LongMidRangePctAssisted,Offensive Fouls,OffThreePtRebounds,BlockedAtRim,Defensive 3 Seconds Violations,OffThreePtReboundPct,OffCorner3ReboundPct,PtsUnassisted3s,Charge Fouls Drawn,SecondChanceArc3FGA,FTOffRebounds,OffFTReboundPct,SecondChanceArc3Frequency,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceArc3FGM,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SelfOReb,SelfORebPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,Blocked3s,BlockedArc3,team_id,year,season,team_vs
1627672-1628909-1629488-1631086-1641648,1611661325,"Aerial Powers, Kelsey Mitchell, Brianna Turner, Lexie Hull, Aliyah Boston","Powers, Mitchell, Turner, Hull, Boston",1627672-1628909-1629488-1631086-1641648,IND,454.0,2,8.0,3.0,14.0,13.0,4.0,5.0,3.0,27,1.0,3.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,8.0,2.0,8.0,1.0,11.0,8.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,4.0,2.0,3.0,1.0,6.0,4.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,4.0,1.0,0.5,0.5,1.0,0.25,1.0,0.25,0.25,0.3125,0.75,0.3235294117647059,0.75,0.125,0.5,0.125,0.2,0.5,1.0,0.6,0.6666666666666666,0.6666666666666666,0.625,0.3333333333333333,1.0,0.5,1.0,1.0,0.5,1.0,85.63876651982379,1.0,18.785714285714285,14.692307692307692,17.071428571428573,14.076923076923077,0.1875,0.3333333333333333,0.3333333333333333,0.3125,0.2,0.25,1.0,0.125,0.5,0.5,1.0,0.375,0.16666666666666666,0.16666666666666666,1.0,0.5,1.0,1.0,0.6666666666666666,0.6875,0.16666666666666666,0.47678125,0.522575,0.401,0.0625,0.125,0.2727272727272727,0.09090909090909091,6.125,24.175,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2025,2025,True
1627672-1628909-1629488-1631086-203035,1611661325,"Aerial Powers, Kelsey Mitchell, Brianna Turner, Lexie Hull, Shey Peddy","Powers, Mitchell, Turner, Hull, Peddy",1627672-1628909-1629488-1631086-203035,IND,86.0,1,1.0,1.0,3.0,4.0,,,1.0,7,2.0,3.0,,,,1.0,,,,,,2.0,3.0,,1.0,,4.0,3.0,1.0,,,2.0,,,,,,4.0,,,,,,,,,,,,1.0,1.0,1.0,,2.0,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,0.6666666666666666,0.5,1.0,0.5,1.0,,0.25,,,,,1.0,1.0,1.0,1.0,0.5,1.0,,,,1.0,,117.20930232558139,,13.333333333333334,11.5,13.333333333333334,11.5,0.75,0.6666666666666666,0.6666666666666666,,,,,0.25,,,,,,,,,,,,1.0,,0.670125,0.6489,,,,0.5,,1.0333333333333334,22.7,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2025,2025,True
1627672-1628909-1629488-1631086-203827,1611661325,"Aerial Powers, Kelsey Mitchell, Brianna Turner, Lexie Hull, Natasha Howard","Powers, Mitchell, Turner, Hull, Howard",1627672-1628909-1629488-1631086-203827,IND,57.0,1,1.0,,2.0,2.0,,2.0,1.0,4,1.0,1.0,,,,,,,,,,1.0,1.0,,,,2.0,2.0,1.0,,,2.0,,,,,2.0,,,,,,1.0,,1.0,,,,2.0,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,0.5,,,,,,,,101.05263157894737,,10.0,18.5,7.0,18.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,0.5661,0.5661,,,,1.0,,1.8,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2025,2025,True
1627672-1628909-1629488-1641648-1642815,1611661325,"Aerial Powers, Kelsey Mitchell, Brianna Turner, Aliyah Boston, Makayla Timpson","Powers, Mitchell, Turner, Boston, Timpson",1627672-1628909-1629488-1641648-1642815,IND,3.0,1,,2.0,1.0,,1.0,,,1,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,480.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2025,2025,True
1627672-1628909-1629488-1641648-203035,1611661325,"Aerial Powers, Kelsey Mitchell, Brianna Turner, Aliyah Boston, Shey Peddy","Powers, Mitchell, Turner, Boston, Peddy",1627672-1628909-1629488-1641648-203035,IND,765.0,5,13.0,-3.0,23.0,26.0,6.0,16.0,1.0,49,4.0,8.0,3.0,5.0,1.0,2.0,,,,3.0,1.0,7.0,15.0,1.0,5.0,4.0,21.0,24.0,1.0,,,2.0,5.0,2.0,2.0,10.0,4.0,10.0,3.0,1.0,,,2.0,1.0,3.0,,1.0,1.0,7.0,1.0,4.0,7.0,,11.0,1.0,12.0,3.0,1.0,2.0,2.0,2.0,,4.0,,,2.0,7.0,6.0,1.0,,4.0,,1.0,1.0,,,,,19.0,10.0,6.0,1.0,0.2857142857142857,0.3333333333333333,1.0,0.2,,0.3333333333333333,0.4666666666666667,0.425,1.0,0.4772727272727273,1.0,0.625,0.25,,,0.5,,0.7777777777777778,0.125,0.6666666666666666,0.7333333333333333,0.1,0.25,,0.5,0.75,0.6,1.0,92.23529411764706,,16.565217391304348,14.76923076923077,16.565217391304348,13.038461538461538,0.4,0.5,0.5,0.25,0.6,0.6,0.3333333333333333,0.1,0.5,0.5,1.0,0.15,,,,,,,0.14285714285714285,0.65,,0.47996944444444445,0.6325,0.5476333333333333,0.047619047619047616,0.0625,0.09523809523809523,0.47619047619047616,7.033333333333333,36.86,0.2608695652173913,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,,3.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,0.8,0.5714285714285714,0.1,0.5714285714285714,0.75,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2025,2025,True
1627672-1628909-1629488-1641648-203824,1611661325,"Aerial Powers, Kelsey Mitchell, Brianna Turner, Aliyah Boston, Odyssey Sims","Powers, Mitchell, Turner, Boston, Sims",1627672-1628909-1629488-1641648-203824,IND,91.0,2,2.0,,3.0,3.0,,,,6,1.0,1.0,,,,,,,,2.0,,1.0,1.0,,2.0,,2.0,2.0,,,,,,,,,2.0,,,2.0,,,1.0,,1.0,,,,2.0,,,2.0,,2.0,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,0.6666666666666666,,,,,1.0,,,1.0,,,,1.0,1.0,,,94.94505494505495,,12.0,18.333333333333332,12.0,18.333333333333332,0.3333333333333333,1.0,1.0,,,,,,,,,0.6666666666666666,,,,,,,,1.0,,0.5490833333333334,,,,,,,3.5,24.75,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2025,2025,True
1627672-1628909-1629488-203035-203827,1611661325,"Aerial Powers, Kelsey Mitchell, Brianna Turner, Shey Peddy, Natasha Howard","Powers, Mitchell, Turner, Peddy, Howard",1627672-1628909-1629488-203035-203827,IND,517.0,2,9.0,4.0,20.0,17.0,19.0,16.0,,37,3.0,6.0,2.0,2.0,,,,,1.0,3.0,3.0,6.0,10.0,1.0,3.0,3.0,18.0,14.0,,,,,10.0,3.0,1.0,16.0,8.0,4.0,3.0,3.0,1.0,,4.0,1.0,5.0,1.0,,2.0,11.0,,2.0,3.0,,5.0,,5.0,5.0,2.0,2.0,,3.0,,5.0,,5.0,1.0,4.0,2.0,,,4.0,,1.0,1.0,,,,,18.0,16.0,19.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,,0.3333333333333333,0.6,0.5769230769230769,,0.6,,0.5714285714285714,0.23076923076923078,,,0.4,,0.75,,1.0,0.8333333333333334,,,,,1.0,1.0,1.0,103.05609284332688,,14.35,13.529411764705882,14.35,13.176470588235293,0.46153846153846156,0.5,0.5,0.15384615384615385,1.0,1.0,1.0,,,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,,,,0.23076923076923078,0.6923076923076923,0.3333333333333333,0.501676923076923,,0.501676923076923,0.07142857142857142,0.09090909090909091,,0.8888888888888888,6.1,27.53333333333333,0.95,,,,,,0.6666666666666666,,,2.0,,0.6666666666666666,,3.0,6.0,2.0,,6.0,,3.0,1.0,1.0,2.0,0.6,0.5769230769230769,0.15384615384615385,0.46153846153846156,0.5,,1.0,1.0,1.0,2.0,0.3333333333333333,0.5,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2025,2025,True
1627672-1628909-1629488-203824-203827,1611661325,"Aerial Powers, Kelsey Mitchell, Brianna Turner, Odyssey Sims, Natasha Howard","Powers, Mitchell, Turner, Sims, Howard",1627672-1628909-1629488-203824-203827,IND,146.0,2,2.0,1.0,4.0,5.0,1.0,,1.0,9,2.0,3.0,,,,1.0,,,,,,2.0,3.0,,1.0,,4.0,3.0,1.0,,,2.0,,,,,2.0,2.0,,,,,1.0,,1.0,,,,2.0,1.0,1.0,2.0,,3.0,1.0,4.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,1.0,,0.5,1.0,,,,,0.6666666666666666,0.5,1.0,0.5,1.0,,0.25,,,1.0,,0.6666666666666666,1.0,0.5,0.6,0.5,1.0,,0.6666666666666666,,0.5,,88.76712328767124,,12.75,19.0,12.5,13.6,0.75,0.6666666666666666,0.6666666666666666,,,,,0.25,,,,,,,,,,,,1.0,,0.5639375,0.5326,,0.25,0.3333333333333333,0.5,,3.0,24.0,0.25,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,0.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2025,2025,True
1627672-1628909-1631086-1641648-1642815,1611661325,"Aerial Powers, Kelsey Mitchell, Lexie Hull, Aliyah Boston, Makayla Timpson","Powers, Mitchell, Hull, Boston, Timpson",1627672-1628909-1631086-1641648-1642815,IND,32.0,1,1.0,,1.0,1.0,,,,2,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,90.0,,17.0,15.0,17.0,14.0,,,,1.0,,,,,,,,,,,,,,,,,,0.4428,,,,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2025,2025,True
1627672-1628909-1631086-1641648-203824,1611661325,"Aerial Powers, Kelsey Mitchell, Lexie Hull, Aliyah Boston, Odyssey Sims","Powers, Mitchell, Hull, Boston, Sims",1627672-1628909-1631086-1641648-203824,IND,529.0,2,9.0,-2.0,15.0,17.0,11.0,12.0,4.0,32,2.0,6.0,2.0,3.0,,1.0,,1.0,1.0,2.0,1.0,4.0,9.0,1.0,3.0,3.0,14.0,16.0,1.0,,1.0,4.0,6.0,2.0,3.0,12.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,,,7.0,4.0,1.0,5.0,,6.0,4.0,10.0,1.0,,3.0,3.0,3.0,1.0,6.0,1.0,5.0,4.0,7.0,4.0,1.0,,3.0,1.0,2.0,,1.0,1.0,1.0,1.0,10.0,12.0,11.0,,0.5,0.5,1.0,0.3333333333333333,,0.3333333333333333,0.4444444444444444,0.4583333333333333,0.5,0.5384615384615384,0.6666666666666666,0.6666666666666666,0.25,0.1111111111111111,,0.5,,0.7142857142857143,0.8,1.0,0.75,0.5714285714285714,0.75,1.0,1.0,,1.0,,87.1077504725898,1.0,17.533333333333335,15.647058823529411,14.4,15.529411764705882,0.5,0.3333333333333333,0.4,0.25,0.6666666666666666,0.6666666666666666,,0.08333333333333333,,,,0.16666666666666666,0.5,0.5,1.0,0.5,,,0.125,0.75,0.5,0.5068458333333333,0.46605,0.4699125,0.15384615384615385,0.2,0.2857142857142857,0.8571428571428571,4.144444444444444,24.933333333333334,0.7333333333333333,1.0,1.0,1.0,,1.0,0.5,0.5,1.0,2.0,2.0,1.0,1.0,2.0,4.0,,1.0,3.0,,1.0,,2.0,1.0,0.5,0.5625,,0.5,0.5,0.125,,1.0,1.0,,0.5,,,1.0,2.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2025,2025,True
