EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,FG2M,FG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceOffPoss,SecondChanceFG2A,PenaltyFG2M,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,2pt And 1 Free Throw Trips,PenaltyFg2Pct,PenaltyEfgPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SecondChanceShotQualityAvg,LongMidRangeFGM,LongMidRangeAssists,Loose Ball Fouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,Corner3Assists,AtRimAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyCorner3FGA,SecondChanceArc3FGM,Fg3aBlocked,FTOffRebounds,StepOutOfBoundsTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,Corner3PctBlocked,Transition Take Fouls,PenaltyCorner3FGM,Charge Fouls Drawn,3pt And 1 Free Throw Trips,3SecondViolations,LongMidRangePctBlocked,PenaltyCorner3Accuracy,Transition Take Fouls Drawn,HeaveAttempts,team_id,year,season,team_vs
1627676-1628882-1629496-202252-204365,1611661328,"Tiffany Mitchell, Lexie Brown, Ezi Magbegor, Alysha Clark, Erica Wheeler","Mitchell, Brown, Magbegor, Clark, Wheeler",1627676-1628882-1629496-202252-204365,SEA,109.0,1,2.0,-3.0,4.0,4.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.25,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,105.68807339449542,1.0,14.75,12.5,14.75,12.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.47446666666666665,0.47446666666666665,0.25,0.3333333333333333,1.0,10.7,23.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1628931-1642307-203014-203400-204365,1611661328,"Gabby Williams, Mackenzie Holmes, Nneka Ogwumike, Skylar Diggins, Erica Wheeler","Williams, Holmes, Ogwumike, Diggins, Wheeler",1628931-1642307-203014-203400-204365,SEA,195.0,1,3.0,-1.0,6.0,5.0,3.0,3.0,11.0,,,1.0,3.0,1.0,2.0,3.0,,5.0,6.0,1.0,1.0,,,3.0,1.0,2.0,2.0,,,,,,,,,,5.0,,3.0,0.5,,0.6,1.0,1.0,1.0,,81.23076923076923,,17.833333333333332,17.6,17.833333333333332,17.6,,0.2,0.6,,0.5,0.6,0.4346,0.37475,,,,14.35,24.266666666666666,0.5,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1628882-1628931-1629574-202252-203400,1611661328,"Lexie Brown, Gabby Williams, Li Yueru, Alysha Clark, Skylar Diggins","Brown, Williams, Yueru, Clark, Diggins",1628882-1628931-1629574-202252-203400,SEA,9.0,1,,-1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1629574-202252-203014-203400-204365,1611661328,"Li Yueru, Alysha Clark, Nneka Ogwumike, Skylar Diggins, Erica Wheeler","Yueru, Clark, Ogwumike, Diggins, Wheeler",1629574-202252-203014-203400-204365,SEA,55.0,1,1.0,-2.0,2.0,3.0,2.0,,5.0,,,1.0,,,3.0,,1.0,3.0,5.0,3.0,,1.0,3.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,3.0,3.0,2.0,0.5,0.5,,1.0,1.0,1.0,,130.9090909090909,,11.5,10.666666666666666,9.0,10.0,,0.3333333333333333,,,,,0.38989999999999997,0.38989999999999997,0.3333333333333333,0.3333333333333333,1.0,10.299999999999999,,1.0,1.0,2.0,,1.0,,2.0,,,1.0,,1.0,,1.0,2.0,,,,,,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,,,,0.6666666666666666,0.5,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,1.0,0.4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1629496-1629574-1641660-202252-203400,1611661328,"Ezi Magbegor, Li Yueru, Zia Cooke, Alysha Clark, Skylar Diggins","Magbegor, Yueru, Cooke, Clark, Diggins",1629496-1629574-1641660-202252-203400,SEA,6.0,1,,-3.0,,1.0,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,240.0,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1629574-1641660-202252-203014-203400,1611661328,"Li Yueru, Zia Cooke, Alysha Clark, Nneka Ogwumike, Skylar Diggins","Yueru, Cooke, Clark, Ogwumike, Diggins",1629574-1641660-202252-203014-203400,SEA,81.0,1,1.0,2.0,2.0,2.0,,,4.0,,,2.0,,,2.0,,,2.0,,,,,,,,2.0,2.0,,2.0,,,,,,,,2.0,,,0.5,,,,1.0,,,71.1111111111111,,8.5,32.0,8.5,32.0,,1.0,,,,,0.4,,,,,16.45,,,,,,1.0,,2.0,,,1.0,,1.0,,,2.0,2.0,,,,,1.0,1.0,,,,0.5,0.5,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1628882-1629496-202252-203400-204365,1611661328,"Lexie Brown, Ezi Magbegor, Alysha Clark, Skylar Diggins, Erica Wheeler","Brown, Magbegor, Clark, Diggins, Wheeler",1628882-1629496-202252-203400-204365,SEA,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1628279-1628931-1629496-203014-203400,1611661328,"Brittney Sykes, Gabby Williams, Ezi Magbegor, Nneka Ogwumike, Skylar Diggins","Sykes, Williams, Magbegor, Ogwumike, Diggins",1628279-1628931-1629496-203014-203400,SEA,9774.0,14,163.0,-3.0,312.0,322.0,30.0,38.0,634.0,86.0,8.0,27.0,67.0,5.0,200.0,81.0,50.0,333.0,336.0,13.0,5.0,10.0,34.0,67.0,65.0,107.0,141.0,34.0,55.0,57.0,66.0,30.0,28.0,11.0,28.0,13.0,295.0,31.0,28.0,0.5423452768729642,0.68,0.28825622775800713,0.6632653061224489,0.7214285714285714,0.5833333333333334,0.7619047619047619,93.40699815837937,0.4642857142857143,15.717948717948717,15.124223602484472,15.253205128205128,14.285714285714286,0.30604982206405695,0.09608540925266904,0.23843416370106763,0.4444444444444444,0.2777777777777778,0.594306049822064,0.5070300711743773,0.472675,0.10333333333333333,0.13761467889908258,0.1021021021021021,6.8375,24.262962962962963,0.09615384615384616,30.0,87.0,25.0,95.0,31.0,116.0,90.0,25.0,58.0,30.0,88.0,24.0,21.0,206.0,36.0,26.0,7.0,41.0,6.0,0.6105263157894737,0.651685393258427,0.967741935483871,0.38271604938271603,0.38271604938271603,0.475,0.50355871886121,0.6341463414634146,0.8571428571428571,0.875,0.3096085409252669,0.3448275862068966,0.38961038961038963,0.7,0.373134328358209,0.373134328358209,0.96,0.373134328358209,29.0,23.0,9.0,20.0,27.0,34.0,12.0,0.6923076923076923,0.6666666666666666,0.1,0.11494252873563218,0.2571428571428571,0.21935483870967742,0.22807017543859648,0.5448904761904763,11.0,7.0,2.0,0.4074074074074074,0.4074074074074074,0.6363636363636364,54.0,10.0,14.0,5.0,6.0,14.0,1.0,1.0,1.0,2.0,14.0,1.0,2.0,7.0,38.0,2.0,74.0,3.0,12.0,6.0,30.0,7.0,6.0,3.0,35.0,27.0,8.0,6.0,19.0,15.0,1.0,4.0,3.0,1.0,2.0,1.0,5.0,2.0,6.0,16.0,1.0,3.0,4.0,0.5,0.4,0.6086956521739131,0.62,0.6785714285714286,0.11627906976744186,0.8571428571428571,0.14,0.34375,0.1875,0.16666666666666666,0.6829268292682927,0.8,0.022222222222222223,0.627906976744186,0.7105263157894737,0.5555555555555556,0.0498220640569395,0.42857142857142855,0.42857142857142855,1.0,0.56,0.7142857142857143,0.3,0.04,1.0,1.0,0.04,0.625,0.4,0.012195121951219513,0.11411411411411411,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1628931-1629496-202252-203014-203400,1611661328,"Gabby Williams, Ezi Magbegor, Alysha Clark, Nneka Ogwumike, Skylar Diggins","Williams, Magbegor, Clark, Ogwumike, Diggins",1628931-1629496-202252-203014-203400,SEA,6900.0,12,115.0,-22.0,227.0,227.0,25.0,13.0,454.0,36.0,4.0,25.0,46.0,5.0,138.0,60.0,23.0,210.0,232.0,14.0,7.0,3.0,22.0,46.0,43.0,76.0,100.0,25.0,46.0,35.0,36.0,19.0,10.0,8.0,11.0,9.0,194.0,22.0,25.0,0.49295774647887325,0.4782608695652174,0.30303030303030304,0.6935483870967742,0.696078431372549,0.6842105263157895,0.75,94.74782608695652,0.8181818181818182,16.303964757709252,14.092511013215859,15.73568281938326,13.52863436123348,0.18181818181818182,0.12626262626262627,0.23232323232323232,0.19047619047619047,0.23809523809523808,0.48484848484848486,0.4701606060606061,0.4513809523809523,0.08962264150943396,0.125,0.10476190476190476,8.332608695652175,24.346666666666668,0.11013215859030837,38.0,77.0,12.0,71.0,15.0,96.0,39.0,12.0,48.0,13.0,61.0,10.0,24.0,135.0,28.0,26.0,5.0,38.0,3.0,0.676056338028169,0.7058823529411765,0.8666666666666667,0.25,0.25,0.5144927536231884,0.4722222222222222,0.6842105263157895,0.7,0.7241379310344828,0.3888888888888889,0.4935064935064935,0.5507246376811594,0.631578947368421,0.2608695652173913,0.27906976744186046,0.8333333333333334,0.2608695652173913,19.0,10.0,8.0,9.0,18.0,24.0,5.0,0.5714285714285714,0.4523809523809524,0.06521739130434782,0.1038961038961039,0.2727272727272727,0.20909090909090908,0.2894736842105263,0.5264392857142857,8.0,4.0,4.0,0.32,0.32,0.5,25.0,3.0,7.0,3.0,3.0,14.0,,1.0,6.0,1.0,4.0,2.0,7.0,2.0,16.0,1.0,46.0,6.0,6.0,3.0,20.0,5.0,5.0,4.0,26.0,16.0,10.0,6.0,21.0,12.0,,1.0,4.0,,2.0,2.0,2.0,,1.0,2.0,,2.0,1.0,0.2857142857142857,0.14285714285714285,0.4,0.4117647058823529,0.42105263157894735,0.027777777777777776,1.0,0.11363636363636363,0.36363636363636365,0.17647058823529413,0.12121212121212122,0.6875,0.6363636363636364,0.04081632653061224,0.6944444444444444,0.7142857142857143,0.8,0.0707070707070707,0.21428571428571427,0.21428571428571427,1.0,0.4117647058823529,0.42857142857142855,,0.058823529411764705,,,0.35294117647058826,0.75,0.2,,0.0761904761904762,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.05,0.06521739130434782,0.14285714285714285,0.09090909090909091,0.3333333333333333,1.0,0.09523809523809523,,,,,,,,,,,1611661328,2025,2025,False
1628931-1629574-203014-203400-204365,1611661328,"Gabby Williams, Li Yueru, Nneka Ogwumike, Skylar Diggins, Erica Wheeler","Williams, Yueru, Ogwumike, Diggins, Wheeler",1628931-1629574-203014-203400-204365,SEA,375.0,3,6.0,12.0,15.0,11.0,3.0,3.0,26.0,6.0,,2.0,1.0,,10.0,1.0,3.0,17.0,5.0,1.0,,1.0,1.0,1.0,,3.0,4.0,1.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,,15.0,1.0,3.0,0.6538461538461539,0.25,0.09090909090909091,,0.75,,,99.84,,12.933333333333334,16.454545454545453,12.266666666666667,16.454545454545453,0.5454545454545454,0.18181818181818182,0.09090909090909091,,,0.6363636363636364,0.5794863636363636,0.3921,0.08333333333333333,0.09090909090909091,0.058823529411764705,6.659999999999999,24.2,0.2,,2.0,,7.0,,8.0,,,4.0,,4.0,,,8.0,3.0,2.0,,3.0,1.0,0.5714285714285714,0.5714285714285714,,,,0.7,0.6363636363636364,0.6666666666666666,1.0,1.0,0.18181818181818182,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,0.3333333333333333,0.25,0.5,0.4906,1.0,1.0,,0.5,0.5,1.0,6.0,1.0,1.0,,,,,,,,1.0,,,,2.0,,6.0,,,,3.0,,,,3.0,3.0,,,2.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,0.5,,,,,1.0,1.0,1.0,,,,,,,,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
