EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,PtsUnassisted2s,DefThreePtRebounds,FoulsDrawn,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Offensive Fouls Drawn,Fg2aBlocked,Steals,LostBallSteals,ShootingFouls,FG2APctBlocked,AtRimPctBlocked,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,2pt And 1 Free Throw Trips,LiveBallTurnoverPct,DefFTReboundPct,PenaltyDefPoss,DefLongMidRangeReboundPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsPutbacks,HeaveAttempts,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,BadPassSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PtsUnassisted3s,SelfOReb,BadPassOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Transition Take Fouls Drawn,BlockedAtRim,ShortMidRangePctBlocked,SelfORebPct,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3FGA,Loose Ball Fouls Drawn,OffCorner3ReboundPct,SecondChanceCorner3Frequency,LongMidRangePctBlocked,OffLongMidRangeReboundPct,SecondChanceFtPoints,Charge Fouls,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
1627676-1628279-1642798-203014-204365,1611661328,"Tiffany Mitchell, Brittney Sykes, Dominique Malonga, Nneka Ogwumike, Erica Wheeler","Mitchell, Sykes, Malonga, Ogwumike, Wheeler",1627676-1628279-1642798-203014-204365,SEA,85.0,1,1.0,-3.0,3.0,3.0,6,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,101.6470588235294,12.0,16.333333333333332,12.0,15.666666666666666,0.5,1.0,1.0,1.0,0.5,0.5,0.53935,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1627676-1628882-1629496-1641660-1642798,1611661328,"Tiffany Mitchell, Lexie Brown, Ezi Magbegor, Zia Cooke, Dominique Malonga","Mitchell, Brown, Magbegor, Cooke, Malonga",1627676-1628882-1629496-1641660-1642798,SEA,98.0,1,2.0,-3.0,4.0,4.0,8,,,1.0,2.0,3.0,4.0,7.0,,,,,,,1.0,1.0,,,,,4.0,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1.0,,117.55102040816327,11.0,13.5,11.0,13.5,,,,,0.3333333333333333,,0.39749999999999996,15.366666666666667,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1627676-1628882-1641660-1642307-1642798,1611661328,"Tiffany Mitchell, Lexie Brown, Zia Cooke, Mackenzie Holmes, Dominique Malonga","Mitchell, Brown, Cooke, Holmes, Malonga",1627676-1628882-1641660-1642307-1642798,SEA,299.0,1,5.0,7.0,10.0,9.0,19,1.0,1.0,2.0,2.0,3.0,15.0,8.0,2.0,1.0,3.0,,8.0,3.0,5.0,5.0,,,,,15.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.75,0.7142857142857143,,91.50501672240803,12.9,18.88888888888889,12.9,18.11111111111111,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.6666666666666666,0.5152916666666667,3.766666666666667,1.0,,,2.0,2.0,3.0,0.6666666666666666,,0.5,0.5,,,,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,3.0,5.0,15.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,15.0,10.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.5,0.75,0.6666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.3333333333333333,0.5,0.5,0.5152916666666667,0.25,0.4,1.0,25.166666666666668,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1627676-1628931-1629496-1642798-204365,1611661328,"Tiffany Mitchell, Gabby Williams, Ezi Magbegor, Dominique Malonga, Erica Wheeler","Mitchell, Williams, Magbegor, Malonga, Wheeler",1627676-1628931-1629496-1642798-204365,SEA,36.0,1,1.0,,1.0,1.0,2,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,80.0,21.0,15.0,21.0,15.0,,,,,,1.0,0.53985,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,24.8,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1627676-1628931-1642798-203014-204365,1611661328,"Tiffany Mitchell, Gabby Williams, Dominique Malonga, Nneka Ogwumike, Erica Wheeler","Mitchell, Williams, Malonga, Ogwumike, Wheeler",1627676-1628931-1642798-203014-204365,SEA,102.0,1,2.0,-2.0,4.0,5.0,9,1.0,3.0,1.0,1.0,4.0,2.0,4.0,,,,,,,1.0,1.0,,,1.0,,2.0,,,0.25,0.25,0.25,,1.0,,127.05882352941177,13.75,9.4,13.75,9.4,0.75,0.3333333333333333,0.5,,0.25,0.75,0.5456,5.725,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1627676-1629496-1641660-1642798-204365,1611661328,"Tiffany Mitchell, Ezi Magbegor, Zia Cooke, Dominique Malonga, Erica Wheeler","Mitchell, Magbegor, Cooke, Malonga, Wheeler",1627676-1629496-1641660-1642798-204365,SEA,51.0,1,1.0,,2.0,3.0,5,,,1.0,1.0,1.0,2.0,2.0,,,,,,1.0,2.0,2.0,,1.0,1.0,,2.0,,,1.0,0.5,0.5,1.0,1.0,1.0,141.1764705882353,17.0,5.666666666666667,17.0,4.666666666666667,,,,,0.5,0.5,0.398575,4.9,1.0,,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,,,,,,,,,0.5,1.0,,25.2,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1627676-1629496-1642798-203400-204365,1611661328,"Tiffany Mitchell, Ezi Magbegor, Dominique Malonga, Skylar Diggins, Erica Wheeler","Mitchell, Magbegor, Malonga, Diggins, Wheeler",1627676-1629496-1642798-203400-204365,SEA,35.0,1,1.0,,1.0,,1,1.0,1.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,1.0,,2.0,,,1.0,1.0,1.0,,,,41.14285714285714,6.0,,6.0,,1.0,1.0,1.0,,,1.0,0.6721,3.3,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1628279-1628931-1629496-1642798-203014,1611661328,"Brittney Sykes, Gabby Williams, Ezi Magbegor, Dominique Malonga, Nneka Ogwumike","Sykes, Williams, Magbegor, Malonga, Ogwumike",1628279-1628931-1629496-1642798-203014,SEA,17.0,1,,-4.0,,2.0,2,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,169.41176470588235,,8.5,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1628279-1628931-1629496-1642798-203400,1611661328,"Brittney Sykes, Gabby Williams, Ezi Magbegor, Dominique Malonga, Skylar Diggins","Sykes, Williams, Magbegor, Malonga, Diggins",1628279-1628931-1629496-1642798-203400,SEA,101.0,1,2.0,,2.0,3.0,5,,,2.0,1.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,,,,2.0,,,0.5,0.5,0.5,1.0,1.0,,71.2871287128713,14.0,24.333333333333332,14.0,24.333333333333332,,,,,1.0,,0.4056,7.15,1.0,,,2.0,,1.0,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
1628279-1628931-1629496-1642798-204365,1611661328,"Brittney Sykes, Gabby Williams, Ezi Magbegor, Dominique Malonga, Erica Wheeler","Sykes, Williams, Magbegor, Malonga, Wheeler",1628279-1628931-1629496-1642798-204365,SEA,503.0,2,8.0,7.0,16.0,17.0,33,3.0,5.0,6.0,7.0,12.0,18.0,11.0,8.0,4.0,5.0,2.0,11.0,6.0,7.0,13.0,2.0,4.0,3.0,1.0,14.0,0.5714285714285714,0.8,0.5833333333333334,0.5,0.5,0.8571428571428571,0.875,1.0,94.47316103379723,13.125,17.235294117647058,10.4375,16.941176470588236,0.29411764705882354,0.6,0.75,0.6666666666666666,0.35294117647058826,0.5882352941176471,0.481809375,6.608333333333333,3.0,1.0,1.0,6.0,1.0,5.0,1.0,,0.5,0.5,0.058823529411764705,1.0,1.0,6.0,3.0,4.0,,,,,1.0,5.0,1.0,2.0,1.0,5.0,1.0,3.0,4.0,1.0,2.0,,9.0,3.0,4.0,1.0,1.0,1.0,,1.0,3.0,2.0,,3.0,3.0,3.0,2.0,9.0,6.0,,1.0,0.2,0.5,0.25,0.75,0.75,0.75,0.29411764705882354,0.8,1.0,0.6666666666666666,0.3333333333333333,,,,,0.29411764705882354,0.2,0.2,1.0,0.6666666666666666,0.75,,,0.3333333333333333,0.5,0.25,0.5352699999999999,0.1111111111111111,0.15384615384615385,0.5,29.54,0.375,1.0,1.0,2.0,,2.0,0.08333333333333333,0.2,,2.0,1.0,1.0,0.5,,5.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.4,0.4,0.8,0.6666666666666666,0.75,0.5,1.0,0.6666666666666666,1.0,0.2,1.0,0.4,0.548775,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2025,2025,False
