EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,Corner3Assists,AtRimAssists,FTDefRebounds,PenaltyTurnovers,Loose Ball Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,FtPoints,PtsPutbacks,OffThreePtRebounds,FTA,TwoPtShootingFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFtPoints,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefAtRimReboundPct,Loose Ball Fouls Drawn,SecondChanceArc3FGM,SecondChanceFG3M,SelfOReb,LostBallTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,Transition Take Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedAtRim,BlockedCorner3,SecondChanceFg3Pct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,HeaveAttempts,FTOffRebounds,LostBallOutOfBoundsTurnovers,BlockedArc3,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Charge Fouls,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,Transition Take Fouls Drawn,BlockedLongMidRange,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1629498-1642295-203833-204319-204329,1611661319,"Jackie Young, Elizabeth Kitley, Chelsea Gray, Jewell Loyd, Kiah Stokes","Young, Kitley, Gray, Loyd, Stokes",1629498-1642295-203833-204319-204329,LVA,639.0,1,11.0,10.0,21.0,21.0,1.0,42,5.0,9.0,2.0,4.0,4.0,6.0,7.0,13.0,4.0,6.0,26.0,16.0,1.0,1.0,2.0,10.0,4.0,6.0,6.0,6.0,4.0,1.0,5.0,2.0,7.0,2.0,3.0,2.0,16.0,1.0,3.0,4.0,7.0,1.0,8.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,24.0,0.7142857142857143,0.7142857142857143,0.5,0.6666666666666666,0.6666666666666666,0.5384615384615384,1.0,0.6842105263157895,1.0,0.6842105263157895,1.0,0.3157894736842105,0.07692307692307693,0.1111111111111111,0.3333333333333333,1.0,0.16666666666666666,0.75,0.875,0.125,0.25,1.0,1.0,0.5,94.64788732394366,1.0,14.285714285714286,16.142857142857142,14.095238095238095,16.095238095238095,0.47368421052631576,0.5555555555555556,0.625,0.6,0.21052631578947367,0.5,0.5,1.0,0.3157894736842105,0.6666666666666666,0.6666666666666666,0.5,0.3157894736842105,0.6666666666666666,0.446471052631579,0.3047,0.07692307692307693,11.492307692307692,25.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,True
1628932-1629484-1629498-1642801-203833,1611661319,"A'ja Wilson, Megan Gustafson, Jackie Young, Aaliyah Nye, Chelsea Gray","Wilson, Gustafson, Young, Nye, Gray",1628932-1629484-1629498-1642801-203833,LVA,224.0,2,4.0,-4.0,7.0,8.0,1.0,15,,1.0,,1.0,1.0,3.0,1.0,4.0,2.0,4.0,8.0,12.0,,,,2.0,,6.0,,3.0,1.0,1.0,1.0,2.0,3.0,1.0,,,8.0,2.0,1.0,,2.0,2.0,4.0,,,,1.0,,1.0,,1.0,2.0,3.0,,,,,,,8.0,1.0,1.0,1.0,0.5,0.5,0.25,,0.5,,0.5,,0.5,0.25,,1.0,,0.6666666666666666,1.0,0.5,0.4,,,1.0,,96.42857142857143,,17.142857142857142,13.0,16.571428571428573,12.0,0.125,,,,0.125,,,,0.375,0.3333333333333333,0.3333333333333333,1.0,0.75,0.3333333333333333,0.49180625,0.53865,,6.7,25.475,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,8.0,7.0,1.0,0.5,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.5,1.0,1.0,1.0,0.25,0.5,1.0,1.0,0.125,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.42857142857142855,0.3333333333333333,0.4859642857142857,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,True
1628932-1629498-1630115-1630389-204319,1611661319,"A'ja Wilson, Jackie Young, Joyner Holmes, Dana Evans, Jewell Loyd","Wilson, Young, Holmes, Evans, Loyd",1628932-1629498-1630115-1630389-204319,LVA,52.0,1,1.0,1.0,2.0,2.0,1.0,4,,,,,,1.0,1.0,1.0,,1.0,3.0,2.0,1.0,1.0,2.0,,2.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,0.5,1.0,0.5,1.0,0.5,,,,,,,,1.0,,,,,110.76923076923076,,11.5,14.5,11.0,14.5,,,,,,,,,0.5,,,,1.0,,0.557125,,0.6666666666666666,3.2,25.5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,True
1627676-1628932-1629498-1630389-203833,1611661319,"Tiffany Mitchell, A'ja Wilson, Jackie Young, Dana Evans, Chelsea Gray","Mitchell, Wilson, Young, Evans, Gray",1627676-1628932-1629498-1630389-203833,LVA,273.0,3,5.0,-2.0,8.0,7.0,2.0,15,,2.0,,1.0,,,2.0,5.0,1.0,1.0,13.0,15.0,1.0,1.0,4.0,2.0,2.0,3.0,,,,2.0,1.0,1.0,2.0,,,,5.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,,1.0,,1.0,,1.0,2.0,3.0,4.0,,,,,,9.0,0.5,1.0,1.0,1.0,1.0,0.4,1.0,0.5833333333333334,1.0,0.7222222222222222,1.0,0.16666666666666666,0.4,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,,,1.0,79.12087912087912,,15.625,21.142857142857142,15.625,20.571428571428573,0.3333333333333333,,,,0.16666666666666666,,,,,,,,0.5,,0.49121666666666663,0.678,0.3076923076923077,7.5,23.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,2.0,4.0,,,6.0,1.0,1.0,,1.0,,6.0,4.0,,,0.5,0.5,0.6,,,,1.0,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,1.0,,0.5,1.0,,,,,0.4863,0.46153846153846156,0.5,1.0,1.0,6.0,2.0,,6.0,2.0,,,1.0,1.0,0.25,0.2857142857142857,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,True
1629498-1630115-1630389-1631006-204319,1611661319,"Jackie Young, Joyner Holmes, Dana Evans, Kierstan Bell, Jewell Loyd","Young, Holmes, Evans, Bell, Loyd",1629498-1630115-1630389-1631006-204319,LVA,112.0,1,2.0,1.0,3.0,3.0,,6,,1.0,,,,,2.0,3.0,,,4.0,3.0,,,,2.0,2.0,,,,,,1.0,,1.0,,,,2.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,2.0,,,,,,4.0,0.5,0.5,,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,0.5,,,0.5,,,,,,77.14285714285714,,20.666666666666668,16.666666666666668,20.666666666666668,16.0,0.3333333333333333,,,,,,,,,,,,0.6666666666666666,,0.5575,,,3.1666666666666665,,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,True
1627676-1629498-1630389-203833-204329,1611661319,"Tiffany Mitchell, Jackie Young, Dana Evans, Chelsea Gray, Kiah Stokes","Mitchell, Young, Evans, Gray, Stokes",1627676-1629498-1630389-203833-204329,LVA,75.0,2,1.0,2.0,2.0,3.0,1.0,5,,1.0,,,,1.0,1.0,2.0,,1.0,2.0,,1.0,1.0,2.0,,2.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,96.0,,12.5,16.666666666666668,12.0,13.0,0.3333333333333333,,,,,,,,0.3333333333333333,,,,0.6666666666666666,,0.4396333333333333,0.7342,1.0,3.35,29.0,1.0,3.0,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,1.0,,0.165,,0.5,1.0,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,True
1627676-1628932-1630389-1631006-1642801,1611661319,"Tiffany Mitchell, A'ja Wilson, Dana Evans, Kierstan Bell, Aaliyah Nye","Mitchell, Wilson, Evans, Bell, Nye",1627676-1628932-1630389-1631006-1642801,LVA,78.0,1,1.0,2.0,4.0,3.0,,7,,,,,,1.0,1.0,2.0,,1.0,4.0,2.0,,,,2.0,,,,1.0,,,1.0,,1.0,,,,2.0,,1.0,1.0,2.0,,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,4.0,1.0,1.0,,,,0.5,,0.3333333333333333,,0.5,,0.3333333333333333,,,,1.0,,1.0,1.0,,,,,1.0,129.23076923076923,,11.5,10.666666666666666,11.5,10.666666666666666,,,,,,,,,0.3333333333333333,,,,1.0,,0.6002833333333334,,,1.4,24.2,4.0,3.0,1.0,2.0,1.0,2.0,,,,,,,1.0,,1.0,2.0,,1.0,4.0,,1.0,,,,4.0,4.0,,,0.5,0.3333333333333333,0.5,,,,,0.6666666666666666,0.5,0.5,1.0,,,,,,0.6666666666666666,0.5,,,0.3333333333333333,,0.6002833333333334,1.0,1.0,,,2.0,,,2.0,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,True
1628932-1629498-1630389-204319-204325,1611661319,"A'ja Wilson, Jackie Young, Dana Evans, Jewell Loyd, Crystal Bradford","Wilson, Young, Evans, Loyd, Bradford",1628932-1629498-1630389-204319-204325,LVA,263.0,2,4.0,10.0,9.0,9.0,2.0,18,2.0,2.0,,1.0,,1.0,4.0,7.0,2.0,3.0,16.0,6.0,1.0,1.0,2.0,6.0,2.0,6.0,,1.0,,2.0,3.0,2.0,5.0,,1.0,,12.0,2.0,2.0,2.0,4.0,2.0,6.0,,,,,,,,,,,1.0,,,,,,14.0,0.75,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,1.0,0.7,0.5,0.7272727272727273,0.5,0.3,0.2857142857142857,,,0.6666666666666666,0.6666666666666666,1.0,0.8,0.5,,1.0,1.0,,98.5551330798479,,15.0,14.222222222222221,14.333333333333334,14.222222222222221,0.2,1.0,1.0,0.5,0.1,,,,0.1,,,,0.7,,0.503895,0.457975,0.125,7.5,24.3,,2.0,2.0,4.0,,,2.0,2.0,,,1.0,,,1.0,,,,,,2.0,2.0,,,,,,,,,,,0.5,,0.5,1.0,0.4,0.5,1.0,1.0,0.2,1.0,1.0,1.0,0.5,,,,,,,,,,,,2.0,2.0,,2.0,1.0,,,,,0.09090909090909091,0.125,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,True
1628932-1629498-1642801-203833-204319,1611661319,"A'ja Wilson, Jackie Young, Aaliyah Nye, Chelsea Gray, Jewell Loyd","Wilson, Young, Nye, Gray, Loyd",1628932-1629498-1642801-203833-204319,LVA,5246.0,22,87.0,-68.0,172.0,181.0,18.0,353,22.0,49.0,5.0,17.0,19.0,52.0,40.0,87.0,20.0,60.0,171.0,239.0,5.0,12.0,18.0,36.0,44.0,54.0,6.0,52.0,19.0,12.0,18.0,18.0,36.0,17.0,10.0,5.0,90.0,14.0,20.0,28.0,51.0,21.0,72.0,14.0,9.0,5.0,18.0,4.0,9.0,13.0,31.0,21.0,54.0,40.0,4.0,6.0,3.0,7.0,4.0,153.0,0.45,0.4864864864864865,0.9,0.3333333333333333,0.3333333333333333,0.45977011494252873,0.4166666666666667,0.47619047619047616,0.47058823529411764,0.5246913580246914,0.5,0.40816326530612246,0.13793103448275862,0.14285714285714285,0.5806451612903226,0.7567567567567568,0.2978723404255319,0.5405405405405406,0.6486486486486487,0.24705882352941178,0.2962962962962963,0.8260869565217391,0.5909090909090909,0.4666666666666667,96.89668318719023,0.5714285714285714,16.3546511627907,13.441988950276244,15.726744186046512,12.80110497237569,0.3333333333333333,0.4489795918367347,0.5238095238095238,0.45454545454545453,0.11564625850340136,0.29411764705882354,0.29411764705882354,1.0,0.35374149659863946,0.36538461538461536,0.36538461538461536,0.8947368421052632,0.5510204081632653,0.36538461538461536,0.46954691780821917,0.5187545454545455,0.10526315789473684,7.926436781609196,25.495,25.0,58.0,13.0,21.0,,1.0,1.0,8.0,,2.0,5.0,1.0,6.0,5.0,2.0,8.0,1.0,8.0,17.0,1.0,3.0,3.0,4.0,2.0,15.0,24.0,9.0,0.125,0.25,0.21875,0.40476190476190477,0.23809523809523808,1.0,0.5,0.16666666666666666,0.14285714285714285,0.6190476190476191,0.8125,0.23076923076923078,0.05442176870748299,0.125,0.125,1.0,0.29411764705882354,0.0625,,0.125,,0.375,0.16666666666666666,0.44831333333333334,0.09941520467836257,0.14534883720930233,2.0,3.0,31.0,6.0,7.0,36.0,16.0,0.18421052631578946,0.1935483870967742,0.17647058823529413,0.6666666666666666,0.10126582278481013,0.16326530612244897,2.0,10.0,4.0,3.0,0.3333333333333333,1.0,2.0,2.0,3.0,9.0,2.0,3.0,4.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,0.4,0.14285714285714285,0.875,0.0410958904109589,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,True
1627676-1628932-1630389-1642801-204319,1611661319,"Tiffany Mitchell, A'ja Wilson, Dana Evans, Aaliyah Nye, Jewell Loyd","Mitchell, Wilson, Evans, Nye, Loyd",1627676-1628932-1630389-1642801-204319,LVA,244.0,2,4.0,-2.0,9.0,8.0,2.0,17,,2.0,,4.0,,,2.0,8.0,,2.0,4.0,6.0,,2.0,,,4.0,,,,,3.0,,,,,,,,3.0,,2.0,3.0,3.0,6.0,1.0,1.0,,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,4.0,,,,,,0.25,,0.2,,0.2,,0.2,0.375,0.5,0.5,1.0,0.5,,1.0,0.375,,1.0,,,100.32786885245902,,15.444444444444445,13.125,13.444444444444445,13.125,0.2,,,,0.4,,,,,,,,0.4,,0.43146000000000007,0.3784,,10.1125,23.9,7.0,,2.0,2.0,2.0,2.0,,2.0,,1.0,,,,,2.0,7.0,,1.0,4.0,,,1.0,2.0,,4.0,7.0,,,0.2857142857142857,0.25,0.25,,1.0,,0.75,0.2,1.0,1.0,,0.2,,,,,0.25,1.0,0.125,,,,0.4226625,1.0,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2025,2025,True
