EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,TotalPoss,Arc3FGA,FG3A,NonHeaveArc3FGA,Fouls,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,Minutes,DefPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DeadBallTurnovers,Turnovers,ShootingFouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Avg2ptShotDistance,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,PlusMinus,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,FtPoints,SecondChanceFG2A,SecondChanceFG3A,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Charge Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,LiveBallTurnoverPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,SecondChanceArc3FGA,PtsUnassisted2s,AtRimAssists,FTDefRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,DefFTReboundPct,OffCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceArc3Frequency,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,Steals,BadPassSteals,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyOffPoss,PenaltyDefPoss,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Corner3Assists,OffTwoPtRebounds,Travels,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Fg3aBlocked,BadPassOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,FG3APctBlocked,Corner3PctBlocked,DefLongMidRangeReboundPct,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,PenaltyAtRimFGA,SelfOReb,Offensive Fouls,2pt And 1 Free Throw Trips,SelfORebPct,PenaltyAtRimFrequency,Fg2aBlocked,LostBallSteals,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,PtsUnassisted3s,OffLongMidRangeReboundPct,PenaltyAtRimFGM,AtRimPctBlocked,PenaltyAtRimAccuracy,Transition Take Fouls Drawn,Technical Free Throw Trips,Arc3PctBlocked,PenaltyArc3FGA,PenaltyArc3Frequency,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,Charge Fouls Drawn,SecondChanceAtRimFGM,SecondChanceAtRimAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceAtRimPctAssisted,PtsPutbacks,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,BlockedLongMidRange,Blocked3s,BlockedArc3,HeaveAttempts,LongMidRangePctBlocked,3SecondViolations,StepOutOfBoundsTurnovers,Clear Path Fouls,Transition Take Fouls,BlockedCorner3,team_id,year,season,team_vs
1627701-1631007-1642210-1642304-203866,1611661331,"Temi Fágbénlé, Veronica Burton, Julie Vanloo, Carla Leite, Kayla Thornton","Fágbénlé, Burton, Vanloo, Leite, Thornton",1627701-1631007-1642210-1642304-203866,GSV,24.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,15.0,15.0,1.0,1.0,0.52935,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628881-1642210-1642324-203026-203866,1611661331,"Monique Billings, Julie Vanloo, Kate Martin, Tiffany Hayes, Kayla Thornton","Billings, Vanloo, Martin, Hayes, Thornton",1628881-1642210-1642324-203026-203866,GSV,35.0,1,2.0,3.0,,,,1.0,,123.42857142857142,14.5,14.5,,,0.3985,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628508-1631007-1642304-1642324-1642767,1611661331,"Cecilia Zandalasini, Veronica Burton, Carla Leite, Kate Martin, Janelle Salaün","Zandalasini, Burton, Leite, Martin, Salaün",1628508-1631007-1642304-1642324-1642767,GSV,18.0,1,,1.0,,,,,,80.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,18.0,17.0,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1630387-1631007-1641656-1642767-203026,1611661331,"Iliana Rupert, Veronica Burton, Laeticia Amihere, Janelle Salaün, Tiffany Hayes","Rupert, Burton, Amihere, Salaün, Hayes",1630387-1631007-1641656-1642767-203026,GSV,236.0,2,8.0,15.0,2.0,3.0,2.0,3.0,0.5,91.52542372881356,16.125,13.25,0.3333333333333333,0.6666666666666666,0.46521666666666667,25.46666666666667,4.0,7.0,,2.0,,3.0,2.0,11.0,,,,,,1.0,2.0,2.0,2.0,,,,,0.14285714285714285,15.285714285714286,12.285714285714286,0.3333333333333333,,,,4.266666666666667,1.0,2.0,3.0,0.5,0.5,,-9.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.5,1.0,0.5,0.16666666666666666,0.16666666666666666,0.5,0.5,0.4617,0.14285714285714285,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628508-1631007-1641656-1642324-203026,1611661331,"Cecilia Zandalasini, Veronica Burton, Laeticia Amihere, Kate Martin, Tiffany Hayes","Zandalasini, Burton, Amihere, Martin, Hayes",1628508-1631007-1641656-1642324-203026,GSV,218.0,2,8.0,15.0,2.0,4.0,2.0,2.0,0.5714285714285714,99.08256880733946,17.0,15.5,0.2857142857142857,1.0,0.5244857142857143,24.825,4.0,7.0,,,2.0,3.0,6.0,5.0,2.0,1.0,1.0,,2.0,2.0,2.0,1.0,6.0,0.5,0.5,0.6666666666666666,0.2857142857142857,0.375,11.714285714285714,11.0,,,,,3.466666666666667,1.0,4.0,6.0,1.0,0.75,,1.0,2.0,3.0,,2.0,,2.0,,1.0,2.0,2.0,2.0,,,,3.0,2.0,1.0,,0.6666666666666666,0.5,0.4,0.5,1.0,0.6666666666666666,0.42857142857142855,0.2857142857142857,,,0.54825,0.125,0.25,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628881-1631007-1642324-203855-203866,1611661331,"Monique Billings, Veronica Burton, Kate Martin, Stephanie Talbot, Kayla Thornton","Billings, Burton, Martin, Talbot, Thornton",1628881-1631007-1642324-203855-203866,GSV,308.0,2,11.0,21.0,3.0,4.0,3.0,2.0,0.4444444444444444,98.18181818181817,12.636363636363637,12.636363636363637,0.3333333333333333,0.7777777777777778,0.5359,25.225,5.0,10.0,,1.0,3.0,5.0,9.0,6.0,2.0,1.0,2.0,,5.0,,2.0,1.0,9.0,0.3333333333333333,0.3333333333333333,0.6,0.5,0.5,16.9,15.6,0.1111111111111111,,,,5.88,1.0,6.0,6.0,1.0,0.75,1.0,3.0,,3.0,,1.0,,,,,,5.0,,2.0,2.0,,,,,1.0,0.7142857142857143,,,,,0.6666666666666666,0.3333333333333333,0.1111111111111111,,,,,,2.0,,4.0,,,,,,,,,0.6666666666666666,0.6666666666666666,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,0.25,1.0,0.1111111111111111,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1631007-1631064-1641656-203026-203866,1611661331,"Veronica Burton, Chloe Bibby, Laeticia Amihere, Tiffany Hayes, Kayla Thornton","Burton, Bibby, Amihere, Hayes, Thornton",1631007-1631064-1641656-203026-203866,GSV,270.0,2,9.0,18.0,,2.0,,2.0,0.4,96.0,14.222222222222221,11.11111111111111,,0.4,0.42611999999999994,23.15,4.0,9.0,1.0,2.0,2.0,3.0,14.0,10.0,,,1.0,,3.0,1.0,1.0,,8.0,,,0.6666666666666666,0.7,0.7777777777777778,15.777777777777779,14.777777777777779,0.4,0.5,0.5,,10.0,,2.0,4.0,,0.5,,4.0,3.0,,,2.0,,7.0,1.0,,1.0,2.0,2.0,,,,5.0,8.0,2.0,,1.0,1.0,1.0,,,1.0,,0.4,,,,0.2857142857142857,0.4,,,4.0,,,,,,,,1.0,,,,,1.0,1.0,,1.0,3.0,,1.0,,,1.0,1.0,1.0,0.5,0.5,,0.2,1.0,1.0,,,,,,7.0,6.0,1.0,1.0,2.0,1.0,4.0,6.0,1.0,2.0,1.0,2.0,7.0,12.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,12.0,7.0,1.0,2.0,0.5,1.0,0.5,1.0,0.625,1.0,0.75,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.4155,0.42857142857142855,0.8571428571428571,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628881-1642210-1642304-1642324-203855,1611661331,"Monique Billings, Julie Vanloo, Carla Leite, Kate Martin, Stephanie Talbot","Billings, Vanloo, Leite, Martin, Talbot",1628881-1642210-1642304-1642324-203855,GSV,166.0,1,5.0,11.0,1.0,2.0,1.0,1.0,0.6666666666666666,95.42168674698796,18.8,18.6,0.3333333333333333,0.6666666666666666,0.44445,24.1,3.0,6.0,,1.0,,1.0,,5.0,,,,,,1.0,2.0,1.0,,,,,,,12.0,12.0,0.3333333333333333,,,,8.0,2.0,3.0,4.0,1.0,1.0,1.0,-5.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,0.5,,0.5,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.4,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1628508-1630387-1641656-1642304-1642822,1611661331,"Cecilia Zandalasini, Iliana Rupert, Laeticia Amihere, Carla Leite, Kaitlyn Chen","Zandalasini, Rupert, Amihere, Leite, Chen",1628508-1630387-1641656-1642304-1642822,GSV,125.0,1,3.0,7.0,,,,,,80.64,22.666666666666668,22.666666666666668,,,,,2.0,4.0,,,,,3.0,4.0,,,,,,,3.0,,3.0,,,,,1.5,14.25,12.75,,,,,,,,,,,,-1.0,,,,,,3.0,,,,,,3.0,1.0,,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
1627701-1631007-1642324-1642767-203855,1611661331,"Temi Fágbénlé, Veronica Burton, Kate Martin, Janelle Salaün, Stephanie Talbot","Fágbénlé, Burton, Martin, Salaün, Talbot",1627701-1631007-1642324-1642767-203855,GSV,291.0,2,10.0,21.0,4.0,4.0,4.0,1.0,0.6666666666666666,103.91752577319589,14.7,14.7,0.6666666666666666,0.6666666666666666,0.4999166666666666,24.025,5.0,11.0,,1.0,1.0,2.0,16.0,16.0,2.0,1.0,5.0,,14.0,,2.0,,16.0,1.0,1.0,0.5,1.1666666666666667,1.1428571428571428,13.090909090909092,11.909090909090908,0.16666666666666666,,,,11.95,3.0,3.0,3.0,0.75,0.75,0.5,,,,,,,2.0,,,,,,2.0,1.0,,3.0,2.0,1.0,1.0,,,,,1.0,,,,,,,0.14285714285714285,0.3333333333333333,,,,,,,,,,,,,,,,1.0,1.0,4.0,4.0,12.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661331,2025,2025,False
