EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,OffTwoPtRebounds,FTOffRebounds,BadPassSteals,Offensive Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,LongMidRangeAssists,BlockedShortMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3FGA,SecondChanceFG3A,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,LostBallTurnovers,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,FTDefRebounds,PenaltyTurnovers,BlockingFouls,Offensive Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Frequency,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,HeaveAttempts,StepOutOfBoundsTurnovers,Travels,Charge Fouls,Charge Fouls Drawn,Blocked3s,BlockedArc3,OffCorner3ReboundPct,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SelfOReb,BlockedCorner3,SelfORebPct,SecondChanceAtRimPctAssisted,PtsUnassisted3s,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,Corner3PctBlocked,team_id,year,season,team_vs
1628273-1628277-203400-203849-203866,1611661321,"Kaela Davis, Allisha Gray, Skylar Diggins-Smith, Theresa Plaisance, Kayla Thornton","Davis, Gray, Diggins-Smith, Plaisance, Thornton",1628273-1628277-203400-203849-203866,DAL,636.0,6,11.0,5.0,22.0,19.0,4.0,3.0,2.0,41.0,3.0,4.0,1.0,1.0,5.0,7.0,1.0,1.0,9.0,2.0,8.0,12.0,1.0,9.0,1.0,20.0,15.0,2.0,2.0,2.0,2.0,4.0,4.0,12.0,3.0,9.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,9.0,11.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0,4.0,4.0,0.25,0.25,1.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,1.0,0.4523809523809524,0.5,0.47619047619047616,0.5,0.42857142857142855,0.08333333333333333,0.25,0.3333333333333333,0.8181818181818182,1.0,0.125,0.8461538461538461,0.09090909090909091,0.125,0.6666666666666666,0.8,1.0,1.0,92.83018867924528,15.181818181818182,15.894736842105264,14.5,15.631578947368421,0.19047619047619047,0.75,1.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.2,0.047619047619047616,0.42857142857142855,0.1111111111111111,0.1111111111111111,1.0,0.25,1.0,0.5,0.6190476190476191,0.1111111111111111,0.4665928571428572,0.32975,0.4740375,0.047619047619047616,0.08333333333333333,0.2,7.116666666666667,23.644444444444446,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,False
1628267-1628273-1628277-201907-203866,1611661321,"Saniya Chong, Kaela Davis, Allisha Gray, Courtney Paris, Kayla Thornton","Chong, Davis, Gray, Paris, Thornton",1628267-1628273-1628277-201907-203866,DAL,200.0,2,3.0,-3.0,6.0,6.0,3.0,3.0,2.0,12.0,,2.0,,,,,2.0,,3.0,3.0,2.0,4.0,,3.0,4.0,8.0,11.0,2.0,,,3.0,4.0,,4.0,,3.0,,2.0,,,,,,,,1.0,,1.0,1.0,3.0,4.0,1.0,,,,,1.0,1.0,,1.0,2.0,,3.0,,5.0,1.0,2.0,6.0,4.0,3.0,,,,,,0.5,,0.2857142857142857,,0.4444444444444444,0.4,0.42857142857142855,0.5,1.0,,0.5,,0.5,0.5,0.5,0.5,,1.0,,,86.39999999999999,17.666666666666668,15.666666666666666,14.833333333333334,13.5,0.2857142857142857,,,,,,,,0.2857142857142857,0.42857142857142855,,,,,,1.0,0.7142857142857143,,0.4437642857142857,0.58265,0.40195000000000003,0.25,0.4,0.5,11.575,25.599999999999998,0.5,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.5,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,False
1628267-201907-202640-203017-203400,1611661321,"Saniya Chong, Courtney Paris, Karima Christmas-Kelly, Glory Johnson, Skylar Diggins-Smith","Chong, Paris, Christmas-Kelly, Johnson, Diggins-Smith",1628267-201907-202640-203017-203400,DAL,241.0,1,4.0,-2.0,7.0,7.0,,,1.0,14.0,1.0,2.0,,,1.0,2.0,1.0,,2.0,,3.0,5.0,,2.0,1.0,7.0,9.0,1.0,,,,,2.0,4.0,,2.0,,,1.0,,1.0,,,,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,,1.0,2.0,1.0,1.0,,2.0,,1.0,5.0,,,0.3333333333333333,0.5,,,,0.6,,0.42857142857142855,,0.4375,,0.2857142857142857,,,,,1.0,0.5,0.25,0.3333333333333333,0.5,,,,1.0,83.65145228215768,15.571428571428571,18.857142857142858,15.428571428571429,16.285714285714285,0.2857142857142857,0.5,0.5,,0.2857142857142857,0.5,0.5,,0.14285714285714285,0.2857142857142857,,,,,,,0.5714285714285714,,0.4370142857142857,,,0.125,0.16666666666666666,,7.140000000000001,23.85,,1.0,1.0,,2.0,,,,1.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,False
1627672-1628262-1628267-1628277-1628292,1611661321,"Aerial Powers, Evelyn Akhator, Saniya Chong, Allisha Gray, Breanna Lewis","Powers, Akhator, Chong, Gray, Lewis",1627672-1628262-1628267-1628277-1628292,DAL,97.0,1,2.0,,4.0,3.0,,,,7.0,,1.0,,,,,,,,,,1.0,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,2.0,,4.0,,2.0,4.0,,,,,,,,,,,,0.6666666666666666,,,,,1.0,,,,,,,,,,,103.91752577319588,14.75,12.666666666666666,14.75,12.666666666666666,1.0,,,,,,,,,,,,,,,,1.0,,0.3745,,,0.6666666666666666,0.6666666666666666,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,False
1627672-1628267-1628277-203849-203866,1611661321,"Aerial Powers, Saniya Chong, Allisha Gray, Theresa Plaisance, Kayla Thornton","Powers, Chong, Gray, Plaisance, Thornton",1627672-1628267-1628277-203849-203866,DAL,54.0,1,1.0,-2.0,2.0,1.0,,,1.0,3.0,,,,,,,1.0,,2.0,,,1.0,,2.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,0.3333333333333333,,,,,,80.0,20.5,13.0,18.5,13.0,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,,0.6666666666666666,,0.48268333333333335,0.5925,,,,,18.5,22.95,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,False
1627672-1628267-201907-202640-203017,1611661321,"Aerial Powers, Saniya Chong, Courtney Paris, Karima Christmas-Kelly, Glory Johnson","Powers, Chong, Paris, Christmas-Kelly, Johnson",1627672-1628267-201907-202640-203017,DAL,87.0,1,1.0,,4.0,3.0,3.0,,,7.0,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,2.0,2.0,2.0,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,1.0,,2.0,,1.0,2.0,2.0,3.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,0.5,,,,1.0,,,1.0,,,1.0,,1.0,,115.86206896551724,6.75,20.0,6.75,20.0,,,,,,,,,0.5,0.5,,,,,,0.5,0.5,,0.412125,,0.412125,0.3333333333333333,0.5,1.0,17.1,24.3,0.75,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,False
1627672-1628273-1628277-203017-203866,1611661321,"Aerial Powers, Kaela Davis, Allisha Gray, Glory Johnson, Kayla Thornton","Powers, Davis, Gray, Johnson, Thornton",1627672-1628273-1628277-203017-203866,DAL,53.0,1,1.0,2.0,2.0,1.0,2.0,1.0,,3.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,2.0,,,1.0,1.0,1.0,2.0,,2.0,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,1.0,1.0,0.5,0.5,0.5,0.5,0.5,,,,1.0,,,1.0,,,,1.0,,,81.50943396226415,17.0,19.0,17.0,19.0,,,,,,,,,0.5,0.5,,,,,,0.5,0.5,,0.3241,,0.3241,,,1.0,17.3,23.2,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,False
1627672-1628273-202640-203017-203866,1611661321,"Aerial Powers, Kaela Davis, Karima Christmas-Kelly, Glory Johnson, Kayla Thornton","Powers, Davis, Christmas-Kelly, Johnson, Thornton",1627672-1628273-202640-203017-203866,DAL,90.0,1,2.0,1.0,4.0,3.0,,,,7.0,1.0,1.0,,,,,1.0,,,,2.0,2.0,,,,4.0,3.0,,,,,,,4.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,4.0,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,1.0,,,,,1.0,,112.0,12.0,14.0,12.0,14.0,0.5,1.0,1.0,,,,,,0.5,,,,,,,,0.5,,0.41285,,,,,,9.9,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,False
1627672-1628277-201907-203017-203400,1611661321,"Aerial Powers, Allisha Gray, Courtney Paris, Glory Johnson, Skylar Diggins-Smith","Powers, Gray, Paris, Johnson, Diggins-Smith",1627672-1628277-201907-203017-203400,DAL,388.0,4,6.0,,12.0,13.0,1.0,1.0,2.0,25.0,1.0,5.0,,,1.0,2.0,1.0,1.0,3.0,,3.0,8.0,1.0,3.0,1.0,10.0,10.0,3.0,,,,1.0,,6.0,3.0,3.0,1.0,1.0,,1.0,1.0,1.0,,,3.0,,4.0,4.0,8.0,3.0,11.0,,,,1.0,,3.0,3.0,,1.0,4.0,1.0,2.0,1.0,2.0,,,6.0,1.0,1.0,,,1.0,0.3333333333333333,0.3333333333333333,0.375,,0.4090909090909091,,0.4166666666666667,0.5,0.2727272727272727,0.125,0.2,,0.8,1.0,,0.8888888888888888,0.42857142857142855,,1.0,1.0,,1.0,92.78350515463917,17.416666666666668,13.76923076923077,15.833333333333334,13.384615384615385,0.45454545454545453,0.2,0.25,,0.18181818181818182,0.5,0.5,,0.09090909090909091,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,,,0.7272727272727273,0.3333333333333333,0.515190909090909,0.43133333333333335,,,,0.1,4.525,23.366666666666664,0.08333333333333333,1.0,1.0,,4.0,1.0,3.0,,,2.0,1.0,,,,1.0,0.6666666666666666,,0.6,0.75,1.0,1.0,0.3333333333333333,0.4,,2.0,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,False
1627672-1628277-202640-203017-203400,1611661321,"Aerial Powers, Allisha Gray, Karima Christmas-Kelly, Glory Johnson, Skylar Diggins-Smith","Powers, Gray, Christmas-Kelly, Johnson, Diggins-Smith",1627672-1628277-202640-203017-203400,DAL,1730.0,5,29.0,-17.0,61.0,61.0,34.0,15.0,8.0,122.0,9.0,15.0,4.0,7.0,1.0,10.0,7.0,3.0,13.0,7.0,13.0,32.0,3.0,15.0,32.0,67.0,84.0,3.0,6.0,18.0,8.0,38.0,12.0,14.0,9.0,13.0,3.0,5.0,6.0,3.0,9.0,3.0,5.0,,21.0,2.0,3.0,6.0,10.0,8.0,18.0,7.0,2.0,7.0,,2.0,,7.0,,7.0,14.0,2.0,19.0,1.0,35.0,1.0,8.0,56.0,38.0,34.0,0.46153846153846156,0.5454545454545454,1.0,0.2,0.2,0.40625,0.3333333333333333,0.3723404255319149,0.34615384615384615,0.5245901639344263,0.5285714285714286,0.3191489361702128,0.15625,0.13333333333333333,1.0,0.6,0.375,0.16666666666666666,0.5,0.25806451612903225,0.2,0.5,0.6666666666666666,1.0,0.3333333333333333,101.54913294797689,14.459016393442623,13.901639344262295,13.918032786885245,13.180327868852459,0.3191489361702128,0.6,0.6923076923076923,0.5555555555555556,0.2127659574468085,0.1,0.14285714285714285,,0.14893617021276595,0.2765957446808511,0.23076923076923078,0.23076923076923078,1.0,0.2692307692307692,0.5714285714285714,0.2692307692307692,0.6382978723404256,0.23076923076923078,0.4746446808510638,0.44003,0.4762057692307692,0.19298245614035087,0.20512820512820512,0.5671641791044776,7.51875,24.386666666666667,0.5573770491803278,2.0,3.0,4.0,11.0,20.0,6.0,,5.0,,4.0,2.0,2.0,2.0,4.0,0.6875,,0.3157894736842105,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.16417910447761194,2.0,2.0,4.0,1.0,,0.6666666666666666,0.5833333333333334,0.3333333333333333,1.0,2.0,3.0,0.5,0.3333333333333333,5.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,0.3333333333333333,0.25,0.3,1.0,0.2222222222222222,0.5,0.5,0.0425531914893617,0.16666666666666666,0.5,1.0,0.038461538461538464,0.2857142857142857,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,False
