EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3FGA,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Defensive 3 Seconds Violations,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,3pt And 1 Free Throw Trips,HeaveAttempts,3SecondViolations,team_id,year,season,team_vs
1628278-201911-202663-203416-203437,1611661322,"Shatori Walker-Kimbrough, Kristi Toliver, Krystal Thomas, Emma Meesseman, Tierra Ruffin-Pratt","Walker-Kimbrough, Toliver, Thomas, Meesseman, Ruffin-Pratt",1628278-201911-202663-203416-203437,WAS,6615.0,7,110.0,-11.0,205.0,210.0,11.0,29.0,20.0,415.0,41.0,62.0,8.0,10.0,2.0,3.0,16.0,37.0,24.0,47.0,2.0,10.0,2.0,12.0,30.0,3.0,1.0,1.0,81.0,146.0,14.0,40.0,22.0,226.0,237.0,11.0,15.0,5.0,4.0,26.0,3.0,5.0,1.0,1.0,2.0,11.0,100.0,62.0,30.0,12.0,6.0,30.0,12.0,11.0,1.0,50.0,10.0,60.0,8.0,2.0,21.0,12.0,17.0,130.0,5.0,18.0,22.0,42.0,5.0,69.0,23.0,92.0,1.0,18.0,14.0,4.0,16.0,2.0,11.0,13.0,3.0,5.0,1.0,29.0,5.0,29.0,7.0,60.0,1.0,5.0,5.0,42.0,3.0,5.0,5.0,2.0,30.0,4.0,2.0,14.0,2.0,9.0,1.0,1.0,5.0,4.0,10.0,8.0,200.0,11.0,11.0,3.0,2.0,0.6172839506172839,0.6410256410256411,0.7142857142857143,0.35,1.0,0.35,0.5547945205479452,0.7333333333333333,0.6,0.5483870967741935,0.55,0.75,0.5681818181818182,0.5652173913043478,0.6875,0.21505376344086022,0.025,0.07534246575342465,0.12903225806451613,0.05405405405405406,0.02127659574468085,0.1,0.5517241379310345,0.8333333333333334,0.6176470588235294,0.27692307692307694,0.6285714285714286,0.19230769230769232,0.6213592233009708,0.25274725274725274,0.42857142857142855,0.3333333333333333,0.08695652173913043,0.1111111111111111,0.375,0.7368421052631579,0.5454545454545454,0.5925925925925926,0.6666666666666666,0.4,0.012658227848101266,90.34013605442176,0.8,16.04390243902439,15.838095238095239,15.336585365853658,14.519047619047619,0.3333333333333333,0.6612903225806451,0.7592592592592593,0.5121951219512195,0.1989247311827957,0.43243243243243246,0.45714285714285713,0.75,0.25268817204301075,0.5106382978723404,0.5217391304347826,0.7083333333333334,0.053763440860215055,0.2,0.2222222222222222,1.0,0.16129032258064516,0.4,0.4,0.6666666666666666,0.5,0.8,0.125,0.1,0.15,0.5,0.6666666666666666,0.16666666666666666,1.0,0.5483870967741935,0.4,0.4816701612903226,0.49274411764705883,0.525875,0.07142857142857142,0.08974358974358974,0.11504424778761062,0.048672566371681415,8.555479452054794,23.744999999999997,0.05365853658536585,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2017,2017,True
1628287-203401-203437-203859-204333,1611661322,"Jennie Simms, Tayler Hill, Tierra Ruffin-Pratt, Asia Taylor, Natasha Cloud","Simms, Hill, Ruffin-Pratt, Taylor, Cloud",1628287-203401-203437-203859-204333,WAS,56.0,1,1.0,1.0,3.0,3.0,3.0,3.0,1.0,6.0,2.0,3.0,1.0,2.0,2.0,3.0,,1.0,,,,,,,1.0,,,1.0,2.0,4.0,,1.0,,4.0,3.0,1.0,2.0,,,2.0,2.0,4.0,,1.0,,4.0,,4.0,,,2.0,1.0,,,1.0,,,,,,,,,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,4.0,3.0,1.0,,,,,,,,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.2,1.0,,,,,,,,,1.0,,,,0.6666666666666666,1.0,1.0,,,,,,,,,,154.28571428571428,,6.666666666666667,12.0,5.666666666666667,12.0,0.6,0.6666666666666666,0.6666666666666666,,0.2,,,,,,,,,,,,0.2,,,,1.0,0.5,,,,0.6,0.6666666666666666,0.2,,0.8,,0.55485,0.64955,0.55485,,,0.5,1.0,3.425,23.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2017,2017,True
201911-202663-203399-203401-203437,1611661322,"Kristi Toliver, Krystal Thomas, Elena Delle Donne, Tayler Hill, Tierra Ruffin-Pratt","Toliver, Thomas, Delle Donne, Hill, Ruffin-Pratt",201911-202663-203399-203401-203437,WAS,9527.0,12,159.0,9.0,296.0,298.0,26.0,34.0,39.0,594.0,65.0,105.0,16.0,28.0,7.0,8.0,13.0,52.0,19.0,61.0,4.0,11.0,1.0,25.0,61.0,3.0,,6.0,97.0,218.0,29.0,72.0,37.0,318.0,309.0,18.0,39.0,4.0,8.0,44.0,9.0,18.0,1.0,8.0,3.0,24.0,90.0,104.0,75.0,12.0,16.0,61.0,25.0,17.0,,45.0,25.0,70.0,21.0,4.0,28.0,5.0,12.0,165.0,15.0,40.0,52.0,63.0,2.0,117.0,55.0,172.0,6.0,24.0,15.0,9.0,22.0,6.0,10.0,23.0,4.0,12.0,3.0,45.0,3.0,35.0,9.0,63.0,1.0,3.0,5.0,52.0,3.0,8.0,3.0,1.0,42.0,5.0,3.0,20.0,2.0,22.0,1.0,1.0,15.0,7.0,23.0,10.0,274.0,24.0,26.0,,2.0,0.4639175257731959,0.5056179775280899,0.8620689655172413,0.4027777777777778,0.125,0.4027777777777778,0.44495412844036697,0.46153846153846156,0.5,0.4844827586206897,0.4186046511627907,0.40384615384615385,0.5130293159609121,0.46808510638297873,0.42857142857142855,0.2482758620689655,,0.0779816513761468,0.09523809523809523,0.1346153846153846,,,0.4888888888888889,1.0,0.6176470588235294,0.3333333333333333,0.8524590163934426,0.3488372093023256,0.7055214723926381,0.3374233128834356,0.5641025641025641,0.20512820512820512,0.23809523809523808,0.3333333333333333,0.42857142857142855,0.5813953488372093,0.6486486486486487,0.6363636363636364,0.875,0.6,0.04081632653061224,89.78272278786606,0.43478260869565216,15.358108108108109,16.71476510067114,14.320945945945946,15.835570469798657,0.3620689655172414,0.6190476190476191,0.6842105263157895,0.4307692307692308,0.1793103448275862,0.25,0.28888888888888886,0.38461538461538464,0.2103448275862069,0.3114754098360656,0.3114754098360656,0.631578947368421,0.03793103448275862,0.36363636363636365,0.36363636363636365,1.0,0.2103448275862069,0.4098360655737705,0.4098360655737705,0.84,0.6511627906976745,0.5714285714285714,0.1875,0.023255813953488372,0.06976744186046512,0.3076923076923077,0.875,0.23076923076923078,,0.6103448275862069,0.4098360655737705,0.49203362068965517,0.5034621212121212,0.4758788461538461,0.06557377049180328,0.08583690987124463,0.13836477987421383,0.07547169811320754,7.8311926605504585,23.906944444444445,0.08783783783783784,,1.0,2.0,2.0,6.0,1.0,0.07692307692307693,0.5,,,,,,,,,,,,,,,,,,1611661322,2017,2017,True
1628278-201056-203399-203403-203437,1611661322,"Shatori Walker-Kimbrough, Ivory Latta, Elena Delle Donne, Tianna Hawkins, Tierra Ruffin-Pratt","Walker-Kimbrough, Latta, Delle Donne, Hawkins, Ruffin-Pratt",1628278-201056-203399-203403-203437,WAS,233.0,3,4.0,-10.0,8.0,10.0,4.0,3.0,1.0,18.0,3.0,4.0,,1.0,2.0,3.0,1.0,1.0,,3.0,,,,,,,,,4.0,8.0,,,,8.0,18.0,,1.0,,,,2.0,5.0,,,,4.0,8.0,,,,,,,1.0,,4.0,,4.0,,,3.0,1.0,,8.0,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,8.0,4.0,4.0,1.0,,1.0,1.0,,,,,0.5,,0.4,0.5,,0.4,0.5,,0.4,,,0.125,0.25,,,,1.0,,,0.25,,,,0.25,,,0.3333333333333333,,,,,,,,0.3333333333333333,111.24463519313305,,15.75,10.7,14.375,10.7,0.5,0.75,1.0,1.0,0.125,1.0,1.0,1.0,0.375,,,,,,,,,,,,1.0,,,,,0.6,0.6666666666666666,,,0.5,,0.4860375,0.6574,0.50424,,,,0.5,8.075,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2017,2017,True
201056-203399-203401-203403-203437,1611661322,"Ivory Latta, Elena Delle Donne, Tayler Hill, Tianna Hawkins, Tierra Ruffin-Pratt","Latta, Delle Donne, Hill, Hawkins, Ruffin-Pratt",201056-203399-203401-203403-203437,WAS,209.0,3,3.0,-1.0,5.0,7.0,,,,12.0,1.0,1.0,,,,,,,1.0,3.0,,,,1.0,1.0,,,,2.0,4.0,1.0,1.0,,7.0,8.0,,,,,,,,,,,,4.0,,3.0,,,1.0,1.0,1.0,,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,7.0,,,,,1.0,1.0,1.0,1.0,,1.0,0.5,,,0.7,,,0.7,,,0.2,,0.25,,,0.3333333333333333,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,82.67942583732058,,17.2,17.571428571428573,17.2,17.571428571428573,0.2,1.0,1.0,1.0,,,,,0.6,0.3333333333333333,0.5,1.0,,,,,0.2,1.0,1.0,1.0,,,,,,,,,,0.4,1.0,0.44965,,,,,,,13.825,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2017,2017,True
1628278-1628287-201911-203403-203859,1611661322,"Shatori Walker-Kimbrough, Jennie Simms, Kristi Toliver, Tianna Hawkins, Asia Taylor","Walker-Kimbrough, Simms, Toliver, Hawkins, Taylor",1628278-1628287-201911-203403-203859,WAS,14.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2017,2017,True
1628278-201056-201911-203399-203403,1611661322,"Shatori Walker-Kimbrough, Ivory Latta, Kristi Toliver, Elena Delle Donne, Tianna Hawkins","Walker-Kimbrough, Latta, Toliver, Delle Donne, Hawkins",1628278-201056-201911-203399-203403,WAS,16.0,1,,3.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,3.0,,,,1.0,,3.0,,,,,,,,,3.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,1.5,1.5,,1.5,1.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,6.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,1.0,0.56955,0.56955,,,,1.0,,,23.6,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1611661322,2017,2017,True
1628278-201056-201911-203403-203416,1611661322,"Shatori Walker-Kimbrough, Ivory Latta, Kristi Toliver, Tianna Hawkins, Emma Meesseman","Walker-Kimbrough, Latta, Toliver, Hawkins, Meesseman",1628278-201056-201911-203403-203416,WAS,61.0,1,1.0,-2.0,1.0,2.0,,,,3.0,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,1.0,1.0,,,0.5,0.5,,,1.0,,,,1.0,,,,,70.81967213114754,,27.0,17.0,27.0,9.0,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,0.5,,0.417275,,,,,,,17.9,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2017,2017,True
1628278-201056-202663-203399-203437,1611661322,"Shatori Walker-Kimbrough, Ivory Latta, Krystal Thomas, Elena Delle Donne, Tierra Ruffin-Pratt","Walker-Kimbrough, Latta, Thomas, Delle Donne, Ruffin-Pratt",1628278-201056-202663-203399-203437,WAS,202.0,1,3.0,-1.0,6.0,5.0,,,1.0,11.0,1.0,1.0,,,,,,1.0,,,,,,1.0,3.0,,,,1.0,2.0,1.0,3.0,1.0,6.0,7.0,,,,1.0,1.0,,,,,,,2.0,,3.0,,,3.0,1.0,,,1.0,1.0,2.0,1.0,,1.0,,,5.0,1.0,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,1.0,3.0,,,,2.0,,,,1.0,4.0,,,2.0,,,,,,,,,5.0,,,,,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.5,,,0.5,,,0.42857142857142855,0.5,,0.6,,,,,,,,,,,0.5,0.5,0.3333333333333333,0.3333333333333333,,,,0.5,,,,,0.5,,,78.41584158415841,,17.666666666666668,19.2,17.166666666666668,15.6,0.2,1.0,1.0,1.0,0.2,,,,,,,,,,,,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,0.8,0.3333333333333333,0.5152300000000001,,,0.2857142857142857,0.5,0.16666666666666666,,5.25,24.900000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2017,2017,True
1628278-201056-203399-203403-203416,1611661322,"Shatori Walker-Kimbrough, Ivory Latta, Elena Delle Donne, Tianna Hawkins, Emma Meesseman","Walker-Kimbrough, Latta, Delle Donne, Hawkins, Meesseman",1628278-201056-203399-203403-203416,WAS,177.0,3,3.0,-2.0,6.0,6.0,5.0,2.0,,12.0,,1.0,,,,1.0,1.0,3.0,,,,,,,,,,,1.0,4.0,,,3.0,5.0,7.0,,,,,,1.0,3.0,,,3.0,5.0,2.0,,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,,1.0,,,,3.0,1.0,,,1.0,4.0,,,1.0,1.0,,,,,,,,5.0,5.0,5.0,,1.0,1.0,1.0,,,,,0.25,,0.3333333333333333,0.25,,0.3333333333333333,0.4166666666666667,,0.5,,,,,,,,1.0,,0.5,,,,0.5,,,,,,,,,1.0,,,,97.62711864406779,,15.166666666666666,14.333333333333334,15.166666666666666,12.833333333333334,0.25,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,0.25,,0.38155,,0.3779333333333333,0.2,0.2,,1.0,5.675,,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2017,2017,True
