EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,Fg2aBlocked,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Blocked3s,BlockedArc3,Blocks,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,Arc3FGA,FG3A,NonHeaveArc3FGA,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,Blocked2s,BlockedAtRim,FG3APct,LiveBallTurnoverPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Arc3Frequency,Avg3ptShotDistance,AtRimFGM,PenaltyAtRimFGM,FG2M,FtPoints,Points,SecondChanceFG2A,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LostBallSteals,ShootingFouls,FoulsDrawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyTurnovers,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Offensive Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyArc3FGA,PenaltyFG3A,SelfOReb,Charge Fouls Drawn,BlockedShortMidRange,Defensive 3 Seconds Violations,OffShortMidRangeReboundPct,SelfORebPct,PenaltyArc3Frequency,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Loose Ball Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimPctBlocked,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,BadPassOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PenaltyFg3Pct,PenaltyArc3Accuracy,RecoveredBlocks,BlocksRecoveredPct,LongMidRangeAssists,LostBallTurnovers,LongMidRangePctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockingFouls,Loose Ball Fouls Drawn,ShortMidRangeAssists,ThreePtShootingFoulsDrawn,DefCorner3ReboundPct,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceTurnovers,FTOffRebounds,OffFTReboundPct,StepOutOfBoundsTurnovers,3SecondViolations,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,Travels,Technical Free Throw Trips,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,HeaveAttempts,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,team_id,year,season,team_vs
100888-100915-100944-100952-201904,1611661324,"Plenette Pierson, Lindsay Whalen, Rebekkah Brunson, Jia Perkins, Renee Montgomery","Pierson, Whalen, Brunson, Perkins, Montgomery",100888-100915-100944-100952-201904,MIN,100.0,1,2.0,-2.0,4.0,3.0,4.0,3.0,1.0,7,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.3333333333333333,1.0,1.0,1.0,1.0,100.8,12.0,17.333333333333332,12.0,17.333333333333332,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4061333333333333,0.4061333333333333,7.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100915-100944-1628508-202632,1611661324,"Plenette Pierson, Lindsay Whalen, Rebekkah Brunson, Cecilia Zandalasini, Maya Moore","Pierson, Whalen, Brunson, Zandalasini, Moore",100888-100915-100944-1628508-202632,MIN,8.0,1,,,,1.0,,1.0,,1,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,180.0,,6.0,,6.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100915-100952-200671-201480,1611661324,"Plenette Pierson, Lindsay Whalen, Jia Perkins, Seimone Augustus, Sylvia Fowles","Pierson, Whalen, Perkins, Augustus, Fowles",100888-100915-100952-200671-201480,MIN,89.0,1,1.0,,3.0,2.0,,,,5,,,,,,,,,2.0,2.0,2.0,,,,,1.0,,,,0.6666666666666666,0.6666666666666666,,80.89887640449437,16.0,20.5,16.0,20.5,,,,,1.0,0.4362,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100915-100952-201480-202632,1611661324,"Plenette Pierson, Lindsay Whalen, Jia Perkins, Sylvia Fowles, Maya Moore","Pierson, Whalen, Perkins, Fowles, Moore",100888-100915-100952-201480-202632,MIN,187.0,2,3.0,-3.0,6.0,6.0,2.0,2.0,1.0,12,3.0,2.0,2.0,1.0,6.0,8.0,2.0,,1.0,2.0,3.0,1.0,,,,,2.0,,,1.0,1.0,,92.40641711229947,16.5,14.666666666666666,15.833333333333334,14.666666666666666,0.42857142857142855,0.2857142857142857,0.14285714285714285,1.0,0.5714285714285714,0.5210214285714285,0.74335,7.266666666666667,0.3333333333333333,,,,1.0,1.0,1.0,,,,,3.0,,,,0.14285714285714285,,1.0,,0.14285714285714285,24.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,0.5,0.5,0.3333333333333333,1.0,0.2857142857142857,1.0,0.35714285714285715,1.25,1.0,0.25,0.2,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.3866,0.14285714285714285,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100915-100952-202632-203827,1611661324,"Plenette Pierson, Lindsay Whalen, Jia Perkins, Maya Moore, Natasha Howard","Pierson, Whalen, Perkins, Moore, Howard",100888-100915-100952-202632-203827,MIN,14.0,1,,,1.0,,1.0,,,1,,,,,,,,,,,,,,,,,1.0,,,,,,102.85714285714286,14.0,,14.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100915-200671-201480-202632,1611661324,"Plenette Pierson, Lindsay Whalen, Seimone Augustus, Sylvia Fowles, Maya Moore","Pierson, Whalen, Augustus, Fowles, Moore",100888-100915-200671-201480-202632,MIN,193.0,3,3.0,1.0,6.0,6.0,,,1.0,12,3.0,,1.0,2.0,6.0,6.0,,,1.0,2.0,3.0,,,,,,,,,1.0,1.0,1.0,89.53367875647668,20.333333333333332,11.833333333333334,20.333333333333332,11.333333333333334,0.5,0.16666666666666666,0.3333333333333333,,0.5,0.4401,,9.283333333333333,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,1.0,,3.0,1.0,7.0,1.0,,,,,6.0,,,,,1.0,,1.0,,,4.0,,1.0,1.0,1.0,4.0,,,,0.5,,0.5,,0.5833333333333334,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,0.7015,0.16666666666666666,0.16666666666666666,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100944-100952-1628508-201904,1611661324,"Plenette Pierson, Rebekkah Brunson, Jia Perkins, Cecilia Zandalasini, Renee Montgomery","Pierson, Brunson, Perkins, Zandalasini, Montgomery",100888-100944-100952-1628508-201904,MIN,84.0,1,1.0,3.0,3.0,3.0,2.0,3.0,1.0,6,2.0,1.0,1.0,,3.0,1.0,1.0,,,1.0,2.0,,,,,1.0,2.0,,,,0.5,,102.85714285714286,14.0,14.0,14.0,13.333333333333334,0.5,0.25,,0.5,0.75,0.495475,0.4981,3.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,0.25,,,,0.25,22.9,2.0,1.0,2.0,,4.0,1.0,1.0,,2.0,,4.0,,,,,1.0,,1.0,,,3.0,,,,,2.0,2.0,,,0.6666666666666666,1.0,0.5,0.5,0.5,0.5,,1.0,0.5,,1.0,1.0,,1.0,0.5638,,,0.5,,1.0,1.0,,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100944-100952-200671-201904,1611661324,"Plenette Pierson, Rebekkah Brunson, Jia Perkins, Seimone Augustus, Renee Montgomery","Pierson, Brunson, Perkins, Augustus, Montgomery",100888-100944-100952-200671-201904,MIN,44.0,2,1.0,-2.0,1.0,,1.0,,,1,,,1.0,,1.0,2.0,1.0,,,,1.0,,,,,,1.0,,,,,,32.72727272727273,41.0,,40.0,,,1.0,,,,0.2983,0.2983,10.8,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,0.5,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100944-100952-201904-202632,1611661324,"Plenette Pierson, Rebekkah Brunson, Jia Perkins, Renee Montgomery, Maya Moore","Pierson, Brunson, Perkins, Montgomery, Moore",100888-100944-100952-201904-202632,MIN,52.0,1,1.0,3.0,1.0,1.0,,,,2,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,0.5,,55.38461538461538,9.0,43.0,9.0,29.0,,,,,1.0,0.65235,,,,,,,,1.0,,,,,,2.0,,,,1.0,,1.0,,,22.8,,,,,3.0,,,,,,,,1.0,,3.0,,,,,,,,,,,3.0,,,,,,1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100944-1628508-200671-201904,1611661324,"Plenette Pierson, Rebekkah Brunson, Cecilia Zandalasini, Seimone Augustus, Renee Montgomery","Pierson, Brunson, Zandalasini, Augustus, Montgomery",100888-100944-1628508-200671-201904,MIN,122.0,1,2.0,-7.0,4.0,4.0,,4.0,,8,4.0,,,,4.0,9.0,,2.0,,,,,,,,,,0.5,,,,,94.42622950819673,17.5,13.0,17.5,12.5,1.0,,,,1.0,0.5541,,1.9,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,2.0,,,,,2.0,,1.0,1.0,1.0,2.0,,,,,1.0,,,,,,2.0,,1.0,1.0,0.25,,0.25,,0.25,,,,,,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
