EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,FG3APct,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,SecondChanceOffPoss,Arc3FGM,FG3M,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,Turnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,OffThreePtRebounds,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,LongMidRangeFGM,Corner3FGA,LongMidRangeAssists,BadPassSteals,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyCorner3FGA,HeaveAttempts,Fg2aBlocked,Offensive Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,OffCorner3ReboundPct,PenaltyCorner3Frequency,ShortMidRangeFGM,PtsUnassisted3s,LiveBallTurnovers,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,LiveBallTurnoverPct,OffShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,DefCorner3ReboundPct,SecondChanceArc3FGM,FTDefRebounds,RecoveredBlocks,DefFTReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BadPassTurnovers,team_id,year,season,team_vs
1628248-1628263-201913-201919-203411,1611661313,"Nayo Raincock-Ekunwe, Lindsay Allen, Kia Vaughn, Shavonte Zellous, Sugar Rodgers","Raincock-Ekunwe, Allen, Vaughn, Zellous, Rodgers",1628248-1628263-201913-201919-203411,NYL,64.0,1,1.0,-3.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,112.5,16.0,10.666666666666666,16.0,10.666666666666666,0.5,1.0,1.0,1.0,0.5,0.5,0.4247,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,True
1628248-1628263-201913-202259-203411,1611661313,"Nayo Raincock-Ekunwe, Lindsay Allen, Kia Vaughn, Epiphanny Prince, Sugar Rodgers","Raincock-Ekunwe, Allen, Vaughn, Prince, Rodgers",1628248-1628263-201913-202259-203411,NYL,65.0,1,1.0,-3.0,3.0,2.0,5.0,,,,,1.0,1.0,4.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,0.16666666666666666,110.76923076923077,12.333333333333334,14.0,12.333333333333334,14.0,,,,,,0.5,0.35945,21.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.5,0.5,0.5,0.5,0.35945,0.3333333333333333,0.5,25.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,True
1628248-1628263-202259-203411-204329,1611661313,"Nayo Raincock-Ekunwe, Lindsay Allen, Epiphanny Prince, Sugar Rodgers, Kiah Stokes","Raincock-Ekunwe, Allen, Prince, Rodgers, Stokes",1628248-1628263-202259-203411-204329,NYL,26.0,1,,4.0,2.0,1.0,3.0,1.0,1.0,,1.0,1.0,4.0,,,,,,,,,,,1.0,4.0,,,1.0,1.0,1.0,166.15384615384616,6.5,13.0,6.5,13.0,1.0,1.0,1.0,,,1.0,0.6341,1.3,2.0,,,,,,2.0,1.0,,,2.0,,2.0,,,,,0.6341,,,,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,True
1628248-1628263-203411-204296-204320,1611661313,"Nayo Raincock-Ekunwe, Lindsay Allen, Sugar Rodgers, Rebecca Allen, Amanda Zahui B","Raincock-Ekunwe, Allen, Rodgers, Allen, Zahui B",1628248-1628263-203411-204296-204320,NYL,71.0,1,1.0,-5.0,2.0,3.0,5.0,,1.0,,,1.0,,5.0,,,,,,,,,,1.0,,,,,,,101.40845070422534,24.5,7.333333333333333,24.5,7.333333333333333,0.5,,,,,1.0,0.439875,2.3,2.0,3.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,2.0,0.5,,0.5,0.5,0.439875,,,27.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,0.5,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,True
1628248-201919-202250-202259-203411,1611661313,"Nayo Raincock-Ekunwe, Shavonte Zellous, Tina Charles, Epiphanny Prince, Sugar Rodgers","Raincock-Ekunwe, Zellous, Charles, Prince, Rodgers",1628248-201919-202250-202259-203411,NYL,252.0,1,4.0,-1.0,7.0,7.0,14.0,,1.0,,,3.0,6.0,7.0,,,1.0,,3.0,,,,,4.0,5.0,,,,0.25,0.375,80.0,20.0,16.0,18.285714285714285,16.0,0.16666666666666666,,,,,0.6666666666666666,0.4115,13.666666666666666,,,2.0,3.0,,3.0,3.0,,,3.0,4.0,2.0,,0.5,0.3333333333333333,0.5,,,0.25,0.4,26.633333333333336,,,,,,,,2.0,4.0,5.0,1.0,,,,,,,1.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.25,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,True
1628248-201919-202250-202259-203829,1611661313,"Nayo Raincock-Ekunwe, Shavonte Zellous, Tina Charles, Epiphanny Prince, Bria Hartley","Raincock-Ekunwe, Zellous, Charles, Prince, Hartley",1628248-201919-202250-202259-203829,NYL,104.0,1,2.0,-3.0,3.0,2.0,5.0,1.0,3.0,,1.0,4.0,2.0,5.0,,,,,,,,,,2.0,,,,0.25,0.2,0.2,69.23076923076923,26.0,13.0,20.666666666666668,13.0,0.6,0.3333333333333333,0.3333333333333333,,,0.8,0.5143,5.625,,2.0,1.0,1.0,,1.0,,,,1.0,,,,0.2,0.2,0.2,,,,,23.5,,,,,,,2.0,,,3.0,1.0,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,2.0,3.0,1.0,1.0,,,,0.3333333333333333,0.6666666666666666,0.75,0.5,,,,,,,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.25,1.0,0.3333333333333333,0.5888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,True
1628248-202250-202259-203411-203829,1611661313,"Nayo Raincock-Ekunwe, Tina Charles, Epiphanny Prince, Sugar Rodgers, Bria Hartley","Raincock-Ekunwe, Charles, Prince, Rodgers, Hartley",1628248-202250-202259-203411-203829,NYL,100.0,1,2.0,2.0,3.0,3.0,6.0,1.0,1.0,,2.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0,1.0,,,,,4.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,86.39999999999999,21.666666666666668,11.666666666666666,21.666666666666668,11.666666666666666,0.3333333333333333,1.0,1.0,1.0,,0.6666666666666666,0.4588666666666667,10.85,,3.0,1.0,,,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,23.0,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,True
1628263-201913-202250-202259-204296,1611661313,"Lindsay Allen, Kia Vaughn, Tina Charles, Epiphanny Prince, Rebecca Allen","Allen, Vaughn, Charles, Prince, Allen",1628263-201913-202250-202259-204296,NYL,43.0,1,1.0,2.0,2.0,1.0,3.0,1.0,2.0,,1.0,2.0,2.0,,,,,,,,,,1.0,1.0,,,,0.5,0.25,0.25,100.46511627906976,14.0,15.0,8.0,15.0,0.5,0.5,1.0,,,1.0,0.5287833333333333,2.1,2.0,1.0,,1.0,1.0,2.0,,2.0,2.0,,,,2.0,0.5,,0.25,0.25,0.5287833333333333,,,34.05,1.0,1.0,2.0,1.0,,2.0,2.0,,,2.0,,,2.0,,0.5,0.25,0.25,,,,0.5,0.5,1.0,,,,1.0,,,,2.0,,,,,1.0,2.0,,,,,,0.5,1.0,1.0,1.0,,,,,,,1.0,1.0,2.0,1.0,2.0,,1.0,,0.5,0.5,1.0,,,,1.0,0.5,0.664,,1.0,,,,,,0.25,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,True
1628263-202250-202259-203411-204329,1611661313,"Lindsay Allen, Tina Charles, Epiphanny Prince, Sugar Rodgers, Kiah Stokes","Allen, Charles, Prince, Rodgers, Stokes",1628263-202250-202259-203411-204329,NYL,46.0,1,1.0,-2.0,1.0,1.0,2.0,,2.0,,,2.0,,2.0,,,,,,,,,,1.0,,,,,,,62.60869565217391,41.0,5.0,26.0,5.0,0.6666666666666666,,,,,1.0,0.4469,2.85,,,,1.0,,1.0,,,,1.0,,,,0.3333333333333333,,0.3333333333333333,,,,,26.4,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,0.5,0.6666666666666666,0.5,,,,,,,,,2.0,,2.0,,1.0,,,,1.0,,1.0,,1.0,,0.4065,,,,,,,,,,,1.0,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,True
201913-201919-202250-202259-203829,1611661313,"Kia Vaughn, Shavonte Zellous, Tina Charles, Epiphanny Prince, Bria Hartley","Vaughn, Zellous, Charles, Prince, Hartley",201913-201919-202250-202259-203829,NYL,363.0,1,6.0,-2.0,11.0,11.0,22.0,,3.0,2.0,2.0,7.0,7.0,9.0,2.0,1.0,1.0,,2.0,2.0,1.0,,1.0,,5.0,0.5,0.5,0.2857142857142857,0.2916666666666667,0.2916666666666667,87.27272727272728,16.181818181818183,16.818181818181817,15.636363636363637,15.636363636363637,0.25,,,,0.16666666666666666,0.6666666666666666,0.5203,8.028571428571428,,,2.0,4.0,,5.0,,,,4.0,,,,0.4166666666666667,0.16666666666666666,0.3333333333333333,,,,,23.54,,,,,,,2.0,3.0,4.0,6.0,,,,,,,,0.75,0.6666666666666666,1.0,,,,1.0,0.5,1.0,2.0,1.0,1.0,,2.0,,1.0,,,2.0,2.0,,1.0,,0.2,0.2,0.5,0.4,0.2222222222222222,,,,0.25,0.25,,0.25,0.2857142857142857,,1.0,1.0,2.0,,,,0.5,0.5,,1.0,,,0.5,,0.51435,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.08333333333333333,,,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,True
