EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallOutOfBoundsTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,FTDefRebounds,PenaltyFg3Pct,ShortMidRangePctBlocked,DefFTReboundPct,PenaltyArc3Accuracy,Charge Fouls Drawn,Blocked3s,BlockedArc3,OffLongMidRangeReboundPct,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,Fg3aBlocked,Travels,FG3APctBlocked,Arc3PctBlocked,Charge Fouls,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,BlockedCorner3,Technical Free Throw Trips,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,HeaveAttempts,BlockedLongMidRange,3SecondViolations,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,team_id,year,season,team_vs
1627672-1628277-202640-203017-203400,1611661321,"Aerial Powers, Allisha Gray, Karima Christmas-Kelly, Glory Johnson, Skylar Diggins-Smith","Powers, Gray, Christmas-Kelly, Johnson, Diggins-Smith",1627672-1628277-202640-203017-203400,DAL,1730.0,5,29.0,17.0,61.0,61.0,15.0,34.0,7.0,122.0,26.0,32.0,2.0,3.0,5.0,5.0,4.0,7.0,5.0,6.0,2.0,6.0,1.0,1.0,35.0,45.0,8.0,14.0,84.0,67.0,3.0,5.0,1.0,3.0,9.0,7.0,10.0,1.0,9.0,23.0,44.0,26.0,2.0,6.0,2.0,22.0,22.0,18.0,2.0,2.0,44.0,5.0,4.0,10.0,13.0,23.0,9.0,32.0,1.0,7.0,2.0,5.0,7.0,5.0,2.0,2.0,1.0,9.0,1.0,2.0,11.0,3.0,19.0,1.0,1.0,14.0,2.0,2.0,16.0,2.0,7.0,2.0,5.0,2.0,3.0,5.0,3.0,2.0,75.0,23.0,15.0,4.0,2.0,0.6285714285714286,0.6470588235294118,0.7777777777777778,0.6,0.7,0.660377358490566,0.5,0.6363636363636364,0.7,0.5625,0.7666666666666667,0.1509433962264151,0.044444444444444446,0.0625,0.7777777777777778,0.6842105263157895,0.4,0.8333333333333334,0.625,0.7419354838709677,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.7777777777777778,0.5,0.8,1.0,0.0625,101.54913294797689,0.6,13.901639344262295,14.459016393442623,13.180327868852459,13.918032786885245,0.6037735849056604,0.8125,0.8666666666666667,0.6923076923076923,0.1320754716981132,0.5714285714285714,0.5714285714285714,0.5,0.11320754716981132,0.8333333333333334,0.8333333333333334,0.4,0.03773584905660377,0.11320754716981132,0.5,0.6666666666666666,0.5,0.16666666666666666,0.45454545454545453,1.0,0.09090909090909091,0.7547169811320755,0.5058669811320754,0.4871625,0.4403636363636364,0.1206896551724138,0.14,0.10714285714285714,0.27380952380952384,5.266666666666667,24.625,0.2459016393442623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,True
1627672-1628267-202640-203017-203849,1611661321,"Aerial Powers, Saniya Chong, Karima Christmas-Kelly, Glory Johnson, Theresa Plaisance","Powers, Chong, Christmas-Kelly, Johnson, Plaisance",1627672-1628267-202640-203017-203849,DAL,184.0,2,3.0,6.0,8.0,8.0,,,1.0,16.0,2.0,3.0,,,,,,1.0,,,,2.0,,,2.0,4.0,2.0,2.0,9.0,3.0,,,,,,,,,,,2.0,2.0,,2.0,,1.0,2.0,1.0,,,5.0,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,,2.0,,1.0,2.0,,3.0,1.0,,,,1.0,,,2.0,,,2.0,2.0,2.0,,1.0,1.0,,1.0,1.0,,9.0,,,,,0.5,0.5,0.5,,,0.5833333333333334,,,0.75,,,0.3333333333333333,,,0.6666666666666666,1.0,0.5,1.0,,1.0,0.3333333333333333,1.0,,,,1.0,,,1.0,,0.3333333333333333,125.21739130434781,1.0,9.0,14.0,8.75,14.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,,,,,,,,,0.3333333333333333,,,,,,,,0.8333333333333334,0.5636583333333333,,,0.3333333333333333,0.5,,,3.025,23.45,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,True
1628262-1628267-1628273-1628277-1628292,1611661321,"Evelyn Akhator, Saniya Chong, Kaela Davis, Allisha Gray, Breanna Lewis","Akhator, Chong, Davis, Gray, Lewis",1628262-1628267-1628273-1628277-1628292,DAL,303.0,3,5.0,6.0,11.0,11.0,4.0,11.0,2.0,22.0,,1.0,,,,1.0,1.0,3.0,,3.0,1.0,2.0,1.0,1.0,1.0,7.0,3.0,3.0,8.0,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,2.0,,,2.0,1.0,1.0,1.0,,1.0,,2.0,,2.0,,3.0,4.0,2.0,6.0,,2.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,2.0,,,4.0,,2.0,,,,,,,,7.0,7.0,4.0,,,1.0,1.0,0.14285714285714285,,0.5,0.25,,0.8333333333333334,0.3333333333333333,0.25,0.875,0.3,0.14285714285714285,,1.0,0.75,0.3333333333333333,,,0.6,0.25,,1.0,,,0.5,1.0,,,,,104.55445544554456,,12.818181818181818,14.727272727272727,12.181818181818182,13.636363636363637,0.1,,,,0.3,0.3333333333333333,0.5,1.0,0.3,,,,0.1,0.2,,,,1.0,0.3333333333333333,,0.3333333333333333,0.4,0.414065,0.36255,0.5149833333333333,0.16666666666666666,0.2222222222222222,0.125,0.875,10.914285714285715,23.733333333333334,0.36363636363636365,1.0,1.0,,1.0,,,,,0.3333333333333333,0.3333333333333333,0.5,0.5,,0.5,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,True
1628262-1628267-1628273-202640-203849,1611661321,"Evelyn Akhator, Saniya Chong, Kaela Davis, Karima Christmas-Kelly, Theresa Plaisance","Akhator, Chong, Davis, Christmas-Kelly, Plaisance",1628262-1628267-1628273-202640-203849,DAL,103.0,1,2.0,4.0,3.0,2.0,,,1.0,5.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,2.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,,,2.0,,,,,,4.0,,,,,2.0,2.0,1.0,,1.0,4.0,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,2.0,,1.0,,,,,,,,4.0,,,,,1.0,1.0,1.0,1.0,,0.6666666666666666,1.0,,0.75,1.0,,0.3333333333333333,,,,,,1.0,1.0,0.5,1.0,,,,1.0,,,,1.0,,,69.90291262135922,,18.666666666666668,23.5,14.333333333333334,21.5,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,1.0,1.0,1.0,,,,,0.6666666666666666,0.5408166666666666,,,0.25,0.3333333333333333,0.3333333333333333,,10.7,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,True
1628262-1628273-1628277-201907-203400,1611661321,"Evelyn Akhator, Kaela Davis, Allisha Gray, Courtney Paris, Skylar Diggins-Smith","Akhator, Davis, Gray, Paris, Diggins-Smith",1628262-1628273-1628277-201907-203400,DAL,99.0,1,2.0,,3.0,3.0,,3.0,,6.0,,,,,,,,,1.0,2.0,,1.0,,,1.0,2.0,1.0,,2.0,2.0,,,,,,,,,,,2.0,,,1.0,,1.0,1.0,,,1.0,2.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,1.0,1.0,0.5,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,,1.0,,1.0,,,,,,,,,,1.0,,87.27272727272728,,18.333333333333332,14.666666666666666,18.333333333333332,14.666666666666666,,,,,,,,,0.6666666666666666,0.5,0.5,1.0,,0.3333333333333333,,,,,,,,0.3333333333333333,0.42393333333333333,,,,,,,18.95,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,True
1628267-1628273-1628277-201907-203017,1611661321,"Saniya Chong, Kaela Davis, Allisha Gray, Courtney Paris, Glory Johnson","Chong, Davis, Gray, Paris, Johnson",1628267-1628273-1628277-201907-203017,DAL,184.0,2,3.0,-3.0,7.0,7.0,5.0,5.0,,14.0,1.0,1.0,,,1.0,1.0,,,,1.0,,2.0,,1.0,1.0,2.0,2.0,3.0,5.0,8.0,,,,,,1.0,1.0,1.0,3.0,5.0,,2.0,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,,3.0,,,4.0,,1.0,1.0,,,,,,,5.0,5.0,5.0,,1.0,,,0.5,,1.0,0.25,,0.5,0.4166666666666667,,0.625,0.5,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,109.56521739130434,,13.714285714285714,12.571428571428571,13.714285714285714,12.571428571428571,0.25,1.0,1.0,,,,,,0.25,,,,,0.5,,,,,0.5,1.0,0.5,0.75,0.5588875,,0.641975,0.2,0.3333333333333333,,1.0,8.3,23.65,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,True
1628267-1628273-202640-203017-203400,1611661321,"Saniya Chong, Kaela Davis, Karima Christmas-Kelly, Glory Johnson, Skylar Diggins-Smith","Chong, Davis, Christmas-Kelly, Johnson, Diggins-Smith",1628267-1628273-202640-203017-203400,DAL,874.0,5,15.0,-9.0,27.0,28.0,4.0,14.0,2.0,55.0,5.0,8.0,1.0,1.0,2.0,2.0,3.0,6.0,2.0,6.0,,3.0,,1.0,10.0,20.0,3.0,4.0,24.0,33.0,1.0,1.0,,2.0,4.0,2.0,3.0,1.0,,4.0,8.0,12.0,2.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,8.0,,2.0,1.0,6.0,7.0,2.0,9.0,,3.0,1.0,2.0,4.0,3.0,,1.0,,4.0,,,5.0,2.0,9.0,2.0,,6.0,,1.0,4.0,,2.0,,5.0,4.0,1.0,6.0,2.0,,20.0,4.0,4.0,2.0,,0.4,0.4444444444444444,0.5,1.0,0.6666666666666666,0.43478260869565216,1.0,0.5,0.48,1.0,0.5,0.13043478260869565,0.05,0.125,1.0,0.5454545454545454,0.2,0.2,,0.4375,0.15384615384615385,,0.3333333333333333,,,0.6666666666666666,0.4,,0.2,,,90.61784897025171,0.3333333333333333,16.51851851851852,15.285714285714286,16.48148148148148,13.821428571428571,0.34782608695652173,0.625,0.7142857142857143,0.4,0.2608695652173913,0.5,0.5,0.3333333333333333,0.2608695652173913,0.3333333333333333,0.3333333333333333,0.5,,0.13043478260869565,1.0,1.0,,,0.5,1.0,0.25,0.4782608695652174,0.45925434782608693,0.6968,0.567425,0.08,0.09090909090909091,0.16666666666666666,0.16666666666666666,9.175,24.833333333333332,0.14814814814814814,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,True
1628267-1628273-202640-203017-203849,1611661321,"Saniya Chong, Kaela Davis, Karima Christmas-Kelly, Glory Johnson, Theresa Plaisance","Chong, Davis, Christmas-Kelly, Johnson, Plaisance",1628267-1628273-202640-203017-203849,DAL,420.0,3,7.0,-10.0,16.0,14.0,14.0,6.0,1.0,30.0,3.0,6.0,,,2.0,5.0,,1.0,1.0,2.0,,1.0,,,4.0,9.0,1.0,2.0,10.0,20.0,,,,1.0,1.0,3.0,8.0,,1.0,7.0,6.0,2.0,,1.0,1.0,3.0,3.0,3.0,,,6.0,,1.0,2.0,1.0,3.0,1.0,4.0,,2.0,,2.0,3.0,2.0,4.0,1.0,,7.0,1.0,7.0,3.0,,4.0,,,2.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,9.0,7.0,14.0,,,0.75,0.75,0.4444444444444444,,0.375,0.4,,0.375,0.45454545454545453,0.5,0.3888888888888889,0.1,0.1111111111111111,0.16666666666666666,0.42857142857142855,0.5,0.2,1.0,,0.75,0.16666666666666666,0.3333333333333333,,,,1.0,,,1.0,,,102.85714285714286,1.0,13.4375,14.642857142857142,13.3125,14.285714285714286,0.6,0.5,0.6,1.0,0.1,,,,0.2,0.5,0.5,,,0.1,,,,,0.625,0.4,,0.7,0.53034,,0.5150125,0.1,0.1111111111111111,0.1,0.7,6.111111111111111,25.1,0.875,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,True
1628267-1628273-202640-203400-203866,1611661321,"Saniya Chong, Kaela Davis, Karima Christmas-Kelly, Skylar Diggins-Smith, Kayla Thornton","Chong, Davis, Christmas-Kelly, Diggins-Smith, Thornton",1628267-1628273-202640-203400-203866,DAL,548.0,3,9.0,-5.0,18.0,19.0,3.0,9.0,1.0,37.0,3.0,3.0,,,,,1.0,1.0,,2.0,1.0,5.0,,1.0,4.0,6.0,6.0,4.0,15.0,20.0,,1.0,,,,,,1.0,2.0,5.0,4.0,4.0,,5.0,,2.0,3.0,2.0,,,7.0,1.0,,3.0,5.0,8.0,1.0,9.0,,1.0,,1.0,4.0,4.0,1.0,,,5.0,,,2.0,,4.0,,,10.0,,,6.0,,1.0,2.0,1.0,1.0,,1.0,1.0,,15.0,3.0,2.0,,1.0,0.5,0.5,0.6666666666666666,,,0.4583333333333333,,1.5,0.5,,0.8333333333333334,0.5,,,0.8,1.0,,0.6,0.25,0.8,0.16666666666666666,,,0.3333333333333333,,1.0,1.0,,0.6,,,97.22627737226279,1.0,15.555555555555555,14.105263157894736,14.88888888888889,13.263157894736842,0.25,1.0,1.0,0.6666666666666666,0.08333333333333333,1.0,1.0,,0.16666666666666666,,,,0.08333333333333333,0.4166666666666667,,,,,,,1.0,0.75,0.4885083333333333,,0.5115,0.07692307692307693,0.14285714285714285,,0.3333333333333333,9.0,24.45,0.16666666666666666,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,0.16666666666666666,0.16666666666666666,0.2,0.2,1.0,0.2,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,True
1628267-1628273-203017-203400-203849,1611661321,"Saniya Chong, Kaela Davis, Glory Johnson, Skylar Diggins-Smith, Theresa Plaisance","Chong, Davis, Johnson, Diggins-Smith, Plaisance",1628267-1628273-203017-203400-203849,DAL,185.0,4,3.0,,5.0,6.0,,1.0,,11.0,1.0,2.0,,,,,,,,1.0,,1.0,,,1.0,3.0,1.0,,2.0,2.0,,,,,,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,2.0,1.0,3.0,1.0,4.0,,,,,2.0,,,2.0,,2.0,,,,,1.0,,,5.0,,1.0,2.0,,1.0,,,,,,,,2.0,,,,,1.0,1.0,0.3333333333333333,,,0.25,,,0.2,,,0.25,0.3333333333333333,0.5,1.0,1.0,,0.6666666666666666,1.0,0.75,0.3333333333333333,,,1.0,,,1.0,,0.6666666666666666,,,85.62162162162161,,19.2,14.833333333333334,17.2,14.833333333333334,0.5,0.5,1.0,1.0,,,,,0.25,,,,,0.25,,,,,,,,0.75,0.50795,,,0.2,0.25,,,6.666666666666667,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2017,2017,True
