EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,HeaveAttempts,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,FTDefRebounds,3SecondViolations,DefFTReboundPct,Technical Free Throw Trips,SecondChanceFtPoints,DefCorner3ReboundPct,Charge Fouls Drawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceArc3PctAssisted,BlockedShortMidRange,LongMidRangePctBlocked,BlockingFoulsDrawn,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,Corner3PctBlocked,Clear Path Fouls,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,BlockedLongMidRange,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,team_id,year,season,team_vs
100888-100915-100952-201904-203827,1611661324,"Plenette Pierson, Lindsay Whalen, Jia Perkins, Renee Montgomery, Natasha Howard","Pierson, Whalen, Perkins, Montgomery, Howard",100888-100915-100952-201904-203827,MIN,223.0,2,4.0,2.0,8.0,8.0,8.0,5.0,1.0,16.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,11.0,9.0,1.0,4.0,6.0,1.0,1.0,11.0,6.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,11.0,11.0,8.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.14285714285714285,0.5,0.6666666666666666,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,103.31838565022422,15.25,12.625,15.25,12.125,0.2857142857142857,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,0.5,0.5,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,1.0,0.14285714285714285,1.0,0.42857142857142855,1.0,0.45447857142857145,0.2599,0.45447857142857145,1.0,8.633333333333333,25.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100952-201904-202632-203827,1611661324,"Plenette Pierson, Jia Perkins, Renee Montgomery, Maya Moore, Natasha Howard","Pierson, Perkins, Montgomery, Moore, Howard",100888-100952-201904-202632-203827,MIN,2362.0,18,39.0,22.0,87.0,80.0,44.0,17.0,16.0,167.0,12.0,21.0,4.0,9.0,9.0,14.0,5.0,12.0,6.0,23.0,5.0,10.0,26.0,47.0,7.0,25.0,90.0,68.0,13.0,12.0,22.0,6.0,11.0,49.0,28.0,24.0,18.0,23.0,6.0,14.0,6.0,20.0,5.0,8.0,3.0,46.0,7.0,6.0,14.0,20.0,13.0,33.0,8.0,2.0,5.0,13.0,21.0,12.0,8.0,20.0,73.0,49.0,44.0,1.0,0.5384615384615384,0.5833333333333334,0.8571428571428571,0.28,0.5454545454545454,0.28,0.5531914893617021,0.5454545454545454,0.5069444444444444,0.6363636363636364,0.5625,0.6805555555555556,0.3472222222222222,0.38095238095238093,0.56,0.35,0.6666666666666666,0.5882352941176471,0.35135135135135137,0.16666666666666666,0.4444444444444444,0.75,0.6666666666666666,101.81202370872143,13.666666666666666,14.6625,12.160919540229886,14.125,0.2916666666666667,0.5714285714285714,0.7058823529411765,0.6666666666666666,0.19444444444444445,0.6428571428571429,0.6428571428571429,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.3194444444444444,0.2608695652173913,0.2608695652173913,0.8333333333333334,0.2727272727272727,0.4444444444444444,0.30303030303030304,0.5,0.6388888888888888,0.2608695652173913,0.49855000000000005,0.4420041666666667,0.5061893939393939,0.5444444444444444,8.402127659574468,23.392,0.5057471264367817,3.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,17.0,7.0,1.0,2.0,17.0,7.0,3.0,4.0,4.0,1.0,3.0,6.0,1.0,12.0,8.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,17.0,1.0,2.0,19.0,2.0,8.0,1.0,1.0,3.0,3.0,3.0,1.0,0.5,0.5384615384615384,0.5666666666666667,0.5666666666666667,0.0851063829787234,0.19047619047619047,0.35294117647058826,0.2222222222222222,0.8,0.3125,1.0,0.5,0.030303030303030304,0.3333333333333333,0.6,0.027777777777777776,0.5,0.5,1.0,0.4,0.5,0.3333333333333333,0.13333333333333333,0.5,0.030303030303030304,1.0,0.11392405063291139,0.1509433962264151,0.038461538461538464,0.18888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100944-100952-201904-202632-203827,1611661324,"Rebekkah Brunson, Jia Perkins, Renee Montgomery, Maya Moore, Natasha Howard","Brunson, Perkins, Montgomery, Moore, Howard",100944-100952-201904-202632-203827,MIN,386.0,5,6.0,-6.0,13.0,14.0,3.0,,,27.0,1.0,2.0,,1.0,3.0,5.0,,1.0,,3.0,,,4.0,8.0,,4.0,9.0,15.0,,,2.0,,1.0,,4.0,4.0,,2.0,,2.0,,2.0,,1.0,1.0,4.0,,2.0,3.0,5.0,1.0,6.0,,,,,,,,,9.0,,3.0,,0.5,0.5,,,,,0.5,,0.3333333333333333,,0.34615384615384615,,0.3333333333333333,,0.75,,0.5,0.625,,,1.0,1.0,0.6666666666666666,100.72538860103627,13.307692307692308,15.214285714285714,13.307692307692308,12.5,0.16666666666666666,0.5,0.5,1.0,0.4166666666666667,0.6,0.6,0.3333333333333333,0.08333333333333333,,,0.25,,,,0.3333333333333333,,,,0.5,,0.4752954545454546,,0.5068,,7.675,30.7,0.23076923076923078,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.5,,,,0.08333333333333333,,,,,,,,,0.3333333333333333,,,,,,1.0,1.0,1.0,0.25,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100915-100952-1628283-203827,1611661324,"Plenette Pierson, Lindsay Whalen, Jia Perkins, Alexis Jones, Natasha Howard","Pierson, Whalen, Perkins, Jones, Howard",100888-100915-100952-1628283-203827,MIN,91.0,1,2.0,-3.0,3.0,3.0,,,,6.0,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,,2.0,2.0,,2.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,0.5,,1.0,,,1.0,,,1.0,1.0,,94.94505494505495,17.333333333333332,13.0,17.333333333333332,13.0,,,,,,,,,0.5,,,0.5,,,,,,,,0.5,,0.421975,,,,16.3,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100915-200671-201904-203827,1611661324,"Plenette Pierson, Lindsay Whalen, Seimone Augustus, Renee Montgomery, Natasha Howard","Pierson, Whalen, Augustus, Montgomery, Howard",100888-100915-200671-201904-203827,MIN,100.0,1,2.0,-6.0,4.0,4.0,,4.0,,8.0,,,,,,,,1.0,,2.0,,,,1.0,,2.0,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,4.0,,,,3.0,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,115.19999999999999,12.5,12.5,12.5,8.75,,,,,,,,,0.3333333333333333,,,0.6666666666666666,,,,,,,,0.6666666666666666,,0.412375,,,,17.7,35.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100944-1628283-200671-202632,1611661324,"Plenette Pierson, Rebekkah Brunson, Alexis Jones, Seimone Augustus, Maya Moore","Pierson, Brunson, Jones, Augustus, Moore",100888-100944-1628283-200671-202632,MIN,330.0,2,6.0,7.0,9.0,8.0,,,2.0,17.0,3.0,5.0,,,,1.0,1.0,2.0,2.0,2.0,,,4.0,8.0,2.0,2.0,14.0,7.0,3.0,,,,,,,8.0,6.0,2.0,2.0,,2.0,2.0,2.0,,,6.0,3.0,,3.0,3.0,3.0,6.0,2.0,,,,2.0,,1.0,2.0,10.0,,,,,,1.0,1.0,,1.0,0.5,,0.7,,0.7,,0.2,1.0,0.75,0.75,,0.75,0.75,,1.0,0.5,,74.18181818181819,15.222222222222221,24.125,13.555555555555555,24.125,0.5,0.6,0.75,,0.1,,,,0.2,0.5,0.5,0.2,1.0,1.0,1.0,,,,,0.7,1.0,0.49394499999999997,0.5511666666666667,,,6.5375,23.75,,2.0,3.0,,,,,,,,2.0,,,4.0,,,2.0,1.0,,,,,,,,,2.0,,,1.0,,,,2.0,,1.0,1.0,,,,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.125,0.2,,1.0,1.0,,,1.0,,,,,,,,1.0,0.6666666666666666,,,,,,,,,0.2857142857142857,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100952-1627701-1628283-202632,1611661324,"Plenette Pierson, Jia Perkins, Temi Fagbenle, Alexis Jones, Maya Moore","Pierson, Perkins, Fagbenle, Jones, Moore",100888-100952-1627701-1628283-202632,MIN,172.0,1,3.0,3.0,5.0,5.0,,,,10.0,,1.0,,,,1.0,,,2.0,2.0,,,,2.0,2.0,2.0,9.0,6.0,,,,,,,,,6.0,2.0,2.0,,2.0,2.0,2.0,,,6.0,,1.0,1.0,2.0,,2.0,,,,,,,,1.0,9.0,,,,,,1.0,1.0,,1.0,,,0.75,,0.8,,0.5,,0.5,,1.0,0.6666666666666666,,,1.0,,1.0,83.72093023255813,15.8,18.6,15.8,17.4,0.25,,,,0.25,,,,,,,0.5,1.0,1.0,1.0,,,,,0.75,1.0,0.469725,,,,3.0,23.1,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3333333333333333,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100952-1628283-201480-202632,1611661324,"Plenette Pierson, Jia Perkins, Alexis Jones, Sylvia Fowles, Maya Moore","Pierson, Perkins, Jones, Fowles, Moore",100888-100952-1628283-201480-202632,MIN,639.0,5,11.0,17.0,22.0,19.0,8.0,2.0,4.0,41.0,5.0,7.0,1.0,1.0,3.0,5.0,2.0,5.0,,2.0,,1.0,10.0,17.0,,2.0,29.0,12.0,3.0,2.0,3.0,,1.0,7.0,10.0,10.0,,2.0,,5.0,,5.0,,3.0,1.0,10.0,4.0,5.0,5.0,10.0,4.0,14.0,2.0,,2.0,,2.0,2.0,2.0,4.0,21.0,7.0,8.0,,0.5,0.5555555555555556,,,,,0.5882352941176471,0.6666666666666666,0.5263157894736842,0.5,0.6041666666666666,0.5833333333333334,0.10526315789473684,1.0,1.0,0.5714285714285714,1.0,1.0,0.4444444444444444,,1.0,1.0,1.0,92.39436619718309,14.318181818181818,17.05263157894737,13.454545454545455,17.05263157894737,0.3684210526315789,0.7142857142857143,0.8333333333333334,0.6,0.2631578947368421,0.6,0.6,0.3333333333333333,0.2631578947368421,0.4,0.4,0.10526315789473684,,,,0.25,1.0,0.25,,0.47368421052631576,,0.4656157894736842,0.5420666666666667,0.4244625,0.2413793103448276,8.429411764705883,23.35,0.36363636363636365,2.0,2.0,,,,,,,9.0,3.0,,,8.0,3.0,,2.0,1.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,6.0,,,11.0,1.0,6.0,,,,,,,,1.0,1.0,1.0,0.058823529411764705,0.14285714285714285,,1.0,1.0,,,1.0,0.125,,0.5,,,,,0.6666666666666666,1.0,0.5,,,,,0.25,0.2727272727272727,,0.27586206896551724,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-100952-201480-201904-203827,1611661324,"Plenette Pierson, Jia Perkins, Sylvia Fowles, Renee Montgomery, Natasha Howard","Pierson, Perkins, Fowles, Montgomery, Howard",100888-100952-201480-201904-203827,MIN,837.0,6,14.0,7.0,30.0,29.0,17.0,15.0,4.0,59.0,7.0,13.0,5.0,7.0,3.0,6.0,,2.0,2.0,5.0,2.0,5.0,10.0,21.0,2.0,7.0,30.0,23.0,2.0,6.0,12.0,2.0,5.0,22.0,12.0,8.0,3.0,4.0,2.0,6.0,1.0,7.0,1.0,5.0,1.0,15.0,4.0,4.0,8.0,12.0,4.0,16.0,2.0,,2.0,2.0,4.0,1.0,2.0,7.0,23.0,22.0,17.0,1.0,0.6,0.6666666666666666,0.5,0.2857142857142857,0.4,0.3333333333333333,0.47619047619047616,0.5,0.4642857142857143,0.5294117647058824,0.5,0.5789473684210527,0.25,0.5,0.8888888888888888,0.3333333333333333,1.0,0.9230769230769231,0.25,0.3333333333333333,1.0,1.0,1.0,101.50537634408603,14.133333333333333,14.241379310344827,13.366666666666667,13.793103448275861,0.4642857142857143,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.21428571428571427,0.5,0.5,0.3333333333333333,0.07142857142857142,,,0.17857142857142858,0.4,0.4,0.5,0.4117647058823529,0.7142857142857143,0.29411764705882354,0.4,0.7142857142857143,0.5,0.5127203703703704,0.54485,0.470590625,0.7333333333333333,4.79047619047619,28.97142857142857,0.5666666666666667,2.0,2.0,,2.0,,,1.0,2.0,4.0,2.0,1.0,2.0,7.0,4.0,3.0,2.0,,,,,,3.0,3.0,,,,,,,,1.0,2.0,8.0,1.0,2.0,5.0,1.0,2.0,,1.0,2.0,2.0,2.0,2.0,0.5,1.0,0.875,0.875,,,,0.5,,,,0.75,,1.0,,0.07142857142857142,,,,0.5,1.0,,0.5,0.5,,,0.06896551724137931,0.09090909090909091,,0.23333333333333334,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1611661324,2017,2017,False
100888-200671-201480-201904-203827,1611661324,"Plenette Pierson, Seimone Augustus, Sylvia Fowles, Renee Montgomery, Natasha Howard","Pierson, Augustus, Fowles, Montgomery, Howard",100888-200671-201480-201904-203827,MIN,347.0,2,6.0,4.0,12.0,13.0,5.0,6.0,,25.0,1.0,1.0,,,1.0,2.0,1.0,2.0,,1.0,,,3.0,5.0,,2.0,10.0,6.0,,1.0,2.0,,1.0,5.0,2.0,4.0,,1.0,,1.0,,1.0,,1.0,,2.0,,1.0,3.0,4.0,,4.0,,1.0,,2.0,2.0,,,,10.0,5.0,5.0,,0.3333333333333333,0.3333333333333333,,,,,0.6,0.5,0.42857142857142855,0.3333333333333333,0.5,0.5,0.2857142857142857,,1.0,,1.0,1.0,,,1.0,1.0,1.0,103.7463976945245,12.916666666666666,14.76923076923077,12.916666666666666,14.76923076923077,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,,0.2857142857142857,0.5,0.5,0.14285714285714285,,,,,,,,0.42857142857142855,,0.4349785714285714,,0.42208333333333337,0.5,12.379999999999999,23.45,0.4166666666666667,,,,1.0,,1.0,,,4.0,,,,,3.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,4.0,,,6.0,,1.0,,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,,0.5,,0.14285714285714285,,,,,,,,,0.3333333333333333,,0.125,0.16666666666666666,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,1611661324,2017,2017,False
