EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PlusMinus,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2A,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,OffRebounds,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Loose Ball Fouls Drawn,SelfOReb,Offensive Fouls,BlockingFoulsDrawn,SelfORebPct,Charge Fouls,ThreePtShootingFoulsDrawn,BlockedLongMidRange,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,Travels,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Technical Free Throw Trips,FTDefRebounds,DefFTReboundPct,SecondChanceAtRimPctAssisted,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,PtsUnassisted3s,3SecondViolations,Charge Fouls Drawn,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,HeaveAttempts,Corner3PctBlocked,Blocked3s,BlockedArc3,team_id,year,season,team_vs
100812-200673-201530-202641-203863,1611661319,"Erika de Souza, Monique Currie, Sequoia Holmes, Sydney Colson, Haley Peters","de Souza, Currie, Holmes, Colson, Peters",100812-200673-201530-202641-203863,SAN,269.0,1,4.0,8.0,7.0,15.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,4.0,8.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,8.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.25,0.3333333333333333,0.2857142857142857,1.0,0.3333333333333333,80.29739776951672,17.875,18.0,17.875,15.285714285714286,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.4526833333333333,0.25,0.25,9.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,False
100812-1627669-1628269-201530-202641,1611661319,"Erika de Souza, Moriah Jefferson, Nia Coffey, Sequoia Holmes, Sydney Colson","de Souza, Jefferson, Coffey, Holmes, Colson",100812-1627669-1628269-201530-202641,SAN,111.0,1,2.0,3.0,3.0,6.0,3.0,,,,1.0,1.0,4.0,2.0,4.0,3.0,2.0,,1.0,1.0,,2.0,,1.0,1.0,3.0,1.0,1.0,,,1.0,2.0,1.0,4.0,1.0,1.0,0.25,0.25,0.4,0.5,,0.5,,,77.83783783783784,19.666666666666668,17.333333333333332,16.333333333333332,16.666666666666668,0.75,,,,0.25,,,,0.75,0.589975,0.2,0.2,5.6,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.5,1.0,0.5,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,False
100812-1627669-202652-203825-204330,1611661319,"Erika de Souza, Moriah Jefferson, Alex Montgomery, Kayla McBride, Isabelle Harrison","de Souza, Jefferson, Montgomery, McBride, Harrison",100812-1627669-202652-203825-204330,SAN,2753.0,10,46.0,84.0,86.0,170.0,26.0,6.0,17.0,5.0,15.0,25.0,58.0,11.0,85.0,92.0,32.0,18.0,16.0,24.0,3.0,56.0,10.0,17.0,27.0,46.0,10.0,8.0,18.0,2.0,8.0,11.0,4.0,67.0,0.64,0.6956521739130435,0.43103448275862066,0.4625,0.5,0.6296296296296297,0.6666666666666666,0.6428571428571429,0.6666666666666666,0.6363636363636364,88.92117689792953,18.13095238095238,14.30232558139535,16.892857142857142,13.616279069767442,0.325,0.2125,0.35294117647058826,0.375,0.1875,0.3333333333333333,0.3333333333333333,0.6,0.6,0.48970624999999995,0.04819277108433735,0.06557377049180328,7.706896551724138,-7.0,18.0,14.0,5.0,10.0,5.0,10.0,13.0,19.0,0.08620689655172414,0.15384615384615385,0.3939393939393939,0.40425531914893614,0.5,0.46153846153846156,0.5384615384615384,0.6363636363636364,0.7142857142857143,0.3333333333333333,0.53335,15.0,6.0,2.0,1.0,7.0,3.0,4.0,5.0,18.0,2.0,5.0,1.0,4.0,8.0,22.0,5.0,2.0,5.0,2.0,18.0,4.0,11.0,1.0,4.0,6.0,17.0,24.0,4.0,18.0,5.0,8.0,5.0,3.0,3.0,6.0,2.0,10.0,4.0,6.0,8.0,1.0,4.0,18.0,4.0,1.0,11.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,1.0,17.0,15.0,1.0,2.0,1.0,0.36363636363636365,0.4,0.25,0.36363636363636365,0.5,0.36363636363636365,0.5333333333333333,0.36666666666666664,0.5625,0.4722222222222222,0.275,0.058823529411764705,0.5555555555555556,0.42857142857142855,0.36363636363636365,0.3,0.46153846153846156,0.875,0.75,0.25,0.5,0.05,0.75,0.75,1.0,0.225,0.2777777777777778,0.2777777777777778,1.0,0.4,0.3333333333333333,0.4,1.0,0.4666666666666667,0.14285714285714285,0.26666666666666666,0.25,0.2777777777777778,0.5421633333333333,0.21176470588235294,0.2,23.586363636363636,0.17857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,False
100812-1628269-200673-201530-202641,1611661319,"Erika de Souza, Nia Coffey, Monique Currie, Sequoia Holmes, Sydney Colson","de Souza, Coffey, Currie, Holmes, Colson",100812-1628269-200673-201530-202641,SAN,123.0,1,2.0,3.0,3.0,6.0,1.0,1.0,1.0,,1.0,2.0,3.0,,4.0,2.0,2.0,2.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,4.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,,0.3333333333333333,,,70.2439024390244,14.333333333333334,26.666666666666668,14.333333333333334,21.333333333333332,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,0.40809999999999996,,,9.866666666666667,2.0,,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,False
100812-1628269-201062-202641-202652,1611661319,"Erika de Souza, Nia Coffey, Shay Murphy, Sydney Colson, Alex Montgomery","de Souza, Coffey, Murphy, Colson, Montgomery",100812-1628269-201062-202641-202652,SAN,37.0,1,1.0,1.0,2.0,3.0,,,,,,,,,,2.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,116.75675675675676,4.0,16.5,4.0,16.5,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,False
100812-1628276-201530-202641-204324,1611661319,"Erika de Souza, Kelsey Plum, Sequoia Holmes, Sydney Colson, Dearica Hamby","de Souza, Plum, Holmes, Colson, Hamby",100812-1628276-201530-202641-204324,SAN,308.0,1,5.0,10.0,9.0,19.0,1.0,2.0,3.0,,,2.0,4.0,4.0,8.0,7.0,4.0,,2.0,2.0,,4.0,1.0,3.0,4.0,5.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,8.0,1.0,1.0,0.5,0.5,0.6666666666666666,1.0,0.5,0.8,1.0,,88.83116883116882,16.9,15.444444444444445,16.2,14.444444444444445,0.25,0.75,0.6666666666666666,0.6666666666666666,,,,,0.25,0.389975,0.3333333333333333,0.3333333333333333,5.4,1.0,1.0,,,,,,1.0,1.0,,,0.5,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,1.0,4.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,False
100812-1628276-202652-203825-204324,1611661319,"Erika de Souza, Kelsey Plum, Alex Montgomery, Kayla McBride, Dearica Hamby","de Souza, Plum, Montgomery, McBride, Hamby",100812-1628276-202652-203825-204324,SAN,979.0,6,16.0,32.0,30.0,62.0,8.0,2.0,4.0,5.0,9.0,13.0,21.0,5.0,34.0,25.0,14.0,12.0,7.0,8.0,3.0,17.0,6.0,6.0,12.0,16.0,4.0,2.0,6.0,1.0,6.0,7.0,2.0,34.0,0.5384615384615384,0.5384615384615384,0.6190476190476191,0.5576923076923077,0.6071428571428571,0.75,0.75,0.75,0.5,0.8333333333333334,91.19509703779367,15.71875,15.866666666666667,15.28125,15.233333333333333,0.3076923076923077,0.15384615384615385,0.5,0.5,0.34615384615384615,0.5555555555555556,0.625,0.6,0.5,0.47271153846153846,0.1111111111111111,0.09523809523809523,10.023809523809524,9.0,3.0,6.0,,1.0,1.0,3.0,3.0,4.0,0.047619047619047616,,0.375,0.3333333333333333,0.5,,0.75,0.75,0.5,,0.3982,6.0,3.0,,2.0,2.0,1.0,1.0,,4.0,,,,1.0,1.0,5.0,,,,,,3.0,4.0,,1.0,1.0,7.0,3.0,,4.0,,1.0,,1.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,1.0,1.0,8.0,2.0,,3.0,1.0,,2.0,1.0,1.0,,,1.0,1.0,7.0,6.0,,1.0,1.0,0.2,,,0.2,,0.75,,0.6,,0.5833333333333334,0.19230769230769232,,0.5,0.25,0.5,0.25,0.25,0.8333333333333334,0.5,1.0,0.5,0.038461538461538464,1.0,1.0,1.0,0.15384615384615385,,,,,,,,0.4,1.0,0.2,,,0.48362999999999995,,0.20588235294117646,24.04,0.1875,,,,,,1.0,1.0,1.0,0.1111111111111111,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,False
100812-200673-201530-202652-204330,1611661319,"Erika de Souza, Monique Currie, Sequoia Holmes, Alex Montgomery, Isabelle Harrison","de Souza, Currie, Holmes, Montgomery, Harrison",100812-200673-201530-202652-204330,SAN,242.0,2,4.0,6.0,5.0,11.0,1.0,2.0,2.0,,,2.0,3.0,,7.0,8.0,,4.0,,1.0,,3.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,,3.0,,,4.0,,,0.6666666666666666,0.875,0.875,1.0,1.0,1.0,,1.0,65.45454545454545,23.5,20.2,22.833333333333332,20.2,0.25,0.5,1.0,1.0,,,,,0.5,0.4062625,,,5.2,-1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,0.61785,3.0,5.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,3.0,1.0,2.0,1.0,1.0,,5.0,3.0,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,2.0,,,3.0,,1.0,2.0,,,,,,,,,,5.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,0.5,1.5,0.8333333333333334,1.5,0.8333333333333334,0.25,,0.3333333333333333,,,,,,,,,,,,,0.25,1.0,1.0,1.0,,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,1.0,1.0,0.45085,0.42857142857142855,0.7142857142857143,23.4,0.5,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,False
100812-200673-201530-203825-204330,1611661319,"Erika de Souza, Monique Currie, Sequoia Holmes, Kayla McBride, Isabelle Harrison","de Souza, Currie, Holmes, McBride, Harrison",100812-200673-201530-203825-204330,SAN,59.0,1,1.0,3.0,2.0,5.0,1.0,,,,,1.0,1.0,3.0,5.0,4.0,2.0,,1.0,1.0,,2.0,,,,,,,1.0,,3.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,0.8333333333333334,,,,,,122.03389830508475,8.333333333333334,17.0,8.0,17.0,1.0,,,,,,,,1.0,0.6182,0.5,0.5,0.9,1.0,1.0,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,4.0,2.0,,1.0,,,,,,,1.0,,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,0.6182,0.2,0.8,,0.6666666666666666,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,False
100812-200673-202641-203825-204324,1611661319,"Erika de Souza, Monique Currie, Sydney Colson, Kayla McBride, Dearica Hamby","de Souza, Currie, Colson, McBride, Hamby",100812-200673-202641-203825-204324,SAN,142.0,2,2.0,5.0,4.0,9.0,,,,1.0,3.0,1.0,3.0,,2.0,2.0,,2.0,,,,,,2.0,2.0,2.0,,,1.0,,2.0,,,2.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,,0.4,0.5,,91.26760563380282,13.4,18.75,13.4,15.5,,,,,1.0,0.3333333333333333,0.3333333333333333,,,0.3832333333333333,,,15.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,2.0,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,False
