EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,Steals,BadPassSteals,Blocked3s,BlockedArc3,BlockedLongMidRange,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceShotQualityAvg,Corner3FGA,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,SelfOReb,OffShortMidRangeReboundPct,SelfORebPct,Corner3Frequency,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,2pt And 1 Free Throw Trips,Corner3FGM,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Offensive Fouls,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,FTDefRebounds,DefFTReboundPct,PenaltyDefPoss,BadPassTurnovers,Travels,PenaltyTurnovers,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangeAssists,AtRimPctBlocked,OffAtRimReboundPct,ShortMidRangePctAssisted,team_id,year,season,team_vs
1627701-1628882-1629483-200671-203024,1611661324,"Temi Fagbenle, Lexie Brown, Napheesa Collier, Seimone Augustus, Damiris Dantas","Fagbenle, Brown, Collier, Augustus, Dantas",1627701-1628882-1629483-200671-203024,MIN,215.0,1,4.0,6.0,5,5,2.0,1.0,10,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,8.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,1.0,0.6,1.0,0.5,0.6666666666666666,1.0,0.5,0.4,0.6666666666666666,1.0,0.5,0.75,0.5,0.5,1.0,1.0,1.0,66.9767441860465,16.2,26.8,16.2,26.8,0.4,1.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.5,1.0,0.5,0.8,0.54606,0.524575,0.16666666666666666,0.25,0.25,0.25,3.466666666666667,27.45,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,False
1627701-1628882-1629483-200671-203855,1611661324,"Temi Fagbenle, Lexie Brown, Napheesa Collier, Seimone Augustus, Stephanie Talbot","Fagbenle, Brown, Collier, Augustus, Talbot",1627701-1628882-1629483-200671-203855,MIN,264.0,1,4.0,2.0,8,8,5.0,2.0,16,1.0,2.0,,1.0,,1.0,1.0,2.0,2.0,1.0,4.0,8.0,2.0,,8.0,6.0,1.0,2.0,2.0,3.0,6.0,1.0,6.0,4.0,2.0,2.0,1.0,,3.0,3.0,2.0,5.0,,2.0,,,2.0,1.0,3.0,6.0,6.0,5.0,0.5,0.5,0.5,0.4,0.5,0.42857142857142855,0.4,0.5,0.42857142857142855,0.2,1.0,,0.5,1.0,0.4,0.5,,1.0,,87.27272727272727,17.625,15.375,16.0,15.125,0.2,0.5,0.5,0.2,0.5,1.0,0.2,0.5,,0.14285714285714285,,0.14285714285714285,0.4,0.40844500000000006,0.41312857142857146,,,0.25,0.75,11.8125,25.35,0.625,2.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.6666666666666666,0.125,0.5,0.3333333333333333,0.5,1.0,0.6666666666666666,1.0,0.4,0.5,0.5,0.5,0.3997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,False
1627701-1628882-1629483-203024-203855,1611661324,"Temi Fagbenle, Lexie Brown, Napheesa Collier, Damiris Dantas, Stephanie Talbot","Fagbenle, Brown, Collier, Dantas, Talbot",1627701-1628882-1629483-203024-203855,MIN,26.0,1,,-3.0,1,1,,,2,,,,,,,,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,14.0,12.0,14.0,12.0,,,,1.0,,,,,,,,,,0.3457,,,,,,5.9,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,False
1627701-1629483-200671-202658-203855,1611661324,"Temi Fagbenle, Napheesa Collier, Seimone Augustus, Danielle Robinson, Stephanie Talbot","Fagbenle, Collier, Augustus, Robinson, Talbot",1627701-1629483-200671-202658-203855,MIN,181.0,1,3.0,-4.0,5,5,,2.0,10,,,,,,,,2.0,2.0,,,4.0,3.0,,,4.0,,,,,,,,,,2.0,,,2.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,0.42857142857142855,1.0,,,0.6666666666666666,0.2857142857142857,,,1.0,,79.55801104972376,22.2,14.0,19.0,13.8,,,,0.2857142857142857,,,0.2857142857142857,,,,,,0.42857142857142855,0.4320642857142857,,,,,,14.725,25.366666666666664,,,2.0,,1.0,,,,,,2.0,1.0,1.0,,,,,,,0.25,0.5,0.5,,1.0,,,0.2857142857142857,,,,0.477825,1.0,1.0,1.0,2.0,1.0,1.0,0.16666666666666666,0.14285714285714285,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,False
1627701-1629483-200671-203024-203824,1611661324,"Temi Fagbenle, Napheesa Collier, Seimone Augustus, Damiris Dantas, Odyssey Sims","Fagbenle, Collier, Augustus, Dantas, Sims",1627701-1629483-200671-203024-203824,MIN,66.0,1,1.0,1.0,2,2,,,4,1.0,1.0,,,,,,1.0,,,1.0,2.0,,1.0,3.0,2.0,,,,,,,,2.0,,,,1.0,,1.0,,1.0,,2.0,1.0,1.0,,,,3.0,,,0.5,,,0.5,,,0.75,,,,,1.0,,1.0,,,,,1.0,87.27272727272727,18.0,15.0,18.0,15.0,0.5,1.0,1.0,0.5,,,,,,,,,0.5,0.4854,,0.5,0.5,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,False
1627701-1629483-202658-203024-203824,1611661324,"Temi Fagbenle, Napheesa Collier, Danielle Robinson, Damiris Dantas, Odyssey Sims","Fagbenle, Collier, Robinson, Dantas, Sims",1627701-1629483-202658-203024-203824,MIN,204.0,1,3.0,-2.0,9,8,,1.0,17,2.0,2.0,1.0,1.0,,,,1.0,2.0,,4.0,5.0,3.0,,11.0,13.0,1.0,1.0,2.0,,,,,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,3.0,2.0,1.0,,,,,,9.0,,,0.8,1.0,,0.6875,1.0,,0.6875,1.0,,0.375,1.0,,0.5,1.0,0.3333333333333333,0.5,,1.0,,120.0,13.777777777777779,10.0,13.555555555555555,10.0,0.25,1.0,1.0,0.125,,,0.25,1.0,1.0,,,,0.625,0.45573125,,,,0.18181818181818182,,10.48,24.46666666666667,,2.0,2.0,6.0,1.0,3.0,4.0,1.0,2.0,9.0,,,,,,,,0.75,1.0,0.2,1.0,,,,,0.5,0.25,1.0,1.0,1.0,,1.0,,,,,,,0.125,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,False
1628882-1629483-200671-201480-203024,1611661324,"Lexie Brown, Napheesa Collier, Seimone Augustus, Sylvia Fowles, Damiris Dantas","Brown, Collier, Augustus, Fowles, Dantas",1628882-1629483-200671-201480-203024,MIN,88.0,1,1.0,-2.0,1,2,,,3,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,49.09090909090909,53.0,17.5,51.0,14.5,,,,,,,,,,,,,,0.3394,,,,,,17.6,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,False
1628882-1629483-200671-201480-203824,1611661324,"Lexie Brown, Napheesa Collier, Seimone Augustus, Sylvia Fowles, Odyssey Sims","Brown, Collier, Augustus, Fowles, Sims",1628882-1629483-200671-201480-203824,MIN,23.0,1,,,1,1,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,125.21739130434781,9.0,14.0,9.0,14.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,False
1628882-1629483-200671-201480-203855,1611661324,"Lexie Brown, Napheesa Collier, Seimone Augustus, Sylvia Fowles, Stephanie Talbot","Brown, Collier, Augustus, Fowles, Talbot",1628882-1629483-200671-201480-203855,MIN,132.0,1,2.0,-4.0,5,4,3.0,,9,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,2.0,,,2.0,6.0,,,,1.0,2.0,,2.0,2.0,,,,,1.0,1.0,,1.0,,1.0,,,,,,2.0,2.0,3.0,0.5,,0.5,0.5,,0.5,0.5,,0.5,,1.0,,,1.0,,,,,,98.18181818181817,14.4,15.0,14.4,15.0,0.5,1.0,1.0,0.5,,,,,,0.5,1.0,,0.5,0.39655,0.39655,,,,1.0,6.75,,0.6,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,3.0,,,,,,,0.6666666666666666,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,False
1628882-1629483-201480-202658-203024,1611661324,"Lexie Brown, Napheesa Collier, Sylvia Fowles, Danielle Robinson, Damiris Dantas","Brown, Collier, Fowles, Robinson, Dantas",1628882-1629483-201480-202658-203024,MIN,38.0,1,1.0,-2.0,1,2,,,3,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,113.6842105263158,18.0,10.0,18.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,False
