EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Clear Path Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGA,HeaveAttempts,StepOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,FTOffRebounds,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,PenaltyArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,Defensive 3 Seconds Violations,BlockedLongMidRange,Blocked3s,BlockedArc3,team_id,year,season,team_vs
1627676-1628909-200676-203831-204335,1611661325,"Tiffany Mitchell, Kelsey Mitchell, Candice Dupree, Natalie Achonwa, Betnijah Laney","Mitchell, Mitchell, Dupree, Achonwa, Laney",1627676-1628909-200676-203831-204335,IND,2808.0,17,47.0,16.0,93.0,96.0,16.0,38.0,11.0,189.0,16.0,27.0,3.0,6.0,3.0,5.0,9.0,21.0,7.0,17.0,2.0,3.0,5.0,11.0,1.0,2.0,1.0,32.0,65.0,7.0,14.0,22.0,107.0,91.0,6.0,11.0,1.0,2.0,2.0,17.0,6.0,14.0,1.0,4.0,16.0,48.0,16.0,15.0,6.0,6.0,11.0,5.0,5.0,24.0,5.0,29.0,3.0,2.0,11.0,7.0,6.0,63.0,3.0,12.0,12.0,27.0,1.0,40.0,15.0,55.0,2.0,4.0,3.0,1.0,8.0,1.0,6.0,7.0,2.0,2.0,2.0,15.0,1.0,2.0,5.0,16.0,1.0,1.0,22.0,1.0,2.0,24.0,1.0,8.0,1.0,4.0,6.0,2.0,4.0,6.0,3.0,90.0,13.0,14.0,4.0,1.0,0.75,0.8275862068965517,0.7142857142857143,0.5,0.5,0.5,0.49230769230769234,0.5454545454545454,0.42857142857142855,0.5379746835443038,0.5769230769230769,0.4,0.5879120879120879,0.6071428571428571,0.4444444444444444,0.17721518987341772,0.07692307692307693,0.07407407407407407,0.09523809523809523,0.058823529411764705,0.5333333333333333,1.0,0.7105263157894737,0.36363636363636365,0.8571428571428571,0.5,0.75,0.38461538461538464,0.45454545454545453,0.3333333333333333,0.3,0.4,1.0,0.7272727272727273,0.8,0.6470588235294118,0.8,1.0,0.058823529411764705,96.92307692307693,0.5,14.795698924731182,14.916666666666666,14.096774193548388,13.833333333333334,0.34177215189873417,0.5925925925925926,0.64,0.6875,0.26582278481012656,0.42857142857142855,0.47368421052631576,0.7777777777777778,0.21518987341772153,0.4117647058823529,0.4375,0.8571428571428571,0.0379746835443038,0.6666666666666666,0.6666666666666666,1.0,0.13924050632911392,0.45454545454545453,0.45454545454545453,0.6,0.46153846153846156,0.5,0.15384615384615385,0.5,0.3333333333333333,0.6,0.06666666666666667,0.5189873417721519,0.45454545454545453,0.4816582278481013,0.4547625,0.40276,0.10344827586206896,0.1095890410958904,0.07142857142857142,0.1588785046728972,0.14953271028037382,7.886153846153847,24.657142857142855,0.17204301075268819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2019,2019,True
1628909-1629479-200676-204335-204365,1611661325,"Kelsey Mitchell, Teaira McCowan, Candice Dupree, Betnijah Laney, Erica Wheeler","Mitchell, McCowan, Dupree, Laney, Wheeler",1628909-1629479-200676-204335-204365,IND,7542.0,15,126.0,-35.0,233.0,236.0,7.0,28.0,30.0,469.0,38.0,78.0,8.0,16.0,,2.0,16.0,41.0,13.0,39.0,1.0,9.0,15.0,50.0,4.0,8.0,6.0,67.0,158.0,16.0,59.0,35.0,217.0,252.0,9.0,24.0,4.0,9.0,10.0,40.0,,2.0,6.0,3.0,3.0,90.0,44.0,42.0,6.0,8.0,49.0,15.0,11.0,45.0,14.0,59.0,13.0,1.0,24.0,14.0,7.0,132.0,11.0,33.0,28.0,54.0,3.0,85.0,44.0,129.0,9.0,12.0,3.0,9.0,23.0,6.0,17.0,19.0,3.0,6.0,2.0,42.0,4.0,3.0,18.0,48.0,2.0,,45.0,,2.0,44.0,,20.0,,2.0,9.0,5.0,4.0,9.0,3.0,177.0,3.0,7.0,,2.0,0.6716417910447762,0.7142857142857143,0.875,0.2711864406779661,0.4444444444444444,0.27586206896551724,0.4240506329113924,0.375,,0.41935483870967744,0.45454545454545453,,0.453781512605042,0.5263157894736842,0.15,0.271889400921659,0.06962025316455696,0.07692307692307693,0.12195121951219512,,0.5476190476190477,1.0,0.6585365853658537,0.3626373626373626,0.7777777777777778,0.275,0.6949152542372882,0.33587786259541985,0.375,0.32,0.38461538461538464,0.21875,0.5,0.6153846153846154,0.72,0.6451612903225806,0.88,0.5454545454545454,0.075,89.54653937947494,0.3333333333333333,15.665236051502147,16.491525423728813,14.772532188841202,15.584745762711865,0.35944700460829493,0.48717948717948717,0.5277777777777778,0.631578947368421,0.1889400921658986,0.3902439024390244,0.4444444444444444,0.875,0.17972350230414746,0.3333333333333333,0.3333333333333333,0.5384615384615384,0.041474654377880185,0.1111111111111111,0.1111111111111111,1.0,0.2304147465437788,0.3,0.3,0.8666666666666667,0.48484848484848486,0.5,0.24242424242424243,0.5,0.25,,0.75,0.631336405529954,0.30612244897959184,0.49445046296296297,0.529134,0.48865714285714285,0.0847457627118644,0.11299435028248588,,0.18433179723502305,0.013824884792626729,7.54240506329114,25.103389830508473,0.030042918454935622,1.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,0.375,0.030303030303030304,1.0,,,,,,,,,,,,,,,,,,,,,,1611661325,2019,2019,True
1627676-1628909-1629479-200676-204335,1611661325,"Tiffany Mitchell, Kelsey Mitchell, Teaira McCowan, Candice Dupree, Betnijah Laney","Mitchell, Mitchell, McCowan, Dupree, Laney",1627676-1628909-1629479-200676-204335,IND,4049.0,23,67.0,3.0,134.0,139.0,19.0,50.0,21.0,273.0,25.0,40.0,5.0,8.0,6.0,8.0,11.0,34.0,9.0,22.0,1.0,2.0,11.0,27.0,1.0,2.0,1.0,45.0,96.0,12.0,29.0,20.0,146.0,143.0,10.0,21.0,1.0,2.0,1.0,24.0,9.0,15.0,1.0,9.0,30.0,52.0,38.0,27.0,9.0,8.0,25.0,11.0,9.0,26.0,9.0,35.0,8.0,1.0,14.0,4.0,8.0,79.0,2.0,22.0,12.0,31.0,5.0,48.0,25.0,73.0,3.0,11.0,7.0,4.0,16.0,2.0,11.0,8.0,,5.0,1.0,24.0,3.0,1.0,17.0,33.0,1.0,1.0,30.0,4.0,2.0,26.0,,9.0,1.0,2.0,8.0,6.0,2.0,8.0,4.0,122.0,30.0,19.0,5.0,2.0,0.5777777777777777,0.6341463414634146,0.75,0.41379310344827586,0.5,0.4444444444444444,0.46875,0.47619047619047616,0.6,0.504,0.5,0.65625,0.5294117647058824,0.5,0.6818181818181818,0.232,0.09375,0.125,0.11764705882352941,,0.6666666666666666,1.0,0.6888888888888889,0.44,0.5454545454545454,0.13333333333333333,0.6417910447761194,0.36923076923076925,0.6,0.4782608695652174,0.16666666666666666,0.14285714285714285,,0.6470588235294118,0.6875,0.75,0.6,0.42857142857142855,0.05357142857142857,97.09063966411459,0.5,15.522388059701493,14.16546762589928,14.380597014925373,13.503597122302159,0.32,0.625,0.7142857142857143,0.56,0.272,0.3235294117647059,0.36666666666666664,0.36363636363636365,0.176,0.4090909090909091,0.4090909090909091,0.8888888888888888,0.016,0.5,0.5,1.0,0.216,0.4074074074074074,0.4230769230769231,0.7272727272727273,0.34782608695652173,0.625,0.08695652173913043,0.5,0.5,0.75,0.0625,0.552,0.44,0.4895475609756098,0.4872595238095238,0.49524375,0.07462686567164178,0.08653846153846154,0.03333333333333333,0.1643835616438356,0.2054794520547945,7.202083333333333,26.486206896551725,0.1417910447761194,,2.0,,3.0,2.0,5.0,1.0,2.0,0.4,,1.0,1.0,1.0,1.0,1.0,1.0,0.034482758620689655,0.037037037037037035,0.5,1.0,,,,,,,,,,,,,1611661325,2019,2019,True
1627676-1628286-1628906-1628909-1629568,1611661325,"Tiffany Mitchell, Erica McCall, Stephanie Mavunga, Kelsey Mitchell, Kennedy Burke","Mitchell, McCall, Mavunga, Mitchell, Burke",1627676-1628286-1628906-1628909-1629568,IND,948.0,4,16.0,-17.0,32.0,33.0,14.0,12.0,4.0,65.0,1.0,3.0,,1.0,,2.0,3.0,5.0,2.0,9.0,2.0,3.0,3.0,7.0,,,2.0,6.0,17.0,5.0,10.0,5.0,32.0,49.0,,2.0,,,1.0,1.0,1.0,8.0,4.0,2.0,13.0,12.0,,12.0,3.0,,7.0,3.0,1.0,6.0,4.0,10.0,2.0,2.0,1.0,3.0,2.0,24.0,1.0,2.0,3.0,7.0,1.0,11.0,4.0,15.0,1.0,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,,4.0,1.0,1.0,5.0,9.0,,,8.0,,,8.0,,2.0,,2.0,2.0,2.0,,2.0,1.0,31.0,11.0,13.0,,1.0,1.0,1.0,0.8,0.5,,0.5,0.35294117647058826,,0.125,0.5,,0.4583333333333333,0.5161290322580645,0.16666666666666666,0.4642857142857143,0.37037037037037035,0.058823529411764705,,,0.1111111111111111,0.5,1.0,0.875,0.18181818181818182,0.75,0.2,0.8333333333333334,0.1875,,0.5,0.14285714285714285,0.25,,0.6666666666666666,1.0,1.0,0.75,,0.06666666666666667,98.73417721518987,0.5,17.4375,11.818181818181818,16.4375,11.606060606060606,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,0.18518518518518517,0.6,0.6,1.0,0.3333333333333333,0.2222222222222222,0.25,1.0,0.1111111111111111,0.6666666666666666,0.6666666666666666,1.0,0.25925925925925924,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.5,,,,0.16666666666666666,,0.16666666666666666,0.48148148148148145,0.42857142857142855,0.4702037037037037,0.24135,0.4443166666666667,0.06896551724137931,0.10526315789473684,,0.03125,0.40625,13.358823529411765,24.78,0.4375,,,,,,1.0,,,,,,2.0,3.0,,1.0,0.75,,,1.0,1.0,1.0,2.0,0.16666666666666666,0.5,,,,,,,,,1611661325,2019,2019,True
1627676-1628286-1628906-1629502-203018,1611661325,"Tiffany Mitchell, Erica McCall, Stephanie Mavunga, Paris Kea, Shenise Johnson","Mitchell, McCall, Mavunga, Kea, Johnson",1627676-1628286-1628906-1629502-203018,IND,129.0,1,2.0,,4.0,4.0,,,1.0,8.0,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,3.0,1.0,2.0,,5.0,5.0,1.0,1.0,,,,2.0,,,,,,,2.0,3.0,,2.0,1.0,,1.0,,1.0,1.0,,1.0,,,,3.0,,1.0,,,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,0.5,,0.5,0.3333333333333333,1.0,,0.5,1.0,,0.5,1.0,,0.4,0.3333333333333333,0.5,,,,,,0.5,,,,0.3333333333333333,1.0,,,,,,,,,,,89.30232558139535,,12.75,19.5,12.75,14.75,0.4,0.5,1.0,,,,,,0.2,,,,0.2,1.0,1.0,1.0,0.2,,,,1.0,1.0,,,,,,0.8,,0.45499999999999996,0.3701,,,,,0.4,,6.8999999999999995,23.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2019,2019,True
1627676-1628286-1628906-1629502-1629568,1611661325,"Tiffany Mitchell, Erica McCall, Stephanie Mavunga, Paris Kea, Kennedy Burke","Mitchell, McCall, Mavunga, Kea, Burke",1627676-1628286-1628906-1629502-1629568,IND,530.0,3,9.0,1.0,19.0,19.0,7.0,2.0,3.0,38.0,3.0,8.0,2.0,3.0,1.0,3.0,,2.0,2.0,3.0,,1.0,2.0,6.0,,,,5.0,13.0,2.0,7.0,5.0,21.0,20.0,2.0,5.0,,,,4.0,3.0,5.0,,3.0,9.0,6.0,4.0,6.0,,2.0,6.0,2.0,1.0,3.0,2.0,5.0,2.0,,1.0,,2.0,12.0,1.0,5.0,1.0,5.0,,6.0,6.0,12.0,2.0,4.0,2.0,2.0,1.0,,,1.0,,1.0,,2.0,1.0,1.0,4.0,6.0,1.0,,2.0,,,5.0,,2.0,,,2.0,,2.0,2.0,1.0,17.0,9.0,7.0,,,0.6,0.75,1.0,0.2857142857142857,,0.2857142857142857,0.38461538461538464,0.4,0.6,0.4,0.4,0.6,0.45454545454545453,0.4,0.6666666666666666,0.35,0.07692307692307693,0.125,,,0.5,,0.7142857142857143,0.625,1.0,0.2,0.75,0.46153846153846156,0.6,1.0,,0.25,,1.0,0.6666666666666666,0.6666666666666666,1.0,,0.16666666666666666,103.24528301886792,0.5,14.842105263157896,13.052631578947368,14.105263157894736,12.052631578947368,0.4,0.375,0.42857142857142855,0.3333333333333333,0.1,,,,0.15,0.6666666666666666,0.6666666666666666,1.0,0.05,,,,0.3,0.3333333333333333,0.3333333333333333,1.0,0.6,0.6666666666666666,,,0.6,0.3333333333333333,,0.75,0.3333333333333333,0.5235725,0.466,0.5568,0.09090909090909091,0.13333333333333333,,0.19047619047619047,0.42857142857142855,6.153846153846154,24.842857142857145,0.3684210526315789,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2019,2019,True
1627676-1628286-1629479-1629568-204365,1611661325,"Tiffany Mitchell, Erica McCall, Teaira McCowan, Kennedy Burke, Erica Wheeler","Mitchell, McCall, McCowan, Burke, Wheeler",1627676-1628286-1629479-1629568-204365,IND,90.0,1,2.0,7.0,4.0,4.0,,,,8.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,7.0,,,,,,,,,,,,,2.0,,3.0,,,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,5.0,,,,1.0,,1.0,,1.0,,3.0,2.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,2.0,,,2.0,,1.0,,,,,,,,7.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.25,,,1.1666666666666667,,,0.5,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,128.0,,4.75,17.75,4.75,17.75,0.5,1.0,1.0,1.0,,,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,1.0,1.0,0.52345,,,0.3333333333333333,0.5,,,,3.0,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2019,2019,True
1627676-1628286-1628909-203018-203831,1611661325,"Tiffany Mitchell, Erica McCall, Kelsey Mitchell, Shenise Johnson, Natalie Achonwa","Mitchell, McCall, Mitchell, Johnson, Achonwa",1627676-1628286-1628909-203018-203831,IND,118.0,1,2.0,3.0,4.0,4.0,,,,8.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,5.0,2.0,,,,,,,,,,,,2.0,,3.0,,,,,,1.0,1.0,2.0,,1.0,1.0,,,5.0,,,,2.0,,2.0,,2.0,,1.0,1.0,,,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.25,,,1.25,,,0.5,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,97.6271186440678,,9.75,19.75,9.75,19.75,0.5,1.0,1.0,1.0,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,1.0,,0.43635,,,,,,,,3.0,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2019,2019,True
1627676-1628286-203831-204335-204365,1611661325,"Tiffany Mitchell, Erica McCall, Natalie Achonwa, Betnijah Laney, Erica Wheeler","Mitchell, McCall, Achonwa, Laney, Wheeler",1627676-1628286-203831-204335-204365,IND,2.0,1,,3.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,2.0,,,,,,3.0,,-1.0,,,,,,,,,,,,,,,0.75,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,720.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2019,2019,True
1627676-1628906-1628909-200676-203831,1611661325,"Tiffany Mitchell, Stephanie Mavunga, Kelsey Mitchell, Candice Dupree, Natalie Achonwa","Mitchell, Mavunga, Mitchell, Dupree, Achonwa",1627676-1628906-1628909-200676-203831,IND,253.0,1,4.0,-2.0,9.0,9.0,7.0,3.0,1.0,18.0,,,,,,,2.0,4.0,3.0,4.0,,,,,,,,5.0,8.0,,,,10.0,12.0,1.0,1.0,,,,2.0,4.0,7.0,,,8.0,6.0,4.0,,,2.0,,,,3.0,,3.0,,,,1.0,2.0,6.0,,1.0,,2.0,,2.0,1.0,3.0,,1.0,1.0,,,,,1.0,,,,1.0,,,2.0,4.0,,,1.0,,,,,,,,,,,,,8.0,8.0,7.0,,,0.6,0.75,,,,,0.625,1.0,0.5714285714285714,0.625,1.0,0.5714285714285714,0.625,1.0,0.5714285714285714,,,,,,,,0.6666666666666666,0.3333333333333333,,,0.5,0.3333333333333333,,,1.0,,,,0.5,1.0,,,,102.45059288537549,,18.88888888888889,9.222222222222221,18.77777777777778,9.0,,,,,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.6666666666666666,,,,,,,,,,,,,,,,,,0.3750625,0.3917,0.37242857142857144,,,,0.2,0.8,12.8375,,0.7777777777777778,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2019,2019,True
