EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,Blocked3s,BlockedArc3,LongMidRangePctBlocked,team_id,year,season,team_vs
1628279-201904-202638-203026-204322,1611661330,"Brittney Sykes, Renee Montgomery, Jessica Breland, Tiffany Hayes, Elizabeth Williams","Sykes, Montgomery, Breland, Hayes, Williams",1628279-201904-202638-203026-204322,ATL,16633.0,27,277.0,5.0,527.0,527.0,74.0,56.0,65.0,1054.0,72.0,144.0,9.0,26.0,11.0,24.0,28.0,87.0,40.0,103.0,10.0,34.0,1.0,3.0,3.0,9.0,38.0,117.0,5.0,13.0,6.0,20.0,140.0,334.0,48.0,151.0,68.0,492.0,487.0,13.0,41.0,6.0,16.0,16.0,60.0,20.0,41.0,9.0,29.0,13.0,80.0,184.0,96.0,120.0,24.0,6.0,117.0,38.0,38.0,1.0,92.0,40.0,132.0,30.0,10.0,45.0,13.0,34.0,304.0,22.0,52.0,3.0,68.0,141.0,11.0,220.0,77.0,297.0,8.0,44.0,30.0,14.0,42.0,13.0,24.0,43.0,8.0,18.0,3.0,6.0,85.0,10.0,8.0,41.0,95.0,3.0,10.0,3.0,108.0,4.0,3.0,11.0,93.0,14.0,3.0,45.0,2.0,4.0,49.0,31.0,1.0,17.0,49.0,30.0,1.0,1.0,432.0,80.0,74.0,5.0,4.0,0.6571428571428571,0.6715328467153284,0.8333333333333334,0.31788079470198677,0.375,0.3103448275862069,0.31788079470198677,0.41916167664670656,0.3170731707317073,0.4878048780487805,0.43711340206185567,0.38596491228070173,0.4785714285714286,0.46839080459770116,0.46153846153846156,0.5263157894736842,0.311340206185567,0.006622516556291391,0.11377245508982035,0.1527777777777778,0.1839080459770115,0.008547008547008548,0.49411764705882355,1.0,0.23076923076923078,0.6558139534883721,0.2708333333333333,0.7157894736842105,0.21359223300970873,0.6741935483870968,0.25084745762711863,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.22784810126582278,0.16666666666666666,0.7228915662650602,0.5714285714285714,0.6727272727272727,0.7333333333333333,0.65,0.0311284046692607,91.24992484819336,0.6122448979591837,16.278937381404173,15.282732447817837,15.578747628083491,14.396584440227704,0.29690721649484536,0.5,0.5901639344262295,0.625,0.17938144329896907,0.3218390804597701,0.39436619718309857,0.4642857142857143,0.21237113402061855,0.3883495145631068,0.3883495145631068,0.85,0.07010309278350516,0.29411764705882354,0.29411764705882354,1.0,0.24123711340206186,0.3247863247863248,0.3275862068965517,0.7894736842105263,0.45614035087719296,0.34615384615384615,0.5555555555555556,0.05263157894736842,0.3333333333333333,1.0,0.22807017543859648,0.38461538461538464,0.8,0.34285714285714286,0.4583333333333333,0.12857142857142856,0.3333333333333333,0.2857142857142857,0.3,0.6082474226804123,0.3247863247863248,0.5005023711340206,0.5206674418604651,0.4998478571428572,0.09073359073359073,0.1232876712328767,0.013071895424836602,0.12195121951219512,0.16260162601626016,8.33502994011976,24.533112582781456,0.14041745730550284,,,,,1611661330,2019,2019,False
1628268-1628269-1628279-1628881-203410,1611661330,"Alaina Coates, Nia Coffey, Brittney Sykes, Monique Billings, Alex Bentley","Coates, Coffey, Sykes, Billings, Bentley",1628268-1628269-1628279-1628881-203410,ATL,187.0,1,3.0,-11.0,6.0,7.0,4.0,2.0,1.0,13.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,2.0,,,,2.0,2.0,4.0,,2.0,,4.0,15.0,,,,,,,1.0,2.0,,2.0,,2.0,2.0,2.0,,,,2.0,,,,1.0,,1.0,,,1.0,,,2.0,,1.0,,1.0,,,1.0,1.0,2.0,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,,,0.5,0.5,,,,,,0.5,,0.5,0.3333333333333333,,0.25,0.3333333333333333,,0.25,0.3333333333333333,,,,,,,,,,0.5,0.5,,0.5,0.3333333333333333,,1.0,,,,,,,0.5,,,100.10695187165776,,15.666666666666666,13.285714285714286,15.666666666666666,12.571428571428571,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,,,,0.3333333333333333,0.5,0.5,,,,,,0.3333333333333333,,,,,,,,,,,,,0.25,1.0,,,0.5,,0.5,,0.395675,,0.4078875,,,,,0.5,12.475,24.35,0.6666666666666666,,,,,1611661330,2019,2019,False
1628268-1628269-1628279-1628881-201904,1611661330,"Alaina Coates, Nia Coffey, Brittney Sykes, Monique Billings, Renee Montgomery","Coates, Coffey, Sykes, Billings, Montgomery",1628268-1628269-1628279-1628881-201904,ATL,79.0,1,1.0,2.0,3.0,4.0,2.0,,,7.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,2.0,4.0,2.0,,,,,,,1.0,2.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,1.0,,,1.0,1.0,,,1.0,,,,4.0,2.0,2.0,,,,,,,,,,0.5,,0.5,0.5,,0.5,0.6666666666666666,,0.5,,,,,,,,,,,,1.0,,0.6666666666666666,,,,,,,,,,1.0,,,127.59493670886076,,13.0,10.0,13.0,9.5,0.5,1.0,1.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,0.5,,0.49375,,0.49375,0.3333333333333333,0.3333333333333333,,,0.5,10.15,,0.6666666666666666,,,,,1611661330,2019,2019,False
1628268-1628279-1628881-1629569-203026,1611661330,"Alaina Coates, Brittney Sykes, Monique Billings, Maite Cazorla, Tiffany Hayes","Coates, Sykes, Billings, Cazorla, Hayes",1628268-1628279-1628881-1629569-203026,ATL,144.0,1,2.0,-4.0,5.0,6.0,3.0,,1.0,11.0,1.0,3.0,1.0,1.0,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,,2.0,4.0,,,,4.0,8.0,1.0,1.0,,,,2.0,1.0,3.0,,,,2.0,,4.0,,,2.0,,,2.0,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,2.0,,,,,1.0,1.0,,1.0,,1.0,,,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,0.5,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,,,0.5,0.6666666666666666,,,0.5,,,1.0,0.5,,,1.0,0.5,0.5,,,,,,,1.0,,,,110.0,,15.4,11.166666666666666,15.2,11.166666666666666,0.75,0.3333333333333333,1.0,,,,,,0.25,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,0.3333333333333333,,,,,0.75,,0.559225,0.6838,0.6366333333333333,,,,0.5,0.5,6.125,,0.6,,,,,1611661330,2019,2019,False
1628268-1628279-1628881-203026-203410,1611661330,"Alaina Coates, Brittney Sykes, Monique Billings, Tiffany Hayes, Alex Bentley","Coates, Sykes, Billings, Hayes, Bentley",1628268-1628279-1628881-203026-203410,ATL,272.0,2,5.0,4.0,9.0,8.0,3.0,,1.0,17.0,1.0,2.0,,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,1.0,,1.0,,,1.0,4.0,1.0,2.0,4.0,9.0,5.0,,,,1.0,,,1.0,2.0,,,2.0,4.0,2.0,,3.0,,,1.0,,,,1.0,1.0,2.0,,1.0,1.0,,,5.0,,1.0,,1.0,2.0,1.0,4.0,1.0,5.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,2.0,,,3.0,4.0,,1.0,,3.0,,,1.0,4.0,,,1.0,,1.0,,,,,,,,,9.0,4.0,3.0,,1.0,1.0,1.0,1.0,0.5,,,0.5,0.25,,0.5,0.4166666666666667,,0.5,0.5625,,0.6666666666666666,0.3333333333333333,,,,,,0.5,1.0,,0.6666666666666666,0.5,0.5,,0.6,0.3333333333333333,,,1.0,,,1.0,1.0,,0.5,,,90.0,,15.11111111111111,17.0,14.0,16.25,0.3333333333333333,0.5,0.5,1.0,,,,,0.3333333333333333,,,,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,1.0,,,0.5,1.0,,,,,0.6666666666666666,,0.403425,0.29715,0.3562,0.14285714285714285,0.2,,,0.4444444444444444,10.75,26.35,0.3333333333333333,,,,,1611661330,2019,2019,False
1628268-1628279-201904-202638-203026,1611661330,"Alaina Coates, Brittney Sykes, Renee Montgomery, Jessica Breland, Tiffany Hayes","Coates, Sykes, Montgomery, Breland, Hayes",1628268-1628279-201904-202638-203026,ATL,420.0,3,7.0,-1.0,15.0,14.0,,,1.0,29.0,1.0,1.0,,,,,1.0,3.0,1.0,2.0,1.0,1.0,,,,,1.0,4.0,,1.0,,,3.0,6.0,2.0,5.0,5.0,17.0,18.0,,,,1.0,,,,,,,,,6.0,,3.0,3.0,,4.0,1.0,,,3.0,1.0,4.0,,1.0,1.0,1.0,1.0,9.0,1.0,,,,5.0,,5.0,1.0,6.0,,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,,3.0,,,2.0,3.0,,,,6.0,,1.0,,5.0,,1.0,2.0,,,1.0,1.0,,,1.0,1.0,,,17.0,,,,,1.0,1.0,0.5,0.4,,,0.4,0.5,,,0.5454545454545454,,,0.6153846153846154,,,0.45454545454545453,,,,,,0.6666666666666666,,,1.0,,,0.3333333333333333,1.0,0.16666666666666666,,,,0.3333333333333333,,1.0,1.0,1.0,,,,99.42857142857143,1.0,16.8,12.0,15.866666666666667,12.0,0.09090909090909091,1.0,1.0,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.18181818181818182,0.5,0.5,1.0,0.09090909090909091,1.0,1.0,1.0,0.36363636363636365,0.25,0.25,,,,,,,,1.0,,,,,,,,,0.5454545454545454,0.25,0.4709090909090909,0.5583,,0.15384615384615385,0.25,,,,10.25,24.3,,,,,,1611661330,2019,2019,False
1628268-1628881-1629569-203026-203410,1611661330,"Alaina Coates, Monique Billings, Maite Cazorla, Tiffany Hayes, Alex Bentley","Coates, Billings, Cazorla, Hayes, Bentley",1628268-1628881-1629569-203026-203410,ATL,46.0,1,1.0,-2.0,1.0,2.0,1.0,1.0,1.0,3.0,,3.0,,2.0,,3.0,,,,1.0,,,,,,,,,,,,,,4.0,,,,,2.0,,3.0,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,3.0,3.0,,1.0,,1.0,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.25,0.3333333333333333,,,,,,,0.75,,,,0.75,0.6666666666666666,,1.0,,,,,,,,,93.91304347826086,,18.0,14.0,7.0,14.0,0.75,,,,,,,,0.25,,,,,,,,,,,,0.6666666666666666,,,,,,,,,0.75,,,,,,0.75,,0.60065,0.5498,0.60065,,,,,,5.075,,1.0,,,,,1611661330,2019,2019,False
1628268-1628881-1629569-201904-203026,1611661330,"Alaina Coates, Monique Billings, Maite Cazorla, Renee Montgomery, Tiffany Hayes","Coates, Billings, Cazorla, Montgomery, Hayes",1628268-1628881-1629569-201904-203026,ATL,109.0,1,2.0,-6.0,3.0,4.0,,4.0,,7.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,2.0,8.0,,,,,,,,,,,,,2.0,,,,,1.0,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,1.0,,,0.5,,,0.5,,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,92.4770642201835,,26.333333333333332,7.5,26.333333333333332,4.75,0.5,1.0,1.0,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,,0.59935,,,,,,,,0.8,23.6,,,,,,1611661330,2019,2019,False
1628269-1628279-1628881-1628895-201904,1611661330,"Nia Coffey, Brittney Sykes, Monique Billings, Marie Gülich, Renee Montgomery","Coffey, Sykes, Billings, Gülich, Montgomery",1628269-1628279-1628881-1628895-201904,ATL,109.0,1,2.0,-3.0,4.0,4.0,,,,8.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,2.0,5.0,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,0.5,,,0.5,,,0.5,,,,,,,,,0.5,,,,,1.0,,1.0,,,,,,,,,,1.0,,,105.68807339449542,,14.25,13.0,14.25,13.0,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.53435,,,,,,,,6.85,,,,,,,1611661330,2019,2019,False
1628269-1628279-1628881-1629569-204322,1611661330,"Nia Coffey, Brittney Sykes, Monique Billings, Maite Cazorla, Elizabeth Williams","Coffey, Sykes, Billings, Cazorla, Williams",1628269-1628279-1628881-1629569-204322,ATL,287.0,2,5.0,-7.0,9.0,9.0,6.0,,1.0,18.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,2.0,,,,2.0,2.0,2.0,,3.0,3.0,7.0,14.0,,,,,,,2.0,2.0,,2.0,3.0,7.0,2.0,2.0,,,,2.0,,,,1.0,,1.0,,,1.0,,,2.0,,,1.0,2.0,1.0,,3.0,1.0,4.0,,,,,1.0,1.0,1.0,1.0,,,,,2.0,1.0,,,,,,,5.0,,,,5.0,,,,,3.0,1.0,,1.0,,1.0,1.0,,,7.0,7.0,6.0,,2.0,0.5,0.5,,,,,,1.0,,1.0,0.4,,0.5,0.4375,,0.5833333333333334,0.6,,,,,,0.5,,1.0,0.5,,0.6666666666666666,,0.6,,,,,,,,,1.0,0.6666666666666666,,,90.31358885017421,1.0,15.11111111111111,16.77777777777778,14.11111111111111,15.444444444444445,0.2,1.0,1.0,1.0,0.2,1.0,1.0,,,,,,0.2,,,,0.4,,,,,,,,,,,,,0.25,1.0,,,0.5,,0.8,,0.43605,,0.414225,,,,,1.0,6.95,25.566666666666666,0.6666666666666666,,,,,1611661330,2019,2019,False
