EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,FG3APct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2A,SecondChanceFG3A,Fg2aBlocked,OffTwoPtRebounds,FTDefRebounds,OffRebounds,Charge Fouls,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2M,SecondChancePoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Charge Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChancePointsPct,SecondChanceCorner3FGA,SecondChanceFtPoints,BadPassSteals,2pt And 1 Free Throw Trips,BlockedShortMidRange,RecoveredBlocks,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceCorner3Frequency,Offensive Fouls Drawn,LongMidRangeFGM,PtsUnassisted3s,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LostBallOutOfBoundsTurnovers,LongMidRangeAssists,LongMidRangePctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,OffThreePtRebounds,SelfOReb,SecondChanceTurnovers,Offensive Fouls,SecondChanceFg3Pct,OffThreePtReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,OffArc3ReboundPct,BlockedLongMidRange,team_id,year,season,team_vs
1627674-1628890-1628931-203838-204323,1611661329,"Kahleah Copper, Diamond DeShields, Gabby Williams, Astou Ndour, Cheyenne Parker","Copper, DeShields, Williams, Ndour, Parker",1627674-1628890-1628931-203838-204323,CHI,79.0,1,1.0,-1.0,3.0,3.0,3.0,1.0,6,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.125,0.125,0.5,1.0,0.6666666666666666,0.5,1.0,109.36708860759494,11.666666666666666,14.666666666666666,11.666666666666666,14.333333333333334,0.6666666666666666,0.3333333333333333,0.35569999999999996,0.35569999999999996,1.0,10.766666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,False
1627674-1628890-1628931-203857-204323,1611661329,"Kahleah Copper, Diamond DeShields, Gabby Williams, Jamierra Faulkner, Cheyenne Parker","Copper, DeShields, Williams, Faulkner, Parker",1627674-1628890-1628931-203857-204323,CHI,155.0,1,3.0,-3.0,7.0,7.0,7.0,5.0,14,,1.0,3.0,2.0,7.0,10.0,3.0,2.0,7.0,2.0,,2.0,2.0,1.0,2.0,,7.0,7.0,7.0,,0.7,0.7,,1.0,1.0,,1.0,130.06451612903226,8.571428571428571,13.571428571428571,8.571428571428571,13.571428571428571,,0.25,0.4252375,0.4252375,1.0,7.633333333333333,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.625,0.625,0.25,0.5,0.5,0.5,0.25,1.0,1.0,1.0,0.5,0.5,0.25,1.0,0.75,1.0,0.2,0.25,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,False
1627674-1628890-202664-203828-203838,1611661329,"Kahleah Copper, Diamond DeShields, Courtney Vandersloot, Stefanie Dolson, Astou Ndour","Copper, DeShields, Vandersloot, Dolson, Ndour",1627674-1628890-202664-203828-203838,CHI,177.0,1,3.0,-9.0,7.0,7.0,2.0,6.0,14,,2.0,4.0,,,9.0,1.0,,,,2.0,3.0,5.0,1.0,,,,,2.0,,,,1.0,,1.0,1.0,,113.89830508474576,16.571428571428573,8.714285714285714,15.571428571428571,7.571428571428571,,0.25,0.5046625,0.5193,,10.5,0.2857142857142857,,2.0,,,,4.0,,1.0,,,4.0,,,1.0,,,4.0,,,,,,,1.0,1.0,,1.0,2.0,,,,,,,,,,0.5,0.25,,,0.5,,,,,,0.5,,0.75,,,,24.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.25,0.5,1.0,0.5,0.25,0.5,0.5,1.0,0.5,0.5,0.48435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,False
1627674-1628890-202664-203828-204323,1611661329,"Kahleah Copper, Diamond DeShields, Courtney Vandersloot, Stefanie Dolson, Cheyenne Parker","Copper, DeShields, Vandersloot, Dolson, Parker",1627674-1628890-202664-203828-204323,CHI,363.0,1,6.0,3.0,15.0,15.0,7.0,11.0,30,5.0,1.0,8.0,4.0,19.0,16.0,3.0,,11.0,,4.0,5.0,6.0,5.0,6.0,,17.0,11.0,7.0,,0.6785714285714286,0.9166666666666666,0.5714285714285714,,0.4444444444444444,,,119.00826446280992,11.866666666666667,12.333333333333334,11.866666666666667,11.733333333333333,0.45454545454545453,0.09090909090909091,0.4754454545454545,0.5303166666666667,0.5789473684210527,7.5,0.4666666666666667,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,9.0,1.0,1.0,3.0,5.0,1.0,13.0,,,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.375,0.3333333333333333,0.6818181818181818,0.9166666666666666,0.2727272727272727,0.18181818181818182,1.0,1.0,0.09090909090909091,1.0,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.45454545454545453,1.0,0.21428571428571427,0.2727272727272727,24.066666666666666,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,0.25,,1.0,0.2,0.2,,,0.5,1.0,,0.7085,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.4,1.0,0.25,0.75,0.5,0.2,0.3333333333333333,1.0,0.18181818181818182,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,False
1627674-1628890-202664-203838-204323,1611661329,"Kahleah Copper, Diamond DeShields, Courtney Vandersloot, Astou Ndour, Cheyenne Parker","Copper, DeShields, Vandersloot, Ndour, Parker",1627674-1628890-202664-203838-204323,CHI,324.0,2,5.0,5.0,11.0,13.0,,13.0,24,2.0,,9.0,2.0,17.0,12.0,,,,1.0,3.0,4.0,6.0,3.0,3.0,,16.0,,,,0.6538461538461539,,0.75,1.0,0.8,1.0,,106.66666666666666,12.272727272727273,14.538461538461538,11.909090909090908,14.0,0.16666666666666666,,0.5207083333333333,,,3.755555555555555,,5.0,7.0,,,1.0,1.0,,,6.0,1.0,3.0,,,,2.0,3.0,1.0,1.0,1.0,6.0,1.0,13.0,,,,,2.0,2.0,2.0,1.0,0.3333333333333333,,0.3333333333333333,0.6666666666666666,,0.625,,0.25,0.5833333333333334,0.7142857142857143,0.8333333333333334,0.08333333333333333,1.0,1.0,1.0,,,,,0.8333333333333334,1.0,0.15384615384615385,0.2,23.7,2.0,,,,1.0,1.0,2.0,,2.0,,0.1111111111111111,0.14285714285714285,,0.6666666666666666,0.4,0.5,,0.5,,,0.58155,,1.0,,2.0,,,,1.0,10.0,,5.0,,4.0,1.0,4.0,,,,,,1.0,,1.0,,0.8333333333333334,0.8333333333333334,,,0.25,,,1.0,1.0,0.8,0.5,0.5,1.0,0.16666666666666666,,,,,,,0.058823529411764705,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,False
1627674-1628931-1629478-203405-203857,1611661329,"Kahleah Copper, Gabby Williams, Katie Lou Samuelson, Kayla Alexander, Jamierra Faulkner","Copper, Williams, Lou Samuelson, Alexander, Faulkner",1627674-1628931-1629478-203405-203857,CHI,198.0,1,3.0,4.0,7.0,7.0,7.0,7.0,14,3.0,,4.0,2.0,6.0,2.0,4.0,2.0,6.0,1.0,2.0,4.0,5.0,2.0,4.0,,6.0,6.0,7.0,,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,1.0,,101.81818181818183,16.0,12.285714285714286,14.285714285714286,12.285714285714286,0.6,,0.39934,0.39934,1.0,5.175,1.0,,1.0,,1.0,,1.0,,1.0,2.0,,1.0,2.0,,1.0,,,1.0,,,2.0,,4.0,,,,,1.0,1.0,2.0,,,,,0.5,0.5,0.4,0.4,0.2,0.2,,,0.2,,,,0.2,,0.2,,0.4,,0.2857142857142857,0.3333333333333333,24.8,1.0,,,,,,1.0,1.0,1.0,,,,1.0,0.5,0.3333333333333333,,,1.0,,,,,2.0,,,,,,,4.0,,2.0,,,2.0,2.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,False
1627674-1628931-201516-203828-203838,1611661329,"Kahleah Copper, Gabby Williams, Allie Quigley, Stefanie Dolson, Astou Ndour","Copper, Williams, Quigley, Dolson, Ndour",1627674-1628931-201516-203828-203838,CHI,56.0,1,1.0,-2.0,2.0,3.0,,,5,,1.0,2.0,,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,128.57142857142856,13.5,9.666666666666666,13.5,9.666666666666666,,0.5,0.41635,,,11.75,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,False
1627674-1628931-201516-203828-204323,1611661329,"Kahleah Copper, Gabby Williams, Allie Quigley, Stefanie Dolson, Cheyenne Parker","Copper, Williams, Quigley, Dolson, Parker",1627674-1628931-201516-203828-204323,CHI,193.0,1,3.0,8.0,5.0,5.0,,,10,1.0,1.0,3.0,,12.0,4.0,,,,,2.0,2.0,2.0,1.0,,,12.0,,,,1.2,,1.0,,1.0,1.0,,74.61139896373057,15.6,23.0,15.6,23.0,0.2,0.2,0.44482999999999995,,,8.299999999999999,,1.0,1.0,,,1.0,1.0,,,3.0,2.0,2.0,,,,2.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,,,,,1.0,2.0,,0.5,1.0,,1.0,1.0,,1.2,,0.4,0.2,1.0,1.0,0.2,1.0,1.0,1.0,,,,,0.6,1.0,,,24.6,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,4.0,,2.0,,1.0,1.0,,,,,,1.0,1.0,,1.0,,0.6666666666666666,0.6666666666666666,,,,,,,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,False
1627674-1628931-201516-203838-204323,1611661329,"Kahleah Copper, Gabby Williams, Allie Quigley, Astou Ndour, Cheyenne Parker","Copper, Williams, Quigley, Ndour, Parker",1627674-1628931-201516-203838-204323,CHI,200.0,2,3.0,-5.0,7.0,6.0,,,13,2.0,1.0,5.0,2.0,6.0,11.0,,,,,1.0,1.0,2.0,1.0,2.0,,6.0,,,,0.375,,1.0,,1.0,1.0,,93.6,18.714285714285715,11.5,18.285714285714285,11.5,0.2857142857142857,0.14285714285714285,0.5164,,,6.0200000000000005,,,2.0,,,,2.0,,,2.0,,2.0,,,,,,2.0,,,2.0,,4.0,,,,,2.0,4.0,1.0,,,,,0.4,,0.2857142857142857,,0.2857142857142857,0.2857142857142857,,,0.2857142857142857,,,,,,,,0.5714285714285714,,0.125,0.16666666666666666,25.45,1.0,1.0,,1.0,,,1.0,,1.0,,,,,0.3333333333333333,0.2,,1.0,,1.0,,0.5502,,2.0,,,,,,,4.0,,2.0,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,False
1627674-1629478-202664-203838-204323,1611661329,"Kahleah Copper, Katie Lou Samuelson, Courtney Vandersloot, Astou Ndour, Cheyenne Parker","Copper, Lou Samuelson, Vandersloot, Ndour, Parker",1627674-1629478-202664-203838-204323,CHI,54.0,1,1.0,2.0,3.0,2.0,,2.0,5,1.0,,1.0,,2.0,,,,,1.0,,1.0,1.0,,,,2.0,,,,0.3333333333333333,,,1.0,1.0,,1.0,133.33333333333334,11.0,10.5,11.0,10.5,0.3333333333333333,,0.5145166666666666,,,4.4,,,,,,,1.0,,,1.0,,2.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,0.3333333333333333,,0.6666666666666666,,,,0.3333333333333333,,,,,,,,0.6666666666666666,,,,24.45,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.3333333333333333,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,False
