EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGA,FtPoints,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,AtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DeadBallTurnovers,Turnovers,PlusMinus,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFtPoints,SecondChancePoints,LongMidRangeAssists,Fouls,SecondChanceTsPct,OffLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChancePointsPct,FTOffRebounds,OffFTReboundPct,AtRimFGM,AtRimAssists,FTDefRebounds,ShootingFouls,Offensive Fouls,ShortMidRangePctBlocked,DefFTReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceFG2M,PtsUnassisted2s,PtsPutbacks,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SelfOReb,Steals,BadPassSteals,2pt And 1 Free Throw Trips,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyFtPoints,BadPassOutOfBoundsTurnovers,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGA,SecondChanceFG3A,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGA,PtsAssisted3s,ThreePtAssists,Arc3Assists,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,Blocked3s,BlockedArc3,BlockedLongMidRange,RecoveredBlocks,Assisted3sPct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,Corner3Frequency,Arc3PctAssisted,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,LongMidRangePctBlocked,LostBallSteals,LostBallOutOfBoundsTurnovers,Defensive 3 Seconds Violations,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Charge Fouls,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,Travels,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedAtRim,3SecondViolations,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,HeaveAttempts,team_id,year,season,team_vs
1628276-1628917-1628932-203411-204324,1611661319,"Kelsey Plum, JiSu Park, A'ja Wilson, Sugar Rodgers, Dearica Hamby","Plum, Park, Wilson, Rodgers, Hamby",1628276-1628917-1628932-203411-204324,LVA,157.0,1,3.0,5.0,6.0,5.0,2.0,11.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,7.0,7.0,2.0,3.0,1.0,2.0,7.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7.0,7.0,5.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.7,0.7,0.7,0.7,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,100.89171974522293,8.4,19.166666666666668,8.4,16.666666666666668,0.6,0.6666666666666666,0.6666666666666666,1.0,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.29679,0.29679,1.0,4.833333333333333,30.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2019,2019,False
1628276-1628917-1628932-203825-204324,1611661319,"Kelsey Plum, JiSu Park, A'ja Wilson, Kayla McBride, Dearica Hamby","Plum, Park, Wilson, McBride, Hamby",1628276-1628917-1628932-203825-204324,LVA,78.0,1,1.0,2.0,2.0,,2.0,4.0,,1.0,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,2.0,,,,,,,,,,,,0.3333333333333333,,,1.0,,1.0,1.0,,73.84615384615384,16.5,22.5,8.5,22.5,0.5,,,,,,,,,0.5,,0.43625,,,7.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.4037,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2019,2019,False
1628276-1628917-201477-203411-204324,1611661319,"Kelsey Plum, JiSu Park, Tamera Young, Sugar Rodgers, Dearica Hamby","Plum, Park, Young, Rodgers, Hamby",1628276-1628917-201477-203411-204324,LVA,25.0,1,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.599999999999994,25.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2019,2019,False
1628276-1628917-202633-203411-204324,1611661319,"Kelsey Plum, JiSu Park, Liz Cambage, Sugar Rodgers, Dearica Hamby","Plum, Park, Cambage, Rodgers, Hamby",1628276-1628917-202633-203411-204324,LVA,90.0,1,2.0,3.0,2.0,,,5.0,,1.0,,,,,1.0,3.0,,,4.0,,,,,,,2.0,,,,1.0,1.0,,2.0,2.0,,2.0,3.0,,,,2.0,,,1.0,1.0,,,,0.3333333333333333,,0.3333333333333333,,0.5,,,,1.0,1.0,,1.0,80.0,12.0,27.0,12.0,27.0,0.3333333333333333,,,,,,,,,,,0.40473333333333333,,,14.366666666666667,,,1.0,,2.0,,,1.0,1.0,1.0,2.0,1.0,,,0.5,0.5,,,,0.25,0.25,,,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2019,2019,False
1628276-1628917-202633-203825-204324,1611661319,"Kelsey Plum, JiSu Park, Liz Cambage, Kayla McBride, Dearica Hamby","Plum, Park, Cambage, McBride, Hamby",1628276-1628917-202633-203825-204324,LVA,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2019,2019,False
1628276-1628917-202670-203825-204324,1611661319,"Kelsey Plum, JiSu Park, Carolyn Swords, Kayla McBride, Dearica Hamby","Plum, Park, Swords, McBride, Hamby",1628276-1628917-202670-203825-204324,LVA,124.0,1,2.0,4.0,5.0,,,9.0,,1.0,,,,,1.0,3.0,,,2.0,5.0,,,,,,2.0,,,,1.0,1.0,,2.0,1.0,1.0,3.0,3.0,,,,2.0,,,1.0,1.0,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,0.5,1.0,0.6666666666666666,,1.0,104.51612903225805,16.25,11.8,16.25,10.2,0.3333333333333333,,,,,,,,,0.3333333333333333,,0.38136666666666663,,,8.533333333333333,,,,1.0,,,1.0,,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,1.0,1.0,-3.0,,1.0,,,,2.0,,,0.3333333333333333,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2019,2019,False
1628276-1628917-203411-203825-204324,1611661319,"Kelsey Plum, JiSu Park, Sugar Rodgers, Kayla McBride, Dearica Hamby","Plum, Park, Rodgers, McBride, Hamby",1628276-1628917-203411-203825-204324,LVA,73.0,1,1.0,3.0,4.0,,4.0,7.0,2.0,2.0,,,,,2.0,4.0,,,4.0,9.0,,,,,,2.0,,,,1.0,1.0,1.0,2.0,,,,1.0,,,,2.0,,,0.5,1.0,,,,0.5,,0.5,,0.5,,,,,,,,138.08219178082192,14.666666666666666,7.25,14.666666666666666,7.25,0.5,1.0,1.0,0.5,,,,,,,,0.4334,,,11.95,,,1.0,,,1.0,,1.0,1.0,,,,,,0.5,0.5,,,0.5126,,,,,-5.0,,2.0,,2.0,,2.0,1.0,0.5,0.5,,,,0.5,,,,,,1.0,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2019,2019,False
1628276-1628932-1629498-201477-202633,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Tamera Young, Liz Cambage","Plum, Wilson, Young, Young, Cambage",1628276-1628932-1629498-201477-202633,LVA,359.0,2,6.0,11.0,11.0,,,22.0,2.0,7.0,,1.0,,,7.0,13.0,,1.0,17.0,9.0,,,,,,12.0,,1.0,,6.0,6.0,2.0,12.0,4.0,1.0,5.0,9.0,,,,13.0,,,0.8571428571428571,1.0,,,,0.5384615384615384,,0.5,,0.5666666666666667,,0.07142857142857142,1.0,0.6666666666666666,0.7142857142857143,1.0,0.6,88.24512534818942,14.636363636363637,18.0,13.0,16.545454545454547,0.5,0.2857142857142857,0.4,1.0,0.07142857142857142,,,,,0.21428571428571427,,0.44501785714285713,,,9.776923076923076,24.8,,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,0.15384615384615385,,0.6666666666666666,0.5714285714285714,,0.14285714285714285,0.5210333333333333,0.13333333333333333,0.14285714285714285,,,8.0,4.0,4.0,,4.0,4.0,3.0,0.6666666666666666,,0.2857142857142857,1.0,1.0,1.0,0.23529411764705882,,,1.0,,,3.0,,0.2857142857142857,,,0.5,0.5,,2.0,2.0,2.0,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.2,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2019,2019,False
1628276-1628932-1629498-201477-202641,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Tamera Young, Sydney Colson","Plum, Wilson, Young, Young, Colson",1628276-1628932-1629498-201477-202641,LVA,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2019,2019,False
1628276-1628932-1629498-201477-204324,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Tamera Young, Dearica Hamby","Plum, Wilson, Young, Young, Hamby",1628276-1628932-1629498-201477-204324,LVA,85.0,1,1.0,4.0,3.0,1.0,3.0,7.0,,,1.0,1.0,,,,,1.0,1.0,5.0,7.0,,,,,2.0,,3.0,1.0,1.0,,,,,,,,,,,,5.0,2.0,1.0,,,1.0,,1.0,,,1.5,,1.25,1.0,1.0,,,,,,118.58823529411764,9.25,16.0,9.25,16.0,,,,,1.0,1.0,1.0,,,1.0,1.0,0.6198,,0.4,,25.4,0.25,,,2.0,,,,,2.0,2.0,1.0,,,,,,,,0.5,1.0,2.0,2.0,-2.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2019,2019,False
