EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Defensive 3 Seconds Violations,SecondChanceArc3FGM,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,BlockedArc3,team_id,year,season,team_vs
1629483-201480-202658-203824-203855,1611661324,"Napheesa Collier, Sylvia Fowles, Danielle Robinson, Odyssey Sims, Stephanie Talbot","Collier, Fowles, Robinson, Sims, Talbot",1629483-201480-202658-203824-203855,MIN,9836.0,19,164.0,-27.0,322.0,320.0,40.0,13.0,36.0,642.0,42.0,67.0,6.0,12.0,4.0,5.0,18.0,45.0,26.0,60.0,3.0,15.0,2.0,2.0,30.0,80.0,5.0,5.0,12.0,86.0,172.0,33.0,95.0,40.0,311.0,338.0,13.0,24.0,7.0,7.0,33.0,8.0,13.0,5.0,14.0,12.0,43.0,98.0,74.0,81.0,18.0,8.0,80.0,30.0,15.0,1.0,49.0,27.0,76.0,25.0,2.0,25.0,10.0,14.0,179.0,15.0,20.0,24.0,86.0,4.0,114.0,35.0,149.0,4.0,26.0,19.0,7.0,31.0,7.0,25.0,41.0,5.0,6.0,1.0,5.0,72.0,5.0,7.0,29.0,66.0,3.0,1.0,9.0,52.0,3.0,2.0,3.0,47.0,3.0,2.0,18.0,6.0,22.0,1.0,9.0,1.0,1.0,12.0,23.0,20.0,2.0,278.0,41.0,38.0,3.0,4.0,0.5697674418604651,0.5975609756097561,0.8181818181818182,0.3473684210526316,0.35714285714285715,0.3473684210526316,0.5,0.5416666666666666,0.6153846153846154,0.5074906367041199,0.41935483870967744,0.5740740740740741,0.5364583333333334,0.4852941176470588,0.6142857142857143,0.35580524344569286,0.010526315789473684,0.0872093023255814,0.08955223880597014,0.2,0.0125,0.4305555555555556,0.8,0.7413793103448276,0.23529411764705882,0.6486486486486487,0.2542372881355932,0.7189542483660131,0.24305555555555555,0.36,0.2692307692307692,0.11764705882352941,0.2978723404255319,0.08333333333333333,0.71875,0.7954545454545454,0.7,0.6875,0.4,0.03076923076923077,93.98942659617731,0.8695652173913043,15.872670807453416,14.765625,15.161490683229813,13.8875,0.250936329588015,0.6268656716417911,0.6885245901639344,0.5952380952380952,0.16853932584269662,0.4,0.5,0.5555555555555556,0.2247191011235955,0.43333333333333335,0.43333333333333335,0.5384615384615384,0.056179775280898875,0.2,0.2,0.6666666666666666,0.299625468164794,0.375,0.379746835443038,0.8333333333333334,0.3870967741935484,0.5,0.5,0.06451612903225806,0.16129032258064516,0.18518518518518517,0.8,0.07407407407407407,0.4444444444444444,0.4166666666666667,0.6067415730337079,0.375,0.4802657303370787,0.45166739130434785,0.48484074074074074,0.06382978723404255,0.0962566844919786,0.10610932475884244,0.1382636655948553,8.961046511627906,24.72421052631579,0.12422360248447205,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
201480-202658-203824-203855-203859,1611661324,"Sylvia Fowles, Danielle Robinson, Odyssey Sims, Stephanie Talbot, Asia Taylor","Fowles, Robinson, Sims, Talbot, Taylor",201480-202658-203824-203855-203859,MIN,197.0,2,3.0,4.0,6.0,6.0,,,1.0,12.0,1.0,1.0,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,3.0,5.0,,,,6.0,2.0,1.0,1.0,,,2.0,,,,,,,4.0,2.0,,,,,,,,2.0,,2.0,,,,1.0,1.0,4.0,,,2.0,1.0,,3.0,1.0,4.0,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,4.0,,,,,0.6666666666666666,0.6666666666666666,,,,,0.6,1.0,,0.6,1.0,,0.6,1.0,,,,,,,,,,0.5,,1.0,,0.75,,,,,,,1.0,,,1.0,,,87.71573604060914,,15.166666666666666,17.666666666666668,12.166666666666666,17.666666666666668,0.2,1.0,1.0,,0.4,0.5,0.5,1.0,0.4,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,0.2,,0.43529999999999996,0.4568,,,,0.3333333333333333,,11.32,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1627687-1627701-1628882-202658-203855,1611661324,"Jillian Alleyne, Temi Fagbenle, Lexie Brown, Danielle Robinson, Stephanie Talbot","Alleyne, Fagbenle, Brown, Robinson, Talbot",1627687-1627701-1628882-202658-203855,MIN,86.0,2,1.0,6.0,4.0,4.0,3.0,3.0,,8.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,2.0,2.0,,,2.0,6.0,,,,,,,1.0,1.0,,,2.0,4.0,2.0,2.0,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,2.0,,2.0,,2.0,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,2.0,,,1.0,2.0,,,1.0,,,,,,,,,,,6.0,4.0,3.0,,,0.5,0.5,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,0.6666666666666666,,,,,,,1.0,,1.0,,,,133.95348837209303,,9.5,12.0,9.5,11.25,0.5,1.0,1.0,1.0,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.5,,0.53275,,0.3923,0.3333333333333333,0.3333333333333333,,0.6666666666666666,7.35,,0.75,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1627687-1628882-1629483-202658-203855,1611661324,"Jillian Alleyne, Lexie Brown, Napheesa Collier, Danielle Robinson, Stephanie Talbot","Alleyne, Brown, Collier, Robinson, Talbot",1627687-1628882-1629483-202658-203855,MIN,294.0,2,5.0,2.0,10.0,11.0,8.0,8.0,1.0,21.0,,3.0,,,,3.0,,1.0,,,1.0,1.0,,1.0,1.0,3.0,,1.0,2.0,,4.0,2.0,4.0,3.0,9.0,7.0,,1.0,,,,,4.0,2.0,3.0,2.0,8.0,,,3.0,3.0,,3.0,1.0,1.0,,,1.0,1.0,,1.0,,,,3.0,,1.0,1.0,1.0,,2.0,1.0,3.0,,3.0,2.0,1.0,,,,1.0,,,,,1.0,,1.0,1.0,2.0,1.0,,,4.0,,,1.0,4.0,,,2.0,,1.0,,1.0,,,,1.0,,,9.0,8.0,8.0,,,,,0.5,0.5,0.6666666666666666,0.5,,,,0.375,,0.42857142857142855,0.45,,0.5,0.5,,0.25,0.3333333333333333,,,,,0.5,0.25,1.0,,0.6666666666666666,0.16666666666666666,0.3333333333333333,,,,,0.5,,,,1.0,,102.85714285714285,,14.5,13.545454545454545,14.1,13.545454545454545,0.375,,,,0.125,,,,,,,,0.125,1.0,1.0,1.0,0.375,0.3333333333333333,0.3333333333333333,,,,,,,0.42857142857142855,,0.14285714285714285,0.2857142857142857,0.5,0.875,0.3333333333333333,0.52295,0.476,0.5158642857142858,0.2,0.3333333333333333,,0.8888888888888888,3.65,24.225,0.8,,,1.0,1.0,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1627687-1629483-202658-203824-203855,1611661324,"Jillian Alleyne, Napheesa Collier, Danielle Robinson, Odyssey Sims, Stephanie Talbot","Alleyne, Collier, Robinson, Sims, Talbot",1627687-1629483-202658-203824-203855,MIN,75.0,1,1.0,-1.0,2.0,3.0,,3.0,1.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,2.0,,,,1.0,1.0,,2.0,,2.0,3.0,1.0,1.0,,,2.0,,,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,0.3333333333333333,1.0,,0.3333333333333333,1.0,,0.6666666666666666,,,,,,,,,,1.0,0.5,1.0,0.5,,,,0.5,,,,,1.0,,,96.0,,15.5,14.666666666666666,15.5,10.666666666666666,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,0.6666666666666666,,,,1.0,1.0,,,,,,,,,1.0,,0.57885,,,,,1.0,,0.6,24.05,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1627701-1628882-1629483-1629524-202658,1611661324,"Temi Fagbenle, Lexie Brown, Napheesa Collier, Bridget Carleton, Danielle Robinson","Fagbenle, Brown, Collier, Carleton, Robinson",1627701-1628882-1629483-1629524-202658,MIN,263.0,1,4.0,5.0,8.0,8.0,8.0,4.0,3.0,16.0,,2.0,,2.0,,2.0,,1.0,4.0,5.0,1.0,1.0,,1.0,,1.0,,,1.0,4.0,8.0,1.0,2.0,2.0,13.0,8.0,1.0,3.0,,,2.0,4.0,8.0,1.0,2.0,2.0,13.0,2.0,6.0,3.0,,,1.0,,,,1.0,1.0,2.0,,1.0,,,1.0,5.0,1.0,2.0,2.0,1.0,,3.0,3.0,6.0,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,11.0,13.0,8.0,,1.0,0.25,0.25,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.55,0.3333333333333333,0.55,0.5909090909090909,0.3333333333333333,0.5909090909090909,0.2,,,,,,,,0.5,0.5,1.0,1.0,0.75,0.6,,1.0,1.0,1.0,,,1.0,,1.0,,,87.60456273764258,,11.75,21.125,9.5,19.625,0.2,,,,0.1,,,,0.5,0.8,0.8,0.25,0.1,1.0,1.0,1.0,0.1,,,,0.6666666666666666,,,,,0.2,,0.1,0.1,,0.4,,0.4372,0.51685,0.4372,,,0.15384615384615385,1.0,12.7125,22.95,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1627701-1628882-1629483-201480-202658,1611661324,"Temi Fagbenle, Lexie Brown, Napheesa Collier, Sylvia Fowles, Danielle Robinson","Fagbenle, Brown, Collier, Fowles, Robinson",1627701-1628882-1629483-201480-202658,MIN,600.0,6,10.0,-3.0,21.0,19.0,7.0,,4.0,40.0,4.0,5.0,,,,,,2.0,1.0,4.0,1.0,1.0,1.0,,,2.0,,,1.0,5.0,11.0,1.0,3.0,8.0,21.0,24.0,,2.0,1.0,2.0,5.0,1.0,3.0,,1.0,3.0,5.0,4.0,6.0,3.0,,,2.0,,,,2.0,1.0,3.0,,1.0,1.0,,1.0,7.0,,3.0,2.0,5.0,,7.0,3.0,10.0,,1.0,,1.0,4.0,,3.0,1.0,,1.0,,,5.0,1.0,2.0,2.0,3.0,,,,7.0,,,,11.0,1.0,,5.0,1.0,2.0,,1.0,,,1.0,2.0,2.0,1.0,16.0,5.0,7.0,,1.0,0.4,0.4,1.0,0.3333333333333333,,0.3333333333333333,0.45454545454545453,,0.3333333333333333,0.4642857142857143,0.5,0.25,0.5526315789473685,0.625,0.4166666666666667,0.21428571428571427,,,,,,0.8,,1.0,0.5,0.6666666666666666,,0.875,0.375,1.0,0.5,0.3333333333333333,,,1.0,1.0,1.0,0.6666666666666666,,,96.0,1.0,14.333333333333334,15.736842105263158,12.666666666666666,15.210526315789474,0.35714285714285715,0.8,0.8,0.25,0.14285714285714285,,,,0.2857142857142857,0.25,0.25,1.0,0.07142857142857142,1.0,1.0,1.0,0.14285714285714285,,,,,,,0.3333333333333333,,,,,0.25,,0.5714285714285714,,0.49488571428571426,0.47500000000000003,0.414825,0.2777777777777778,0.3333333333333333,0.23809523809523808,0.23809523809523808,8.745454545454546,23.866666666666664,0.3333333333333333,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1611661324,2019,2019,True
1627701-1628882-1629483-202658-203824,1611661324,"Temi Fagbenle, Lexie Brown, Napheesa Collier, Danielle Robinson, Odyssey Sims","Fagbenle, Brown, Collier, Robinson, Sims",1627701-1628882-1629483-202658-203824,MIN,192.0,2,3.0,3.0,6.0,6.0,4.0,,,12.0,2.0,2.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,2.0,2.0,1.0,1.0,,7.0,4.0,,,,,,1.0,1.0,1.0,1.0,,5.0,2.0,2.0,3.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,,,5.0,,,3.0,1.0,,4.0,,4.0,,,,,1.0,1.0,1.0,2.0,,,1.0,,3.0,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,7.0,5.0,4.0,,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,,1.0,1.1666666666666667,,1.25,1.1666666666666667,,1.25,0.3333333333333333,,,,,,0.3333333333333333,,0.5,,0.75,,0.6666666666666666,,,,,,,,,0.5,0.75,,,90.0,,12.0,20.0,12.0,18.666666666666668,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,0.5,1.0,0.5,,,1.0,,0.5403833333333333,,0.529025,,,,0.7142857142857143,2.2,24.3,0.6666666666666666,,,1.0,1.0,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1627701-1628882-1629483-203024-203855,1611661324,"Temi Fagbenle, Lexie Brown, Napheesa Collier, Damiris Dantas, Stephanie Talbot","Fagbenle, Brown, Collier, Dantas, Talbot",1627701-1628882-1629483-203024-203855,MIN,16.0,1,,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,1.0,1.0,,,,2.0,2.0,,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,4.0,12.0,4.0,12.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,0.8364,,0.8364,,,,1.0,0.6,,1.0,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1627701-1628882-1629483-203824-203859,1611661324,"Temi Fagbenle, Lexie Brown, Napheesa Collier, Odyssey Sims, Asia Taylor","Fagbenle, Brown, Collier, Sims, Taylor",1627701-1628882-1629483-203824-203859,MIN,77.0,1,1.0,-3.0,2.0,2.0,,1.0,,4.0,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8051948051948,,23.0,15.5,23.0,13.0,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.321,,,,,,,10.95,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
