EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,DefFTReboundPct,SecondChanceOffPoss,AtRimFGA,PenaltyAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,AtRimFGM,ShortMidRangeFGA,AtRimAssists,DefThreePtRebounds,LostBallOutOfBoundsTurnovers,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceAtRimFGA,BadPassTurnovers,NonShootingPenaltyNonTakeFouls,LongMidRangePctBlocked,DefShortMidRangeReboundPct,SecondChanceAtRimFrequency,PenaltyAtRimFGM,ShortMidRangeFGM,Offensive Fouls Drawn,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimAccuracy,Travels,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShortMidRangePctBlocked,PtsUnassisted3s,ShortMidRangeAssists,BlockedAtRim,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,team_id,year,season,team_vs
101023-1629482-1629488-201886-203389,1611661317,"Sancho Lyttle, Sophie Cunningham, Brianna Turner, DeWanna Bonner, Yvonne Turner","Lyttle, Cunningham, Turner, Bonner, Turner",101023-1629482-1629488-201886-203389,PHO,67.0,1,1.0,-1.0,3,2,3.0,2.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,107.46268656716417,16.0,9.5,16.0,9.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.42575,0.42575,0.3333333333333333,0.5,1.0,19.4,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,False
101023-1629482-201067-201886-203389,1611661317,"Sancho Lyttle, Sophie Cunningham, Camille Little, DeWanna Bonner, Yvonne Turner","Lyttle, Cunningham, Little, Bonner, Turner",101023-1629482-201067-201886-203389,PHO,29.0,1,,,1,2,,2.0,3,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,1.0,,,148.9655172413793,11.0,9.0,11.0,9.0,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,False
101023-1629488-201507-201886-201896,1611661317,"Sancho Lyttle, Brianna Turner, Leilani Mitchell, DeWanna Bonner, Briann January","Lyttle, Turner, Mitchell, Bonner, January",101023-1629488-201507-201886-201896,PHO,276.0,1,5.0,,9,9,9.0,3.0,18,3.0,3.0,1.0,1.0,3.0,6.0,2.0,4.0,13.0,13.0,3.0,6.0,2.0,4.0,13.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,4.0,2.0,9.0,13.0,9.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5625,0.5625,0.65,0.65,0.25,93.91304347826087,15.555555555555555,15.11111111111111,13.0,15.11111111111111,0.375,1.0,1.0,0.3333333333333333,0.125,0.125,0.625,0.45156875,0.45156875,0.2,0.25,1.0,11.466666666666667,23.75,1.0,,3.0,6.0,1.0,2.0,,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.375,0.125,1.0,1.0,1.0,0.5,0.375,0.125,1.0,1.0,0.3848,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,False
101023-201067-201502-201896-203389,1611661317,"Sancho Lyttle, Camille Little, Essence Carson, Briann January, Yvonne Turner","Lyttle, Little, Carson, January, Turner",101023-201067-201502-201896-203389,PHO,101.0,1,2.0,2.0,5,5,,,10,,2.0,,,,2.0,,4.0,4.0,2.0,,,,,,,,,,,,2.0,4.0,2.0,4.0,,,,,,,,,0.5,,,142.5742574257426,11.6,8.6,11.6,8.6,1.0,,,,,,,0.4206,,0.5,0.5,,18.4,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,False
101023-201067-201507-201886-201896,1611661317,"Sancho Lyttle, Camille Little, Leilani Mitchell, DeWanna Bonner, Briann January","Lyttle, Little, Mitchell, Bonner, January",101023-201067-201507-201886-201896,PHO,167.0,1,3.0,,7,6,1.0,,13,,1.0,,,1.0,3.0,,4.0,6.0,6.0,,,,,,2.0,,1.0,1.0,,2.0,3.0,4.0,2.0,6.0,,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.6,,,112.09580838323353,12.142857142857142,13.666666666666666,12.142857142857142,13.666666666666666,0.3333333333333333,,,,,,0.3333333333333333,0.4725333333333333,,0.4,0.4,,8.033333333333333,,0.14285714285714285,,2.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,False
101023-201067-201507-201886-203389,1611661317,"Sancho Lyttle, Camille Little, Leilani Mitchell, DeWanna Bonner, Yvonne Turner","Lyttle, Little, Mitchell, Bonner, Turner",101023-201067-201507-201886-203389,PHO,206.0,1,3.0,-2.0,7,7,,1.0,14,1.0,2.0,,,3.0,7.0,,,6.0,8.0,,,,,,6.0,,3.0,3.0,1.0,6.0,1.0,,,6.0,,,1.0,1.0,0.42857142857142855,,0.42857142857142855,,0.42857142857142855,,,97.86407766990291,14.142857142857142,15.285714285714286,14.0,14.428571428571429,0.2857142857142857,0.5,1.0,1.0,,,0.7142857142857143,0.5820285714285715,,,,,5.485714285714286,,,,4.0,5.0,1.0,4.0,,1.0,5.0,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,4.0,1.0,,,1.0,,,,,,,,,,,,,,0.14285714285714285,,0.8,0.25,0.8,0.25,0.3333333333333333,0.5,1.0,,0.7142857142857143,,,,,,,,,,0.6799,,1.0,1.0,1.0,,1.0,2.0,,2.0,,,,,,0.4,0.4,1.0,,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,False
101023-201067-201886-201896-203389,1611661317,"Sancho Lyttle, Camille Little, DeWanna Bonner, Briann January, Yvonne Turner","Lyttle, Little, Bonner, January, Turner",101023-201067-201886-201896-203389,PHO,131.0,1,2.0,-3.0,4,6,4.0,,10,,,1.0,1.0,3.0,3.0,1.0,,6.0,9.0,3.0,3.0,1.0,,6.0,2.0,1.0,1.0,1.0,,2.0,1.0,,,6.0,6.0,4.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.75,0.75,0.75,0.75,0.25,109.92366412213741,15.5,11.5,15.5,11.5,,,,,0.25,0.25,0.75,0.57345,0.57345,,,1.0,5.0,23.4,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,1.0,1.0,0.5,0.25,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1611661317,2019,2019,False
101023-201502-201507-201886-201896,1611661317,"Sancho Lyttle, Essence Carson, Leilani Mitchell, DeWanna Bonner, Briann January","Lyttle, Carson, Mitchell, Bonner, January",101023-201502-201507-201886-201896,PHO,57.0,1,1.0,-3.0,2,2,2.0,,4,,,1.0,1.0,,,1.0,,,3.0,,,1.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,,1.0,101.05263157894737,15.0,13.5,15.0,13.5,,,,,1.0,1.0,1.0,0.5055,0.5055,,,,,25.6,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1611661317,2019,2019,False
1629482-1629488-201067-201502-203389,1611661317,"Sophie Cunningham, Brianna Turner, Camille Little, Essence Carson, Yvonne Turner","Cunningham, Turner, Little, Carson, Turner",1629482-1629488-201067-201502-203389,PHO,103.0,1,2.0,,4,5,4.0,5.0,9,,,,,1.0,1.0,,,2.0,2.0,1.0,1.0,,,2.0,2.0,,1.0,1.0,,2.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,125.8252427184466,8.5,13.8,8.5,11.4,,,,,,,1.0,0.4554,0.4554,0.5,0.5,1.0,3.0,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,0.5,,0.6666666666666666,,,1.0,,,1.0,,,,,,1.0,,,,,,,,2.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1611661317,2019,2019,False
1629482-1629488-201067-201886-203389,1611661317,"Sophie Cunningham, Brianna Turner, Camille Little, DeWanna Bonner, Yvonne Turner","Cunningham, Turner, Little, Bonner, Turner",1629482-1629488-201067-201886-203389,PHO,175.0,1,3.0,,7,7,2.0,3.0,14,,1.0,1.0,1.0,,1.0,2.0,5.0,8.0,8.0,,,1.0,2.0,2.0,,1.0,,1.0,,3.0,3.0,6.0,3.0,8.0,2.0,2.0,,,,,0.5,,0.6666666666666666,0.5,0.6666666666666666,115.2,13.857142857142858,11.142857142857142,13.857142857142858,11.142857142857142,0.3333333333333333,,,,0.3333333333333333,1.0,0.6666666666666666,0.4745333333333333,0.4602,0.5,0.75,0.25,17.1,23.85,0.2857142857142857,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,3.0,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,0.5,,0.5,,,,,,1.0,,1.0,,,,1.0,,,0.3333333333333333,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1611661317,2019,2019,False
