EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,DefThreePtRebounds,DefRebounds,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,PenaltyOffPoss,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,DefTwoPtRebounds,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,OffThreePtRebounds,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FtPoints,PenaltyFG2M,PtsUnassisted2s,PtsPutbacks,Corner3Assists,AtRimAssists,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,PenaltyFg2Pct,LiveBallTurnoverPct,OffAtRimReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimPctBlocked,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceFtPoints,LongMidRangeAssists,2pt And 1 Free Throw Trips,LongMidRangePctAssisted,SelfOReb,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,PenaltyFtPoints,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,BlockedLongMidRange,OffCorner3ReboundPct,PenaltyCorner3FGA,HeaveAttempts,Charge Fouls,PenaltyCorner3Frequency,PenaltyCorner3FGM,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Accuracy,FTOffRebounds,3SecondViolations,OffFTReboundPct,PtsUnassisted3s,Fg3aBlocked,FTDefRebounds,Charge Fouls Drawn,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,Corner3PctBlocked,team_id,year,season,team_vs
1627670-1627671-1627678-1628280-1629567,1611661323,"Morgan Tuck, Rachel Banham, Bria Holmes, Brionna Jones, Natisha Hiedeman","Tuck, Banham, Holmes, Jones, Hiedeman",1627670-1627671-1627678-1628280-1629567,CON,98.0,1,2.0,1.0,3.0,3,3.0,1.0,6,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.625,1.0,0.625,1.0,0.5,0.5,0.5,1.0,0.5,1.0,88.16326530612245,18.0,14.666666666666666,17.0,14.333333333333334,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5107,0.4417,0.4,6.15,25.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627671-1627678-1628280-202662,1611661323,"Morgan Tuck, Rachel Banham, Bria Holmes, Brionna Jones, Jasmine Thomas","Tuck, Banham, Holmes, Jones, Thomas",1627670-1627671-1627678-1628280-202662,CON,16.0,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,90.0,,16.0,,16.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627671-1627678-1629567-203849,1611661323,"Morgan Tuck, Rachel Banham, Bria Holmes, Natisha Hiedeman, Theresa Plaisance","Tuck, Banham, Holmes, Hiedeman, Plaisance",1627670-1627671-1627678-1629567-203849,CON,240.0,1,4.0,,8.0,7,5.0,1.0,15,1.0,3.0,1.0,3.0,1.0,5.0,1.0,3.0,5.0,5.0,,1.0,,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,5.0,,,1.0,3.0,1.0,5.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,,0.3125,,0.3125,,0.375,0.4,0.6666666666666666,0.25,0.16666666666666666,0.5,90.0,18.875,12.714285714285714,17.375,10.142857142857142,0.375,0.3333333333333333,1.0,1.0,0.375,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.40730625,0.2723,,8.68,25.400000000000002,2.0,4.0,1.0,0.8,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,0.5,0.5,0.6666666666666666,0.5,1.0,0.125,0.125,0.3333333333333333,0.3333333333333333,1.0,0.4547333333333334,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627671-1628280-1629567-203849,1611661323,"Morgan Tuck, Rachel Banham, Brionna Jones, Natisha Hiedeman, Theresa Plaisance","Tuck, Banham, Jones, Hiedeman, Plaisance",1627670-1627671-1628280-1629567-203849,CON,82.0,1,1.0,2.0,3.0,2,2.0,1.0,5,,,1.0,2.0,,1.0,1.0,2.0,3.0,1.0,,,3.0,,3.0,2.0,1.0,,,1.0,1.0,1.0,,3.0,,1.0,2.0,,,,1.0,,,,,1.0,0.5,0.5,,,0.5,1.5,0.5,1.5,0.6666666666666666,,,,0.5,,87.80487804878048,21.0,9.5,17.333333333333332,9.5,,,,,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,0.5,0.4207166666666667,,1.0,15.0,26.25,,1.0,,1.0,,3.0,,,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,3.0,3.0,0.5,0.5,0.5,1.0,1.0,,,0.3333333333333333,,0.6666666666666666,0.5,0.4207166666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627673-1627675-1627678-202662,1611661323,"Morgan Tuck, Jonquel Jones, Courtney Williams, Bria Holmes, Jasmine Thomas","Tuck, Jones, Williams, Holmes, Thomas",1627670-1627673-1627675-1627678-202662,CON,444.0,2,7.0,,13.0,14,6.0,3.0,27,,,,5.0,3.0,6.0,1.0,6.0,11.0,11.0,2.0,2.0,7.0,4.0,3.0,5.0,,,2.0,1.0,3.0,,,7.0,2.0,4.0,11.0,2.0,1.0,1.0,3.0,2.0,4.0,0.6666666666666666,1.0,1.0,0.16666666666666666,0.16666666666666666,0.5,1.0,0.375,0.875,0.4230769230769231,0.875,0.5,,,0.6666666666666666,0.5,,87.56756756756756,18.153846153846153,14.857142857142858,16.23076923076923,14.142857142857142,,,,,0.4166666666666667,,,,1.0,,0.5440333333333334,0.423675,0.6363636363636364,1.95,24.883333333333336,,7.0,,1.0,,3.0,6.0,1.0,,,2.0,1.0,,2.0,2.0,7.0,1.0,,1.0,2.0,3.0,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,,0.3333333333333333,0.6666666666666666,,0.5599166666666667,0.18181818181818182,0.23076923076923078,,1.0,1.0,2.0,2.0,,0.5,0.4,0.4,0.25,,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,0.5,0.5,0.6666666666666666,0.08333333333333333,1.0,1.0,1.0,0.5,1.0,0.5,0.25,1.0,1.0,1.0,0.07692307692307693,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627673-1627675-1627678-203826,1611661323,"Morgan Tuck, Jonquel Jones, Courtney Williams, Bria Holmes, Alyssa Thomas","Tuck, Jones, Williams, Holmes, Thomas",1627670-1627673-1627675-1627678-203826,CON,81.0,1,1.0,2.0,3.0,2,2.0,,5,,,,,2.0,3.0,,,4.0,2.0,,,,4.0,,,,1.0,2.0,,2.0,,,4.0,,,,1.0,,,1.0,1.0,4.0,1.0,1.0,,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,0.3333333333333333,,,,,88.88888888888889,13.0,21.0,13.0,15.0,,,,,,,,,1.0,,0.49289999999999995,,,2.566666666666667,,,,,,,2.0,3.0,2.0,,,,2.0,,,2.0,,,,,2.0,2.0,,0.5,0.5,,,,1.0,,1.0,,,0.5529,0.5,0.6666666666666666,,,,,,,,,,,,,2.0,,,1.0,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,0.5,,,,,0.6666666666666666,1.0,1.0,,,,,,,,,,,0.5,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627673-1627675-202662-203015,1611661323,"Morgan Tuck, Jonquel Jones, Courtney Williams, Jasmine Thomas, Shekinna Stricklen","Tuck, Jones, Williams, Thomas, Stricklen",1627670-1627673-1627675-202662-203015,CON,225.0,2,4.0,-3.0,8.0,9,6.0,,17,1.0,2.0,,2.0,3.0,4.0,,2.0,6.0,9.0,,,,4.0,,2.0,,,2.0,,2.0,,1.0,4.0,,,5.0,,,2.0,3.0,,6.0,0.6666666666666666,0.6666666666666666,,,,0.75,,0.5,,0.5,,0.3333333333333333,,,,,,108.8,13.25,13.222222222222221,13.25,11.666666666666666,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,,,,0.5,,0.49633333333333335,,,9.475,25.0,2.0,5.0,1.0,0.8333333333333334,1.0,,1.0,,1.0,,,,,,,3.0,,,,,,,,,0.75,0.5,1.0,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,1.0,,2.0,2.0,,,,2.0,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627673-1627675-202662-203826,1611661323,"Morgan Tuck, Jonquel Jones, Courtney Williams, Jasmine Thomas, Alyssa Thomas","Tuck, Jones, Williams, Thomas, Thomas",1627670-1627673-1627675-202662-203826,CON,222.0,2,4.0,3.0,9.0,7,,1.0,16,1.0,1.0,,2.0,4.0,6.0,,2.0,11.0,8.0,1.0,1.0,3.0,6.0,,2.0,,,3.0,,3.0,,1.0,6.0,,1.0,4.0,,,2.0,2.0,3.0,8.0,0.75,1.0,,,,0.6666666666666666,1.0,0.5,1.0,0.6111111111111112,1.5,0.25,,,,0.25,,103.78378378378378,12.555555555555555,15.571428571428571,12.555555555555555,15.571428571428571,0.125,1.0,1.0,1.0,0.25,,,,0.5,,0.44725,,0.2727272727272727,12.266666666666666,23.65,,3.0,,1.0,,,2.0,,3.0,,,,,,,3.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,0.25,0.375,,,,,,,,,,,1.0,,,0.5,0.5,,,,2.0,1.0,1.0,,,,,,3.0,,2.0,2.0,,1.0,,,,1.0,,,1.0,,3.0,2.0,,1.0,,,,,1.0,1.0,1.0,0.5,,,,,1.0,1.0,,,,,,0.2222222222222222,0.2857142857142857,,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627673-1627675-203015-203826,1611661323,"Morgan Tuck, Jonquel Jones, Courtney Williams, Shekinna Stricklen, Alyssa Thomas","Tuck, Jones, Williams, Stricklen, Thomas",1627670-1627673-1627675-203015-203826,CON,278.0,2,5.0,-4.0,9.0,9,3.0,3.0,18,1.0,5.0,,1.0,4.0,9.0,,1.0,8.0,12.0,2.0,3.0,4.0,4.0,,1.0,,1.0,2.0,,2.0,,,4.0,2.0,2.0,4.0,2.0,,1.0,2.0,2.0,4.0,0.5,0.6666666666666666,,,,0.4444444444444444,0.6666666666666666,0.4,0.6666666666666666,0.36363636363636365,0.6666666666666666,0.1,0.1111111111111111,0.2,0.4,0.3333333333333333,0.25,93.23741007194243,15.88888888888889,15.0,13.333333333333334,15.0,0.5,0.2,0.25,,0.1,,,,0.4,,0.40062,0.3337333333333334,0.5,7.022222222222222,26.8,1.0,2.0,1.0,1.0,,4.0,3.0,1.0,1.0,,1.0,5.0,,1.0,4.0,1.0,,,,4.0,4.0,,0.3333333333333333,0.3333333333333333,1.0,,1.0,0.3,0.1,0.16666666666666666,0.16666666666666666,,0.40563333333333335,0.5,0.4444444444444444,,,,,,,,,,,,,3.0,2.0,2.0,1.0,,,,,,2.0,4.0,2.0,,2.0,2.0,,,,,,,,2.0,1.0,,,0.4,,,,,1.0,1.0,0.6666666666666666,,,,,0.6666666666666666,1.0,0.5,,,,1.0,0.09090909090909091,0.1,,,,,,,,,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627673-1627678-202662-203015,1611661323,"Morgan Tuck, Jonquel Jones, Bria Holmes, Jasmine Thomas, Shekinna Stricklen","Tuck, Jones, Holmes, Thomas, Stricklen",1627670-1627673-1627678-202662-203015,CON,96.0,1,2.0,-1.0,4.0,3,3.0,1.0,7,,1.0,,1.0,1.0,2.0,,1.0,3.0,4.0,,,,2.0,,1.0,,,1.0,,1.0,,,2.0,1.0,1.0,2.0,,,,1.0,2.0,3.0,1.0,1.0,,,,0.5,,0.3333333333333333,,0.375,,0.3333333333333333,,,1.0,0.5,1.0,105.0,16.25,10.333333333333334,15.75,10.333333333333334,0.3333333333333333,,,,0.3333333333333333,,,,0.6666666666666666,,0.4982333333333333,,,7.95,26.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,1.0,1.0,,1.0,3.0,,,,,3.0,4.0,,0.5,0.5,,,,0.3333333333333333,,0.5,0.5,,0.5456,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,2.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
