EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,OffTwoPtRebounds,OffRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,FTDefRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,HeaveAttempts,LongMidRangeFGM,LongMidRangeAssists,Offensive Fouls,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,LostBallSteals,SecondChanceTurnovers,SecondChanceFtPoints,PenaltyFtPoints,NonShootingFoulsDrawn,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3FGM,PenaltyCorner3FGA,LongMidRangePctBlocked,DefCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Charge Fouls,PtsUnassisted3s,Technical Free Throw Trips,Fg3aBlocked,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,BlockedLongMidRange,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,BlockedCorner3,team_id,year,season,team_vs
1628278-1628878-201911-203399-203403,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Kristi Toliver, Elena Delle Donne, Tianna Hawkins","Walker-Kimbrough, Atkins, Toliver, Delle Donne, Hawkins",1628278-1628878-201911-203399-203403,WAS,419.0,4,7.0,1.0,14.0,14.0,28.0,2.0,3.0,1.0,2.0,3.0,3.0,5.0,3.0,6.0,12.0,11.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,8.0,8.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,6.0,3.0,3.0,1.0,2.0,3.0,2.0,12.0,0.6666666666666666,0.6666666666666666,0.6,0.375,0.5454545454545454,0.375,0.2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.75,0.8,96.22911694510739,0.6666666666666666,13.571428571428571,16.357142857142858,13.571428571428571,14.214285714285714,0.375,0.6666666666666666,1.0,0.5,0.25,0.5,0.5,1.0,0.375,0.75,0.49285,0.2727272727272727,0.375,5.84,24.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2019,2019,False
1628878-201911-203403-203416-204333,1611661322,"Ariel Atkins, Kristi Toliver, Tianna Hawkins, Emma Meesseman, Natasha Cloud","Atkins, Toliver, Hawkins, Meesseman, Cloud",1628878-201911-203403-203416-204333,WAS,17.0,1,,,2.0,1.0,3.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,2.0,2.0,2.0,,1.0,,1.0,1.0,1.0,,2.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,254.11764705882354,,7.5,2.0,6.5,2.0,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,0.6666666666666666,0.3625,,,10.2,26.9,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.6307,0.3625,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2019,2019,False
1628278-1628878-1628899-1629470-203403,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Myisha Hines-Allen, Kim Mestdagh, Tianna Hawkins","Walker-Kimbrough, Atkins, Hines-Allen, Mestdagh, Hawkins",1628278-1628878-1628899-1629470-203403,WAS,858.0,4,14.0,9.0,30.0,26.0,56.0,4.0,8.0,1.0,4.0,9.0,5.0,15.0,11.0,4.0,32.0,23.0,4.0,6.0,9.0,2.0,2.0,8.0,1.0,1.0,22.0,5.0,3.0,9.0,16.0,2.0,2.0,2.0,,,6.0,1.0,7.0,8.0,6.0,3.0,,,,,,20.0,0.4,0.6666666666666666,0.3333333333333333,0.5384615384615384,0.5517241379310345,0.4230769230769231,0.13333333333333333,0.125,1.0,0.7142857142857143,0.8,1.0,,0.8333333333333334,93.98601398601399,,15.166666666666666,15.5,14.6,15.346153846153847,0.3076923076923077,0.5,0.5714285714285714,0.25,0.15384615384615385,0.25,0.3333333333333333,1.0,0.34615384615384615,0.7307692307692307,0.47491730769230767,0.10344827586206896,0.16666666666666666,6.9399999999999995,25.172727272727272,6.0,20.0,6.0,3.0,4.0,,,3.0,2.0,3.0,5.0,12.0,1.0,3.0,2.0,5.0,4.0,7.0,5.0,6.0,4.0,0.6,0.3333333333333333,0.8571428571428571,0.5,0.8571428571428571,0.5,0.4444444444444444,0.5,0.5,0.11538461538461539,0.5714285714285714,0.75,0.3333333333333333,,,0.4,0.585175,0.39048,0.375,0.15625,0.2,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,18.0,4.0,4.0,6.0,4.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5454545454545454,1.0,0.5,0.5454545454545454,0.25,0.6666666666666666,0.5,0.6,0.5,0.3333333333333333,0.6,1.0,0.08333333333333333,0.07692307692307693,1.0,1.0,1.0,0.4444444444444444,0.4444444444444444,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.5,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2019,2019,False
1628278-1628878-1628899-203035-203403,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Myisha Hines-Allen, Shey Peddy, Tianna Hawkins","Walker-Kimbrough, Atkins, Hines-Allen, Peddy, Hawkins",1628278-1628878-1628899-203035-203403,WAS,77.0,1,1.0,2.0,3.0,2.0,5.0,,,1.0,1.0,,1.0,2.0,,,2.0,,,2.0,,,,,,,,,2.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,2.0,,,0.5,0.5,0.5,,,,1.0,,1.0,,1.0,,93.5064935064935,,11.333333333333334,21.5,11.333333333333334,21.5,,,,,0.5,1.0,1.0,,,,0.3824,,,10.9,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2019,2019,False
1628278-1628878-1628899-203403-204333,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Myisha Hines-Allen, Tianna Hawkins, Natasha Cloud","Walker-Kimbrough, Atkins, Hines-Allen, Hawkins, Cloud",1628278-1628878-1628899-203403-204333,WAS,107.0,2,2.0,-6.0,4.0,5.0,9.0,,1.0,,1.0,2.0,,2.0,2.0,,,6.0,,,1.0,1.0,,,,,,,2.0,3.0,3.0,,,1.0,,,1.0,1.0,3.0,,,,1.0,1.0,,1.0,1.0,,,,,,,0.5,0.5,1.0,1.0,,1.0,1.0,,,121.12149532710279,1.0,13.25,10.8,13.25,10.8,0.25,,,,0.25,,,,0.5,0.75,0.4820166666666667,,,5.4,34.0,4.0,5.0,,,,,1.0,,2.0,,,,,2.0,2.0,,,,,4.0,1.0,,,,,,,,,,,,,,0.25,,0.5,,0.4820166666666667,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2019,2019,False
1628278-1628878-201911-203399-203416,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Kristi Toliver, Elena Delle Donne, Emma Meesseman","Walker-Kimbrough, Atkins, Toliver, Delle Donne, Meesseman",1628278-1628878-201911-203399-203416,WAS,287.0,2,5.0,,9.0,10.0,19.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,6.0,,11.0,11.0,4.0,4.0,4.0,,2.0,3.0,,1.0,7.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,,1.0,1.0,4.0,3.0,,,,,,,,11.0,0.5,0.5,1.0,0.55,0.55,0.6,,,0.5,0.5,0.5,,1.0,0.5,95.33101045296168,,13.444444444444445,16.6,12.777777777777779,16.1,0.1,1.0,1.0,,0.1,1.0,1.0,1.0,0.5,0.7,0.4610222222222223,,,10.9,30.55,3.0,1.0,1.0,,,,,2.0,2.0,,,,1.0,1.0,2.0,2.0,,1.0,2.0,3.0,,,1.0,,0.3333333333333333,,0.3333333333333333,,0.25,,0.2,,,,,,0.6666666666666666,,0.337425,,0.18181818181818182,0.3333333333333333,,1.0,,,1.0,,1.0,,1.0,,1.0,,3.0,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,2.0,1.0,0.16666666666666666,,,0.2,,,,0.25,,,,,,0.1,,,,0.2,0.2,1.0,,,,1.0,,,,0.25,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2019,2019,False
1628278-1628878-201911-203399-204333,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Kristi Toliver, Elena Delle Donne, Natasha Cloud","Walker-Kimbrough, Atkins, Toliver, Delle Donne, Cloud",1628278-1628878-201911-203399-204333,WAS,6.0,1,,2.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,240.0,,6.0,,6.0,,1.0,1.0,1.0,,,,,,,1.0,0.3599,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2019,2019,False
1628278-1628899-1629470-203403-204333,1611661322,"Shatori Walker-Kimbrough, Myisha Hines-Allen, Kim Mestdagh, Tianna Hawkins, Natasha Cloud","Walker-Kimbrough, Hines-Allen, Mestdagh, Hawkins, Cloud",1628278-1628899-1629470-203403-204333,WAS,257.0,1,4.0,-8.0,9.0,10.0,19.0,2.0,2.0,,1.0,,3.0,5.0,1.0,1.0,7.0,15.0,4.0,2.0,,1.0,2.0,2.0,2.0,,4.0,1.0,1.0,3.0,5.0,1.0,,2.0,,1.0,4.0,1.0,2.0,2.0,2.0,1.0,,,,,,5.0,0.6666666666666666,0.6666666666666666,0.6,0.5,0.5,0.16666666666666666,0.2,,1.0,0.5,0.6666666666666666,,,1.0,106.4591439688716,,15.555555555555555,11.7,15.333333333333334,11.5,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,,,,,0.5,0.5373,0.14285714285714285,0.16666666666666666,9.78,23.6,,8.0,2.0,1.0,1.0,,,2.0,,1.0,1.0,2.0,,,,,1.0,2.0,,,,1.0,,1.0,,1.0,,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,1.0,,,,0.7287,,0.2857142857142857,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,1.0,2.0,,,,,,,,,,,1.0,0.5,1.0,1.0,,,,1.0,,0.16666666666666666,,,,,,,,,,,,,,,,1.0,,,1.0,0.5,0.5,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2019,2019,False
1628278-1629470-201506-203399-204333,1611661322,"Shatori Walker-Kimbrough, Kim Mestdagh, LaToya Sanders, Elena Delle Donne, Natasha Cloud","Walker-Kimbrough, Mestdagh, Sanders, Delle Donne, Cloud",1628278-1629470-201506-203399-204333,WAS,293.0,1,5.0,1.0,8.0,8.0,16.0,,,,1.0,2.0,,3.0,2.0,5.0,8.0,7.0,,,2.0,,,1.0,,,3.0,,4.0,4.0,5.0,1.0,1.0,1.0,,,1.0,1.0,2.0,5.0,6.0,2.0,1.0,,1.0,1.0,1.0,7.0,,,,0.3,0.5,0.4,,,0.8,,0.8,,1.0,,78.63481228668941,1.0,16.75,19.875,16.25,17.5,,,,,0.2,,,,0.4,0.4,0.44767,0.2857142857142857,0.4,11.066666666666668,25.75,4.0,,1.0,,,,,2.0,2.0,,,1.0,,2.0,2.0,4.0,1.0,1.0,4.0,4.0,,,,,0.375,0.5,0.4,0.3333333333333333,0.25,0.5,0.4,,,,,,0.5,,0.4765125,0.125,0.5,0.5,,,,,1.0,,,1.0,1.0,,,1.0,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,0.5,,0.5,0.5,,,,,,,,0.5,,,,,,0.5,0.5,1.0,,,,,,,0.5,0.5,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2019,2019,False
1628278-1629470-203035-203403-203416,1611661322,"Shatori Walker-Kimbrough, Kim Mestdagh, Shey Peddy, Tianna Hawkins, Emma Meesseman","Walker-Kimbrough, Mestdagh, Peddy, Hawkins, Meesseman",1628278-1629470-203035-203403-203416,WAS,104.0,1,2.0,2.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,4.0,2.0,4.0,,1.0,,2.0,2.0,1.0,1.0,4.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,4.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,,,0.5,,0.5,,1.0,,83.07692307692308,,19.666666666666668,15.0,19.666666666666668,11.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.47455,,,5.95,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2019,2019,False
