EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,Fg3aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,Arc3FGM,FG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,Blocked2s,BlockedShortMidRange,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,DefAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3A,OffThreePtRebounds,SelfOReb,PenaltyOffPossExcludingTakeFouls,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,AtRimAssists,BadPassSteals,AtRimPctAssisted,FTDefRebounds,DefFTReboundPct,DefLongMidRangeReboundPct,Travels,DefCorner3ReboundPct,LongMidRangeFGM,FtPoints,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PtsUnassisted3s,RecoveredBlocks,BlocksRecoveredPct,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,PenaltyPoints,PenaltyTurnovers,Offensive Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Accuracy,PenaltyPointsPct,PenaltyAtRimFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,Corner3Assists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedAtRim,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,SecondChancePointsPct,team_id,year,season,team_vs
1628244-1628886-1628920-201518-202252,1611661328,"Sami Whitcomb, Jordin Canada, Mercedes Russell, Crystal Langhorne, Alysha Clark","Whitcomb, Canada, Russell, Langhorne, Clark",1628244-1628886-1628920-201518-202252,SEA,314.0,2,5.0,-8.0,9.0,8.0,2.0,2.0,17,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0,3.0,4.0,12.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.6666666666666666,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,1.0,77.96178343949045,22.11111111111111,14.375,20.0,14.375,0.2222222222222222,1.0,1.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5,0.5555555555555556,0.44299444444444447,0.34855,8.783333333333333,24.133333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2019,2019,False
1628244-1628886-1628920-201518-204321,1611661328,"Sami Whitcomb, Jordin Canada, Mercedes Russell, Crystal Langhorne, Kaleena Mosqueda-Lewis","Whitcomb, Canada, Russell, Langhorne, Mosqueda-Lewis",1628244-1628886-1628920-201518-204321,SEA,186.0,2,3.0,-1.0,6.0,7.0,5.0,,13,,,4.0,1.0,1.0,,2.0,5.0,1.0,7.0,8.0,,,,1.0,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,7.0,0.4,0.5833333333333334,0.5833333333333334,0.16666666666666666,,0.4,0.25,,,0.5,,,0.3333333333333333,,,,,,100.64516129032258,16.166666666666668,12.714285714285714,16.166666666666668,10.857142857142858,,,,0.6666666666666666,0.16666666666666666,0.16666666666666666,,0.16666666666666666,0.3967,,9.059999999999999,26.1,2.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2019,2019,False
1628244-1628886-1628920-203827-204321,1611661328,"Sami Whitcomb, Jordin Canada, Mercedes Russell, Natasha Howard, Kaleena Mosqueda-Lewis","Whitcomb, Canada, Russell, Howard, Mosqueda-Lewis",1628244-1628886-1628920-203827-204321,SEA,41.0,1,1.0,-1.0,1.0,,,1.0,1,,1.0,,,2.0,1.0,,1.0,3.0,,1.0,1.0,2.0,,2.0,,,1.0,,,,3.0,3.0,,,,,,,,,1.0,1.0,,,,,,,0.75,,,,,,,1.0,,,0.75,,,,,35.1219512195122,38.0,,26.0,,0.25,,,,,0.5,0.3333333333333333,1.0,0.494775,0.53325,2.6,23.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.25,0.25,0.5,0.494775,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2019,2019,False
1628244-1628886-201518-201907-202252,1611661328,"Sami Whitcomb, Jordin Canada, Crystal Langhorne, Courtney Paris, Alysha Clark","Whitcomb, Canada, Langhorne, Paris, Clark",1628244-1628886-201518-201907-202252,SEA,38.0,1,1.0,2.0,1.0,1.0,,,2,1.0,1.0,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,75.78947368421053,11.0,27.0,11.0,27.0,1.0,1.0,1.0,,,,,1.0,0.5917,,2.2,,,,,2.0,,,1.0,,1.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2019,2019,False
1628244-1628886-201518-201907-204321,1611661328,"Sami Whitcomb, Jordin Canada, Crystal Langhorne, Courtney Paris, Kaleena Mosqueda-Lewis","Whitcomb, Canada, Langhorne, Paris, Mosqueda-Lewis",1628244-1628886-201518-201907-204321,SEA,60.0,1,1.0,2.0,2.0,3.0,3.0,,5,2.0,2.0,,,,,2.0,2.0,,4.0,2.0,,,4.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,4.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,,120.0,14.5,10.333333333333334,14.5,10.333333333333334,1.0,1.0,1.0,,,,,1.0,0.41365,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2019,2019,False
1628244-1628886-201518-203827-204321,1611661328,"Sami Whitcomb, Jordin Canada, Crystal Langhorne, Natasha Howard, Kaleena Mosqueda-Lewis","Whitcomb, Canada, Langhorne, Howard, Mosqueda-Lewis",1628244-1628886-201518-203827-204321,SEA,52.0,1,1.0,-5.0,2.0,3.0,2.0,,5,,1.0,,,1.0,,,1.0,1.0,,5.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,138.46153846153845,16.5,6.333333333333333,16.5,6.333333333333333,0.5,,,,,0.5,,1.0,0.370875,,3.2,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,1.0,1.0,1.0,,,2.0,,,,,,,,,0.5,,0.5,0.370875,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2019,2019,False
1628244-1628920-201518-201919-204321,1611661328,"Sami Whitcomb, Mercedes Russell, Crystal Langhorne, Shavonte Zellous, Kaleena Mosqueda-Lewis","Whitcomb, Russell, Langhorne, Zellous, Mosqueda-Lewis",1628244-1628920-201518-201919-204321,SEA,51.0,1,1.0,,1.0,1.0,,,2,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,56.470588235294116,32.0,19.0,32.0,19.0,,,,1.0,,,,,0.3753,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2019,2019,False
1628244-1628920-201919-202252-203827,1611661328,"Sami Whitcomb, Mercedes Russell, Shavonte Zellous, Alysha Clark, Natasha Howard","Whitcomb, Russell, Zellous, Clark, Howard",1628244-1628920-201919-202252-203827,SEA,25.0,1,,-2.0,,1.0,,,1,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.599999999999994,,17.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2019,2019,False
1628244-1628920-201919-203827-204321,1611661328,"Sami Whitcomb, Mercedes Russell, Shavonte Zellous, Natasha Howard, Kaleena Mosqueda-Lewis","Whitcomb, Russell, Zellous, Howard, Mosqueda-Lewis",1628244-1628920-201919-203827-204321,SEA,73.0,1,1.0,-2.0,3.0,2.0,,,5,,,1.0,,1.0,,,1.0,1.0,,2.0,,,,1.0,,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,0.5,,,,,,,,1.0,0.3333333333333333,,,,,,98.63013698630138,13.333333333333334,16.5,13.333333333333334,16.0,,,,0.5,,0.5,,0.5,0.44235,,8.5,26.8,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2019,2019,False
1628244-201518-201907-201919-204321,1611661328,"Sami Whitcomb, Crystal Langhorne, Courtney Paris, Shavonte Zellous, Kaleena Mosqueda-Lewis","Whitcomb, Langhorne, Paris, Zellous, Mosqueda-Lewis",1628244-201518-201907-201919-204321,SEA,334.0,2,6.0,-4.0,10.0,11.0,3.0,1.0,21,1.0,1.0,,3.0,4.0,1.0,2.0,4.0,4.0,11.0,15.0,,1.0,2.0,4.0,,,1.0,,1.0,1.0,1.0,2.0,2.0,,2.0,1.0,1.0,1.0,3.0,,,3.0,2.0,,11.0,0.5,0.625,0.6875,0.5,,,,,0.6666666666666666,0.5,0.5,,0.3333333333333333,0.25,,0.5,,,90.53892215568862,16.7,15.181818181818182,15.5,14.272727272727273,0.125,1.0,1.0,,0.375,0.5,1.0,0.625,0.4702,0.49785,15.725,25.375,,2.0,2.0,2.0,6.0,2.0,1.0,2.0,3.0,2.0,,8.0,,,,0.5,0.5,1.0,0.5,0.5,,,,,,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2019,2019,False
