EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,LongMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Charge Fouls Drawn,BlockedCorner3,NonShootingPenaltyNonTakeFouls,Offensive Fouls,PenaltyCorner3FGA,HeaveAttempts,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,OffCorner3ReboundPct,SelfORebPct,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FTOffRebounds,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Technical Free Throw Trips,BlockedLongMidRange,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,Defensive 3 Seconds Violations,Corner3PctBlocked,PenaltyCorner3Accuracy,3SecondViolations,team_id,year,season,team_vs
100940-200676-201487-203046-203398,1611661317,"Diana Taurasi, Candice Dupree, Alexis Hornbuckle, Briana Butler, Brittney Griner","Taurasi, Dupree, Hornbuckle, Butler, Griner",100940-200676-201487-203046-203398,PHO,593.0,5,10.0,-12.0,19.0,20.0,1.0,39.0,3.0,6.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,12.0,1.0,3.0,5.0,14.0,26.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,4.0,1.0,5.0,1.0,5.0,1.0,3.0,12.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.25,1.0,0.3,1.0,0.4117647058823529,1.0,0.2,0.6666666666666666,0.08333333333333333,0.5,0.6666666666666666,1.0,1.0,0.1111111111111111,1.0,0.09090909090909091,0.3333333333333333,1.0,94.70489038785836,18.0,12.55,18.0,12.55,0.4,0.5,0.5,0.6666666666666666,0.13333333333333333,0.26666666666666666,0.2,0.3333333333333333,1.0,1.0,1.0,0.6,0.3333333333333333,0.4597133333333333,0.6545,0.17647058823529413,0.21428571428571427,0.14285714285714285,8.591666666666667,23.400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
100940-200676-201501-201886-203046,1611661317,"Diana Taurasi, Candice Dupree, Charde Houston, DeWanna Bonner, Briana Butler","Taurasi, Dupree, Houston, Bonner, Butler",100940-200676-201501-201886-203046,PHO,2942.0,8,49.0,5.0,96.0,101.0,19.0,197.0,18.0,29.0,2.0,6.0,15.0,40.0,3.0,13.0,33.0,84.0,4.0,16.0,18.0,96.0,91.0,4.0,17.0,16.0,34.0,32.0,,,13.0,3.0,4.0,,17.0,21.0,9.0,46.0,17.0,22.0,39.0,22.0,61.0,11.0,9.0,2.0,4.0,3.0,1.0,8.0,8.0,20.0,,24.0,2.0,23.0,3.0,11.0,80.0,0.5151515151515151,0.5151515151515151,0.25,0.25,0.39285714285714285,0.23529411764705882,0.39,0.2619047619047619,0.43636363636363634,0.3333333333333333,0.16,,0.047619047619047616,0.06666666666666667,,0.5,0.7586206896551724,0.3333333333333333,0.7291666666666666,0.3492063492063492,0.36363636363636365,1.0,96.42420122365738,14.78125,15.07920792079208,13.09375,14.287128712871286,0.29,0.6206896551724138,0.6666666666666666,0.5,0.15,0.4,0.13,0.23076923076923078,0.23076923076923078,0.2857142857142857,0.3333333333333333,0.45,0.23076923076923078,0.468057,0.429028125,0.10185185185185185,0.11956521739130435,0.16666666666666666,10.66547619047619,23.5375,15.0,13.0,2.0,2.0,3.0,12.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,5.0,2.0,10.0,1.0,1.0,6.0,13.0,12.0,4.0,3.0,1.0,2.0,6.0,5.0,13.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,6.0,4.0,13.0,15.0,2.0,1.0,0.25,1.0,0.2,0.3181818181818182,0.43333333333333335,0.06896551724137931,0.025,1.0,0.6842105263157895,0.4166666666666667,0.25,0.35714285714285715,0.5,0.4444444444444444,0.8,0.6666666666666666,1.0,0.6666666666666666,0.2,0.21428571428571427,0.6666666666666666,0.3,0.3076923076923077,0.5,0.03,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.19047619047619047,0.25,1.0,0.18181818181818182,1.0,0.09090909090909091,1.0,0.39934545454545456,0.13541666666666666,0.15625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
201886-203041-203046-203398-203427,1611661317,"DeWanna Bonner, Lynetta Kizer, Briana Butler, Brittney Griner, Jasmine James","Bonner, Kizer, Butler, Griner, James",201886-203041-203046-203398-203427,PHO,85.0,1,1.0,4.0,4.0,4.0,,8.0,1.0,2.0,,,1.0,,,,1.0,3.0,,,2.0,4.0,,,,,2.0,,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,2.0,,2.0,,,,,,,,2.0,,2.0,,,4.0,1.0,1.0,,,0.3333333333333333,,0.3333333333333333,,0.5,,,,0.3333333333333333,,,,,,,,,,135.52941176470588,8.25,13.0,8.25,12.25,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,,,,,,,0.6666666666666666,,0.6190666666666667,,,,,4.7,,4.0,4.0,1.0,2.0,,,,,,,,,,,,1.0,3.0,,,2.0,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,4.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.5,,,0.6190666666666667,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
201487-201886-203041-203046-203398,1611661317,"Alexis Hornbuckle, DeWanna Bonner, Lynetta Kizer, Briana Butler, Brittney Griner","Hornbuckle, Bonner, Kizer, Butler, Griner",201487-201886-203041-203046-203398,PHO,105.0,2,2.0,4.0,5.0,4.0,,9.0,1.0,1.0,,,2.0,,,,2.0,3.0,,,4.0,8.0,4.0,,,,2.0,2.0,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,1.0,2.0,,3.0,,5.0,1.0,2.0,8.0,0.5,0.5,,,0.6666666666666666,,0.6666666666666666,,0.8,,,,,,,,,,,,,,123.42857142857143,12.8,10.25,12.8,9.25,0.3333333333333333,1.0,1.0,,0.6666666666666666,,,,,,,0.3333333333333333,,0.34636666666666666,,0.5,0.5,,9.233333333333333,,2.0,4.0,,,1.0,,,,,,,,,,,,1.0,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,1.0,,2.0,2.0,1.0,,,,,,0.5,,,,,,,,,,,,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,0.3277,0.25,0.4,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
100634-100940-200676-201501-203398,1611661317,"Penny Taylor, Diana Taurasi, Candice Dupree, Charde Houston, Brittney Griner","Taylor, Taurasi, Dupree, Houston, Griner",100634-100940-200676-201501-203398,PHO,24.0,1,,,1.0,1.0,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,19.0,5.0,19.0,5.0,,,,,,1.0,,,,,,,,0.3209,,,,,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
100634-100940-200676-202663-203046,1611661317,"Penny Taylor, Diana Taurasi, Candice Dupree, Krystal Thomas, Briana Butler","Taylor, Taurasi, Dupree, Thomas, Butler",100634-100940-200676-202663-203046,PHO,92.0,2,2.0,-4.0,3.0,3.0,,6.0,,,,,2.0,1.0,,,,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.91304347826086,18.666666666666668,12.0,18.666666666666668,12.0,,,,,0.6666666666666666,0.3333333333333333,,,,,,,,0.40326666666666666,,,,,11.1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
100634-100940-201886-202663-203046,1611661317,"Penny Taylor, Diana Taurasi, DeWanna Bonner, Krystal Thomas, Briana Butler","Taylor, Taurasi, Bonner, Thomas, Butler",100634-100940-201886-202663-203046,PHO,49.0,1,1.0,-3.0,2.0,1.0,,3.0,,,,,1.0,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,88.16326530612245,17.5,14.0,17.5,14.0,,,,,1.0,,,,,,,,,0.3827,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
100634-200676-201487-201886-203046,1611661317,"Penny Taylor, Candice Dupree, Alexis Hornbuckle, DeWanna Bonner, Briana Butler","Taylor, Dupree, Hornbuckle, Bonner, Butler",100634-200676-201487-201886-203046,PHO,326.0,3,5.0,4.0,11.0,12.0,,23.0,3.0,3.0,,,,4.0,,,3.0,7.0,1.0,1.0,1.0,10.0,6.0,,1.0,,6.0,,,,,,,,3.0,4.0,3.0,9.0,2.0,4.0,6.0,2.0,8.0,1.0,1.0,,3.0,1.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,2.0,,,10.0,1.0,1.0,1.0,1.0,0.42857142857142855,,0.5625,,0.5555555555555556,,0.125,,,,,0.75,0.8,0.5,0.8333333333333334,0.5,,,101.59509202453987,15.0,13.416666666666666,13.818181818181818,12.583333333333334,0.375,1.0,1.0,1.0,,0.5,,,,,,0.5,,0.49381875,0.3298,,,,10.9,22.8,2.0,3.0,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,3.0,1.0,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,2.0,1.0,1.0,,,,,0.25,,,1.0,1.0,,,0.5,,1.0,0.6666666666666666,1.0,,,,,,,,,0.125,1.0,1.0,1.0,,,,,,,,,,0.1434,0.1,0.18181818181818182,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
100634-201487-201501-201886-203398,1611661317,"Penny Taylor, Alexis Hornbuckle, Charde Houston, DeWanna Bonner, Brittney Griner","Taylor, Hornbuckle, Houston, Bonner, Griner",100634-201487-201501-201886-203398,PHO,12.0,1,,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,120.0,12.0,,12.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
100940-200676-201487-203041-203427,1611661317,"Diana Taurasi, Candice Dupree, Alexis Hornbuckle, Lynetta Kizer, Jasmine James","Taurasi, Dupree, Hornbuckle, Kizer, James",100940-200676-201487-203041-203427,PHO,35.0,1,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.14285714285714,,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
100940-200676-201501-201886-202663,1611661317,"Diana Taurasi, Candice Dupree, Charde Houston, DeWanna Bonner, Krystal Thomas","Taurasi, Dupree, Houston, Bonner, Thomas",100940-200676-201501-201886-202663,PHO,2718.0,18,45.0,-7.0,96.0,97.0,9.0,193.0,17.0,27.0,4.0,5.0,23.0,20.0,4.0,11.0,29.0,70.0,4.0,14.0,15.0,85.0,92.0,4.0,6.0,11.0,24.0,34.0,3.0,2.0,10.0,4.0,3.0,,12.0,15.0,8.0,33.0,8.0,15.0,33.0,12.0,45.0,5.0,2.0,3.0,8.0,6.0,2.0,13.0,8.0,24.0,3.0,22.0,5.0,20.0,,7.0,74.0,0.41379310344827586,0.42857142857142855,0.2857142857142857,0.3076923076923077,0.4142857142857143,0.6666666666666666,0.4166666666666667,0.5714285714285714,0.4521276595744681,0.55,0.16666666666666666,,0.04285714285714286,0.043478260869565216,,0.6153846153846154,0.625,0.20512820512820512,0.7209302325581395,0.25,0.25,0.6363636363636364,102.25165562913908,14.104166666666666,14.061855670103093,13.625,13.391752577319588,0.32142857142857145,0.6296296296296297,0.68,0.47058823529411764,0.27380952380952384,0.23809523809523808,0.13095238095238096,0.36363636363636365,0.36363636363636365,0.7142857142857143,0.8,0.4880952380952381,0.4,0.47204578313253015,0.5136700000000001,0.07692307692307693,0.09090909090909091,0.12941176470588237,8.521428571428572,24.942857142857143,22.0,41.0,1.0,4.0,8.0,4.0,,3.0,,1.0,2.0,3.0,,1.0,3.0,2.0,14.0,2.0,4.0,6.0,16.0,9.0,3.0,3.0,,1.0,3.0,4.0,16.0,2.0,2.0,5.0,2.0,1.0,,3.0,1.0,3.0,5.0,,,4.0,1.0,5.0,2.0,16.0,22.0,2.0,0.75,,0.5,0.14285714285714285,0.2777777777777778,0.36363636363636365,0.07407407407407407,,1.0,0.8421052631578947,0.4444444444444444,0.2,0.1875,0.5,0.6666666666666666,0.5,0.875,0.6666666666666666,0.4,0.34782608695652173,0.36363636363636365,0.125,0.2,0.2,0.75,0.03571428571428571,,,,0.75,,0.14285714285714285,,,0.2222222222222222,0.25,0.16666666666666666,0.6666666666666666,0.43334117647058823,0.18823529411764706,0.22916666666666666,,,5.0,,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.021739130434782608,0.05555555555555555,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
100940-200676-201501-201886-203019,1611661317,"Diana Taurasi, Candice Dupree, Charde Houston, DeWanna Bonner, Samantha Prahalis","Taurasi, Dupree, Houston, Bonner, Prahalis",100940-200676-201501-201886-203019,PHO,290.0,1,5.0,-3.0,9.0,9.0,1.0,18.0,2.0,3.0,,,,,,3.0,2.0,3.0,,3.0,4.0,8.0,11.0,,,,2.0,2.0,,,3.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,,2.0,1.0,2.0,,3.0,,4.0,,1.0,8.0,0.5,0.5,,,0.6666666666666666,,0.3333333333333333,,0.5,,0.5,,,,,0.5,0.5,1.0,0.3333333333333333,0.25,1.0,0.5,89.37931034482759,15.0,17.22222222222222,14.333333333333334,16.88888888888889,0.5,0.6666666666666666,0.6666666666666666,0.5,,,0.5,,,,,1.0,,0.51,0.5952,0.14285714285714285,0.25,,2.966666666666667,22.96666666666667,6.0,3.0,1.0,2.0,,,,,,1.0,,2.0,,1.0,,1.0,2.0,,2.0,2.0,4.0,,,,,,,,,,,1.0,2.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,4.0,6.0,1.0,,,,0.5,0.25,0.4,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,0.5,0.5,0.5,,0.4699,0.5,0.6666666666666666,,,,,,,1.0,1.0,,,0.25,,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
100940-200676-201501-201886-203398,1611661317,"Diana Taurasi, Candice Dupree, Charde Houston, DeWanna Bonner, Brittney Griner","Taurasi, Dupree, Houston, Bonner, Griner",100940-200676-201501-201886-203398,PHO,4236.0,18,71.0,23.0,142.0,144.0,22.0,286.0,16.0,36.0,2.0,5.0,31.0,29.0,12.0,29.0,38.0,96.0,13.0,30.0,35.0,150.0,127.0,4.0,14.0,22.0,40.0,36.0,9.0,2.0,28.0,12.0,16.0,,20.0,30.0,10.0,70.0,15.0,31.0,49.0,24.0,73.0,19.0,14.0,5.0,7.0,4.0,3.0,18.0,17.0,32.0,,41.0,4.0,46.0,2.0,15.0,128.0,0.5263157894736842,0.5405405405405406,0.43333333333333335,0.4482758620689655,0.3958333333333333,0.2857142857142857,0.45634920634920634,0.4117647058823529,0.5068027210884354,0.5238095238095238,0.23809523809523808,,0.16666666666666666,0.22580645161290322,,0.3888888888888889,0.7560975609756098,0.2631578947368421,0.7540983606557377,0.3055555555555556,0.35,1.0,97.22379603399435,15.422535211267606,14.208333333333334,14.169014084507042,13.6875,0.2857142857142857,0.4444444444444444,0.5925925925925926,0.625,0.24603174603174602,0.23015873015873015,0.23015873015873015,0.41379310344827586,0.41379310344827586,0.29411764705882354,0.4,0.5238095238095238,0.42857142857142855,0.458794,0.439,0.1079136690647482,0.13761467889908258,0.14666666666666667,8.907291666666667,24.483333333333334,52.0,42.0,4.0,9.0,11.0,11.0,1.0,1.0,1.0,2.0,2.0,7.0,2.0,3.0,8.0,12.0,34.0,2.0,7.0,17.0,47.0,30.0,10.0,9.0,1.0,4.0,6.0,7.0,15.0,3.0,5.0,11.0,7.0,2.0,1.0,2.0,3.0,8.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,41.0,48.0,4.0,0.7692307692307693,0.6666666666666666,0.2857142857142857,0.35294117647058826,0.36585365853658536,0.4519230769230769,0.25,,0.6,0.75,0.4666666666666667,0.25,0.17647058823529413,0.4666666666666667,0.5625,0.7692307692307693,0.8,0.6,0.5,0.3548387096774194,0.4583333333333333,0.36363636363636365,0.3793103448275862,0.3793103448275862,0.5454545454545454,0.007936507936507936,1.0,1.0,1.0,0.75,0.5,0.11764705882352941,0.5,1.0,0.21951219512195122,0.4444444444444444,0.17073170731707318,0.2857142857142857,0.41581250000000003,0.31333333333333335,0.36619718309859156,1.0,,6.0,,,1.0,2.0,,,,0.03571428571428571,,1.0,1.0,2.0,2.0,3.0,2.0,1.0,0.4,0.058823529411764705,1.0,1.0,,,,,,,,1611661317,2013,2013,True
100940-200676-201501-202663-203427,1611661317,"Diana Taurasi, Candice Dupree, Charde Houston, Krystal Thomas, Jasmine James","Taurasi, Dupree, Houston, Thomas, James",100940-200676-201501-202663-203427,PHO,328.0,3,5.0,6.0,9.0,7.0,,16.0,,1.0,,,2.0,,1.0,3.0,2.0,3.0,1.0,4.0,3.0,10.0,4.0,,,,,4.0,3.0,,3.0,1.0,,,,,,,,1.0,3.0,1.0,4.0,2.0,1.0,1.0,,,,1.0,,,,1.0,,3.0,,,10.0,,,0.25,0.25,0.6666666666666666,,0.5,,0.625,,0.5714285714285714,,,,,,1.0,,1.0,0.25,,,70.2439024390244,21.444444444444443,19.285714285714285,19.555555555555557,19.285714285714285,0.14285714285714285,,,,0.2857142857142857,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,0.7142857142857143,0.3333333333333333,0.41597142857142855,,0.125,,,4.733333333333333,22.875,,2.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,,1.0,1.0,,,1.0,1.0,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,0.25,,,,,,,,,,,,,1.0,0.2,,,,,,1611661317,2013,2013,True
100940-200676-201886-202663-203019,1611661317,"Diana Taurasi, Candice Dupree, DeWanna Bonner, Krystal Thomas, Samantha Prahalis","Taurasi, Dupree, Bonner, Thomas, Prahalis",100940-200676-201886-202663-203019,PHO,255.0,1,4.0,9.0,9.0,8.0,3.0,17.0,4.0,6.0,2.0,3.0,1.0,2.0,2.0,3.0,6.0,9.0,2.0,3.0,,18.0,9.0,2.0,3.0,7.0,8.0,4.0,3.0,2.0,3.0,2.0,,,4.0,5.0,3.0,11.0,3.0,2.0,3.0,3.0,6.0,1.0,1.0,,,,,,2.0,2.0,,1.0,,,,,11.0,0.6666666666666666,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.875,0.75,0.875,0.25,,,,,,1.0,1.0,1.0,0.75,1.0,,96.0,12.444444444444445,17.875,11.555555555555555,17.875,0.5,0.6666666666666666,0.6666666666666666,0.75,0.08333333333333333,0.16666666666666666,0.25,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.5943958333333333,0.6910625,,,0.3888888888888889,4.822222222222222,23.366666666666664,,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,3.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,0.5,0.5,1.0,,,,,0.5,0.5,0.25,1.0,1.0,,,,,,,,,,,,,,1.0,,,,0.25,,,,,,,,,,,,,,,,,,,,1611661317,2013,2013,True
