EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,BlockingFouls,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,PenaltyFG3A,PenaltyFtPoints,NonHeaveArc3FGA,FTA,TwoPtShootingFoulsDrawn,FG3APct,Arc3Frequency,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,Steals,BadPassSteals,ShootingFouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Loose Ball Fouls Drawn,PtsUnassisted2s,Fg2aBlocked,Fg3aBlocked,FTDefRebounds,BadPassTurnovers,Travels,PenaltyTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeFGM,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SecondChanceTurnovers,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceFtPoints,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,Charge Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,AtRimPctBlocked,OffAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlockingFoulsDrawn,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,Offensive Fouls Drawn,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsPutbacks,team_id,year,season,team_vs
100721-201062-201477-201480-201516,1611661329,"Swin Cash, Shay Murphy, Tamera Young, Sylvia Fowles, Allie Quigley","Cash, Murphy, Young, Fowles, Quigley",100721-201062-201477-201480-201516,CHI,239.0,1,4.0,2.0,7.0,8.0,5.0,5.0,15.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,6.0,8.0,6.0,3.0,5.0,6.0,8.0,4.0,4.0,3.0,1.0,8.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,6.0,5.0,1.0,1.0,1.0,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,1.0,0.5,1.0,0.6666666666666666,0.5,0.5,1.0,90.3765690376569,16.714285714285715,15.25,16.714285714285715,13.5,0.5,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,0.6,1.0,0.5,0.4908333333333333,0.51544,0.75,8.016666666666667,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201062-201477-201516-203069,1611661329,"Swin Cash, Shay Murphy, Tamera Young, Allie Quigley, Avery Warley-Talbert","Cash, Murphy, Young, Quigley, Warley-Talbert",100721-201062-201477-201516-203069,CHI,4.0,1,,-2.0,,1.0,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201062-201477-202259-203069,1611661329,"Swin Cash, Shay Murphy, Tamera Young, Epiphanny Prince, Avery Warley-Talbert","Cash, Murphy, Young, Prince, Warley-Talbert",100721-201062-201477-202259-203069,CHI,13.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201062-201480-202259-202664,1611661329,"Swin Cash, Shay Murphy, Sylvia Fowles, Epiphanny Prince, Courtney Vandersloot","Cash, Murphy, Fowles, Prince, Vandersloot",100721-201062-201480-202259-202664,CHI,90.0,1,2.0,,2.0,3.0,2.0,3.0,5.0,,,,,,,,,,2.0,2.0,,,2.0,,,,,,,,2.0,2.0,2.0,,,,1.0,,1.0,2.0,2.0,2.0,1.0,,,,,,,0.5,0.5,,0.6666666666666666,,0.6666666666666666,1.0,1.0,,80.0,15.0,20.0,15.0,15.0,,,,,,,,,,,,1.0,0.552,0.552,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201477-201480-201516-202259,1611661329,"Swin Cash, Tamera Young, Sylvia Fowles, Allie Quigley, Epiphanny Prince","Cash, Young, Fowles, Quigley, Prince",100721-201477-201480-201516-202259,CHI,138.0,1,2.0,-4.0,5.0,5.0,4.0,,10.0,1.0,1.0,1.0,1.0,2.0,,,1.0,3.0,4.0,8.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,,2.0,,,,,,,,1.0,,1.0,2.0,4.0,4.0,,1.0,1.0,0.3333333333333333,0.5,0.25,0.3333333333333333,0.4,0.5,,,,,,,,104.34782608695653,14.8,12.8,12.0,12.8,0.25,1.0,1.0,1.0,0.5,,,,,0.3333333333333333,1.0,0.5,0.437175,0.47900000000000004,1.0,4.333333333333333,0.8,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,0.25,0.25,0.3333333333333333,,,22.2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5549,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201477-201480-201516-202664,1611661329,"Swin Cash, Tamera Young, Sylvia Fowles, Allie Quigley, Courtney Vandersloot","Cash, Young, Fowles, Quigley, Vandersloot",100721-201477-201480-201516-202664,CHI,129.0,1,2.0,2.0,3.0,3.0,,,6.0,1.0,2.0,,,,,,1.0,2.0,2.0,,,,,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,,,1.0,2.0,,2.0,2.0,,,,1.0,1.0,0.5,,0.5,,0.5,,,1.0,,0.5,1.0,,,66.97674418604652,14.0,29.0,14.0,25.666666666666668,1.0,0.5,0.5,1.0,,,,,,,,1.0,0.54875,,,2.05,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201477-201480-202259-202664,1611661329,"Swin Cash, Tamera Young, Sylvia Fowles, Epiphanny Prince, Courtney Vandersloot","Cash, Young, Fowles, Prince, Vandersloot",100721-201477-201480-202259-202664,CHI,311.0,1,5.0,-2.0,11.0,10.0,2.0,10.0,21.0,1.0,2.0,,,1.0,1.0,1.0,2.0,4.0,7.0,9.0,,,2.0,,,,,,,1.0,3.0,6.0,6.0,1.0,,3.0,4.0,1.0,4.0,7.0,2.0,2.0,2.0,,,0.5,,0.3333333333333333,,0.4375,1.0,0.3333333333333333,0.75,1.0,0.8,1.0,,1.0,97.2347266881029,14.636363636363637,15.0,14.636363636363637,14.9,0.3333333333333333,0.5,0.5,,0.16666666666666666,0.16666666666666666,1.0,1.0,,,,0.6666666666666666,0.5058833333333334,,0.2857142857142857,6.925,0.18181818181818182,1.0,2.0,,2.0,3.0,,2.0,2.0,4.0,1.0,0.3333333333333333,0.3333333333333333,,0.14285714285714285,0.2,24.15,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,2.0,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,0.5,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201480-201516-202259-203399,1611661329,"Swin Cash, Sylvia Fowles, Allie Quigley, Epiphanny Prince, Elena Delle Donne","Cash, Fowles, Quigley, Prince, Delle Donne",100721-201480-201516-202259-203399,CHI,393.0,1,7.0,-9.0,13.0,14.0,10.0,7.0,27.0,1.0,3.0,1.0,3.0,4.0,,2.0,3.0,9.0,11.0,20.0,3.0,8.0,9.0,4.0,2.0,2.0,1.0,,4.0,1.0,1.0,3.0,6.0,1.0,,1.0,4.0,,3.0,11.0,9.0,10.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.375,0.25,0.3,0.36666666666666664,0.375,1.0,1.0,0.3333333333333333,0.5,,,0.3333333333333333,98.93129770992367,16.53846153846154,12.714285714285714,15.923076923076923,10.928571428571429,0.25,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,,,,0.3,0.3333333333333333,0.5,0.439625,0.44231999999999994,0.8181818181818182,9.722222222222221,0.7692307692307693,,3.0,2.0,3.0,5.0,2.0,3.0,3.0,6.0,1.0,0.25,0.25,0.2,0.07692307692307693,0.1,23.433333333333334,3.0,,2.0,,2.0,,1.0,1.0,2.0,2.0,2.0,,,,1.0,,,0.3728,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,0.1111111111111111,0.25,,1.0,1.0,,2.0,1.0,1.0,2.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201480-202259-202664-203399,1611661329,"Swin Cash, Sylvia Fowles, Epiphanny Prince, Courtney Vandersloot, Elena Delle Donne","Cash, Fowles, Prince, Vandersloot, Delle Donne",100721-201480-202259-202664-203399,CHI,1618.0,2,27.0,-2.0,50.0,47.0,5.0,,97.0,6.0,14.0,1.0,1.0,11.0,,7.0,12.0,32.0,47.0,49.0,2.0,3.0,6.0,12.0,6.0,6.0,3.0,,12.0,5.0,11.0,16.0,20.0,2.0,1.0,7.0,14.0,1.0,16.0,45.0,6.0,5.0,,0.5,0.5,0.375,0.6666666666666666,0.35294117647058826,0.6666666666666666,0.5108695652173914,0.75,0.2857142857142857,0.6470588235294118,0.8333333333333334,0.6956521739130435,0.25,0.8571428571428571,1.0,86.32880098887516,15.14,18.319148936170212,14.96,17.574468085106382,0.4117647058823529,0.42857142857142855,0.5,0.5,0.3235294117647059,0.20588235294117646,,,,0.3333333333333333,1.0,0.47058823529411764,0.44054264705882357,0.4273,0.1276595744680851,7.453125,0.1,3.0,2.0,,2.0,23.0,,2.0,2.0,26.0,13.0,0.058823529411764705,0.058823529411764705,,0.28888888888888886,0.3023255813953488,22.8,3.0,,1.0,,2.0,2.0,7.0,4.0,5.0,1.0,1.0,,,0.25,0.5,,,0.4599,0.0425531914893617,1.0,5.0,,12.0,2.0,,,1.0,1.0,1.0,,4.0,2.0,4.0,1.0,,0.0625,,,,0.6666666666666666,0.25,6.0,3.0,1.0,3.0,4.0,,0.15,0.5,0.18181818181818182,0.2,0.14285714285714285,0.5,0.5454545454545454,0.5454545454545454,0.5,2.0,1.0,3.0,1.0,2.0,2.0,2.0,0.14285714285714285,0.125,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201516-202259-203069-203399,1611661329,"Swin Cash, Allie Quigley, Epiphanny Prince, Avery Warley-Talbert, Elena Delle Donne","Cash, Quigley, Prince, Warley-Talbert, Delle Donne",100721-201516-202259-203069-203399,CHI,78.0,1,1.0,-5.0,2.0,2.0,1.0,,4.0,,2.0,,,,,,,2.0,,5.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,73.84615384615384,22.0,17.0,20.5,17.0,1.0,,,,,,,,,,,1.0,0.60555,,,2.0,0.5,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,0.5427,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,0.5,,0.5,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
