EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,PenaltyFtPoints,DefThreePtRebounds,NonShootingFoulsDrawn,DefThreePtReboundPct,DefArc3ReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,LostBallTurnovers,StepOutOfBoundsTurnovers,BlockingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,SecondChancePointsPct,LongMidRangePctBlocked,PenaltyTurnovers,Defensive 3 Seconds Violations,Charge Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,2pt And 1 Free Throw Trips,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGA,Blocked3s,BlockedArc3,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyFG3M,Travels,Offensive Fouls Drawn,PenaltyFg3Pct,PenaltyCorner3Accuracy,PenaltyArc3FGM,PenaltyArc3Accuracy,Charge Fouls,BlockedLongMidRange,3SecondViolations,HeaveAttempts,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,team_id,year,season,team_vs
100404-101025-200665-201507-203402,1611661313,"Katie Smith, Kara Braxton, Cappie Pondexter, Leilani Mitchell, Kelsey Bone","Smith, Braxton, Pondexter, Mitchell, Bone",100404-101025-200665-201507-203402,NYL,372.0,4,6.0,-2.0,13.0,13.0,1.0,2.0,26.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,7.0,1.0,2.0,1.0,12.0,14.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,5.0,5.0,1.0,6.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,6.0,2.0,6.0,2.0,1.0,12.0,2.0,1.0,0.5,0.5,0.5,0.5,0.5714285714285714,1.0,0.6111111111111112,1.0,0.6,1.0,0.2222222222222222,0.14285714285714285,0.3333333333333333,0.25,1.0,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,1.0,100.64516129032258,12.615384615384615,16.0,11.923076923076923,16.0,0.3333333333333333,0.6666666666666666,1.0,0.2222222222222222,0.5,0.5,1.0,0.2222222222222222,0.5,0.5,1.0,0.2222222222222222,0.5,0.5,1.0,1.0,0.5555555555555556,0.5,0.5085000000000001,0.3404,0.6931,0.1,0.125,0.16666666666666666,9.5,24.2,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2013,2013,False
100404-200665-201502-201507-202652,1611661313,"Katie Smith, Cappie Pondexter, Essence Carson, Leilani Mitchell, Alex Montgomery","Smith, Pondexter, Carson, Mitchell, Montgomery",100404-200665-201502-201507-202652,NYL,14.0,1,,4.0,2.0,2.0,2.0,,4.0,,,,,,,,,,,,,,,4.0,4.0,,,,,4.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,2.0,4.0,,4.0,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,411.42857142857144,2.0,5.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2013,2013,False
100404-200665-202652-203069-203412,1611661313,"Katie Smith, Cappie Pondexter, Alex Montgomery, Avery Warley-Talbert, Kamiko Williams","Smith, Pondexter, Montgomery, Warley-Talbert, Williams",100404-200665-202652-203069-203412,NYL,74.0,1,1.0,,3.0,3.0,,,6.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,116.75675675675676,11.666666666666666,13.0,11.666666666666666,13.0,,,,,,,,1.0,,,,,,,,,,,0.3975,,,,,,18.8,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2013,2013,False
100404-100888-200665-201507-203402,1611661313,"Katie Smith, Plenette Pierson, Cappie Pondexter, Leilani Mitchell, Kelsey Bone","Smith, Pierson, Pondexter, Mitchell, Bone",100404-100888-200665-201507-203402,NYL,2893.0,15,48.0,-5.0,99.0,93.0,8.0,21.0,192.0,12.0,24.0,,2.0,6.0,17.0,6.0,28.0,5.0,14.0,24.0,69.0,8.0,22.0,11.0,83.0,88.0,16.0,,6.0,1.0,24.0,24.0,3.0,14.0,5.0,2.0,12.0,19.0,2.0,5.0,45.0,16.0,27.0,42.0,18.0,60.0,7.0,4.0,10.0,3.0,4.0,8.0,18.0,1.0,5.0,13.0,2.0,20.0,18.0,8.0,59.0,1.0,8.0,0.5,0.631578947368421,0.36363636363636365,0.36363636363636365,0.34782608695652173,,0.3956043956043956,,0.415,0.05555555555555555,0.24175824175824176,0.028985507246376812,0.041666666666666664,0.5555555555555556,0.7297297297297297,0.35555555555555557,0.7843137254901961,0.3050847457627119,0.25,0.47368421052631576,1.0,1.0,95.56861389561008,15.232323232323232,14.89247311827957,13.606060606060606,14.311827956989248,0.26373626373626374,0.5,0.5217391304347826,0.18681318681318682,0.35294117647058826,0.375,0.3333333333333333,0.3076923076923077,0.21428571428571427,0.21428571428571427,0.8333333333333334,0.15384615384615385,0.35714285714285715,0.38461538461538464,0.25,,0.5054945054945055,0.35714285714285715,0.4635906593406594,0.4876763157894737,0.44828125,0.08080808080808081,0.1038961038961039,0.012048192771084338,9.936231884057971,23.70909090909091,0.08080808080808081,18.0,1.0,13.0,1.0,0.9285714285714286,0.9230769230769231,,4.0,7.0,3.0,8.0,1.0,4.0,2.0,10.0,1.0,4.0,1.0,24.0,2.0,21.0,10.0,2.0,7.0,4.0,3.0,5.0,2.0,2.0,1.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,0.875,0.25,0.625,0.575,0.5714285714285714,0.09090909090909091,0.058823529411764705,0.125,0.07142857142857142,1.0,0.14285714285714285,0.5454545454545454,0.3181818181818182,0.1111111111111111,0.2,1.0,0.01818181818181818,0.6666666666666666,0.4166666666666667,0.08791208791208792,0.375,0.42857142857142855,1.0,0.8,0.35,0.5714285714285714,0.25,0.2,0.25,1.0,0.25,0.2891566265060241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2013,2013,False
100404-200665-201507-203402-203404,1611661313,"Katie Smith, Cappie Pondexter, Leilani Mitchell, Kelsey Bone, Toni Young","Smith, Pondexter, Mitchell, Bone, Young",100404-200665-201507-203402-203404,NYL,427.0,4,7.0,-5.0,11.0,12.0,,3.0,23.0,,,,,1.0,5.0,,1.0,2.0,3.0,1.0,6.0,2.0,3.0,3.0,11.0,16.0,1.0,,,,,2.0,3.0,3.0,2.0,,,1.0,,,3.0,2.0,1.0,3.0,3.0,6.0,,,3.0,,2.0,,3.0,1.0,4.0,5.0,,6.0,4.0,2.0,8.0,,,,,0.6666666666666666,0.6666666666666666,0.16666666666666666,,0.4444444444444444,,0.5,,0.3333333333333333,,,1.0,0.5,0.4,0.75,0.5,,1.0,,,77.56440281030446,19.636363636363637,17.583333333333332,16.818181818181817,16.75,,,,0.5555555555555556,0.2,0.2,,0.1111111111111111,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,0.3333333333333333,0.6666666666666666,0.42179999999999995,0.475625,,0.18181818181818182,0.25,,10.133333333333333,24.400000000000002,,3.0,,2.0,,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,,3.0,,3.0,,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,0.5,1.0,,0.75,0.75,,,,,,1.0,0.25,1.0,1.0,,,,,,,,,,0.5,,,,0.5,1.0,,,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2013,2013,False
100396-100888-200665-201507-202652,1611661313,"DeLisha Milton-Jones, Plenette Pierson, Cappie Pondexter, Leilani Mitchell, Alex Montgomery","Milton-Jones, Pierson, Pondexter, Mitchell, Montgomery",100396-100888-200665-201507-202652,NYL,159.0,2,3.0,4.0,6.0,5.0,6.0,2.0,11.0,1.0,2.0,1.0,2.0,,,1.0,3.0,,1.0,2.0,5.0,,1.0,6.0,10.0,6.0,1.0,2.0,5.0,10.0,2.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,3.0,4.0,,,,,,,,,,,,3.0,6.0,1.0,6.0,10.0,6.0,0.5,0.5,,,0.4,0.4,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.16666666666666666,0.2,0.5,,1.0,0.6666666666666666,0.5,0.75,,1.0,,,99.62264150943396,14.833333333333334,14.0,12.166666666666666,12.4,0.3333333333333333,0.5,1.0,,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,,,0.3333333333333333,0.5,0.5,,0.478775,0.58005,0.478775,0.14285714285714285,0.16666666666666666,1.0,11.440000000000001,23.3,1.0,3.0,6.0,,2.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,2.0,4.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,2.0,,,1.0,0.5,0.6666666666666666,,,,,,1.0,,1.0,1.0,,,,,,,,,,,0.5,1.0,,0.5,,,0.16666666666666666,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2013,2013,False
100396-100888-201507-202652-203412,1611661313,"DeLisha Milton-Jones, Plenette Pierson, Leilani Mitchell, Alex Montgomery, Kamiko Williams","Milton-Jones, Pierson, Mitchell, Montgomery, Williams",100396-100888-201507-202652-203412,NYL,171.0,2,3.0,,6.0,5.0,1.0,,11.0,2.0,2.0,,,,1.0,,2.0,,,2.0,5.0,,,,4.0,4.0,,,1.0,,4.0,,,,,1.0,2.0,2.0,,,4.0,,1.0,2.0,,2.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,4.0,,1.0,1.0,1.0,,,0.4,,0.4,,0.4,,,0.2,,,1.0,,1.0,,,,1.0,,92.63157894736842,15.5,15.6,15.5,15.6,0.4,1.0,1.0,0.2,,,,0.4,,,,,,,,,0.4,,0.47774,,0.2042,,,,9.48,,0.16666666666666666,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2013,2013,False
100888-200665-201507-202652-203069,1611661313,"Plenette Pierson, Cappie Pondexter, Leilani Mitchell, Alex Montgomery, Avery Warley-Talbert","Pierson, Pondexter, Mitchell, Montgomery, Warley-Talbert",100888-200665-201507-202652-203069,NYL,113.0,1,2.0,4.0,4.0,4.0,3.0,2.0,8.0,1.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,1.0,4.0,,1.0,2.0,4.0,,1.0,1.0,1.0,4.0,,2.0,,1.0,,,,,,,,2.0,1.0,3.0,2.0,5.0,1.0,,1.0,,1.0,,1.0,,,,,2.0,2.0,1.0,4.0,4.0,3.0,,,,,0.25,1.0,0.2,0.5,0.3333333333333333,0.6666666666666666,0.2,,,1.0,1.0,0.6666666666666666,1.0,0.5,,,1.0,,101.94690265486726,12.0,16.25,9.5,16.25,0.2,1.0,1.0,0.4,,,,0.2,,,,0.2,,,0.5,1.0,0.4,,0.46748,0.4832,0.5913,0.16666666666666666,0.2,1.0,9.05,23.0,0.75,4.0,2.0,2.0,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,0.25,,,,,,,,,,,0.5,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2013,2013,False
101025-201507-202652-203404-203412,1611661313,"Kara Braxton, Leilani Mitchell, Alex Montgomery, Toni Young, Kamiko Williams","Braxton, Mitchell, Montgomery, Young, Williams",101025-201507-202652-203404-203412,NYL,158.0,1,3.0,-1.0,5.0,4.0,2.0,2.0,9.0,,,,,,2.0,,2.0,1.0,1.0,,4.0,1.0,1.0,,3.0,4.0,1.0,,2.0,,,,,1.0,1.0,,,1.0,,,3.0,1.0,1.0,3.0,1.0,4.0,,,,,,,,,,,,,,,3.0,,2.0,,,1.0,1.0,,,0.3,,0.3,,0.2,,,,0.5,0.25,0.6,0.25,,,,1.0,82.0253164556962,10.8,26.0,9.4,21.5,,,,0.4,,,,0.4,,,,0.2,1.0,1.0,,,0.2,1.0,0.3947,0.3267,0.311,,,,13.175,24.3,0.4,,,2.0,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2013,2013,False
100396-100404-100888-101025-202652,1611661313,"DeLisha Milton-Jones, Katie Smith, Plenette Pierson, Kara Braxton, Alex Montgomery","Milton-Jones, Smith, Pierson, Braxton, Montgomery",100396-100404-100888-101025-202652,NYL,252.0,2,4.0,-4.0,8.0,10.0,,1.0,18.0,1.0,3.0,,,,,,2.0,,1.0,1.0,5.0,,1.0,1.0,3.0,7.0,1.0,,,,2.0,,,1.0,,,1.0,1.0,,,2.0,1.0,4.0,7.0,1.0,8.0,,,1.0,,1.0,1.0,2.0,,2.0,3.0,1.0,2.0,2.0,1.0,3.0,,,1.0,1.0,,,0.2,,0.16666666666666666,,0.21428571428571427,,0.16666666666666666,,,0.5,0.8,0.25,0.75,0.2,,,1.0,0.6666666666666666,102.85714285714285,15.25,13.0,13.5,11.1,0.5,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,,0.16666666666666666,,,,,0.6666666666666666,,0.4059333333333333,0.4721,,0.14285714285714285,0.16666666666666666,,9.2,23.9,,3.0,,2.0,,0.6666666666666666,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,,,0.5,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2013,2013,False
