EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,LongMidRangeFGA,FG2A,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,SecondsExcludingORebsPerPossOff,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,Minutes,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,3SecondViolations,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Corner3Assists,Loose Ball Fouls,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceAtRimPctAssisted,HeaveAttempts,Charge Fouls,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
100721-201062-201477-201480-201516,1611661329,"Swin Cash, Shay Murphy, Tamera Young, Sylvia Fowles, Allie Quigley","Cash, Murphy, Young, Fowles, Quigley",100721-201062-201477-201480-201516,CHI,2.0,1,-2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1440.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201062-202259-202664-203399,1611661329,"Swin Cash, Shay Murphy, Epiphanny Prince, Courtney Vandersloot, Elena Delle Donne","Cash, Murphy, Prince, Vandersloot, Delle Donne",100721-201062-202259-202664-203399,CHI,29.0,1,,1.0,1.0,,1.0,,2.0,,,,,99.3103448275862,12.0,17.0,17.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.2468,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201477-201480-202259-202664,1611661329,"Swin Cash, Tamera Young, Sylvia Fowles, Epiphanny Prince, Courtney Vandersloot","Cash, Young, Fowles, Prince, Vandersloot",100721-201477-201480-202259-202664,CHI,5658.0,16,3.0,172.0,171.0,22.0,13.0,28.0,343.0,180.0,32.0,22.0,,87.29586426299046,16.703488372093023,16.28654970760234,15.339181286549708,0.12790697674418605,35.0,130.0,37.0,51.0,82.0,15.0,6.0,15.0,5.0,0.6271186440677966,0.6388888888888888,0.6666666666666666,0.3333333333333333,15.767441860465116,0.22580645161290322,0.5040864516129032,7.603076923076923,94.0,42.0,66.0,10.0,15.0,2.0,4.0,10.0,29.0,12.0,4.0,7.0,21.0,1.0,2.0,1.0,64.0,7.0,25.0,34.0,183.0,12.0,21.0,1.0,2.0,9.0,36.0,5.0,13.0,1.0,10.0,20.0,60.0,68.0,6.0,15.0,14.0,21.0,7.0,9.0,1.0,30.0,2.0,32.0,2.0,18.0,5.0,7.0,66.0,3.0,27.0,1.0,9.0,5.0,31.0,1.0,28.0,19.0,9.0,19.0,3.0,12.0,11.0,1.0,7.0,1.0,30.0,4.0,5.0,17.0,2.0,1.0,46.0,1.0,1.0,1.0,1.0,45.0,5.0,2.0,20.0,4.0,8.0,1.0,1.0,2.0,147.0,20.0,4.0,0.46875,0.5263157894736842,0.2857142857142857,0.28,0.5,0.28,0.49230769230769234,0.5714285714285714,0.38461538461538464,0.4806451612903226,0.5869565217391305,0.35714285714285715,0.5201149425287356,0.6481481481481481,0.47619047619047616,0.16129032258064516,0.04,0.06923076923076923,0.10606060606060606,0.034482758620689655,0.02857142857142857,0.047619047619047616,0.6333333333333333,0.8333333333333334,0.3333333333333333,0.4153846153846154,0.6923076923076923,0.17647058823529413,0.36585365853658536,0.5416666666666666,0.2631578947368421,0.4090909090909091,0.15384615384615385,0.25,0.3888888888888889,0.782608695652174,0.875,0.4,0.0136986301369863,0.4258064516129032,0.6363636363636364,0.711864406779661,0.42857142857142855,0.1870967741935484,0.3448275862068966,0.35714285714285715,0.5,0.34285714285714286,0.35294117647058826,0.5833333333333334,0.025806451612903226,0.13548387096774195,0.3333333333333333,0.35,0.2857142857142857,0.6521739130434783,0.6666666666666666,0.08695652173913043,0.5,0.2857142857142857,0.5,0.07142857142857142,0.5870967741935483,0.3333333333333333,0.5627022727272727,0.47106785714285715,0.11764705882352941,0.13793103448275862,0.19672131147540983,0.1092896174863388,23.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
201062-201477-201516-203069-203399,1611661329,"Shay Murphy, Tamera Young, Allie Quigley, Avery Warley-Talbert, Elena Delle Donne","Murphy, Young, Quigley, Warley-Talbert, Delle Donne",201062-201477-201516-203069-203399,CHI,339.0,4,,8.0,11.0,5.0,3.0,1.0,19.0,8.0,1.0,5.0,,80.7079646017699,22.75,14.272727272727273,14.0,0.625,2.0,6.0,2.0,4.0,6.0,,,,,0.5,0.6666666666666666,,,22.5,0.25,0.37696875,10.316666666666666,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,2.0,,,2.0,4.0,,2.0,,8.0,1.0,1.0,,,,2.0,3.0,4.0,2.0,,6.0,,8.0,,,2.0,2.0,,1.0,,,,,,,,,,2.0,,,2.0,,2.0,,2.0,1.0,1.0,2.0,,,1.0,,2.0,,3.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,6.0,6.0,,,,,,,,0.6666666666666666,1.0,0.75,0.5,1.0,0.5,0.5,1.0,0.5,0.25,,0.16666666666666666,,0.3333333333333333,,,0.6666666666666666,,,,1.0,1.0,0.6666666666666666,,,,1.0,,0.5,0.5,1.0,,,0.125,1.0,1.0,,0.375,0.6666666666666666,1.0,,0.5,0.5,,,0.25,,,,1.0,1.0,,,0.16666666666666666,1.0,0.3333333333333333,0.375,,,0.41452500000000003,,,0.25,0.75,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
201477-201480-202259-202664-203399,1611661329,"Tamera Young, Sylvia Fowles, Epiphanny Prince, Courtney Vandersloot, Elena Delle Donne","Young, Fowles, Prince, Vandersloot, Delle Donne",201477-201480-202259-202664-203399,CHI,3503.0,18,23.0,110.0,109.0,37.0,27.0,12.0,219.0,111.0,25.0,37.0,,90.0256922637739,15.10909090909091,16.889908256880734,15.623853211009175,0.33636363636363636,25.0,80.0,29.0,41.0,59.0,15.0,7.0,15.0,8.0,0.5686274509803921,0.6129032258064516,0.6875,0.5333333333333333,14.463636363636363,0.2403846153846154,0.5063649038461538,8.26125,58.0,25.0,38.0,5.0,7.0,6.0,8.0,2.0,17.0,10.0,3.0,10.0,21.0,2.0,3.0,10.0,37.0,11.0,24.0,27.0,134.0,5.0,11.0,2.0,4.0,,16.0,9.0,22.0,12.0,12.0,48.0,36.0,38.0,24.0,9.0,10.0,21.0,10.0,5.0,,18.0,8.0,26.0,7.0,13.0,,5.0,60.0,2.0,16.0,,9.0,3.0,18.0,2.0,8.0,6.0,2.0,2.0,2.0,2.0,5.0,1.0,,,7.0,3.0,2.0,14.0,,,32.0,1.0,1.0,4.0,,34.0,2.0,,14.0,4.0,6.0,2.0,,2.0,118.0,48.0,5.0,0.4864864864864865,0.5625,0.7272727272727273,0.4583333333333333,0.5,0.4583333333333333,0.4625,0.45454545454545453,0.4090909090909091,0.5144230769230769,0.5333333333333333,0.5294117647058824,0.5583333333333333,0.5333333333333333,0.5853658536585366,0.23076923076923078,,0.0625,0.07894736842105263,0.11764705882352941,,,0.2857142857142857,1.0,,0.38095238095238093,0.8181818181818182,0.15384615384615385,0.32727272727272727,0.6153846153846154,0.3333333333333333,0.21428571428571427,0.09090909090909091,0.5,0.5384615384615384,0.5,0.9,,0.04,0.36538461538461536,0.6578947368421053,0.7142857142857143,0.52,0.16346153846153846,0.11764705882352941,0.13333333333333333,,0.4,0.4,0.5,0.028846153846153848,0.20192307692307693,0.47619047619047616,0.47619047619047616,0.7,0.4666666666666667,0.7142857142857143,0.2,0.6666666666666666,0.23529411764705882,0.75,0.29411764705882354,0.5961538461538461,0.47619047619047616,0.5899730769230769,0.4883794117647059,0.1206896551724138,0.15217391304347827,0.11940298507462686,0.3582089552238806,23.770833333333332,1.0,1.0,1.0,2.0,5.0,6.0,1.0,3.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.06666666666666667,0.5,0.058823529411764705,0.5,0.5,,,,,,,,,,,1611661329,2013,2013,False
100721-201477-201498-202314-202670,1611661329,"Swin Cash, Tamera Young, Sharnee Zoll-Norman, Michelle Campbell, Carolyn Swords","Cash, Young, Zoll-Norman, Campbell, Swords",100721-201477-201498-202314-202670,CHI,16.0,1,-3.0,1.0,1.0,1.0,,,2.0,3.0,,1.0,,180.0,3.0,13.0,13.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201062-201477-201480-202259,1611661329,"Swin Cash, Shay Murphy, Tamera Young, Sylvia Fowles, Epiphanny Prince","Cash, Murphy, Young, Fowles, Prince",100721-201062-201477-201480-202259,CHI,962.0,6,1.0,27.0,27.0,4.0,5.0,9.0,54.0,29.0,2.0,4.0,,80.83160083160082,18.14814814814815,17.48148148148148,16.333333333333332,0.14814814814814814,5.0,19.0,8.0,8.0,17.0,4.0,2.0,4.0,2.0,0.6666666666666666,0.6666666666666666,1.0,0.5,15.851851851851851,0.21739130434782608,0.5016347826086957,7.2631578947368425,16.0,6.0,11.0,2.0,5.0,1.0,2.0,1.0,3.0,1.0,,1.0,4.0,,,,8.0,1.0,4.0,11.0,30.0,3.0,7.0,,,3.0,9.0,1.0,2.0,,3.0,5.0,12.0,4.0,,3.0,,4.0,1.0,2.0,,6.0,,6.0,,6.0,,,12.0,2.0,7.0,,,,9.0,3.0,2.0,2.0,,3.0,2.0,3.0,4.0,,,1.0,7.0,2.0,,1.0,,,12.0,2.0,,1.0,,13.0,1.0,,5.0,2.0,1.0,1.0,,,21.0,5.0,2.0,0.75,0.75,,0.25,,0.25,0.42105263157894735,0.42857142857142855,0.5,0.41304347826086957,0.42857142857142855,0.5,0.5172413793103449,0.5,0.625,0.17391304347826086,,0.10526315789473684,0.09090909090909091,,0.2,,0.42857142857142855,,,0.7,,0.6666666666666666,0.6923076923076923,0.6,1.0,0.6666666666666666,0.6666666666666666,,,0.8333333333333334,,,0.25,0.4782608695652174,0.5454545454545454,0.6,1.0,0.13043478260869565,0.3333333333333333,0.3333333333333333,,0.2,0.25,,,0.17391304347826086,0.25,0.25,,0.7142857142857143,0.4,,,1.0,0.5,,0.6521739130434783,0.25,0.44986666666666664,0.58995,0.18518518518518517,0.21739130434782608,0.3,0.16666666666666666,24.625,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1611661329,2013,2013,False
100721-201062-201477-201498-202314,1611661329,"Swin Cash, Shay Murphy, Tamera Young, Sharnee Zoll-Norman, Michelle Campbell","Cash, Murphy, Young, Zoll-Norman, Campbell",100721-201062-201477-201498-202314,CHI,196.0,2,-2.0,7.0,5.0,7.0,3.0,2.0,12.0,8.0,2.0,7.0,,88.16326530612245,17.0,15.4,15.4,1.0,1.0,4.0,1.0,3.0,5.0,,,,,1.0,1.0,,,17.0,0.2,0.43099,7.7,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,1.0,2.0,,1.0,2.0,6.0,1.0,1.0,,,2.0,4.0,2.0,4.0,1.0,2.0,6.0,,4.0,,,2.0,1.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,2.0,,2.0,2.0,,,1.0,,1.0,,,2.0,,,,1.0,,,,,2.0,6.0,1.0,,,,,,,0.5,1.0,0.5,0.4,1.0,0.4,0.5,1.0,0.5,0.2,,,,,,,0.5,1.0,,0.5,1.0,1.0,0.6666666666666666,,1.0,,1.0,,1.0,,1.0,,,0.2,1.0,1.0,,0.4,0.5,0.5,,,,,,0.2,,,,1.0,1.0,,,0.2,1.0,0.2,0.4,,,0.43099,,,0.6666666666666666,1.0,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
100721-201062-202259-202314-203399,1611661329,"Swin Cash, Shay Murphy, Epiphanny Prince, Michelle Campbell, Elena Delle Donne","Cash, Murphy, Prince, Campbell, Delle Donne",100721-201062-202259-202314-203399,CHI,37.0,2,2.0,2.0,2.0,2.0,,1.0,4.0,,,2.0,,155.67567567567568,13.0,5.5,4.5,1.0,1.0,3.0,,1.0,3.0,,,,,,,,,9.0,0.25,0.5491333333333334,7.033333333333334,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,1.0,,,1.0,1.0,,1.0,,2.0,1.0,2.0,,,,2.0,1.0,2.0,1.0,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,0.3333333333333333,0.5,0.5,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.25,,,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,0.5,0.5,0.5,0.5,,,,,,,,,,0.25,,,,1.0,0.5,,,0.6666666666666666,0.5,0.3333333333333333,0.75,,0.6272,0.6272,,,1.0,1.0,41.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1611661329,2013,2013,False
100721-201062-202664-202670-203399,1611661329,"Swin Cash, Shay Murphy, Courtney Vandersloot, Carolyn Swords, Elena Delle Donne","Cash, Murphy, Vandersloot, Swords, Delle Donne",100721-201062-202664-202670-203399,CHI,96.0,1,-2.0,3.0,3.0,1.0,,,6.0,2.0,,1.0,,90.0,18.0,14.0,13.333333333333334,0.3333333333333333,,2.0,1.0,2.0,2.0,,,,,0.3333333333333333,0.5,,,18.0,,0.3795,8.05,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.5,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2013,2013,False
