EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,Arc3FGA,FG3A,NonHeaveArc3FGA,Fouls,Loose Ball Fouls,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,Corner3FGA,SecondChanceCorner3FGA,FtPoints,Points,OpponentPoints,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,OffThreePtRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PtsAssisted2s,TwoPtAssists,AtRimAssists,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,OffArc3ReboundPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,NonShootingPenaltyNonTakeFouls,LongMidRangeFGM,PenaltyFG2M,LongMidRangeAssists,FTDefRebounds,Steals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,PenaltyFg2Pct,DefFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,DefThreePtRebounds,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,DefThreePtReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,BadPassOutOfBoundsTurnovers,BlockedAtRim,DefAtRimReboundPct,Fg2aBlocked,BadPassSteals,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3Assists,ShortMidRangeAssists,BadPassTurnovers,Clear Path Fouls,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceTurnovers,Offensive Fouls,OffShortMidRangeReboundPct,BlockingFouls,Defensive 3 Seconds Violations,Travels,Offensive Fouls Drawn,BlockedShortMidRange,ShortMidRangePctBlocked,SecondChanceArc3FGA,PtsUnassisted3s,FTOffRebounds,SelfOReb,Charge Fouls,Loose Ball Fouls Drawn,OffFTReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceArc3Frequency,PenaltyAtRimFGM,Charge Fouls Drawn,BlockingFoulsDrawn,PenaltyAtRimAccuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,3SecondViolations,Technical Free Throw Trips,Blocked3s,BlockedArc3,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
100656-100812-201048-201881-202662,1611661330,"Ruth Riley, Erika de Souza, Armintie Herrington, Angel McCoughtry, Jasmine Thomas","Riley, de Souza, Herrington, McCoughtry, Thomas",100656-100812-201048-201881-202662,ATL,36.0,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,80.0,22.0,14.0,22.0,14.0,1.0,1.0,0.51225,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2013,2013,True
100656-100812-201048-201881-203410,1611661330,"Ruth Riley, Erika de Souza, Armintie Herrington, Angel McCoughtry, Alex Bentley","Riley, de Souza, Herrington, McCoughtry, Bentley",100656-100812-201048-201881-203410,ATL,66.0,2,1.0,3.0,1.0,4.0,,1.0,,1.0,,1.0,87.27272727272727,15.666666666666666,19.0,6.666666666666667,19.0,,1.0,0.59205,23.8,-1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,0.25,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.59205,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2013,2013,True
100656-100812-201048-202662-203026,1611661330,"Ruth Riley, Erika de Souza, Armintie Herrington, Jasmine Thomas, Tiffany Hayes","Riley, de Souza, Herrington, Thomas, Hayes",100656-100812-201048-202662-203026,ATL,153.0,2,3.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,,0.25,65.88235294117648,16.25,29.333333333333332,16.0,29.333333333333332,0.25,0.75,0.5351375,23.9,4.0,3.0,,1.0,,,1.0,6.0,2.0,,,2.0,1.0,4.0,,1.0,3.0,,,,,,1.0,2.0,,4.0,3.0,,0.6,1.0,0.6666666666666666,,,0.5,,,,0.6666,0.3333333333333333,0.6666666666666666,0.75,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.625,1.0,0.75,0.6666666666666666,0.5,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.5,0.25,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.608025,0.2,0.25,7.466666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2013,2013,True
100656-100812-201048-203026-203410,1611661330,"Ruth Riley, Erika de Souza, Armintie Herrington, Tiffany Hayes, Alex Bentley","Riley, de Souza, Herrington, Hayes, Bentley",100656-100812-201048-203026-203410,ATL,98.0,1,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,,0.25,73.46938775510205,17.333333333333332,23.0,15.333333333333334,23.0,0.25,0.75,0.520825,24.2,3.0,,,1.0,,,1.0,5.0,2.0,,,2.0,,,1.0,1.0,3.0,,,,,1.0,2.0,1.0,,,,,0.625,1.0,,,1.0,0.5,,,,,0.4,,,2.0,2.0,1.0,1.0,,1.0,,,,2.0,3.0,,1.0,1.0,,,,,,,,,2.0,,4.0,,2.0,2.0,1.0,3.0,,,,,0.6666666666666666,1.0,0.5,1.0,,1.0,,1.0,,1.0,,0.5,1.0,1.0,0.25,,,,1.0,1.0,,,,,,0.25,0.3333333333333333,7.133333333333333,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2013,2013,True
100656-100973-202662-203026-203410,1611661330,"Ruth Riley, Le'coe Willingham, Jasmine Thomas, Tiffany Hayes, Alex Bentley","Riley, Willingham, Thomas, Hayes, Bentley",100656-100973-202662-203026-203410,ATL,4.0,1,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2013,2013,True
100656-100973-202662-203410-203451,1611661330,"Ruth Riley, Le'coe Willingham, Jasmine Thomas, Alex Bentley, Courtney Clements","Riley, Willingham, Thomas, Bentley, Clements",100656-100973-202662-203410-203451,ATL,181.0,1,3.0,7.0,7.0,14.0,,,,1.0,,,111.38121546961327,15.428571428571429,10.428571428571429,15.428571428571429,10.285714285714286,,0.3333333333333333,0.4080333333333333,,1.0,7.0,7.0,,,,2.0,6.0,5.0,,,,2.0,6.0,,,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,6.0,7.0,1.0,0.75,,0.75,0.5,,,,,,,,1.0,1.0,,1.0,,,1.0,2.0,,,,2.0,3.0,,,,3.0,,,,,,,,2.0,,4.0,,1.0,3.0,,6.0,,,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,0.5,,0.5,,,0.5,0.3333333333333333,,,0.6666666666666666,,,,,,0.3333333333333333,,,,0.4080333333333333,,,12.833333333333334,4.0,2.0,,,1.0,1.0,,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2013,2013,True
100656-201048-201881-202623-202662,1611661330,"Ruth Riley, Armintie Herrington, Angel McCoughtry, Aneika Morello, Jasmine Thomas","Riley, Herrington, McCoughtry, Morello, Thomas",100656-201048-201881-202623-202662,ATL,64.0,1,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,,1.0,67.5,25.0,19.5,25.0,19.5,1.0,1.0,0.46095,25.6,-4.0,1.0,2.0,,,,,,4.0,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.46095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2013,2013,True
100656-201048-201881-202623-203410,1611661330,"Ruth Riley, Armintie Herrington, Angel McCoughtry, Aneika Morello, Alex Bentley","Riley, Herrington, McCoughtry, Morello, Bentley",100656-201048-201881-202623-203410,ATL,89.0,1,1.0,3.0,3.0,6.0,1.0,1.0,1.0,,,0.5,97.07865168539325,8.666666666666666,21.0,8.666666666666666,19.666666666666668,0.5,0.5,0.300925,24.8,1.0,3.0,,,,,1.0,1.0,,,,,1.0,1.0,,,3.0,,,,,,1.0,2.0,,1.0,3.0,,0.16666666666666666,,0.16666666666666666,,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,2.0,3.0,1.0,1.0,,,,,,,,,,0.6666666666666666,,0.75,,1.0,0.5,,,,0.5,,,,,,,0.5,,,0.300925,0.3333333333333333,0.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2013,2013,True
100656-201048-202623-202662-203026,1611661330,"Ruth Riley, Armintie Herrington, Aneika Morello, Jasmine Thomas, Tiffany Hayes","Riley, Herrington, Morello, Thomas, Hayes",100656-201048-202623-202662-203026,ATL,237.0,1,4.0,7.0,8.0,15.0,1.0,1.0,1.0,,,0.2,91.13924050632912,19.428571428571427,12.625,19.428571428571427,11.75,0.2,0.8,0.5551999999999999,27.2,2.0,3.0,,,,,2.0,9.0,7.0,,,,2.0,5.0,,,4.0,,,1.0,,,3.0,2.0,1.0,5.0,3.0,1.0,0.75,,0.8333333333333334,,,,,,,,,0.5555555555555556,0.42857142857142855,2.0,3.0,,,,1.0,1.0,1.0,1.0,2.0,4.0,1.0,,,1.0,1.0,1.0,2.0,3.0,,1.0,1.0,2.0,1.0,5.0,,3.0,4.0,,9.0,1.0,1.0,1.0,1.0,0.5,,0.7,,0.75,0.75,,0.75,,,,0.6,0.6666666666666666,0.6666666666666666,0.2,1.0,1.0,1.0,,,,0.5,1.0,1.0,0.4322,,,4.525,2.0,1.0,1.0,,0.5,0.5,,0.5,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2013,2013,True
100656-201048-202623-202662-203410,1611661330,"Ruth Riley, Armintie Herrington, Aneika Morello, Jasmine Thomas, Alex Bentley","Riley, Herrington, Morello, Thomas, Bentley",100656-201048-202623-202662-203410,ATL,62.0,1,1.0,1.0,1.0,2.0,,,,,,,46.4516129032258,40.0,22.0,20.0,19.0,,1.0,0.6651,,2.0,,,,,,,2.0,,,,,,,,3.0,3.0,,,,,,,,,,,,0.25,,,,,1.0,,,,0.68795,,,,1.0,4.0,,2.0,,,,,,1.0,4.0,,,2.0,,,,,,,,,1.0,,2.0,3.0,,,,2.0,,,,,0.25,,0.25,,,,1.0,,,,,1.0,0.25,0.3333333333333333,,,,,1.0,,,,,,,,,1.6,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2013,2013,True
