EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyFG3A,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyArc3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,FTDefRebounds,LostBallSteals,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,LongMidRangePctBlocked,Corner3PctBlocked,Charge Fouls,HeaveMakes,StepOutOfBoundsTurnovers,Clear Path Fouls,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,3SecondViolations,3pt And 1 Free Throw Trips,BlockedCorner3,team_id,year,season,team_vs
1627669-1627672-1631263-201480-203825,1611661324,"Moriah Jefferson, Aerial Powers, Nikolina Milic, Sylvia Fowles, Kayla McBride","Jefferson, Powers, Milic, Fowles, McBride",1627669-1627672-1631263-201480-203825,MIN,738.0,4,12.0,-11.0,27.0,26.0,2.0,3.0,4.0,53.0,5.0,7.0,1.0,1.0,1.0,4.0,3.0,5.0,1.0,3.0,1.0,1.0,5.0,9.0,16.0,1.0,8.0,1.0,22.0,33.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,12.0,6.0,3.0,2.0,5.0,6.0,1.0,7.0,1.0,2.0,1.0,3.0,15.0,2.0,2.0,3.0,4.0,7.0,4.0,11.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,7.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,16.0,2.0,0.6666666666666666,0.75,1.0,0.125,1.0,0.125,0.5625,0.5,0.4375,0.8333333333333334,0.4583333333333333,1.0,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.2857142857142857,0.75,0.2857142857142857,0.7,0.2857142857142857,0.5,0.3333333333333333,0.2,0.5,0.6666666666666666,1.0,0.5,0.75,0.07142857142857142,103.41463414634146,1.0,14.444444444444445,13.384615384615385,14.037037037037036,13.038461538461538,0.2916666666666667,0.7142857142857143,0.7142857142857143,0.4,0.16666666666666666,0.25,0.25,1.0,0.20833333333333334,0.6,0.6,1.0,0.125,0.3333333333333333,0.3333333333333333,1.0,0.20833333333333334,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.625,0.4945854166666667,0.448,0.29715,0.041666666666666664,0.0625,0.2727272727272727,8.44375,24.6875,0.07407407407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2022,2022,True
1627671-1629524-1631091-1631263-201480,1611661324,"Rachel Banham, Bridget Carleton, Evina Westbrook, Nikolina Milic, Sylvia Fowles","Banham, Carleton, Westbrook, Milic, Fowles",1627671-1629524-1631091-1631263-201480,MIN,144.0,3,2.0,-5.0,6.0,8.0,1.0,7.0,,14.0,1.0,2.0,,,,,,,,1.0,,,1.0,1.0,2.0,,2.0,2.0,4.0,9.0,,,,,,,,2.0,,,,1.0,1.0,,1.0,,1.0,,,2.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,2.0,2.0,3.0,1.0,4.0,,2.0,,,,,4.0,1.0,1.0,1.0,,,,,0.5,,0.25,,0.3333333333333333,,0.5,1.0,1.0,,,,1.0,,,,,,,,1.0,,,140.0,,12.0,9.0,12.0,9.0,0.5,0.5,0.5,1.0,,,,,,,,,0.25,,,,0.25,,,,,,1.0,0.5882,,0.45945,0.3333333333333333,0.5,,1.7,23.4,0.16666666666666666,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2022,2022,True
1627669-1627672-1629491-201480-203825,1611661324,"Moriah Jefferson, Aerial Powers, Jessica Shepard, Sylvia Fowles, Kayla McBride","Jefferson, Powers, Shepard, Fowles, McBride",1627669-1627672-1629491-201480-203825,MIN,10433.0,17,174.0,16.0,328.0,337.0,29.0,52.0,38.0,665.0,52.0,74.0,7.0,10.0,33.0,75.0,17.0,49.0,7.0,15.0,2.0,2.0,83.0,102.0,198.0,38.0,98.0,60.0,378.0,362.0,13.0,24.0,5.0,15.0,6.0,47.0,9.0,126.0,78.0,102.0,14.0,82.0,63.0,34.0,97.0,6.0,34.0,18.0,11.0,228.0,21.0,26.0,29.0,71.0,107.0,47.0,154.0,9.0,36.0,23.0,26.0,7.0,21.0,23.0,4.0,5.0,1.0,49.0,4.0,39.0,91.0,65.0,6.0,76.0,5.0,33.0,14.0,6.0,14.0,6.0,331.0,29.0,0.6176470588235294,0.6631578947368421,0.8947368421052632,0.3877551020408163,0.3333333333333333,0.3917525773195876,0.5151515151515151,0.5416666666666666,0.5371621621621622,0.5256410256410257,0.5729483282674772,0.5595238095238095,0.3310810810810811,0.5306122448979592,0.6826923076923077,0.2708333333333333,0.7435897435897436,0.3559322033898305,0.6993006993006993,0.3032258064516129,0.22727272727272727,0.3333333333333333,0.35294117647058826,0.375,0.6,0.7551020408163265,0.6333333333333333,0.7741935483870968,0.06293706293706294,91.78568005367585,0.42857142857142855,15.445121951219512,15.925816023738873,14.71951219512195,15.326409495548962,0.25,0.7027027027027027,0.7536231884057971,0.6538461538461539,0.2533783783783784,0.44,0.4852941176470588,0.5454545454545454,0.16554054054054054,0.3469387755102041,0.3469387755102041,0.6470588235294118,0.05067567567567568,0.4666666666666667,0.4666666666666667,0.8571428571428571,0.28040540540540543,0.2564102564102564,0.7,0.05128205128205128,1.0,1.0,0.581081081081081,0.5032067796610169,0.5132840909090909,0.4930710526315789,0.10185185185185185,0.14601769911504425,0.12433862433862433,8.344444444444445,24.860204081632656,0.08841463414634146,8.0,11.0,,,,0.4,4.0,5.0,3.0,3.0,31.0,3.0,13.0,3.0,6.0,6.0,11.0,41.0,12.0,1.0,31.0,12.0,28.0,7.0,13.0,6.0,4.0,8.0,1.0,5.0,1.0,5.0,1.0,7.0,1.0,41.0,10.0,5.0,0.5454545454545454,0.6666666666666666,0.75,0.7884615384615384,0.06060606060606061,0.06756756756756757,0.09333333333333334,1.0,0.21875,0.625,0.37349397590361444,0.37349397590361444,0.9032258064516129,0.14285714285714285,0.3333333333333333,0.23076923076923078,1.0,0.25,0.8,0.15,1.0,0.375,0.3780487804878049,0.10846560846560846,,,,,,,,,,,,,,,,1611661324,2022,2022,True
1629491-1629524-1631263-203389-203824,1611661324,"Jessica Shepard, Bridget Carleton, Nikolina Milic, Yvonne Turner, Odyssey Sims","Shepard, Carleton, Milic, Turner, Sims",1629491-1629524-1631263-203389-203824,MIN,212.0,2,4.0,8.0,9.0,7.0,6.0,3.0,1.0,16.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,,,,,1.0,2.0,5.0,1.0,1.0,3.0,10.0,2.0,1.0,1.0,,,,2.0,4.0,4.0,,3.0,,1.0,2.0,1.0,3.0,,1.0,,1.0,7.0,,1.0,,,,1.0,1.0,,2.0,2.0,1.0,,1.0,1.0,,,,2.0,,,1.0,4.0,,3.0,1.0,1.0,1.0,1.0,1.0,,8.0,6.0,1.0,1.0,1.0,1.0,,1.0,0.4,1.0,0.5833333333333334,1.0,0.7142857142857143,1.0,0.16666666666666666,0.5,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,108.67924528301887,,13.88888888888889,12.428571428571429,13.444444444444445,9.857142857142858,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,,,,0.5,0.3333333333333333,0.5,1.0,,,,,0.16666666666666666,1.0,1.0,,,,0.3333333333333333,0.404375,0.5216,0.37185,0.16666666666666666,0.2,0.2,11.8,26.9,0.6666666666666666,,,,,,,1.0,1.0,,,1.0,,,,1.0,,2.0,4.0,,,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,,4.0,,1.0,,0.25,0.25,0.4,0.4,,1.0,,0.5,,1.0,1.0,1.0,1.0,,,,0.25,1.0,,,,1.0,0.4,0.3333333333333333,,,,,,,,,,,,,,,1611661324,2022,2022,True
1627671-1629524-1631046-1631091-1631263,1611661324,"Rachel Banham, Bridget Carleton, Hannah Sjerven, Evina Westbrook, Nikolina Milic","Banham, Carleton, Sjerven, Westbrook, Milic",1627671-1629524-1631046-1631091-1631263,MIN,189.0,1,3.0,-4.0,6.0,6.0,,2.0,2.0,12.0,1.0,2.0,1.0,1.0,,2.0,,,,,,,,1.0,4.0,,,,2.0,6.0,1.0,1.0,,,,2.0,,,2.0,,2.0,,,,,,,,,,,2.0,,2.0,3.0,2.0,5.0,,,,1.0,1.0,,2.0,,1.0,,3.0,1.0,1.0,4.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.25,1.0,0.25,1.0,0.25,1.0,,0.3333333333333333,1.0,0.6666666666666666,,,1.0,0.6666666666666666,1.0,0.5,,,1.0,1.0,,,,91.42857142857143,1.0,16.0,15.5,15.666666666666666,15.5,0.5,0.5,1.0,,0.5,,,,,,,,,,,,,1.0,1.0,,,,0.5,0.549475,0.703,,,,1.0,4.55,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2022,2022,True
1629491-1629524-201480-201881-203389,1611661324,"Jessica Shepard, Bridget Carleton, Sylvia Fowles, Angel McCoughtry, Yvonne Turner","Shepard, Carleton, Fowles, McCoughtry, Turner",1629491-1629524-201480-201881-203389,MIN,82.0,1,1.0,5.0,2.0,2.0,,,1.0,4.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,2.0,1.0,1.0,,5.0,,1.0,1.0,,,,2.0,,2.0,,,,1.0,1.0,,1.0,,1.0,,,2.0,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,1.0,,1.0,,1.0,0.5,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.3333333333333333,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,70.2439024390244,,25.5,15.5,23.5,15.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,0.3333333333333333,1.0,1.0,,,,0.6666666666666666,0.5135500000000001,0.5917,,,,0.4,4.35,25.9,,,,,,,,,,,,1.0,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1611661324,2022,2022,True
1629491-1629524-203389-203824-203831,1611661324,"Jessica Shepard, Bridget Carleton, Yvonne Turner, Odyssey Sims, Natalie Achonwa","Shepard, Carleton, Turner, Sims, Achonwa",1629491-1629524-203389-203824-203831,MIN,486.0,2,8.0,-7.0,15.0,17.0,9.0,4.0,1.0,32.0,2.0,3.0,1.0,1.0,,2.0,1.0,3.0,,,,,2.0,3.0,8.0,2.0,2.0,4.0,16.0,23.0,1.0,1.0,,,,2.0,5.0,6.0,,3.0,,2.0,3.0,1.0,4.0,,2.0,,1.0,9.0,,1.0,2.0,4.0,6.0,1.0,7.0,,1.0,1.0,3.0,,3.0,1.0,,,1.0,4.0,,2.0,3.0,4.0,,4.0,,,2.0,1.0,2.0,2.0,14.0,9.0,1.0,1.0,0.5,1.0,,1.0,0.375,1.0,0.6,1.0,0.6666666666666666,1.0,0.2,0.75,1.0,0.2,0.6666666666666666,,0.8571428571428571,0.2,,,,,1.0,1.0,1.0,0.6666666666666666,,94.81481481481482,1.0,16.666666666666668,13.882352941176471,16.533333333333335,13.470588235294118,0.3,0.6666666666666666,0.6666666666666666,1.0,0.2,,,,0.3,0.3333333333333333,0.3333333333333333,1.0,,,,,0.2,1.0,1.0,,,,0.5,0.49273,0.756,0.502,,,0.125,10.0,24.55,0.6,2.0,2.0,,,,0.2857142857142857,2.0,2.0,,,2.0,,,2.0,3.0,2.0,4.0,16.0,3.0,,2.0,,1.0,,,1.0,,,,,,2.0,,1.0,,16.0,1.0,1.0,1.0,0.6,0.8571428571428571,0.8888888888888888,,,,,0.5,,1.0,1.0,0.5,1.0,,,,0.2857142857142857,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1611661324,2022,2022,True
1627672-1629491-201480-203389-203824,1611661324,"Aerial Powers, Jessica Shepard, Sylvia Fowles, Yvonne Turner, Odyssey Sims","Powers, Shepard, Fowles, Turner, Sims",1627672-1629491-201480-203389-203824,MIN,370.0,2,6.0,-2.0,13.0,14.0,2.0,,1.0,27.0,2.0,3.0,,,1.0,2.0,1.0,1.0,,2.0,,,2.0,4.0,6.0,2.0,4.0,2.0,16.0,18.0,,,1.0,1.0,,3.0,,4.0,4.0,6.0,,2.0,2.0,2.0,4.0,,1.0,1.0,,10.0,,1.0,1.0,3.0,5.0,1.0,6.0,,1.0,1.0,1.0,,1.0,2.0,,,1.0,3.0,,4.0,4.0,4.0,,2.0,,1.0,,,,,13.0,2.0,0.5,0.5,1.0,0.5,1.0,0.5,0.6666666666666666,,0.7,1.5,0.7272727272727273,1.5,0.4,0.3333333333333333,0.42857142857142855,0.5,1.0,,0.5,0.25,1.0,,,,0.3333333333333333,0.5,0.5,1.0,,105.08108108108108,,14.538461538461538,12.928571428571429,14.0,12.428571428571429,0.3,0.6666666666666666,0.6666666666666666,0.5,0.2,0.5,1.0,1.0,0.1,1.0,1.0,,0.2,,,,0.2,,,,,,0.7,0.559155,0.53625,0.538275,0.09090909090909091,0.14285714285714285,0.1875,5.466666666666666,23.45,0.15384615384615385,,2.0,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,2.0,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,0.16666666666666666,,0.5,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1611661324,2022,2022,True
1627671-1629491-1629524-1631263-203824,1611661324,"Rachel Banham, Jessica Shepard, Bridget Carleton, Nikolina Milic, Odyssey Sims","Banham, Shepard, Carleton, Milic, Sims",1627671-1629491-1629524-1631263-203824,MIN,283.0,1,5.0,1.0,9.0,10.0,,,,19.0,1.0,2.0,,,,,1.0,1.0,,,,,3.0,2.0,3.0,2.0,3.0,2.0,12.0,11.0,,,,,,,,2.0,2.0,6.0,,3.0,1.0,2.0,3.0,,1.0,,,8.0,,,1.0,3.0,4.0,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,12.0,,0.5,0.5,1.0,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,0.8333333333333334,,0.8571428571428571,,0.5,0.5,0.6,,1.0,,0.6666666666666666,,,,,,0.5,,1.0,,,96.67844522968197,1.0,14.555555555555555,15.2,14.555555555555555,15.1,0.3333333333333333,0.5,0.5,1.0,,,,,0.16666666666666666,1.0,1.0,,,,,,0.5,,,,,,0.8333333333333334,0.6083666666666666,,,0.14285714285714285,0.25,,6.3999999999999995,24.566666666666666,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,1611661324,2022,2022,True
1629491-1629524-201881-203824-203831,1611661324,"Jessica Shepard, Bridget Carleton, Angel McCoughtry, Odyssey Sims, Natalie Achonwa","Shepard, Carleton, McCoughtry, Sims, Achonwa",1629491-1629524-201881-203824-203831,MIN,180.0,1,3.0,2.0,6.0,6.0,3.0,6.0,3.0,12.0,1.0,4.0,1.0,3.0,,,,,1.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,5.0,,8.0,6.0,1.0,3.0,1.0,1.0,,5.0,1.0,,2.0,6.0,2.0,2.0,,2.0,2.0,1.0,,,,6.0,2.0,2.0,,,,4.0,4.0,1.0,2.0,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,3.0,3.0,,,1.0,0.4,1.0,0.4,0.25,0.3333333333333333,0.4444444444444444,0.625,0.4444444444444444,0.625,0.5555555555555556,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,1.0,0.5,,,,,0.2,96.0,,18.166666666666668,11.833333333333334,16.166666666666668,11.666666666666666,0.4444444444444444,0.25,0.3333333333333333,,,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.2222222222222222,0.75,0.3333333333333333,0.25,1.0,1.0,1.0,0.5912166666666666,0.547975,0.6465166666666667,,,0.625,2.95,24.4,0.5,,2.0,,,,,,1.0,1.0,2.0,1.0,,,,,1.0,,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,3.0,1.0,,0.5,,0.5,0.5,0.25,0.25,,,,,0.5,0.5,1.0,,,,,0.3333333333333333,,0.6666666666666666,0.5,,0.5,0.375,,,,,,,,,,,,,,,,1611661324,2022,2022,True
