EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PtsAssisted3s,ThreePtAssists,Arc3Assists,FTDefRebounds,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted3sPct,DefFTReboundPct,DefLongMidRangeReboundPct,Arc3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,LongMidRangeFGM,Corner3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,Fg3aBlocked,DefThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,DeadBallTurnovers,LostBallTurnovers,Travels,Loose Ball Fouls,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,OffThreePtRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedAtRim,RecoveredBlocks,SecondChanceFg3Pct,PenaltyFg3Pct,OffThreePtReboundPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFouls,DefCorner3ReboundPct,LongMidRangeAssists,Offensive Fouls Drawn,LongMidRangePctAssisted,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsPutbacks,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,3SecondViolations,Defensive 3 Seconds Violations,OffArc3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1628278-1628878-1628899-1630957-203399,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Myisha Hines-Allen, Rui Machida, Elena Delle Donne","Walker-Kimbrough, Atkins, Hines-Allen, Machida, Delle Donne",1628278-1628878-1628899-1630957-203399,WAS,148.0,1,2.0,3.0,3.0,3.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,7.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,0.4,0.5,0.5833333333333334,0.5,0.5833333333333334,0.5,0.16666666666666666,0.2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58.37837837837838,31.0,18.333333333333332,25.666666666666668,18.333333333333332,0.3333333333333333,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,1.0,1.0,0.5,0.5,1.0,0.43701666666666666,0.41245,0.2857142857142857,9.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2022,2022,True
1628278-1628878-1628899-1631022-204333,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Myisha Hines-Allen, Shakira Austin, Natasha Cloud","Walker-Kimbrough, Atkins, Hines-Allen, Austin, Cloud",1628278-1628878-1628899-1631022-204333,WAS,48.0,1,1.0,5.0,1.0,2.0,,,3.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,,,2.0,,1.0,1.0,,1.0,2.0,1.0,,5.0,,1.0,2.0,,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,,1.25,,1.25,,0.5,,,1.0,,1.0,,,,,90.0,20.0,14.0,20.0,14.0,0.5,1.0,1.0,1.0,,,,,,0.5,1.0,1.0,,1.0,1.0,0.51765,,,3.0,25.4,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2022,2022,True
1628278-1628878-1628899-203399-204333,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Myisha Hines-Allen, Elena Delle Donne, Natasha Cloud","Walker-Kimbrough, Atkins, Hines-Allen, Delle Donne, Cloud",1628278-1628878-1628899-203399-204333,WAS,373.0,1,6.0,-5.0,12.0,12.0,,1.0,24.0,2.0,2.0,,2.0,3.0,4.0,,,5.0,9.0,,1.0,12.0,17.0,,1.0,,6.0,,,,1.0,3.0,3.0,1.0,2.0,6.0,1.0,3.0,4.0,1.0,5.0,2.0,12.0,0.6,0.6,,,0.5555555555555556,,0.5,,0.5454545454545454,,0.1,0.1111111111111111,,0.5,0.3333333333333333,0.5714285714285714,0.25,,,1.0,92.65415549597856,12.583333333333334,18.5,12.5,17.5,0.2,1.0,1.0,0.5,0.3,0.6666666666666666,1.0,1.0,0.4,,,,,0.3,,0.41444000000000003,0.1932,,9.677777777777777,23.6,,,,,2.0,,,,,,,,,4.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.25,0.25,0.1,0.30670000000000003,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2022,2022,True
1628278-1628878-1628899-204322-204333,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Myisha Hines-Allen, Elizabeth Williams, Natasha Cloud","Walker-Kimbrough, Atkins, Hines-Allen, Williams, Cloud",1628278-1628878-1628899-204322-204333,WAS,95.0,1,2.0,-2.0,2.0,2.0,,1.0,4.0,,2.0,,,,,,1.0,,2.0,,1.0,,2.0,,,,,,1.0,,1.0,,,,,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,0.3333333333333333,0.5,0.5,,0.5,1.0,0.3333333333333333,0.5,,,60.631578947368425,32.0,15.5,26.5,15.5,0.6666666666666666,,,,,,,,,0.3333333333333333,,,,1.0,,0.4973166666666667,0.41235,,2.8,26.5,,,,,2.0,,1.0,,,,,0.25,0.3333333333333333,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2022,2022,True
1628278-1628878-1630957-1631022-203399,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Rui Machida, Shakira Austin, Elena Delle Donne","Walker-Kimbrough, Atkins, Machida, Austin, Delle Donne",1628278-1628878-1630957-1631022-203399,WAS,58.0,1,1.0,2.0,1.0,2.0,,,3.0,,,,1.0,1.0,,,,1.0,1.0,,,2.0,,,,,2.0,,,,,1.0,1.0,,1.0,2.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,74.48275862068965,6.0,26.0,6.0,26.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,0.427,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2022,2022,True
1628278-1628878-1630957-203399-204322,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Rui Machida, Elena Delle Donne, Elizabeth Williams","Walker-Kimbrough, Atkins, Machida, Delle Donne, Williams",1628278-1628878-1630957-203399-204322,WAS,164.0,1,3.0,-5.0,6.0,5.0,,,11.0,1.0,1.0,,,2.0,,,,1.0,3.0,,,4.0,9.0,,,,,,,,,,,,,,,1.0,2.0,,2.0,1.0,4.0,,,,,0.3333333333333333,,0.3333333333333333,,0.5,,,,,0.3333333333333333,,0.5,,,,,96.58536585365853,12.666666666666666,17.6,12.666666666666666,15.2,0.3333333333333333,1.0,1.0,,0.6666666666666666,,,,,,,,,0.3333333333333333,,0.47383333333333333,,,4.366666666666666,,,,,,2.0,,1.0,,,0.5,,0.25,0.25,2.0,,,2.0,1.0,1.0,,2.0,2.0,,1.0,,,1.0,,2.0,1.0,,2.0,,,,,2.0,2.0,,1.0,1.0,1.0,,,,0.5,1.0,,,1.0,,,,0.623,0.5,0.3333333333333333,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2022,2022,True
1628278-1628878-1631022-203399-204333,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Shakira Austin, Elena Delle Donne, Natasha Cloud","Walker-Kimbrough, Atkins, Austin, Delle Donne, Cloud",1628278-1628878-1631022-203399-204333,WAS,765.0,2,13.0,-2.0,23.0,24.0,,4.0,47.0,3.0,4.0,,2.0,5.0,,4.0,8.0,5.0,9.0,4.0,10.0,27.0,29.0,1.0,1.0,11.0,8.0,6.0,8.0,4.0,,4.0,6.0,2.0,2.0,14.0,2.0,5.0,8.0,3.0,11.0,5.0,16.0,0.8,0.8,0.4,0.4,0.5555555555555556,1.0,0.5789473684210527,1.3333333333333333,0.6428571428571429,1.375,0.5263157894736842,,,0.625,0.5,0.7272727272727273,0.3333333333333333,1.0,,1.0,88.47058823529412,18.347826086956523,14.291666666666666,17.043478260869566,14.041666666666666,0.21052631578947367,0.75,0.75,0.6666666666666666,0.2631578947368421,0.4,0.4,1.0,,0.42105263157894735,0.5,0.5,,0.7368421052631579,0.5,0.48851578947368424,0.45198333333333335,0.4074074074074074,7.022222222222222,25.53,6.0,2.0,2.0,,5.0,,1.0,0.5,,,0.5,0.09523809523809523,0.1,3.0,,2.0,5.0,1.0,1.0,,5.0,2.0,,3.0,3.0,2.0,3.0,2.0,6.0,,1.0,3.0,,2.0,1.0,3.0,5.0,3.0,,1.0,0.8333333333333334,0.8333333333333334,,,,0.5,1.0,0.3333333333333333,,1.0,,,0.10526315789473684,0.5280333333333334,0.18518518518518517,0.13043478260869565,2.0,2.0,0.6666666666666666,1.0,1.0,3.0,1.0,,,0.3333333333333333,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.2,1.0,0.1111111111111111,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,1611661322,2022,2022,True
1628278-1628878-203399-204322-204333,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Elena Delle Donne, Elizabeth Williams, Natasha Cloud","Walker-Kimbrough, Atkins, Delle Donne, Williams, Cloud",1628278-1628878-203399-204322-204333,WAS,16.0,1,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,16.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2022,2022,True
1628278-1628899-1630957-202252-203399,1611661322,"Shatori Walker-Kimbrough, Myisha Hines-Allen, Rui Machida, Alysha Clark, Elena Delle Donne","Walker-Kimbrough, Hines-Allen, Machida, Clark, Delle Donne",1628278-1628899-1630957-202252-203399,WAS,135.0,1,2.0,1.0,3.0,4.0,,,7.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,,,,2.0,,1.0,1.0,,1.0,2.0,,1.0,5.0,,1.0,1.0,,1.0,,5.0,1.0,1.0,1.0,1.0,1.0,,1.25,,1.25,,0.5,,,1.0,,0.5,,,,,74.66666666666667,14.666666666666666,22.75,14.666666666666666,22.25,,,,,0.5,1.0,1.0,1.0,,0.5,1.0,1.0,,0.5,1.0,0.526175,,,4.7,23.5,3.0,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,0.3333333333333333,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2022,2022,True
1628278-1628899-1630957-202252-204322,1611661322,"Shatori Walker-Kimbrough, Myisha Hines-Allen, Rui Machida, Alysha Clark, Elizabeth Williams","Walker-Kimbrough, Hines-Allen, Machida, Clark, Williams",1628278-1628899-1630957-202252-204322,WAS,54.0,1,1.0,2.0,3.0,2.0,,,5.0,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,0.5,,,,,1.0,,1.0,,,,,133.33333333333334,9.666666666666666,12.5,9.666666666666666,12.5,,,,,,,,,1.0,,,,,,,0.4174,,,15.8,,,,,,2.0,,1.0,,,,,0.5,0.5,2.0,,,2.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,2.0,2.0,,,,0.5,,,,,,,1.0,,,,,0.4174,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2022,2022,True
