EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyFG3M,LostBallSteals,LostBallTurnovers,PenaltyFg3Pct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BlockedLongMidRange,PtsUnassisted3s,HeaveAttempts,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,BlockedShortMidRange,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,BlockedCorner3,Defensive 3 Seconds Violations,3SecondViolations,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
100940-1628890-1629488-202250-203035,1611661317,"Diana Taurasi, Diamond DeShields, Brianna Turner, Tina Charles, Shey Peddy","Taurasi, DeShields, Turner, Charles, Peddy",100940-1628890-1629488-202250-203035,PHO,2776.0,7,46.0,12.0,90.0,90.0,9.0,19.0,11.0,180.0,25.0,32.0,4.0,4.0,7.0,17.0,3.0,10.0,1.0,3.0,7.0,22.0,1.0,3.0,1.0,35.0,59.0,8.0,25.0,18.0,112.0,100.0,5.0,7.0,1.0,3.0,2.0,15.0,2.0,5.0,1.0,8.0,12.0,48.0,22.0,24.0,2.0,22.0,7.0,5.0,24.0,8.0,32.0,7.0,1.0,18.0,4.0,2.0,72.0,4.0,7.0,1.0,21.0,16.0,2.0,39.0,12.0,51.0,1.0,6.0,6.0,2.0,1.0,2.0,7.0,1.0,9.0,1.0,1.0,9.0,18.0,2.0,22.0,3.0,1.0,22.0,2.0,1.0,7.0,1.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,97.0,12.0,9.0,1.0,3.0,0.6857142857142857,0.7058823529411765,1.0,0.32,0.3333333333333333,0.32,0.5932203389830508,0.7142857142857143,0.4,0.5595238095238095,0.65,0.3333333333333333,0.5967741935483871,0.6818181818181818,0.6,0.2976190476190476,0.0847457627118644,0.0625,0.17647058823529413,0.2222222222222222,1.0,0.25,0.64,0.30434782608695654,0.875,0.23529411764705882,0.7551020408163265,0.275,0.42857142857142855,0.3,0.16666666666666666,0.2,0.5,0.4166666666666667,0.7777777777777778,1.0,0.8695652173913043,1.0,0.02857142857142857,93.37175792507205,0.5,15.522222222222222,15.322222222222223,14.666666666666666,14.977777777777778,0.38095238095238093,0.78125,0.8333333333333334,0.72,0.20238095238095238,0.4117647058823529,0.5,0.5714285714285714,0.11904761904761904,0.3,0.3,0.6666666666666666,0.03571428571428571,0.3333333333333333,0.3333333333333333,1.0,0.2619047619047619,0.3181818181818182,0.3181818181818182,1.0,0.4,1.0,0.5,0.3,0.3333333333333333,1.0,0.16666666666666666,0.6785714285714286,0.3181818181818182,0.5183952380952381,0.5004785714285714,0.31650833333333334,0.08888888888888889,0.109375,0.038461538461538464,0.13392857142857142,0.10714285714285714,6.422033898305084,25.176,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2022,2022,True
1628890-1629484-1629485-1631068-203035,1611661317,"Diamond DeShields, Megan Gustafson, Kristine Anigwe, Sam Thomas, Shey Peddy","DeShields, Gustafson, Anigwe, Thomas, Peddy",1628890-1629484-1629485-1631068-203035,PHO,55.0,1,1.0,1.0,2.0,2.0,,,,4.0,,,,,,,,,,,1.0,2.0,,,,,,1.0,2.0,,3.0,2.0,,,,,,,,,,,,,,3.0,,2.0,1.0,,,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,0.5,,0.5,,,,0.75,,,0.75,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,104.72727272727273,,12.0,15.5,12.0,15.0,,,,,,,,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,1.0,0.5,0.4404,,,,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2022,2022,True
1628890-1629482-202250-203035-203400,1611661317,"Diamond DeShields, Sophie Cunningham, Tina Charles, Shey Peddy, Skylar Diggins-Smith","DeShields, Cunningham, Charles, Peddy, Diggins-Smith",1628890-1629482-202250-203035-203400,PHO,271.0,1,5.0,-1.0,10.0,10.0,2.0,3.0,,20.0,2.0,2.0,,,,,,2.0,,,1.0,2.0,,,1.0,2.0,4.0,1.0,2.0,2.0,9.0,10.0,,,,,,,1.0,1.0,1.0,,5.0,4.0,,3.0,,2.0,1.0,,2.0,1.0,3.0,1.0,,2.0,,,7.0,,,,,3.0,,3.0,,3.0,,3.0,2.0,1.0,,,2.0,1.0,3.0,,,,1.0,1.0,2.0,,,2.0,,,1.0,,,1.0,,,1.0,1.0,,9.0,5.0,2.0,,,1.0,1.0,1.0,0.5,,0.5,0.5,,1.0,0.5833333333333334,,1.25,0.6428571428571429,,1.25,0.3333333333333333,,,,0.3333333333333333,,,0.75,,,,0.75,,,,,,,0.5,1.0,1.0,,,,106.2730627306273,,13.9,13.2,13.9,12.8,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,0.5,0.5,1.0,,,,,,,0.5,0.6666666666666666,0.5,0.560475,,0.63865,0.14285714285714285,0.2,,,0.5555555555555556,10.375,24.55,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2022,2022,True
1628287-1629484-1629485-203035-203400,1611661317,"Jennie Simms, Megan Gustafson, Kristine Anigwe, Shey Peddy, Skylar Diggins-Smith","Simms, Gustafson, Anigwe, Peddy, Diggins-Smith",1628287-1629484-1629485-203035-203400,PHO,131.0,1,2.0,,5.0,5.0,5.0,5.0,1.0,10.0,,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,3.0,1.0,1.0,1.0,6.0,6.0,,,1.0,1.0,,3.0,1.0,3.0,1.0,1.0,6.0,2.0,,3.0,,,,1.0,1.0,1.0,2.0,,1.0,,1.0,,5.0,,1.0,,1.0,,,1.0,1.0,2.0,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,,,2.0,,,,,1.0,,,,,,,3.0,6.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.625,1.5,0.625,0.6,1.5,0.6,0.25,0.3333333333333333,0.5,,1.0,,,,0.5,1.0,,0.5,0.5,0.5,,,,,,,,1.0,,,109.92366412213741,,13.2,13.0,12.8,12.6,0.5,,,,0.25,1.0,1.0,1.0,,,,,0.25,1.0,1.0,1.0,,,,,,,,,,,,0.75,,0.6159625,0.57885,0.6159625,,,,0.5,1.0,4.066666666666666,24.0,1.0,,2.0,,1.0,1.0,1.0,1.0,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,1611661317,2022,2022,True
1628890-1629482-1629485-202250-203035,1611661317,"Diamond DeShields, Sophie Cunningham, Kristine Anigwe, Tina Charles, Shey Peddy","DeShields, Cunningham, Anigwe, Charles, Peddy",1628890-1629482-1629485-202250-203035,PHO,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2022,2022,True
100940-1628890-1629482-202250-203035,1611661317,"Diana Taurasi, Diamond DeShields, Sophie Cunningham, Tina Charles, Shey Peddy","Taurasi, DeShields, Cunningham, Charles, Peddy",100940-1628890-1629482-202250-203035,PHO,207.0,1,3.0,8.0,7.0,6.0,5.0,,2.0,13.0,1.0,3.0,,1.0,1.0,3.0,,,1.0,1.0,,,,,,2.0,6.0,1.0,1.0,4.0,11.0,3.0,,1.0,,,2.0,2.0,1.0,4.0,1.0,4.0,9.0,2.0,2.0,3.0,,,,1.0,1.0,1.0,2.0,,1.0,1.0,,,5.0,,2.0,,1.0,2.0,,3.0,2.0,5.0,,1.0,1.0,,,,,,,,,,1.0,,4.0,1.0,,4.0,,,1.0,,1.0,1.0,,,,1.0,1.0,9.0,9.0,5.0,,1.0,0.5,0.5,1.0,1.0,,1.0,0.3333333333333333,,0.25,0.5,,0.5,0.6111111111111112,0.5,0.6428571428571429,0.14285714285714285,0.16666666666666666,0.3333333333333333,,,,,1.0,0.5,1.0,,1.0,0.5,0.5,0.5,,,,,1.0,1.0,1.0,,,90.43478260869564,1.0,14.0,18.166666666666668,13.285714285714286,18.166666666666668,0.42857142857142855,0.3333333333333333,0.5,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,,,,0.14285714285714285,1.0,1.0,1.0,,,,,1.0,,,,,,,0.5714285714285714,,0.5279,0.5205,0.59502,0.125,0.14285714285714285,,0.18181818181818182,0.8181818181818182,6.6000000000000005,23.3,0.7142857142857143,1.0,3.0,,1.0,,,1.0,0.6,0.3333333333333333,,,,1.0,1.0,,,,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,1611661317,2022,2022,True
100940-1628890-1629488-202250-203400,1611661317,"Diana Taurasi, Diamond DeShields, Brianna Turner, Tina Charles, Skylar Diggins-Smith","Taurasi, DeShields, Turner, Charles, Diggins-Smith",100940-1628890-1629488-202250-203400,PHO,9916.0,13,165.0,48.0,329.0,323.0,37.0,19.0,34.0,652.0,46.0,76.0,8.0,13.0,33.0,85.0,15.0,41.0,8.0,13.0,29.0,81.0,5.0,10.0,9.0,94.0,202.0,37.0,94.0,53.0,352.0,304.0,10.0,21.0,5.0,11.0,5.0,40.0,10.0,22.0,10.0,8.0,37.0,116.0,72.0,84.0,12.0,80.0,29.0,21.0,58.0,28.0,86.0,20.0,8.0,26.0,22.0,10.0,200.0,12.0,24.0,1.0,64.0,59.0,6.0,129.0,37.0,166.0,2.0,33.0,22.0,25.0,6.0,18.0,20.0,1.0,45.0,6.0,3.0,28.0,65.0,3.0,73.0,1.0,2.0,68.0,6.0,3.0,29.0,1.0,5.0,11.0,,,1.0,11.0,7.0,312.0,35.0,35.0,4.0,3.0,0.6170212765957447,0.6590909090909091,0.7567567567567568,0.39361702127659576,0.45454545454545453,0.3978494623655914,0.46534653465346537,0.47619047619047616,0.45454545454545453,0.5050675675675675,0.546875,0.453125,0.5384615384615384,0.5714285714285714,0.5,0.31756756756756754,0.10396039603960396,0.10526315789473684,0.11764705882352941,0.5555555555555556,1.0,0.2,0.7375,0.22429906542056074,0.8888888888888888,0.2222222222222222,0.8092105263157895,0.2236024844720497,0.4,0.1568627450980392,0.15384615384615385,0.24489795918367346,,0.6111111111111112,0.7,0.9090909090909091,0.9107142857142857,0.8125,0.014184397163120567,94.68334005647438,0.6363636363636364,15.604863221884498,14.804953560371517,15.082066869300911,14.458204334365325,0.25675675675675674,0.6052631578947368,0.6764705882352942,0.5652173913043478,0.28716216216216217,0.38823529411764707,0.44,0.6666666666666666,0.13851351351351351,0.36585365853658536,0.39473684210526316,0.6666666666666666,0.04391891891891892,0.6153846153846154,0.6153846153846154,1.0,0.27364864864864863,0.35802469135802467,0.35802469135802467,0.6896551724137931,0.40625,0.6153846153846154,0.25,0.3125,0.5,1.0,0.28125,0.5743243243243243,0.3625,0.502881186440678,0.5528204545454546,0.4866451612903226,0.09090909090909091,0.1288888888888889,,0.11363636363636363,0.10511363636363637,7.65940594059406,25.045744680851065,0.11246200607902736,8.0,9.0,2.0,3.0,11.0,7.0,0.3,0.28125,0.8888888888888888,0.2222222222222222,,1.0,1.0,1.0,0.03125,,,0.03125,1.0,1.0,27.0,1.0,3.0,1.0,1.0,4.0,3.0,9.0,0.07317073170731707,,,,,,,,,1611661317,2022,2022,True
100940-1628287-1629484-202250-203400,1611661317,"Diana Taurasi, Jennie Simms, Megan Gustafson, Tina Charles, Skylar Diggins-Smith","Taurasi, Simms, Gustafson, Charles, Diggins-Smith",100940-1628287-1629484-202250-203400,PHO,100.0,1,2.0,-1.0,2.0,2.0,,,,4.0,,1.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,3.0,4.0,,,,,,,,,,,,,,3.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,3.0,,,,,,,1.0,1.0,,1.0,,,,0.75,,,0.75,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,57.599999999999994,,17.5,32.5,17.5,27.5,0.5,,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,1.0,1.0,0.623825,,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2022,2022,True
100940-1629482-1629484-1629488-203035,1611661317,"Diana Taurasi, Sophie Cunningham, Megan Gustafson, Brianna Turner, Shey Peddy","Taurasi, Cunningham, Gustafson, Turner, Peddy",100940-1629482-1629484-1629488-203035,PHO,143.0,1,2.0,4.0,4.0,5.0,4.0,5.0,1.0,9.0,2.0,2.0,1.0,1.0,,,,,,,,2.0,,1.0,2.0,2.0,2.0,,2.0,3.0,7.0,3.0,1.0,1.0,,1.0,,2.0,2.0,2.0,2.0,3.0,7.0,,4.0,,,2.0,,,,,,,,,,,,2.0,,,2.0,,,2.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,1.0,2.0,,2.0,,,4.0,,,,,2.0,,,,,,,5.0,7.0,4.0,,2.0,,,,,,,1.0,1.0,1.0,0.5,0.5,0.5,0.5833333333333334,0.5,0.5833333333333334,0.5,,,,,,,,,1.0,1.0,0.5,1.0,,,,1.0,,,,,1.0,,0.5,90.62937062937063,,14.75,16.8,13.0,13.6,0.5,1.0,1.0,,,,,,,,,,,,,,0.5,,,,0.5,1.0,,0.5,,,0.5,1.0,,0.6292,,0.6292,,,,0.2857142857142857,1.0,1.7,24.85,1.0,2.0,2.0,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2022,2022,True
1628890-1629484-1629488-1631068-203400,1611661317,"Diamond DeShields, Megan Gustafson, Brianna Turner, Sam Thomas, Skylar Diggins-Smith","DeShields, Gustafson, Turner, Thomas, Diggins-Smith",1628890-1629484-1629488-1631068-203400,PHO,169.0,2,3.0,-1.0,7.0,6.0,,6.0,,13.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,3.0,3.0,,2.0,,6.0,7.0,,,,,,,,,,,,4.0,2.0,,,1.0,,,2.0,,2.0,,,,1.0,1.0,4.0,,,,1.0,,1.0,2.0,,2.0,,,,1.0,,,1.0,,2.0,,,1.0,2.0,,,,,,,,,,,1.0,,,1.0,1.0,,6.0,,,1.0,,0.6666666666666666,0.6666666666666666,,,,,1.0,,,0.6,,,0.6,,,0.4,,,,0.5,1.0,,,,1.0,,0.5,,,,,,,,,,1.0,,,110.76923076923076,,15.714285714285714,9.833333333333334,15.714285714285714,9.833333333333334,0.2,1.0,1.0,,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,,,,0.2,,,,,,,,,,,0.6,,0.48303,,,,,,,,9.233333333333333,24.1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1611661317,2022,2022,True
