EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,Fouls,Offensive Fouls,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,FtPoints,OpponentPoints,SecondChanceFtPoints,Fg2aBlocked,AtRimAssists,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,AtRimPctBlocked,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPossPct,ShortMidRangeFGA,Corner3FGM,Corner3Assists,ShortMidRangeFrequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyDefPoss,PenaltyAtRimFGA,ShortMidRangeFGM,PenaltyFG2A,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LiveBallTurnoverPct,DefFTReboundPct,OffShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyShotQualityAvg,LostBallSteals,BadPassTurnovers,PenaltyAtRimFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,ShortMidRangeAssists,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyPointsPct,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedShortMidRange,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PtsUnassisted3s,FTOffRebounds,SelfOReb,StepOutOfBoundsTurnovers,Travels,Charge Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,SelfORebPct,SecondChanceCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1627673-1627675-1628280-1629567-1630096,1611661323,"Jonquel Jones, Courtney Williams, Brionna Jones, Natisha Hiedeman, DiJonai Carrington","Jones, Williams, Jones, Hiedeman, Carrington",1627673-1627675-1628280-1629567-1630096,CON,204.0,2,3.0,9.0,7.0,5,4.0,12,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,5.0,9.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,3.0,4.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,0.3333333333333333,0.5,1.0,0.2,1.0,0.2,0.75,1.0,0.5,1.25,0.5,1.25,0.5555555555555556,1.0,1.0,1.0,0.75,1.0,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,84.70588235294117,16.857142857142858,17.2,12.142857142857142,17.2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1111111111111111,1.0,1.0,1.0,0.1111111111111111,0.4444444444444444,0.25,0.25,1.0,0.5,1.0,0.5,1.0,1.0,0.8888888888888888,0.25,0.5595055555555555,0.6147,0.5555555555555556,6.25,24.619999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627673-1627675-1628280-1629567-201886,1611661323,"Jonquel Jones, Courtney Williams, Brionna Jones, Natisha Hiedeman, DeWanna Bonner","Jones, Williams, Jones, Hiedeman, Bonner",1627673-1627675-1628280-1629567-201886,CON,381.0,5,6.0,,11.0,11,3.0,22,2.0,5.0,1.0,2.0,,3.0,1.0,1.0,4.0,,,2.0,8.0,1.0,5.0,9.0,1.0,3.0,,,4.0,4.0,,3.0,,4.0,1.0,2.0,1.0,3.0,1.0,,7.0,1.0,3.0,2.0,3.0,5.0,4.0,9.0,1.0,1.0,2.0,1.0,2.0,,6.0,,4.0,5.0,1.0,1.0,1.0,0.2,,0.2,0.25,0.3333333333333333,0.2692307692307692,0.3333333333333333,0.32142857142857145,0.5,0.38461538461538464,0.6,0.5,0.6666666666666666,0.25,0.625,0.4,0.6666666666666666,0.3333333333333333,,,0.5,1.0,83.1496062992126,19.818181818181817,14.818181818181818,17.272727272727273,11.909090909090908,0.38461538461538464,0.4,0.5,0.23076923076923078,,,,0.07692307692307693,0.3076923076923077,0.25,0.25,1.0,0.6666666666666666,0.5,,,,0.7692307692307693,0.25,0.5118846153846154,0.4776666666666667,0.4444444444444444,7.7375,24.3,1.0,2.0,9.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,0.125,0.2,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.14285714285714285,0.2222222222222222,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627673-1627675-1628280-1629567-203826,1611661323,"Jonquel Jones, Courtney Williams, Brionna Jones, Natisha Hiedeman, Alyssa Thomas","Jones, Williams, Jones, Hiedeman, Thomas",1627673-1627675-1628280-1629567-203826,CON,161.0,1,3.0,1.0,6.0,6,,12,1.0,2.0,,,,1.0,1.0,,,,,1.0,4.0,1.0,1.0,5.0,,,,,,,2.0,3.0,,,,,1.0,1.0,,,3.0,,,1.0,1.0,2.0,,2.0,,,1.0,1.0,1.0,,,,,5.0,,,1.0,1.0,,1.0,0.25,,0.5,,0.5,,0.2,1.0,,1.0,,1.0,,,,,1.0,1.0,,107.32919254658385,18.333333333333332,8.5,18.333333333333332,8.5,0.4,0.5,0.5,0.2,,,,0.2,,,,,,,,,,0.6,,0.52546,,,6.75,23.1,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627673-1627675-1628280-1630096-203824,1611661323,"Jonquel Jones, Courtney Williams, Brionna Jones, DiJonai Carrington, Odyssey Sims","Jones, Williams, Jones, Carrington, Sims",1627673-1627675-1628280-1630096-203824,CON,208.0,3,3.0,-1.0,7.0,6,1.0,13,1.0,2.0,,,,1.0,,,,,,2.0,6.0,,,7.0,1.0,1.0,,,2.0,,4.0,,2.0,,,,,,,,,,1.0,,1.0,2.0,1.0,3.0,,,,,1.0,,3.0,,3.0,5.0,,,,,,,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.0,,1.0,0.3333333333333333,,,1.0,0.3333333333333333,,,,,,,90.0,18.142857142857142,13.5,18.0,13.166666666666666,0.3333333333333333,0.5,0.5,0.16666666666666666,,,,,,,,,,,,,,0.3333333333333333,,0.48009999999999997,0.5768,0.2857142857142857,7.3500000000000005,,2.0,3.0,8.0,,,,,,,,3.0,1.0,2.0,2.0,,,,1.0,,,,0.2857142857142857,0.2857142857142857,0.2857142857142857,3.0,,,0.5,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5,0.49355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627673-1627675-1628280-1630096-203826,1611661323,"Jonquel Jones, Courtney Williams, Brionna Jones, DiJonai Carrington, Alyssa Thomas","Jones, Williams, Jones, Carrington, Thomas",1627673-1627675-1628280-1630096-203826,CON,101.0,1,2.0,1.0,4.0,5,,9,,,,,,,,,,,,1.0,1.0,,,3.0,,,,,,,2.0,,,,,,,,,,,,,2.0,,2.0,,2.0,2.0,,1.0,,2.0,,1.0,,2.0,3.0,,,,,,,1.0,,1.0,,0.75,,,,,1.0,,1.0,,,,,,1.0,1.0,128.31683168316832,8.75,13.2,8.75,13.2,,,,,,,,,,,,,,,,,,,,0.4618,,,12.0,,,1.0,2.0,,,,1.0,,,,2.0,,1.0,,,,,,,,,0.5,0.5,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,0.5,,,,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627673-1627675-1628280-201886-203824,1611661323,"Jonquel Jones, Courtney Williams, Brionna Jones, DeWanna Bonner, Odyssey Sims","Jones, Williams, Jones, Bonner, Sims",1627673-1627675-1628280-201886-203824,CON,411.0,3,7.0,-2.0,13.0,12,3.0,25,3.0,5.0,1.0,2.0,,2.0,2.0,,,,,5.0,9.0,1.0,2.0,14.0,1.0,3.0,,,3.0,10.0,,3.0,,,,5.0,1.0,6.0,,,13.0,,2.0,2.0,,3.0,2.0,5.0,,,2.0,,4.0,,3.0,,1.0,11.0,1.0,1.0,1.0,0.5,,0.5,0.5555555555555556,0.3333333333333333,0.5909090909090909,0.3333333333333333,0.6363636363636364,0.5,0.18181818181818182,,0.5,1.0,,0.6666666666666666,0.4,0.5,,,,1.0,,87.59124087591242,17.153846153846153,15.666666666666666,15.923076923076923,15.666666666666666,0.45454545454545453,0.6,0.6,0.18181818181818182,,,,0.18181818181818182,,,,,0.6666666666666666,0.5,,,,0.6363636363636364,,0.5288409090909091,0.5840333333333333,0.21428571428571427,7.033333333333333,23.15,8.0,1.0,16.0,1.0,,3.0,1.0,2.0,2.0,,1.0,1.0,1.0,8.0,,,0.5,,,1.0,1.0,0.09090909090909091,0.1111111111111111,0.6153846153846154,2.0,1.0,1.0,0.18181818181818182,0.5,0.5,1.0,4.0,5.0,2.0,6.0,1.0,2.0,,,,,,0.5,1.0,,,1.0,1.0,0.625,0.57564375,,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,10.0,2.0,1.0,10.0,0.5,0.5,0.5625,0.625,1.0,0.6,0.25,0.5,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627673-1627675-1628280-201886-203826,1611661323,"Jonquel Jones, Courtney Williams, Brionna Jones, DeWanna Bonner, Alyssa Thomas","Jones, Williams, Jones, Bonner, Thomas",1627673-1627675-1628280-201886-203826,CON,1125.0,2,19.0,5.0,34.0,33,1.0,67,3.0,5.0,,2.0,5.0,10.0,,1.0,4.0,,,13.0,22.0,1.0,4.0,42.0,,2.0,,,,18.0,8.0,3.0,,4.0,1.0,9.0,1.0,10.0,1.0,4.0,21.0,,2.0,6.0,5.0,13.0,2.0,15.0,4.0,3.0,,,2.0,,7.0,,10.0,42.0,0.6923076923076923,0.6923076923076923,1.0,0.25,,0.25,0.5909090909090909,,0.5576923076923077,,0.6,,0.15384615384615385,1.0,0.2222222222222222,1.0,,1.0,0.16666666666666666,0.5,,,1.0,1.0,1.0,85.76,14.735294117647058,18.90909090909091,14.5,18.90909090909091,0.19230769230769232,0.6,0.75,0.38461538461538464,0.5,0.5,0.8,,0.15384615384615385,0.25,0.25,1.0,1.0,,,,,0.34615384615384615,0.25,0.4319403846153846,0.4665,,11.481818181818182,24.8,6.0,13.0,37.0,,1.0,2.0,,,4.0,,19.0,,8.0,6.0,0.045454545454545456,0.2,0.2,,1.0,0.6666666666666666,,0.23529411764705882,0.26666666666666666,0.17647058823529413,7.0,,,0.2692307692307692,,,,7.0,5.0,5.0,7.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5024857142857143,1.0,1.0,3.0,,,4.0,,,1.0,9.0,3.0,,9.0,,0.5714285714285714,0.5714285714285714,0.5625,0.6,0.6,,,0.21428571428571427,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627673-1627675-1629567-1630096-203826,1611661323,"Jonquel Jones, Courtney Williams, Natisha Hiedeman, DiJonai Carrington, Alyssa Thomas","Jones, Williams, Hiedeman, Carrington, Thomas",1627673-1627675-1629567-1630096-203826,CON,85.0,1,1.0,-3.0,3.0,3,,6,,1.0,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,1.0,,1.0,,,,,,1.0,,101.6470588235294,17.333333333333332,11.0,17.333333333333332,11.0,0.3333333333333333,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,1.0,,0.6320166666666667,,,1.3,24.85,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627673-1627675-1629567-201886-203826,1611661323,"Jonquel Jones, Courtney Williams, Natisha Hiedeman, DeWanna Bonner, Alyssa Thomas","Jones, Williams, Hiedeman, Bonner, Thomas",1627673-1627675-1629567-201886-203826,CON,10979.0,12,183.0,37.0,350.0,346,44.0,696,63.0,105.0,12.0,19.0,20.0,61.0,18.0,27.0,60.0,3.0,7.0,121.0,244.0,30.0,78.0,381.0,16.0,30.0,3.0,10.0,48.0,172.0,70.0,84.0,12.0,60.0,27.0,86.0,28.0,114.0,25.0,16.0,256.0,13.0,38.0,46.0,87.0,137.0,52.0,189.0,31.0,19.0,22.0,3.0,53.0,7.0,61.0,2.0,54.0,333.0,0.7107438016528925,0.7478260869565218,0.9333333333333333,0.38461538461538464,0.3,0.38461538461538464,0.4959016393442623,0.5333333333333333,0.515527950310559,0.5125,0.5491329479768786,0.5595238095238095,0.2422360248447205,0.8285714285714286,0.3114754098360656,0.8518518518518519,0.2708333333333333,0.8364779874213837,0.3,0.36585365853658536,0.2727272727272727,0.26666666666666666,0.8095238095238095,0.8571428571428571,0.8333333333333334,91.28700245924037,15.285714285714286,16.26878612716763,14.617142857142857,15.878612716763005,0.32608695652173914,0.6,0.6923076923076923,0.18944099378881987,0.32786885245901637,0.3389830508474576,0.8,0.055900621118012424,0.18633540372670807,0.45,0.45,0.9259259259259259,0.475,0.631578947368421,0.175,0.42857142857142855,0.6666666666666666,0.5683229813664596,0.45,0.5106209627329192,0.5654166666666666,0.12598425196850394,7.891803278688524,24.710256410256413,44.0,49.0,344.0,7.0,24.0,43.0,9.0,6.0,30.0,3.0,57.0,8.0,28.0,44.0,0.09836065573770492,0.13333333333333333,0.2682926829268293,0.8181818181818182,0.85,0.6825396825396826,0.5,0.08187134502923976,0.10606060606060606,0.12571428571428572,78.0,3.0,3.0,0.2422360248447205,0.16666666666666666,0.16666666666666666,1.0,38.0,16.0,38.0,28.0,4.0,31.0,8.0,22.0,11.0,24.0,18.0,0.5849056603773585,0.8,0.3,0.75,0.48717948717948717,0.5428571428571428,0.4444444444444444,0.5070916666666666,12.0,23.0,8.0,,4.0,12.0,3.0,8.0,15.0,48.0,27.0,1.0,48.0,0.375,0.42857142857142855,0.4583333333333333,0.5454545454545454,0.7105263157894737,0.5,0.1111111111111111,,0.12598425196850394,3.0,,9.0,3.0,3.0,4.0,6.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,4.0,0.10256410256410256,0.03278688524590164,0.16666666666666666,0.047619047619047616,0.075,0.1111111111111111,0.75,,,,,,,1611661323,2022,2022,False
1627673-1627675-1631002-201886-203826,1611661323,"Jonquel Jones, Courtney Williams, Nia Clouden, DeWanna Bonner, Alyssa Thomas","Jones, Williams, Clouden, Bonner, Thomas",1627673-1627675-1631002-201886-203826,CON,91.0,1,2.0,-3.0,3.0,4,,7,1.0,1.0,,,,1.0,,,,,,1.0,3.0,,,2.0,,,,,,2.0,,,,,,1.0,,1.0,,,2.0,,,1.0,,1.0,,1.0,,,,,,,3.0,,1.0,2.0,1.0,1.0,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,1.0,,1.0,,,,,,1.0,,110.76923076923077,16.333333333333332,10.5,16.333333333333332,10.5,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,0.3333333333333333,,0.4464666666666666,,,9.299999999999999,,,,5.0,,,1.0,,,3.0,,,,,,,,,,,1.0,,,,,1.0,,,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
