EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,ThreePtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceOffPoss,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG2A,SecondChanceFG3A,Fg2aBlocked,Corner3Assists,OffTwoPtRebounds,OffRebounds,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,TwoPtShootingFoulsDrawn,DefLongMidRangeReboundPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChancePoints,Fg3aBlocked,FTOffRebounds,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,ShortMidRangeFGM,ShortMidRangeFGA,PtsUnassisted2s,LostBallTurnovers,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,OffThreePtRebounds,SecondChanceTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAssists,LostBallSteals,Travels,ShortMidRangePctAssisted,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,PenaltyFG3M,PenaltyFG3A,HeaveAttempts,Blocked3s,BlockedArc3,PenaltyFg3Pct,SecondChanceFg2Pct,ShortMidRangePctBlocked,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,SecondChanceCorner3Frequency,OffCorner3ReboundPct,Offensive Fouls Drawn,Loose Ball Fouls Drawn,OffShortMidRangeReboundPct,SecondChanceAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,3pt And 1 Free Throw Trips,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceAtRimFGM,PtsPutbacks,SelfOReb,SelfORebPct,SecondChanceAtRimAccuracy,BlockedShortMidRange,LongMidRangePctBlocked,team_id,year,season,team_vs
1628244-1629477-1629546-203827-203828,1611661313,"Sami Whitcomb, Sabrina Ionescu, Marine Johannes, Natasha Howard, Stefanie Dolson","Whitcomb, Ionescu, Johannes, Howard, Dolson",1628244-1629477-1629546-203827-203828,NYL,218.0,1,4.0,-5.0,7,7,14,1.0,3.0,1.0,2.0,1.0,3,1.0,2.0,3.0,8.0,13.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,8.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.6666666666666666,0.4,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,92.4770642201835,13.428571428571429,17.714285714285715,13.428571428571429,17.714285714285715,0.6,0.3333333333333333,0.3333333333333333,1.0,0.4,0.5,0.5,1.0,1.0,0.5,0.57536,0.16666666666666666,0.3333333333333333,1.5333333333333332,23.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,False
1628244-1629477-1629546-203827-204335,1611661313,"Sami Whitcomb, Sabrina Ionescu, Marine Johannes, Natasha Howard, Betnijah Laney","Whitcomb, Ionescu, Johannes, Howard, Laney",1628244-1629477-1629546-203827-204335,NYL,46.0,1,1.0,,2,2,4,,,,1.0,1.0,1,,1.0,,2.0,2.0,2.0,,1.0,,1.0,,1.0,,,2.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,2.0,1.0,1.0,,,,1.0,0.5,0.5,0.5,,,1.0,,1.0,1.0,,125.21739130434781,13.0,10.0,13.0,10.0,,,,,0.5,,,,0.5,,0.449275,,,18.5,27.2,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,False
1628244-1629477-1629546-203828-204335,1611661313,"Sami Whitcomb, Sabrina Ionescu, Marine Johannes, Stefanie Dolson, Betnijah Laney","Whitcomb, Ionescu, Johannes, Dolson, Laney",1628244-1629477-1629546-203828-204335,NYL,168.0,2,3.0,-2.0,5,5,10,,2.0,1.0,2.0,,4,2.0,3.0,,6.0,8.0,,6.0,2.0,1.0,,2.0,2.0,1.0,,6.0,1.0,,,1.0,3.0,1.0,1.0,,,,1.0,1.0,,,,6.0,,,1.0,0.6666666666666666,0.6666666666666666,,0.42857142857142855,0.42857142857142855,0.42857142857142855,,,,1.0,1.0,,1.0,85.71428571428572,19.4,14.2,13.6,14.2,0.2857142857142857,,,,0.2857142857142857,0.5,0.5,1.0,0.7142857142857143,0.5,0.4683785714285714,,,10.475,24.366666666666664,3.0,,2.0,,,,0.2857142857142857,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.25,0.5,0.5,0.4,1.0,0.14285714285714285,1.0,1.0,1.0,0.5,0.41225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,False
1628244-1629477-1629566-1630139-203827,1611661313,"Sami Whitcomb, Sabrina Ionescu, Han Xu, Jocelyn Willoughby, Natasha Howard","Whitcomb, Ionescu, Xu, Willoughby, Howard",1628244-1629477-1629566-1630139-203827,NYL,118.0,1,2.0,,2,3,5,,,,,,1,,,2.0,2.0,2.0,,,,,,,,,,,1.0,1.0,,2.0,2.0,,,,,,,1.0,2.0,2.0,,2.0,,,,,,,,0.5,,,,1.0,1.0,1.0,,1.0,61.016949152542374,21.5,25.0,21.5,25.0,,,,,,,,,,,0.2846,0.5,,20.8,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,False
1628244-1629477-1629566-1630446-1630459,1611661313,"Sami Whitcomb, Sabrina Ionescu, Han Xu, Michaela Onyenwere, DiDi Richards","Whitcomb, Ionescu, Xu, Onyenwere, Richards",1628244-1629477-1629566-1630446-1630459,NYL,132.0,1,2.0,4.0,6,5,11,1.0,1.0,,,1.0,2,,,4.0,6.0,2.0,2.0,,,,1.0,,1.0,,1.0,2.0,3.0,,,3.0,3.0,1.0,1.0,,,1.0,,1.0,2.0,4.0,,6.0,1.0,1.0,,,,0.5,0.5,0.75,,,,,1.0,0.75,,1.0,119.99999999999999,7.0,18.0,7.0,17.0,0.5,1.0,1.0,1.0,,,,,0.5,,0.53245,0.3333333333333333,,9.9,,2.0,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.3333333333333333,5.0,1.0,1.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,0.5,0.5,0.75,1.0,0.5,1.0,0.53245,1.0,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,False
1628244-1629477-1629566-1630446-204335,1611661313,"Sami Whitcomb, Sabrina Ionescu, Han Xu, Michaela Onyenwere, Betnijah Laney","Whitcomb, Ionescu, Xu, Onyenwere, Laney",1628244-1629477-1629566-1630446-204335,NYL,110.0,1,2.0,-3.0,4,4,8,,1.0,1.0,2.0,,2,1.0,2.0,1.0,4.0,7.0,,3.0,2.0,1.0,,1.0,1.0,1.0,,3.0,,1.0,,1.0,2.0,,,,,,,,1.0,2.0,,1.0,,,1.0,0.5,0.5,,0.375,0.4,0.5,,,0.5,,0.5,1.0,,104.72727272727273,20.0,7.5,19.25,6.0,0.25,,,,0.5,0.5,1.0,1.0,0.75,0.5,0.5052375,0.2,,8.4,24.25,,,1.0,,,,0.25,,,,1.0,,,1.0,,1.0,1.0,,,1.0,0.5,1.0,,,,,,,,1.0,0.57855,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,0.5,0.5,1.0,1.0,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,False
1628244-1629477-1629566-204296-204335,1611661313,"Sami Whitcomb, Sabrina Ionescu, Han Xu, Rebecca Allen, Betnijah Laney","Whitcomb, Ionescu, Xu, Allen, Laney",1628244-1629477-1629566-204296-204335,NYL,112.0,1,2.0,-1.0,4,4,8,,,,,1.0,2,,,2.0,4.0,5.0,,,,,,,,,,,,2.0,,2.0,2.0,,,1.0,,1.0,,,1.0,2.0,,4.0,,,,,,0.5,0.5,0.6666666666666666,,1.0,,1.0,,1.0,,,102.85714285714286,13.0,15.0,13.0,15.0,,,,,,,,,,,0.3915,0.3333333333333333,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,False
1628244-1629477-1630139-203827-203828,1611661313,"Sami Whitcomb, Sabrina Ionescu, Jocelyn Willoughby, Natasha Howard, Stefanie Dolson","Whitcomb, Ionescu, Willoughby, Howard, Dolson",1628244-1629477-1630139-203827-203828,NYL,161.0,1,3.0,-6.0,6,6,12,,1.0,,2.0,1.0,3,,2.0,2.0,4.0,10.0,,,2.0,,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,,4.0,,,,,,0.3333333333333333,0.2,0.3333333333333333,0.4,,,,1.0,1.0,,1.0,107.32919254658385,15.5,11.333333333333334,15.5,11.333333333333334,0.2,,,,0.4,,,,0.6,,0.48996000000000006,0.16666666666666666,,10.966666666666667,26.85,,1.0,1.0,,,,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,False
1628244-1629477-203827-203828-204296,1611661313,"Sami Whitcomb, Sabrina Ionescu, Natasha Howard, Stefanie Dolson, Rebecca Allen","Whitcomb, Ionescu, Howard, Dolson, Allen",1628244-1629477-203827-203828-204296,NYL,104.0,1,2.0,,2,3,5,,,,1.0,,1,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,2.0,3.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,0.5,,,1.0,1.0,1.0,1.0,1.0,69.23076923076923,23.5,19.0,16.5,19.0,,,,,0.5,,,,0.5,,0.46125,,,5.1,24.3,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.5,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,False
1628244-1629477-203827-203828-204335,1611661313,"Sami Whitcomb, Sabrina Ionescu, Natasha Howard, Stefanie Dolson, Betnijah Laney","Whitcomb, Ionescu, Howard, Dolson, Laney",1628244-1629477-203827-203828-204335,NYL,111.0,1,2.0,-4.0,4,4,8,,,,1.0,1.0,1,,1.0,,2.0,6.0,2.0,,1.0,,1.0,,1.0,,,2.0,,,,,,1.0,,1.0,,2.0,,,1.0,,,2.0,1.0,1.0,,,,1.0,0.5,0.5,0.5,0.5,,,,,,,103.78378378378378,14.75,13.0,14.75,11.75,,,,,0.5,,,,0.5,,0.4827,,,5.1,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,0.5,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,False
