EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG3A,PtsAssisted3s,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,RecoveredBlocks,Assisted3sPct,SecondChanceFg2Pct,FG3APctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,LongMidRangePctBlocked,OffShortMidRangeReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,Offensive Fouls,SecondChanceFtPoints,Charge Fouls Drawn,DefCorner3ReboundPct,BadPassOutOfBoundsTurnovers,ShortMidRangePctBlocked,PenaltyFG2M,LongMidRangeAssists,PenaltyFg2Pct,LongMidRangePctAssisted,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedShortMidRange,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefLongMidRangeReboundPct,PenaltyAtRimFGM,LostBallSteals,Travels,PenaltyAtRimAccuracy,Blocked3s,BlockedArc3,SelfOReb,OffAtRimReboundPct,SelfORebPct,Charge Fouls,SecondChanceAtRimFGA,Loose Ball Fouls Drawn,Offensive Fouls Drawn,SecondChanceAtRimFrequency,SecondChanceTurnovers,SecondChanceAtRimFGM,PtsPutbacks,SecondChanceAtRimAccuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceAtRimPctAssisted,BlockedLongMidRange,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,BlockedCorner3,ThreePtShootingFoulsDrawn,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,3pt And 1 Free Throw Trips,Clear Path Fouls,3SecondViolations,team_id,year,season,team_vs
1628276-1628932-1631013-203833-204324,1611661319,"Kelsey Plum, A'ja Wilson, Aisha Sheppard, Chelsea Gray, Dearica Hamby","Plum, Wilson, Sheppard, Gray, Hamby",1628276-1628932-1631013-203833-204324,LVA,125.0,2,2.0,6.0,5.0,4.0,2.0,1.0,1.0,9.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,9.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,0.5,0.5,0.5,1.0,0.5,0.6666666666666666,0.7,1.5,0.75,1.5,0.5,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,1.0,103.67999999999999,11.6,16.75,9.2,13.25,0.6,0.6666666666666666,1.0,0.5,0.4,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.60719,0.608,0.16666666666666666,0.25,0.3333333333333333,0.2222222222222222,1.6666666666666667,27.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,False
1628276-1631013-203833-203849-204329,1611661319,"Kelsey Plum, Aisha Sheppard, Chelsea Gray, Theresa Plaisance, Kiah Stokes","Plum, Sheppard, Gray, Plaisance, Stokes",1628276-1631013-203833-203849-204329,LVA,597.0,5,10.0,,18.0,19.0,2.0,2.0,3.0,37.0,1.0,2.0,,2.0,5.0,2.0,2.0,5.0,8.0,3.0,7.0,1.0,20.0,20.0,2.0,2.0,8.0,,,,4.0,6.0,,5.0,2.0,1.0,2.0,5.0,1.0,13.0,1.0,4.0,8.0,2.0,10.0,1.0,1.0,1.0,4.0,,6.0,4.0,2.0,1.0,1.0,1.0,12.0,,2.0,0.4,0.4,0.42857142857142855,1.0,0.42857142857142855,0.625,0.6333333333333333,1.3333333333333333,0.5882352941176471,1.3333333333333333,,0.4666666666666667,0.125,0.5,0.8,0.25,0.7777777777777778,0.2857142857142857,,1.0,89.2462311557789,18.38888888888889,14.0,17.555555555555557,13.789473684210526,0.13333333333333333,0.5,1.0,1.0,0.3333333333333333,0.4,0.4,0.6666666666666666,1.0,,0.6,0.4,0.49621666666666664,0.4992,0.11764705882352941,0.2,0.4,,13.1,24.842857142857145,0.1111111111111111,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.5,0.6666666666666666,1.0,0.3333333333333333,0.75,0.5,1.0,1.0,0.75,1.0,0.13333333333333333,1.0,1.0,0.5,0.26666666666666666,0.5,0.5,0.13333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,0.47679999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,False
1629498-202641-203833-203849-204329,1611661319,"Jackie Young, Sydney Colson, Chelsea Gray, Theresa Plaisance, Kiah Stokes","Young, Colson, Gray, Plaisance, Stokes",1629498-202641-203833-203849-204329,LVA,74.0,1,1.0,2.0,2.0,2.0,,,,4.0,,,,,,,,1.0,2.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,0.5,0.5,,0.5,,,,,,1.0,,1.0,,,1.0,77.83783783783784,22.0,15.0,22.0,15.0,,,,,,,,,,,,,0.3601,,,,,,10.05,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,False
1629498-1631013-202641-203849-204329,1611661319,"Jackie Young, Aisha Sheppard, Sydney Colson, Theresa Plaisance, Kiah Stokes","Young, Sheppard, Colson, Plaisance, Stokes",1629498-1631013-202641-203849-204329,LVA,84.0,1,1.0,-3.0,2.0,3.0,,,,5.0,,,,,,,,1.0,2.0,,,,2.0,5.0,,,,,,,2.0,,,,,,1.0,1.0,,2.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,2.0,,,1.0,1.0,,,,0.5,0.5,,0.5,,,,,,,,1.0,,,,85.71428571428572,20.0,14.666666666666666,20.0,14.666666666666666,,,,,,,,,,,,,0.385,,,,,,8.1,,,1.0,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,False
1629498-1631006-202641-203849-204329,1611661319,"Jackie Young, Kierstan Bell, Sydney Colson, Theresa Plaisance, Kiah Stokes","Young, Bell, Colson, Plaisance, Stokes",1629498-1631006-202641-203849-204329,LVA,189.0,1,3.0,-1.0,7.0,7.0,7.0,7.0,1.0,14.0,,,,1.0,5.0,,1.0,,2.0,2.0,6.0,,6.0,7.0,,1.0,,2.0,,6.0,,,,5.0,1.0,1.0,,2.0,,6.0,,1.0,3.0,1.0,4.0,,,2.0,3.0,1.0,,,,,,,6.0,6.0,7.0,,,0.3333333333333333,,0.3333333333333333,,0.375,,0.375,,0.375,0.75,0.5,,1.0,,0.5,0.16666666666666666,,1.0,106.66666666666667,17.571428571428573,9.428571428571429,16.714285714285715,9.428571428571429,,,,,0.625,0.2,0.2,1.0,,,0.75,0.2,0.47428125,0.47428125,,,,1.0,12.7,24.766666666666666,1.0,,1.0,,1.0,1.0,1.0,5.0,,,6.0,6.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,1.0,0.5,0.3333333333333333,,,,0.5,,0.125,,,,0.125,,,0.125,1.0,1.0,1.0,1.0,,0.625,0.59175,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.375,1.0,1.0,0.125,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,False
1628932-1629498-202641-203833-204324,1611661319,"A'ja Wilson, Jackie Young, Sydney Colson, Chelsea Gray, Dearica Hamby","Wilson, Young, Colson, Gray, Hamby",1628932-1629498-202641-203833-204324,LVA,48.0,2,1.0,-2.0,1.0,1.0,,,,2.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,38.0,10.0,38.0,10.0,,,,,,,,,,,,,0.3235,,,,,,6.7,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,False
1629498-203029-203833-203849-204324,1611661319,"Jackie Young, Riquna Williams, Chelsea Gray, Theresa Plaisance, Dearica Hamby","Young, Williams, Gray, Plaisance, Hamby",1629498-203029-203833-203849-204324,LVA,44.0,1,1.0,2.0,2.0,1.0,,,,3.0,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,98.18181818181819,13.0,18.0,13.0,18.0,,,,,,,,,,,,,0.3787,,,,,,13.2,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,False
1629498-1631013-203833-203849-204324,1611661319,"Jackie Young, Aisha Sheppard, Chelsea Gray, Theresa Plaisance, Dearica Hamby","Young, Sheppard, Gray, Plaisance, Hamby",1629498-1631013-203833-203849-204324,LVA,120.0,2,2.0,-2.0,4.0,5.0,3.0,2.0,1.0,9.0,,,,,,,,,2.0,,,2.0,2.0,4.0,,,2.0,1.0,2.0,2.0,,,,,,,,,,,,,2.0,1.0,3.0,,,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,3.0,,,,,,,,,0.3333333333333333,1.0,0.5,,,,,,0.5,0.5,,,108.0,14.0,12.8,14.0,11.0,,,,,,,,,,,,,0.3952,0.4407,0.3333333333333333,0.3333333333333333,1.0,1.0,15.65,,0.75,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,1.0,2.0,2.0,,,,,,1.0,1.0,0.5,1.0,1.0,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,False
1629498-202641-203833-203849-204324,1611661319,"Jackie Young, Sydney Colson, Chelsea Gray, Theresa Plaisance, Dearica Hamby","Young, Colson, Gray, Plaisance, Hamby",1629498-202641-203833-203849-204324,LVA,401.0,2,7.0,-7.0,13.0,13.0,2.0,,1.0,26.0,2.0,2.0,,1.0,6.0,,,3.0,6.0,1.0,6.0,1.0,10.0,17.0,,,,,,,4.0,2.0,,6.0,1.0,1.0,2.0,3.0,2.0,7.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,2.0,2.0,1.0,,,,10.0,,2.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,,0.16666666666666666,0.5,0.375,,0.38461538461538464,,,0.5,0.16666666666666666,,0.3333333333333333,0.4,0.3333333333333333,0.25,0.4,1.0,93.36658354114712,18.0,12.846153846153847,17.153846153846153,12.076923076923077,0.16666666666666666,1.0,1.0,1.0,0.5,0.16666666666666666,0.16666666666666666,,,,0.6666666666666666,0.16666666666666666,0.495875,0.5223,0.07692307692307693,0.14285714285714285,,,8.1,24.016666666666666,0.15384615384615385,,2.0,1.0,2.0,,,1.0,,1.0,1.0,3.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,2.0,1.0,,1.0,,,,0.5,,,,,,0.5,,,0.16666666666666666,,,,0.16666666666666666,0.5,0.5,,,,,1.0,,1.0,0.3743,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,False
1628932-1629498-1631013-203833-203849,1611661319,"A'ja Wilson, Jackie Young, Aisha Sheppard, Chelsea Gray, Theresa Plaisance","Wilson, Young, Sheppard, Gray, Plaisance",1628932-1629498-1631013-203833-203849,LVA,37.0,1,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,1.0,1.0,,,,2.0,2.0,,,,1.0,,2.0,2.0,,,,,,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,77.83783783783784,13.0,24.0,13.0,24.0,,,,,,,,,,,,,0.4374,0.4374,,,,1.0,17.9,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,False
