EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,TotalPoss,OpponentPoints,FoulsDrawn,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,OffPoss,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,Minutes,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,FtPoints,PenaltyFtPoints,DefThreePtRebounds,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefThreePtReboundPct,DefCorner3ReboundPct,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,LostBallSteals,ShootingFouls,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGA,Corner3FGA,FG3A,FG3APct,ShortMidRangeFrequency,Corner3Frequency,Avg3ptShotDistance,Arc3FGA,NonHeaveArc3FGA,DefArc3ReboundPct,Arc3Frequency,LongMidRangeFGA,LongMidRangeFrequency,Corner3FGM,Arc3FGM,FG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceOffPoss,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,2pt And 1 Free Throw Trips,SecondChanceTsPct,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChancePointsPct,SecondChanceAtRimFGA,SecondChanceFG2A,OffThreePtRebounds,ThreePtShootingFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,ShortMidRangeFGM,ShortMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,LongMidRangeAssists,Offensive Fouls Drawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,BlocksRecoveredPct,LongMidRangePctAssisted,PenaltyArc3Frequency,FTOffRebounds,PenaltyTurnovers,Loose Ball Fouls Drawn,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SelfOReb,SecondChanceFg3Pct,SecondChanceEfgPct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimFGM,PenaltyArc3FGM,SecondChanceFG2M,PenaltyFG3M,PtsPutbacks,Travels,Loose Ball Fouls,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,PenaltyFg3Pct,SecondChanceFg2Pct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Fg3aBlocked,StepOutOfBoundsTurnovers,Charge Fouls Drawn,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,3pt And 1 Free Throw Trips,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BlockedLongMidRange,3SecondViolations,Defensive 3 Seconds Violations,Charge Fouls,BlockedCorner3,Corner3PctBlocked,team_id,year,season,team_vs
1629477-1631032-203827-204296-204335,1611661313,"Sabrina Ionescu, Lorela Cubaj, Natasha Howard, Rebecca Allen, Betnijah Laney","Ionescu, Cubaj, Howard, Allen, Laney",1629477-1631032-203827-204296-204335,NYL,27.0,1,-2.0,1.0,1.0,2.0,1.0,53.33333333333333,17.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1629477-1631032-203828-204296,1611661313,"Sami Whitcomb, Sabrina Ionescu, Lorela Cubaj, Stefanie Dolson, Rebecca Allen","Whitcomb, Ionescu, Cubaj, Dolson, Allen",1628244-1629477-1631032-203828-204296,NYL,30.0,1,4.0,1.0,3.0,,,144.0,11.0,11.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,9.5,9.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.51875,0.51875,1.0,3.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1630446-203827-203828-204335,1611661313,"Sami Whitcomb, Michaela Onyenwere, Natasha Howard, Stefanie Dolson, Betnijah Laney","Whitcomb, Onyenwere, Howard, Dolson, Laney",1628244-1630446-203827-203828-204335,NYL,7.0,1,,1.0,1.0,,,205.71428571428572,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1629476-1629477-1630101-203827-203828,1611661313,"Asia (AD) Durr, Sabrina Ionescu, Crystal Dangerfield, Natasha Howard, Stefanie Dolson","(AD) Durr, Ionescu, Dangerfield, Howard, Dolson",1629476-1629477-1630101-203827-203828,NYL,81.0,1,4.0,3.0,6.0,,,106.66666666666666,19.0,19.0,3.0,,2.0,2.0,,,2.0,2.0,4.0,,,,4.0,,2.0,2.0,2.0,4.0,,,4.0,,,1.0,1.0,1.0,,1.0,,1.0,,8.0,8.0,1.0,1.0,1.0,1.0,,,1.0,0.606,,,2.8,,,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1629566-1630446-203827-204296,1611661313,"Sami Whitcomb, Han Xu, Michaela Onyenwere, Natasha Howard, Rebecca Allen","Whitcomb, Xu, Onyenwere, Howard, Allen",1628244-1629566-1630446-203827-204296,NYL,18.0,1,4.0,2.0,4.0,,2.0,320.0,7.0,7.0,2.0,2.0,,,,,,,4.0,,,4.0,,,,,,,,,4.0,2.0,1.0,,,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,1.0,,1.0,2.0,,1.0,,2.0,2.0,,,,,,1.0,1.0,1.0,,4.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1629476-1629477-1629566-1630446-204335,1611661313,"Asia (AD) Durr, Sabrina Ionescu, Han Xu, Michaela Onyenwere, Betnijah Laney","(AD) Durr, Ionescu, Xu, Onyenwere, Laney",1629476-1629477-1629566-1630446-204335,NYL,57.0,1,-2.0,2.0,3.0,2.0,,75.78947368421053,15.0,15.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,27.0,27.0,1.0,,,,,,1.0,0.6023,,,2.6,,,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1629477-1630446-1631032-204296-204335,1611661313,"Sabrina Ionescu, Michaela Onyenwere, Lorela Cubaj, Rebecca Allen, Betnijah Laney","Ionescu, Onyenwere, Cubaj, Allen, Laney",1629477-1630446-1631032-204296-204335,NYL,47.0,1,2.0,2.0,5.0,2.0,1.0,153.19148936170214,10.5,10.5,3.0,,1.0,2.0,,,1.0,2.0,4.0,,,,,2.0,,,,,1.0,,4.0,,,,,0.5,,0.5,,0.6666666666666666,,8.666666666666666,8.666666666666666,1.0,0.5,0.5,,,,1.0,0.55995,,,2.75,,1.0,1.0,,,,,,,1.0,,,,,,,2.0,,,2.0,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1629476-1630101-203827-203828,1611661313,"Sami Whitcomb, Asia (AD) Durr, Crystal Dangerfield, Natasha Howard, Stefanie Dolson","Whitcomb, (AD) Durr, Dangerfield, Howard, Dolson",1628244-1629476-1630101-203827-203828,NYL,58.0,1,-2.0,2.0,4.0,2.0,,99.3103448275862,18.5,17.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.5,,,,,,,0.5,0.433975,,,7.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,0.5,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,0.5,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1630101-1630446-203827-204296,1611661313,"Sami Whitcomb, Crystal Dangerfield, Michaela Onyenwere, Natasha Howard, Rebecca Allen","Whitcomb, Dangerfield, Onyenwere, Howard, Allen",1628244-1630101-1630446-203827-204296,NYL,85.0,1,-2.0,3.0,6.0,2.0,2.0,101.6470588235294,13.0,11.666666666666666,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,15.333333333333334,15.333333333333334,,,,,,,0.3333333333333333,0.41163333333333335,,,6.05,,,1.0,,,1.0,1.0,,,,,,,0.5,,,,,1.0,,,,1.0,,,,,,,,,,,2.0,,1.0,0.3333333333333333,0.6666666666666666,,24.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1629477-1629566-1630446-203828-204296,1611661313,"Sabrina Ionescu, Han Xu, Michaela Onyenwere, Stefanie Dolson, Rebecca Allen","Ionescu, Xu, Onyenwere, Dolson, Allen",1629477-1629566-1630446-203828-204296,NYL,22.0,1,,,1.0,,,65.45454545454545,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,22.0,22.0,,,,,,,,0.2747,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
