EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,PlusMinus,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,BadPassSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Offensive Fouls Drawn,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,SecondChanceTurnovers,PenaltyFg3Pct,ShortMidRangePctBlocked,DefLongMidRangeReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,Offensive Fouls,NonShootingPenaltyNonTakeFouls,OffThreePtRebounds,2pt And 1 Free Throw Trips,BlockedShortMidRange,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,FTOffRebounds,OffFTReboundPct,Loose Ball Fouls,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Loose Ball Fouls Drawn,SecondChanceArc3FGM,SecondChanceFG3M,3SecondViolations,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
1628277-1629479-1629481-1629497-203866,1611661321,"Allisha Gray, Teaira McCowan, Arike Ogunbowale, Marina Mabrey, Kayla Thornton","Gray, McCowan, Ogunbowale, Mabrey, Thornton",1628277-1629479-1629481-1629497-203866,DAL,115.0,1,2.0,3.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,62.608695652173914,16.333333333333332,33.0,11.0,25.5,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,0.4044666666666667,0.3444,13.066666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2022,2022,True
1628277-1629479-1629497-1630112-1630149,1611661321,"Allisha Gray, Teaira McCowan, Marina Mabrey, Tyasha Harris, Satou Sabally","Gray, McCowan, Mabrey, Harris, Sabally",1628277-1629479-1629497-1630112-1630149,DAL,875.0,2,15.0,26.0,30.0,5.0,56.0,,2.0,4.0,13.0,21.0,38.0,39.0,5.0,14.0,7.0,9.0,,20.0,3.0,9.0,14.0,4.0,4.0,30.0,0.5384615384615384,0.7,0.6190476190476191,0.6153846153846154,0.6333333333333333,0.5,0.5833333333333334,0.6666666666666666,92.16,13.692307692307692,17.3,12.76923076923077,16.766666666666666,0.07692307692307693,,,,0.15384615384615385,0.570426923076923,0.5833,5.171428571428571,-1.0,7.0,2.0,11.0,15.0,4.0,5.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,5.0,6.0,4.0,1.0,8.0,3.0,5.0,3.0,9.0,12.0,6.0,6.0,5.0,2.0,1.0,2.0,2.0,6.0,1.0,5.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,7.0,1.0,1.0,0.4,0.4,0.8,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6428571428571429,0.19230769230769232,0.047619047619047616,0.06666666666666667,0.5,1.0,0.625,0.6666666666666666,0.45454545454545453,0.5,0.5,1.0,0.5,0.6,1.0,0.2,0.5,0.5769230769230769,0.7333333333333333,0.7857142857142857,0.5454545454545454,0.5,0.5,0.5,0.19230769230769232,0.4,0.4,1.0,0.8333333333333334,0.8,0.25,0.16666666666666666,0.2,1.0,0.7692307692307693,0.4,0.42176,0.10344827586206896,0.125,0.21052631578947367,0.23684210526315788,24.52,0.2692307692307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2022,2022,True
1628277-1629479-1629497-1630112-203866,1611661321,"Allisha Gray, Teaira McCowan, Marina Mabrey, Tyasha Harris, Kayla Thornton","Gray, McCowan, Mabrey, Harris, Thornton",1628277-1629479-1629497-1630112-203866,DAL,380.0,2,6.0,15.0,14.0,1.0,29.0,1.0,3.0,2.0,5.0,11.0,10.0,11.0,1.0,4.0,2.0,2.0,,4.0,2.0,4.0,5.0,2.0,2.0,10.0,0.4,0.4,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.6666666666666666,0.6,1.0,109.89473684210527,12.466666666666667,13.785714285714286,11.866666666666667,13.214285714285714,0.2727272727272727,0.3333333333333333,0.3333333333333333,,0.18181818181818182,0.5538454545454545,0.3472,6.854545454545455,-1.0,,,4.0,6.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,2.0,,1.0,1.0,1.0,1.0,,4.0,1.0,3.0,1.0,2.0,2.0,5.0,,3.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.6,1.0,0.16666666666666666,0.5,0.16666666666666666,,,0.5,1.0,0.5,,,1.0,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,0.5454545454545454,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2022,2022,True
1628277-1629479-1629497-1630149-1631007,1611661321,"Allisha Gray, Teaira McCowan, Marina Mabrey, Satou Sabally, Veronica Burton","Gray, McCowan, Mabrey, Sabally, Burton",1628277-1629479-1629497-1630149-1631007,DAL,268.0,2,4.0,10.0,8.0,4.0,18.0,,3.0,1.0,2.0,7.0,10.0,8.0,1.0,2.0,1.0,1.0,,2.0,2.0,4.0,7.0,,,9.0,0.5,0.5,0.2857142857142857,0.3181818181818182,0.38461538461538464,1.0,0.8,1.0,96.71641791044776,14.1,15.875,9.5,14.625,0.2727272727272727,,,,0.09090909090909091,0.4866818181818182,0.5449875,6.257142857142857,2.0,7.0,2.0,2.0,3.0,,1.0,1.0,2.0,,1.0,3.0,2.0,1.0,4.0,3.0,,3.0,1.0,1.0,5.0,3.0,8.0,2.0,,,3.0,1.0,3.0,,,1.0,,3.0,2.0,,3.0,,,,,1.0,,2.0,2.0,2.0,2.0,3.0,1.0,1.0,,,,,,,8.0,7.0,,,0.25,0.25,,0.2,,0.3125,0.1,0.4,0.36363636363636365,0.42857142857142855,0.3333333333333333,,,0.75,0.6666666666666666,0.42857142857142855,,1.0,,,0.5,1.0,,,0.2727272727272727,0.6666666666666666,1.0,0.5,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,,0.25,,,0.5,0.25,0.5,0.6363636363636364,0.3333333333333333,0.44784375,0.08333333333333333,0.125,0.1,0.8,25.725,0.7,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.09090909090909091,0.25,0.125,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2022,2022,True
1628277-1629479-1629497-1630386-1631007,1611661321,"Allisha Gray, Teaira McCowan, Marina Mabrey, Awak Kuier, Veronica Burton","Gray, McCowan, Mabrey, Kuier, Burton",1628277-1629479-1629497-1630386-1631007,DAL,179.0,2,3.0,5.0,7.0,2.0,12.0,,4.0,1.0,1.0,6.0,4.0,4.0,2.0,2.0,1.0,1.0,,2.0,,2.0,6.0,,4.0,,1.0,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,,0.5,,96.53631284916202,14.6,15.142857142857142,12.8,14.142857142857142,0.6666666666666666,,,,0.16666666666666666,0.47455,0.4173,7.066666666666666,,2.0,7.0,,1.0,,,,,1.0,,,,,,2.0,1.0,,4.0,,2.0,2.0,2.0,,,,,,2.0,,,,1.0,4.0,1.0,1.0,4.0,,2.0,2.0,,,,2.0,2.0,,2.0,2.0,1.0,,,,,,,,2.0,2.0,,,,,0.5,,0.5,,0.6666666666666666,0.3333333333333333,,0.3333333333333333,,,1.0,0.8,1.0,0.8,1.0,0.75,,,1.0,,,,0.16666666666666666,,,,1.0,1.0,1.0,,,,,,,,,,,0.16666666666666666,,0.41955,0.14285714285714285,0.14285714285714285,1.0,0.5,,0.4,,1.0,,1.0,,,,,,2.0,,,,,,0.5,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1611661321,2022,2022,True
1628277-1629479-1629497-1631007-203866,1611661321,"Allisha Gray, Teaira McCowan, Marina Mabrey, Veronica Burton, Kayla Thornton","Gray, McCowan, Mabrey, Burton, Thornton",1628277-1629479-1629497-1631007-203866,DAL,1447.0,3,24.0,41.0,44.0,2.0,85.0,3.0,8.0,5.0,13.0,22.0,43.0,44.0,1.0,24.0,12.0,14.0,3.0,30.0,9.0,15.0,18.0,5.0,10.0,39.0,0.9230769230769231,0.9230769230769231,0.5909090909090909,0.5,0.5512820512820513,0.6923076923076923,0.7777777777777778,0.5,84.58880442294402,16.073170731707318,17.90909090909091,15.707317073170731,17.795454545454547,0.25,0.375,0.42857142857142855,1.0,0.15625,0.5110703125,,8.30909090909091,-1.0,8.0,6.0,7.0,9.0,,,,,3.0,2.0,8.0,,2.0,10.0,11.0,1.0,,4.0,1.0,4.0,3.0,5.0,2.0,6.0,,8.0,2.0,2.0,2.0,2.0,6.0,3.0,1.0,5.0,1.0,3.0,,5.0,1.0,3.0,,2.0,3.0,6.0,1.0,8.0,15.0,8.0,,1.0,,,,1.0,1.0,5.0,8.0,,1.0,0.2,0.2,1.0,0.25,1.0,0.16666666666666666,1.0,0.3125,0.3125,0.09090909090909091,0.1111111111111111,0.5,1.0,0.1111111111111111,1.0,0.17647058823529413,0.5,,,0.8333333333333334,1.0,,,1.0,0.28125,0.7777777777777778,0.875,0.8571428571428571,0.6,0.6,1.0,0.25,0.25,0.25,1.0,,,,,,,0.59375,0.25,0.44588333333333335,0.20512820512820512,0.27586206896551724,0.09302325581395349,0.11627906976744186,24.630000000000003,0.1951219512195122,4.0,2.0,1.0,,2.0,,,,2.0,2.0,,2.0,,,,0.125,0.6666666666666666,0.0625,,,0.3333333333333333,,,,2.0,1.0,1.0,0.25,0.16666666666666666,0.5,,,,,,,,,,,,,,,,1611661321,2022,2022,True
1628277-1629479-1630112-1630149-1631007,1611661321,"Allisha Gray, Teaira McCowan, Tyasha Harris, Satou Sabally, Veronica Burton","Gray, McCowan, Harris, Sabally, Burton",1628277-1629479-1630112-1630149-1631007,DAL,342.0,3,6.0,12.0,10.0,3.0,22.0,1.0,3.0,2.0,1.0,7.0,10.0,13.0,3.0,,,1.0,,3.0,1.0,2.0,6.0,1.0,3.0,10.0,,,0.14285714285714285,0.22727272727272727,0.3333333333333333,1.0,0.6666666666666666,,92.63157894736842,16.166666666666668,14.8,13.25,14.5,0.2727272727272727,0.3333333333333333,0.3333333333333333,,0.18181818181818182,0.4623863636363636,0.63045,8.657142857142857,-3.0,11.0,9.0,,2.0,,1.0,,2.0,,1.0,4.0,1.0,1.0,4.0,5.0,,1.0,,1.0,7.0,3.0,8.0,2.0,3.0,,4.0,1.0,,1.0,1.0,,,1.0,1.0,,4.0,,1.0,,1.0,,1.0,,1.0,1.0,4.0,8.0,4.0,,1.0,,,1.0,1.0,1.0,8.0,11.0,,1.0,0.25,0.25,,0.14285714285714285,,0.22727272727272727,,0.3076923076923077,0.36363636363636365,,,1.0,,0.16666666666666666,0.5,0.375,,,0.5,1.0,0.5,,,1.0,0.18181818181818182,,,,,,,0.36363636363636365,0.25,0.25,1.0,0.25,,,0.25,0.18181818181818182,,0.5454545454545454,0.25,0.4623863636363636,0.26666666666666666,0.36363636363636365,,0.8,26.075,0.9166666666666666,1.0,,,,,,,1.0,4.0,,1.0,4.0,,,0.25,,,,,,0.36363636363636365,0.25,,1.0,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1611661321,2022,2022,True
1628277-1629479-1630112-1630386-1631007,1611661321,"Allisha Gray, Teaira McCowan, Tyasha Harris, Awak Kuier, Veronica Burton","Gray, McCowan, Harris, Kuier, Burton",1628277-1629479-1630112-1630386-1631007,DAL,210.0,1,4.0,7.0,6.0,,13.0,,,1.0,4.0,6.0,12.0,,,8.0,4.0,5.0,,11.0,3.0,4.0,4.0,,,12.0,1.0,1.0,0.6666666666666666,0.7857142857142857,0.8571428571428571,0.75,0.6666666666666666,0.5,89.14285714285714,8.857142857142858,24.666666666666668,8.857142857142858,23.333333333333332,,,,,0.14285714285714285,0.5550857142857143,,4.133333333333334,12.0,7.0,,4.0,5.0,,,4.0,5.0,,1.0,1.0,,1.0,1.0,1.0,,,,4.0,6.0,1.0,12.0,,3.0,,1.0,1.0,,1.0,1.0,4.0,,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,12.0,7.0,,1.0,1.0,1.0,,0.6666666666666666,,0.7857142857142857,,0.8571428571428571,0.14285714285714285,,,,,,0.5,,,,,1.0,0.5,,,,0.7142857142857143,0.8,0.8,1.0,,,,0.14285714285714285,1.0,1.0,1.0,,,,,0.7142857142857143,0.8,0.8571428571428571,1.0,0.5550857142857143,0.14285714285714285,0.16666666666666666,,1.0,25.8,1.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,0.14285714285714285,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1611661321,2022,2022,True
1628277-1629479-1630112-1631007-203866,1611661321,"Allisha Gray, Teaira McCowan, Tyasha Harris, Veronica Burton, Kayla Thornton","Gray, McCowan, Harris, Burton, Thornton",1628277-1629479-1630112-1631007-203866,DAL,48.0,1,1.0,3.0,2.0,,5.0,,2.0,,,2.0,,3.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,150.0,10.333333333333334,8.5,10.333333333333334,8.5,1.0,,,,,0.40415,,11.2,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2022,2022,True
1628277-1629479-1630149-1631007-203866,1611661321,"Allisha Gray, Teaira McCowan, Satou Sabally, Veronica Burton, Kayla Thornton","Gray, McCowan, Sabally, Burton, Thornton",1628277-1629479-1630149-1631007-203866,DAL,44.0,1,1.0,1.0,1.0,,2.0,,,,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,65.45454545454545,7.0,37.0,7.0,37.0,,,,,,,,,-2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2022,2022,True
