EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,TotalPoss,FtPoints,Points,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefPoss,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,Offensive Fouls Drawn,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Travels,PenaltyTurnovers,ShootingFouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Steals,BadPassSteals,OffAtRimReboundPct,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,FTOffRebounds,Charge Fouls Drawn,OffFTReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFGM,PenaltyFG2M,PtsUnassisted2s,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,PenaltyFg2Pct,OffArc3ReboundPct,DefShortMidRangeReboundPct,PenaltyAtRimAccuracy,SecondChanceFtPoints,SelfOReb,OffLongMidRangeReboundPct,SelfORebPct,ShortMidRangeFGM,LostBallSteals,BadPassOutOfBoundsTurnovers,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFouls,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,ShortMidRangeAssists,DefCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,FTDefRebounds,DefFTReboundPct,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PtsPutbacks,PtsUnassisted3s,Fg3aBlocked,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,BlocksRecoveredPct,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Clear Path Fouls,LongMidRangePctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1627673-1628280-1628304-1631002-202662,1611661323,"Jonquel Jones, Brionna Jones, Yvonne Anderson, Nia Clouden, Jasmine Thomas","Jones, Jones, Anderson, Clouden, Thomas",1627673-1628280-1628304-1631002-202662,CON,22.0,1,2.0,1.0,1,2.0,2.0,1.0,2.0,1.0,2.0,1.0,65.45454545454545,22.0,22.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627673-1627675-1628280-1630096-202662,1611661323,"Jonquel Jones, Courtney Williams, Brionna Jones, DiJonai Carrington, Jasmine Thomas","Jones, Williams, Jones, Carrington, Thomas",1627673-1627675-1628280-1630096-202662,CON,25.0,1,,1.0,2,,,1.0,,,,,115.19999999999999,14.0,14.0,,,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627675-1630096-201886-202662-203826,1611661323,"Courtney Williams, DiJonai Carrington, DeWanna Bonner, Jasmine Thomas, Alyssa Thomas","Williams, Carrington, Bonner, Thomas, Thomas",1627675-1630096-201886-202662-203826,CON,230.0,1,2.0,8.0,15,1.0,9.0,2.0,2.0,1.0,4.0,0.5625,93.91304347826086,16.75,15.0,0.125,0.25,7.0,1.0,2.0,2.0,,,13.714285714285714,13.714285714285714,4.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,7.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,4.0,2.0,6.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,6.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.3333333333333333,1.0,0.5714285714285714,1.25,0.375,1.25,0.4,0.5714285714285714,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.25,0.5,0.5,0.8571428571428571,0.5,0.4614,0.12405,0.3971625,0.5555555555555556,0.4444444444444444,4.833333333333333,23.125,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1628280-1628304-1629567-1630115-1631002,1611661323,"Brionna Jones, Yvonne Anderson, Natisha Hiedeman, Joyner Holmes, Nia Clouden","Jones, Anderson, Hiedeman, Holmes, Clouden",1628280-1628304-1629567-1630115-1631002,CON,119.0,1,-2.0,4.0,7,,,,,,,,84.70588235294117,19.5,17.0,,,3.0,,,1.0,,,13.666666666666666,11.333333333333334,2.0,,3.0,1.0,,1.0,,,,2.0,,,,1.0,,,,,,3.0,,1.0,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,0.25,,1.0,0.3333333333333333,,,0.5,0.25,,,,1.0,,0.25,,,,0.5,,,,,0.25,,,,,,,,,,,,,0.5,,0.5162625,0.4107,,,,8.666666666666666,23.7,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627673-1627675-1630096-202662-203826,1611661323,"Jonquel Jones, Courtney Williams, DiJonai Carrington, Jasmine Thomas, Alyssa Thomas","Jones, Williams, Carrington, Thomas, Thomas",1627673-1627675-1630096-202662-203826,CON,169.0,1,2.0,5.0,11,,8.0,3.0,2.0,1.0,6.0,0.6666666666666666,93.72781065088756,14.2,13.4,0.16666666666666666,0.16666666666666666,6.0,,,1.0,,1.0,16.333333333333332,16.0,3.0,,,1.0,3.0,4.0,1.0,1.0,,,,,,,,,,,4.0,5.0,,,6.0,1.0,1.0,,,2.0,,,,,,8.0,,,,4.0,,4.0,,,3.0,8.0,,,,1.0,1.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,0.8,1.0,0.8,1.0,,1.0,,,,1.0,,,,0.5,,,,1.0,,,0.8,0.75,0.75,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,0.8,,0.6404,0.8058,,0.25,,3.96,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627673-1629567-1630096-202662-203826,1611661323,"Jonquel Jones, Natisha Hiedeman, DiJonai Carrington, Jasmine Thomas, Alyssa Thomas","Jones, Hiedeman, Carrington, Thomas, Thomas",1627673-1629567-1630096-202662-203826,CON,369.0,2,-4.0,12.0,23,,4.0,7.0,1.0,1.0,4.0,0.18181818181818182,89.7560975609756,17.5,16.25,0.09090909090909091,0.125,11.0,4.0,7.0,5.0,1.0,2.0,14.454545454545455,13.727272727272727,6.0,2.0,,4.0,1.0,4.0,,2.0,2.0,2.0,,,,3.0,,,,,2.0,8.0,,3.0,8.0,,3.0,,,,2.0,,,,2.0,2.0,,3.0,,1.0,,1.0,,,,2.0,2.0,2.0,,3.0,3.0,5.0,8.0,3.0,1.0,,1.0,3.0,2.0,2.0,0.5,0.5,,,,,,0.25,,0.18181818181818182,,0.5,,0.5,0.2727272727272727,0.42857142857142855,0.6,0.3333333333333333,,1.0,0.6,0.5,0.5,,,1.0,,0.36363636363636365,0.25,0.25,,0.18181818181818182,,,,,0.2727272727272727,,,,0.6666666666666666,,,,,,1.0,,,0.6363636363636364,,0.5499181818181819,0.6030666666666666,0.81325,,0.5,6.1375,24.266666666666666,0.16666666666666666,2.0,2.0,0.3333333333333333,1.0,2.0,1.0,1.0,,1.0,0.18181818181818182,0.5,0.5,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627675-1628280-1628304-1629567-1630115,1611661323,"Courtney Williams, Brionna Jones, Yvonne Anderson, Natisha Hiedeman, Joyner Holmes","Williams, Jones, Anderson, Hiedeman, Holmes",1627675-1628280-1628304-1629567-1630115,CON,13.0,1,,,1,,,,,,,,110.76923076923076,,,,,1.0,,,,,,13.0,13.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1627673-1629567-1630096-1631002-203826,1611661323,"Jonquel Jones, Natisha Hiedeman, DiJonai Carrington, Nia Clouden, Alyssa Thomas","Jones, Hiedeman, Carrington, Clouden, Thomas",1627673-1629567-1630096-1631002-203826,CON,10.0,1,1.0,1.0,1,1.0,1.0,1.0,2.0,1.0,,0.25,144.0,10.0,10.0,0.5,0.5,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.5,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.7029,,,1.0,,1.9,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1628280-1628304-1630096-202662-203826,1611661323,"Brionna Jones, Yvonne Anderson, DiJonai Carrington, Jasmine Thomas, Alyssa Thomas","Jones, Anderson, Carrington, Thomas, Thomas",1628280-1628304-1630096-202662-203826,CON,159.0,1,4.0,4.0,8,3.0,7.0,3.0,3.0,2.0,5.0,0.5833333333333334,72.45283018867924,15.5,12.75,0.3333333333333333,0.3333333333333333,4.0,,,4.0,,,24.25,24.25,3.0,2.0,1.0,2.0,1.0,2.0,,,1.0,,,,,,,,,,2.0,5.0,,,3.0,,1.0,,,2.0,2.0,,,2.0,4.0,4.0,,,,2.0,,2.0,,,1.0,4.0,,2.0,,2.0,2.0,2.0,4.0,,,,,2.0,4.0,2.0,1.0,1.0,,,,,,0.4,,0.4,,0.5,0.5,0.6666666666666666,,,1.0,0.6666666666666666,,,1.0,0.6666666666666666,,,,1.0,,0.4,0.5,0.5,1.0,,,,,,,,,,,,,,,,0.5,,,0.4,,0.53748,0.4301,0.63495,0.2857142857142857,0.5714285714285714,10.72,,0.5,,,1.0,1.0,3.0,1.0,,,,0.6,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,1.0,,,,0.5,,1.0,1.0,2.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
1628304-1629567-1630096-1630115-1631002,1611661323,"Yvonne Anderson, Natisha Hiedeman, DiJonai Carrington, Joyner Holmes, Nia Clouden","Anderson, Hiedeman, Carrington, Holmes, Clouden",1628304-1629567-1630096-1630115-1631002,CON,169.0,1,-7.0,8.0,15,1.0,3.0,1.0,2.0,1.0,3.0,0.3,127.81065088757396,13.0,13.0,0.2,0.3333333333333333,7.0,1.0,2.0,4.0,,,9.285714285714286,9.0,3.0,3.0,7.0,,,1.0,,,,1.0,,,,2.0,,,,,1.0,2.0,,2.0,10.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,3.0,,,,,,,,0.5,,0.25,,,,,0.5,0.5,,,,,,,,,,,,0.25,,,,0.25,,,,,0.5,,,,,,,,,,,,,0.75,,0.495825,,,,,5.15,25.15,0.375,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,False
