EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,PlusMinus,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FtPoints,PtsUnassisted2s,AtRimAssists,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFG3AFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,LiveBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,LiveBallTurnoverPct,PenaltyDefPoss,Arc3FGA,FG3A,NonHeaveArc3FGA,Fg2aBlocked,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Arc3Frequency,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,OffTwoPtRebounds,OffRebounds,BlockingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChancePointsPct,Corner3FGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,BadPassTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockedShortMidRange,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffCorner3ReboundPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Corner3FGM,PenaltyArc3FGM,PenaltyFG3M,Corner3Assists,LongMidRangeAssists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Accuracy,HeaveAttempts,SelfOReb,DefCorner3ReboundPct,SelfORebPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,Charge Fouls,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Offensive Fouls,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,ShortMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockingFouls,BlockedLongMidRange,SecondChanceAtRimPctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,Corner3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
1628273-1628285-1628922-202633-203866,1611661321,"Kaela Davis, Leticia Romero, Azurá Stevens, Liz Cambage, Kayla Thornton","Davis, Romero, Stevens, Cambage, Thornton",1628273-1628285-1628922-202633-203866,DAL,44.0,1,1.0,2.0,2.0,4,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,130.9090909090909,9.5,12.5,9.5,12.5,1.0,1.0,1.0,1.0,0.2258,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,False
1628273-1628922-202633-203401-204297,1611661321,"Kaela Davis, Azurá Stevens, Liz Cambage, Tayler Hill, Cayla George","Davis, Stevens, Cambage, Hill, George",1628273-1628922-202633-203401-204297,DAL,69.0,2,1.0,2.0,1.0,3,,,2.0,2.0,5.0,3.0,2.0,1.0,1.0,,2.0,,,,,1.0,1.0,,5.0,0.5,0.5,1.0,1.0,1.25,62.60869565217392,12.5,44.0,12.5,44.0,,,,,0.46905,9.75,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,False
1628277-1628285-203017-203401-203866,1611661321,"Allisha Gray, Leticia Romero, Glory Johnson, Tayler Hill, Kayla Thornton","Gray, Romero, Johnson, Hill, Thornton",1628277-1628285-203017-203401-203866,DAL,57.0,1,1.0,2.0,2.0,4,,,,1.0,,5.0,,,,,,,,1.0,,,1.0,,,,,,,,101.05263157894737,22.0,6.5,19.0,6.5,,,,,0.4614,2.9,-5.0,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,False
1628267-1628277-1628292-1628922-203866,1611661321,"Saniya Chong, Allisha Gray, Breanna Lewis, Azurá Stevens, Kayla Thornton","Chong, Gray, Lewis, Stevens, Thornton",1628267-1628277-1628292-1628922-203866,DAL,28.0,1,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,51.42857142857143,,28.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,False
1627672-1628273-1628277-1628922-203017,1611661321,"Aerial Powers, Kaela Davis, Allisha Gray, Azurá Stevens, Glory Johnson","Powers, Davis, Gray, Stevens, Johnson",1627672-1628273-1628277-1628922-203017,DAL,116.0,1,2.0,4.0,3.0,7,,,,1.0,,3.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,86.89655172413794,17.25,15.666666666666666,17.25,15.0,,,,,0.5003,18.0,-3.0,,,,1.0,,,,,,,,,,,,,,0.3333333333333333,,,0.6666666666666666,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,23.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,False
1627672-1628273-1628277-202633-203017,1611661321,"Aerial Powers, Kaela Davis, Allisha Gray, Liz Cambage, Glory Johnson","Powers, Davis, Gray, Cambage, Johnson",1627672-1628273-1628277-202633-203017,DAL,90.0,1,2.0,2.0,2.0,4,1.0,2.0,1.0,3.0,3.0,2.0,,,,,,,,,,,1.0,,3.0,,,0.3333333333333333,0.25,0.375,64.0,29.0,16.0,22.0,16.0,0.5,0.5,0.5,,0.4617625,5.666666666666667,1.0,,1.0,,,1.0,2.0,,1.0,1.0,1.0,,,,0.25,,,,,,,0.5,0.25,0.3333333333333333,1.0,,,,,2.0,1.0,1.0,1.0,,,,2.0,,,0.25,,,,,,0.25,24.8,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,0.3333333333333333,0.25,0.375,1.0,0.6666666666666666,1.0,1.0,0.5,0.5,0.25,0.25,0.571475,0.4617625,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,False
1627672-1628273-1628922-203017-203400,1611661321,"Aerial Powers, Kaela Davis, Azurá Stevens, Glory Johnson, Skylar Diggins-Smith","Powers, Davis, Stevens, Johnson, Diggins-Smith",1627672-1628273-1628922-203017-203400,DAL,824.0,4,14.0,25.0,26.0,51,3.0,6.0,11.0,20.0,33.0,28.0,6.0,3.0,3.0,1.0,6.0,,4.0,4.0,5.0,9.0,10.0,1.0,24.0,0.2727272727272727,0.375,0.55,0.4230769230769231,0.5161290322580645,89.12621359223301,16.24,16.076923076923077,14.76,15.153846153846153,0.23076923076923078,0.5,0.5,0.3333333333333333,0.4928307692307692,7.584999999999999,5.0,8.0,10.0,,4.0,11.0,16.0,2.0,14.0,3.0,8.0,1.0,1.0,2.0,0.38461538461538464,0.8,0.8888888888888888,0.25,0.15384615384615385,,,0.6153846153846154,0.25806451612903225,0.32,7.0,,,2.0,,15.0,6.0,6.0,6.0,1.0,4.0,6.0,15.0,3.0,2.0,0.23076923076923078,0.05,,0.4444444444444444,0.5,0.5,0.23076923076923078,23.650000000000002,8.0,4.0,3.0,,3.0,6.0,,1.0,6.0,3.0,3.0,5.0,4.0,9.0,,5.0,8.0,0.16666666666666666,0.1111111111111111,0.18181818181818182,0.4444444444444444,0.5714285714285714,0.5,0.3333333333333333,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.4564,0.4411333333333334,0.15151515151515152,0.32,3.0,1.0,4.0,1.0,9.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6428571428571429,0.1,1.0,1.0,1.0,0.8,0.5,0.8,0.5,0.3333333333333333,1.0,0.5,0.75,0.3333333333333333,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,False
1627672-1628273-202633-203400-203866,1611661321,"Aerial Powers, Kaela Davis, Liz Cambage, Skylar Diggins-Smith, Kayla Thornton","Powers, Davis, Cambage, Diggins-Smith, Thornton",1627672-1628273-202633-203400-203866,DAL,284.0,3,5.0,7.0,10.0,17,,,,2.0,5.0,4.0,,,1.0,,3.0,1.0,1.0,2.0,1.0,3.0,5.0,,3.0,,,,0.25,0.2857142857142857,86.19718309859155,19.0,15.1,17.714285714285715,14.3,,,,,0.48739166666666667,2.4,1.0,,2.0,,,2.0,,,3.0,,1.0,1.0,,1.0,0.3333333333333333,,,,,,,1.0,0.14285714285714285,0.3333333333333333,2.0,1.0,,,0.5,,3.0,4.0,3.0,,7.0,7.0,9.0,,,0.6666666666666666,,,1.0,0.875,1.0,0.5,24.15,,1.0,,,,1.0,,,,,,,,2.0,1.0,,,,,,,0.4,,,1.0,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,1.0,,,1.0,,,,0.25,,,,,0.6666666666666666,,0.5,1.0,1.0,,1.0,,,0.4,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,False
1627672-1628277-1628922-202633-203400,1611661321,"Aerial Powers, Allisha Gray, Azurá Stevens, Liz Cambage, Skylar Diggins-Smith","Powers, Gray, Stevens, Cambage, Diggins-Smith",1627672-1628277-1628922-202633-203400,DAL,317.0,2,5.0,12.0,11.0,23,,,2.0,3.0,20.0,13.0,2.0,1.0,4.0,,11.0,,,1.0,,,4.0,,20.0,0.5,0.5,0.6666666666666666,0.9285714285714286,0.9090909090909091,104.4794952681388,13.416666666666666,14.181818181818182,13.416666666666666,14.181818181818182,,,,,0.43961428571428574,17.033333333333335,7.0,,,2.0,3.0,7.0,2.0,,8.0,,2.0,,,,,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.2222222222222222,0.4,,1.0,,,1.0,7.0,3.0,4.0,3.0,,5.0,5.0,5.0,,,0.5714285714285714,,,1.0,1.0,,0.42857142857142855,25.5,8.0,,,,3.0,,,2.0,2.0,3.0,6.0,16.0,,,,16.0,8.0,1.0,1.0,1.0,,,,,,,,0.6,,0.42041000000000006,0.8,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,2.0,3.0,9.0,2.0,3.0,2.0,1.0,,,,,1.0,0.75,0.75,,0.14285714285714285,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.6666666666666666,0.5,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,False
1627672-1628277-202633-203017-203400,1611661321,"Aerial Powers, Allisha Gray, Liz Cambage, Glory Johnson, Skylar Diggins-Smith","Powers, Gray, Cambage, Johnson, Diggins-Smith",1627672-1628277-202633-203017-203400,DAL,710.0,4,12.0,25.0,27.0,52,2.0,4.0,6.0,12.0,21.0,30.0,4.0,2.0,3.0,1.0,7.0,,2.0,6.0,3.0,3.0,5.0,,19.0,0.3333333333333333,0.3333333333333333,0.5,0.4166666666666667,0.5,105.46478873239437,13.08,14.185185185185185,13.08,13.814814814814815,0.2222222222222222,0.5,0.5,0.5,0.47507058823529413,9.125,-9.0,2.0,4.0,2.0,4.0,6.0,8.0,1.0,7.0,1.0,4.0,,,,0.2222222222222222,0.5,0.5,0.5,0.2222222222222222,0.5,0.5,0.5555555555555556,0.19047619047619047,0.26666666666666666,1.0,4.0,2.0,,0.6666666666666666,8.0,6.0,6.0,5.0,,4.0,9.0,10.0,3.0,1.0,0.3333333333333333,,,1.0,0.8888888888888888,1.0,0.3333333333333333,28.28333333333333,6.0,,1.0,,1.0,,,2.0,2.0,1.0,,4.0,,1.0,,4.0,6.0,1.0,0.6666666666666666,0.6666666666666666,,0.1,,,,,0.3333333333333333,0.3333333333333333,,0.52255,0.19047619047619047,0.24,,1.0,,2.0,2.0,,1.0,,4.0,1.0,2.0,2.0,,,4.0,,,,,,,,1.0,,1.0,,0.8,0.25,,0.25,1.0,1.0,0.75,,,1.0,0.09523809523809523,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,,,,1.0,0.16666666666666666,0.2,,,0.16666666666666666,0.16666666666666666,1.0,0.2,,,,,,,,,,,,,,1.0,1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2018,2018,False
