EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg3aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,AtRimAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,2pt And 1 Free Throw Trips,BlockedShortMidRange,RecoveredBlocks,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,PenaltyDefPoss,FTDefRebounds,Technical Free Throw Trips,DefFTReboundPct,ShortMidRangeFGM,Loose Ball Fouls,Offensive Fouls,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,SecondChanceFg3Pct,OffShortMidRangeReboundPct,SecondChanceArc3Accuracy,Fg2aBlocked,SecondChanceTurnovers,FG2APctBlocked,AtRimPctBlocked,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,SelfOReb,Charge Fouls,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctBlocked,SelfORebPct,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyPointsPct,LiveBallTurnovers,BadPassTurnovers,Offensive Fouls Drawn,ShortMidRangePctBlocked,LiveBallTurnoverPct,PenaltyTurnovers,BlockingFouls,PenaltyFtPoints,HeaveAttempts,ShortMidRangeAssists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctAssisted,BlockingFoulsDrawn,Corner3FGM,Corner3FGA,Corner3Assists,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,NonShootingPenaltyNonTakeFouls,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceFtPoints,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Charge Fouls Drawn,Blocked3s,BlockedArc3,BlockedLongMidRange,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1627677-1628279-1628881-201904-203410,1611661330,"Imani McGee-Stafford, Brittney Sykes, Monique Billings, Renee Montgomery, Alex Bentley","McGee-Stafford, Sykes, Billings, Montgomery, Bentley",1627677-1628279-1628881-201904-203410,ATL,177.0,1,3,3.0,6,7.0,1.0,2.0,13,1.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,7.0,3.0,6.0,3.0,2.0,3.0,1.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.5,0.42857142857142855,0.6666666666666666,0.3,0.5,0.3,0.5,0.3,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,1.0,0.5,0.6666666666666666,1.0,1.0,105.76271186440677,18.333333333333332,9.571428571428571,13.833333333333334,9.571428571428571,0.2,0.5,0.5,0.1,0.4,0.5,0.5,0.5,0.3,0.25,0.25,0.5,0.470455,0.4069666666666667,0.3776,0.6666666666666666,11.1,24.400000000000002,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2018,2018,True
1627677-1628279-1628881-203026-203410,1611661330,"Imani McGee-Stafford, Brittney Sykes, Monique Billings, Tiffany Hayes, Alex Bentley","McGee-Stafford, Sykes, Billings, Hayes, Bentley",1627677-1628279-1628881-203026-203410,ATL,39.0,1,1,,1,1.0,,,2,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,73.84615384615384,18.0,21.0,18.0,21.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2018,2018,True
1627677-1628279-202638-203026-203410,1611661330,"Imani McGee-Stafford, Brittney Sykes, Jessica Breland, Tiffany Hayes, Alex Bentley","McGee-Stafford, Sykes, Breland, Hayes, Bentley",1627677-1628279-202638-203026-203410,ATL,88.0,2,1,3.0,3,2.0,,1.0,5,,,,1.0,,,1.0,,,1.0,1.0,5.0,2.0,,1.0,,,,,,,1.0,,,1.0,,3.0,,,,1.0,1.0,,1.0,,,,,2.0,,,,5.0,,,,,,0.75,,0.8333333333333334,,0.5,,,0.5,,,,0.5,,,,,,,81.81818181818183,16.666666666666668,19.0,12.333333333333334,19.0,,,,0.5,,,,,0.5,,,0.5,0.4348,0.3563,,,11.8,25.7,,2.0,2.0,1.0,0.3333333333333333,0.5,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2018,2018,True
1627677-1628279-202638-203410-204355,1611661330,"Imani McGee-Stafford, Brittney Sykes, Jessica Breland, Alex Bentley, Blake Dietrick","McGee-Stafford, Sykes, Breland, Bentley, Dietrick",1627677-1628279-202638-203410-204355,ATL,167.0,1,3,-2.0,6,6.0,,,12,1.0,2.0,,,1.0,3.0,,,2.0,5.0,,5.0,7.0,,,,,,4.0,,,,,2.0,2.0,1.0,4.0,,,1.0,1.0,2.0,,2.0,1.0,,,1.0,1.0,1.0,,1.0,5.0,,1.0,1.0,0.4,,0.4,,0.5,,,,,0.5,,1.0,,0.6666666666666666,,,,,,,103.47305389221557,14.666666666666666,13.166666666666666,14.666666666666666,12.5,0.4,0.5,0.5,,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,0.4,0.5075999999999999,,,,11.14,,,1.0,1.0,1.0,0.2,0.2,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2018,2018,True
1627677-1628327-1628881-203410-204355,1611661330,"Imani McGee-Stafford, Adaora Elonu, Monique Billings, Alex Bentley, Blake Dietrick","McGee-Stafford, Elonu, Billings, Bentley, Dietrick",1627677-1628327-1628881-203410-204355,ATL,218.0,1,4,,7,7.0,,,14,1.0,2.0,,1.0,1.0,2.0,,,2.0,5.0,,7.0,7.0,,,,,,2.0,2.0,,,,1.0,1.0,1.0,2.0,,,1.0,1.0,3.0,,3.0,,,1.0,1.0,2.0,,,,7.0,,0.5,0.5,0.4,,0.4,,0.42857142857142855,,,,,0.3333333333333333,,1.0,,0.5,,,,,,1.0,92.4770642201835,19.142857142857142,12.0,19.142857142857142,11.285714285714286,0.4,0.5,0.5,0.2,0.4,0.5,0.5,1.0,,,,0.4,0.39164,,,,9.620000000000001,,,3.0,5.0,2.0,0.2857142857142857,0.2857142857142857,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,7.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2018,2018,True
1627677-1628881-201904-203026-203410,1611661330,"Imani McGee-Stafford, Monique Billings, Renee Montgomery, Tiffany Hayes, Alex Bentley","McGee-Stafford, Billings, Montgomery, Hayes, Bentley",1627677-1628881-201904-203026-203410,ATL,133.0,2,2,,4,4.0,,1.0,8,,1.0,,1.0,,1.0,,,1.0,3.0,,4.0,4.0,1.0,1.0,,2.0,,,2.0,,,,,,,,,1.0,,,,1.0,1.0,,,,2.0,1.0,,,,2.0,,,,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.0,,,,,0.5,,,,0.5,1.0,,,,,86.61654135338345,17.75,15.5,16.75,15.5,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,0.46596666666666664,0.4618,,0.5,11.066666666666668,,,2.0,2.0,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2018,2018,True
1627677-1628881-201904-203410-204355,1611661330,"Imani McGee-Stafford, Monique Billings, Renee Montgomery, Alex Bentley, Blake Dietrick","McGee-Stafford, Billings, Montgomery, Bentley, Dietrick",1627677-1628881-201904-203410-204355,ATL,68.0,1,1,,1,2.0,,1.0,3,,,,1.0,,,1.0,1.0,,1.0,1.0,3.0,3.0,,,1.0,3.0,,,,,1.0,,,,,,,1.0,,,1.0,1.0,2.0,,,2.0,2.0,1.0,,,,,,,,,,0.75,1.5,0.75,1.5,0.5,,,,1.0,,,,1.0,,,,,,63.529411764705884,37.0,15.5,26.0,15.5,,,,0.5,,,,,0.5,,1.0,0.5,0.39285,0.5166,,1.0,10.9,25.0,,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2018,2018,True
1627677-1628881-203026-203410-204355,1611661330,"Imani McGee-Stafford, Monique Billings, Tiffany Hayes, Alex Bentley, Blake Dietrick","McGee-Stafford, Billings, Hayes, Bentley, Dietrick",1627677-1628881-203026-203410-204355,ATL,52.0,1,1,-2.0,1,1.0,,1.0,2,,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,55.38461538461538,37.0,15.0,34.0,15.0,1.0,,,,,,,,,,,1.0,0.5181,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2018,2018,True
1627677-201904-202638-203026-203410,1611661330,"Imani McGee-Stafford, Renee Montgomery, Jessica Breland, Tiffany Hayes, Alex Bentley","McGee-Stafford, Montgomery, Breland, Hayes, Bentley",1627677-201904-202638-203026-203410,ATL,406.0,3,7,-10.0,13,12.0,3.0,2.0,25,2.0,3.0,2.0,2.0,,5.0,6.0,1.0,3.0,10.0,6.0,9.0,19.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,6.0,,1.0,2.0,,5.0,1.0,3.0,1.0,1.0,2.0,4.0,6.0,1.0,1.0,2.0,3.0,3.0,,,,7.0,3.0,0.3333333333333333,0.5,0.3,0.5,0.28125,0.3333333333333333,0.28125,0.3333333333333333,0.375,,,1.0,0.42857142857142855,1.0,0.2,1.0,0.3333333333333333,1.0,0.4,0.2,1.0,1.0,88.66995073891626,19.46153846153846,12.75,18.923076923076923,12.75,0.1875,0.6666666666666666,0.6666666666666666,0.125,0.3125,,,,0.375,0.6666666666666666,0.3333333333333333,0.5625,0.479234375,0.6222,0.5286666666666667,0.2222222222222222,10.879999999999999,23.7,0.23076923076923078,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,1.0,,,1.0,1.0,,,,,,,0.5,2.0,,,,1.0,,,0.5,0.5,,,,,,,1.0,,0.1,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,5.0,0.5,1.0,0.8333333333333334,0.8333333333333334,0.2,0.09090909090909091,0.5,0.3333333333333333,1.0,0.6666666666666666,0.5,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2018,2018,True
1627677-202638-203026-203410-204355,1611661330,"Imani McGee-Stafford, Jessica Breland, Tiffany Hayes, Alex Bentley, Blake Dietrick","McGee-Stafford, Breland, Hayes, Bentley, Dietrick",1627677-202638-203026-203410-204355,ATL,35.0,1,1,2.0,1,1.0,,,2,,,,,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,2.0,,,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,1.0,,,,2.0,1.0,,,,2.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,82.28571428571428,12.0,23.0,12.0,23.0,,,,,1.0,1.0,1.0,1.0,,,,,0.3429,,,,19.4,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2018,2018,True
