player,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Farhiya Abdi,LAS,F,17,142,0,19,44,.432,1,7,.143,18,37,.486,3,3,1.000,3,9,5,1,0,6,15,42,/wnba/players/a/abdifa01w.html,https://www.basketball-reference.com/wnba/players/a/abdifa01w.html,abdifa01w
Danielle Adams,SAS,F-C,34,700,14,135,332,.407,39,127,.307,96,205,.468,63,79,.797,42,141,32,22,24,43,102,372,/wnba/players/a/adamsda01w.html,https://www.basketball-reference.com/wnba/players/a/adamsda01w.html,adamsda01w
Matee Ajavon,ATL,G,24,220,1,15,54,.278,1,9,.111,14,45,.311,21,29,.724,10,18,16,11,1,22,29,52,/wnba/players/a/ajavoma01w.html,https://www.basketball-reference.com/wnba/players/a/ajavoma01w.html,ajavoma01w
Kayla Alexander,SAS,C,33,298,0,33,76,.434,0,0,,33,76,.434,26,31,.839,27,66,6,4,10,22,39,92,/wnba/players/a/alexaka01w.html,https://www.basketball-reference.com/wnba/players/a/alexaka01w.html,alexaka01w
Jayne Appel-Marinelli,SAS,C,34,843,34,70,130,.538,1,1,1.000,69,129,.535,26,43,.605,66,270,73,16,30,47,95,167,/wnba/players/a/appelja01w.html,https://www.basketball-reference.com/wnba/players/a/appelja01w.html,appelja01w
Seimone Augustus,MIN,G-F,24,749,24,170,333,.511,12,36,.333,158,297,.532,44,52,.846,13,87,58,10,2,39,23,396,/wnba/players/a/augusse01w.html,https://www.basketball-reference.com/wnba/players/a/augusse01w.html,augusse01w
Mistie Bass,PHO,F,34,493,0,58,114,.509,0,0,,58,114,.509,32,48,.667,41,110,18,16,13,24,52,148,/wnba/players/b/bassmi01w.html,https://www.basketball-reference.com/wnba/players/b/bassmi01w.html,bassmi01w
Vicki Baugh,TUL,F-C,33,266,0,33,56,.589,0,0,,33,56,.589,16,22,.727,36,95,5,11,7,16,55,82,/wnba/players/b/baughvi01w.html,https://www.basketball-reference.com/wnba/players/b/baughvi01w.html,baughvi01w
Alana Beard,LAS,G-F,33,913,33,119,257,.463,8,28,.286,111,229,.485,35,47,.745,19,86,84,37,15,59,86,281,/wnba/players/b/beardal01w.html,https://www.basketball-reference.com/wnba/players/b/beardal01w.html,beardal01w
Alex Bentley,CON,G,34,872,30,174,402,.433,31,96,.323,143,306,.467,37,49,.755,7,58,126,44,3,68,91,416,/wnba/players/b/bentlal01w.html,https://www.basketball-reference.com/wnba/players/b/bentlal01w.html,bentlal01w
Tiffany Bias,PHO,G,17,68,0,7,18,.389,2,6,.333,5,12,.417,2,6,.333,0,3,6,5,0,12,12,18,/wnba/players/b/biasti01w.html,https://www.basketball-reference.com/wnba/players/b/biasti01w.html,biasti01w
Sue Bird,SEA,G,33,963,33,129,334,.386,39,113,.345,90,221,.407,54,65,.831,6,72,133,26,1,75,32,351,/wnba/players/b/birdsu01w.html,https://www.basketball-reference.com/wnba/players/b/birdsu01w.html,birdsu01w
Kelsey Bone,CON,C,34,793,26,137,304,.451,0,3,.000,137,301,.455,43,65,.662,57,181,46,22,16,67,103,317,/wnba/players/b/boneke01w.html,https://www.basketball-reference.com/wnba/players/b/boneke01w.html,boneke01w
DeWanna Bonner,PHO,G-F,34,994,34,129,281,.459,24,86,.279,105,195,.538,71,91,.780,35,139,79,49,15,47,43,353,/wnba/players/b/bonnede01w.html,https://www.basketball-reference.com/wnba/players/b/bonnede01w.html,bonnede01w
Gennifer Brandon,CHI,F,16,122,2,11,33,.333,0,0,,11,33,.333,6,13,.462,11,41,3,3,7,10,6,28,/wnba/players/b/brandge01w.html,https://www.basketball-reference.com/wnba/players/b/brandge01w.html,brandge01w
Kara Braxton,NYL,C-F,4,31,0,4,8,.500,0,0,,4,8,.500,2,2,1.000,1,4,3,1,1,4,1,10,/wnba/players/b/braxtka01w.html,https://www.basketball-reference.com/wnba/players/b/braxtka01w.html,braxtka01w
Jessica Breland,CHI,F,32,849,32,135,293,.461,0,3,.000,135,290,.466,41,54,.759,63,219,61,29,58,70,90,311,/wnba/players/b/brelaje01w.html,https://www.basketball-reference.com/wnba/players/b/brelaje01w.html,brelaje01w
Rebekkah Brunson,MIN,F,11,303,11,32,81,.395,0,0,,32,81,.395,15,21,.714,27,90,17,3,8,10,20,79,/wnba/players/b/brunsre01w.html,https://www.basketball-reference.com/wnba/players/b/brunsre01w.html,brunsre01w
Heather Butler,SAS,G,11,38,0,1,9,.111,1,6,.167,0,3,.000,3,4,.750,1,3,3,0,0,5,7,6,/wnba/players/b/butlehe01w.html,https://www.basketball-reference.com/wnba/players/b/butlehe01w.html,butlehe01w
Kelley Cain,CON,C,8,45,0,4,16,.250,0,0,,4,16,.250,3,4,.750,5,12,1,2,4,3,9,11,/wnba/players/c/cainke01w.html,https://www.basketball-reference.com/wnba/players/c/cainke01w.html,cainke01w
Essence Carson,NYL,G,26,365,11,35,99,.354,7,24,.292,28,75,.373,10,12,.833,9,43,23,9,4,26,23,87,/wnba/players/c/carsoes01w.html,https://www.basketball-reference.com/wnba/players/c/carsoes01w.html,carsoes01w
Sydney Carter,IND,G,23,287,0,23,80,.288,4,24,.167,19,56,.339,23,31,.742,6,21,30,8,3,33,21,73,/wnba/players/c/cartesy01w.html,https://www.basketball-reference.com/wnba/players/c/cartesy01w.html,cartesy01w
Tamika Catchings,IND,F,16,430,16,90,202,.446,14,38,.368,76,164,.463,64,81,.790,21,102,30,27,13,33,30,258,/wnba/players/c/catchta01w.html,https://www.basketball-reference.com/wnba/players/c/catchta01w.html,catchta01w
Tina Charles,NYL,C,34,1119,34,236,511,.462,0,0,,236,511,.462,118,157,.752,89,320,74,44,30,77,57,590,/wnba/players/c/charlti01w.html,https://www.basketball-reference.com/wnba/players/c/charlti01w.html,charlti01w
Karima Christmas-Kelly,IND,F-G,34,736,3,69,201,.343,27,70,.386,42,131,.321,71,94,.755,47,121,29,30,9,25,70,236,/wnba/players/c/chriska02w.html,https://www.basketball-reference.com/wnba/players/c/chriska02w.html,chriska02w
Shameka Christon,SAS,G,31,338,0,38,107,.355,25,81,.309,13,26,.500,12,15,.800,9,40,6,7,4,8,33,113,/wnba/players/c/chrissh01w.html,https://www.basketball-reference.com/wnba/players/c/chrissh01w.html,chrissh01w
Layshia Clarendon,IND,G,29,398,3,49,122,.402,6,19,.316,43,103,.417,17,24,.708,12,42,34,11,0,28,33,121,/wnba/players/c/clarela01w.html,https://www.basketball-reference.com/wnba/players/c/clarela01w.html,clarela01w
Alysha Clark,SEA,F,34,561,22,56,125,.448,14,57,.246,42,68,.618,16,23,.696,26,73,20,16,10,24,64,142,/wnba/players/c/clarkal01w.html,https://www.basketball-reference.com/wnba/players/c/clarkal01w.html,clarkal01w
Courtney Clements,CHI,G,33,376,1,36,99,.364,4,23,.174,32,76,.421,12,12,1.000,14,55,22,12,2,13,32,88,/wnba/players/c/clemeco01w.html,https://www.basketball-reference.com/wnba/players/c/clemeco01w.html,clemeco01w
Marissa Coleman,IND,G-F,34,815,32,106,271,.391,43,113,.381,63,158,.399,49,60,.817,28,112,37,27,11,40,68,304,/wnba/players/c/colemma01w.html,https://www.basketball-reference.com/wnba/players/c/colemma01w.html,colemma01w
Nadia Colhado,ATL,C,16,127,0,21,42,.500,0,0,,21,42,.500,2,7,.286,4,29,1,5,6,8,23,44,/wnba/players/c/colhana01w.html,https://www.basketball-reference.com/wnba/players/c/colhana01w.html,colhana01w
Anna Cruz,NYL,G,34,922,34,109,236,.462,17,49,.347,92,187,.492,27,39,.692,14,118,121,44,9,72,61,262,/wnba/players/c/cruzan01w.html,https://www.basketball-reference.com/wnba/players/c/cruzan01w.html,cruzan01w
Monique Currie,WAS,F,34,804,28,103,262,.393,19,83,.229,84,179,.469,111,140,.793,29,157,52,36,5,49,90,336,/wnba/players/c/currimo01w.html,https://www.basketball-reference.com/wnba/players/c/currimo01w.html,currimo01w
Damiris Dantas,MIN,C-F,30,655,23,71,139,.511,1,1,1.000,70,138,.507,38,50,.760,46,152,36,15,11,24,62,181,/wnba/players/d/dantada01w.html,https://www.basketball-reference.com/wnba/players/d/dantada01w.html,dantada01w
Elena Delle Donne,CHI,F-G,16,408,9,91,212,.429,20,55,.364,71,157,.452,84,90,.933,22,64,18,9,24,12,22,286,/wnba/players/d/delleel01w.html,https://www.basketball-reference.com/wnba/players/d/delleel01w.html,delleel01w
Erika de Souza,ATL,F-C,33,986,33,192,352,.545,0,0,,192,352,.545,72,102,.706,97,286,39,37,47,58,93,456,/wnba/players/d/desouer01w.html,https://www.basketball-reference.com/wnba/players/d/desouer01w.html,desouer01w
Skylar Diggins,TUL,G,34,1192,34,232,547,.424,33,116,.284,199,431,.462,186,221,.842,25,86,170,50,20,97,88,683,/wnba/players/d/diggisk01w.html,https://www.basketball-reference.com/wnba/players/d/diggisk01w.html,diggisk01w
Stefanie Dolson,WAS,C,34,627,1,87,177,.492,0,3,.000,87,174,.500,30,37,.811,31,149,42,12,37,58,91,204,/wnba/players/d/dolsost01w.html,https://www.basketball-reference.com/wnba/players/d/dolsost01w.html,dolsost01w
Katie Douglas,CON,G-F,32,1040,32,133,372,.358,63,177,.356,70,195,.359,89,105,.848,25,106,69,30,13,71,56,418,/wnba/players/d/douglka01w.html,https://www.basketball-reference.com/wnba/players/d/douglka01w.html,douglka01w
Celine Dumerc,ATL,G,28,527,11,28,95,.295,12,52,.231,16,43,.372,25,36,.694,16,56,112,30,2,58,54,93,/wnba/players/d/dumercc01w.html,https://www.basketball-reference.com/wnba/players/d/dumercc01w.html,dumercc01w
Candice Dupree,PHO,F,34,1062,34,210,394,.533,0,0,,210,394,.533,73,86,.849,41,257,80,29,18,48,47,493,/wnba/players/d/dupreca01w.html,https://www.basketball-reference.com/wnba/players/d/dupreca01w.html,dupreca01w
Aaryn Ellenberg,CHI,G,2,1,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,/wnba/players/e/ellenaa01w.html,https://www.basketball-reference.com/wnba/players/e/ellenaa01w.html,ellenaa01w
Kelly Faris,CON,G,25,192,0,8,33,.242,4,15,.267,4,18,.222,8,10,.800,6,29,9,3,2,7,18,28,/wnba/players/f/fariske01w.html,https://www.basketball-reference.com/wnba/players/f/fariske01w.html,fariske01w
Jamierra Faulkner,CHI,G,34,694,18,96,265,.362,13,49,.265,83,216,.384,62,74,.838,11,68,120,33,7,81,66,267,/wnba/players/f/faulkja01w.html,https://www.basketball-reference.com/wnba/players/f/faulkja01w.html,faulkja01w
Sylvia Fowles,CHI,C,20,596,18,101,185,.546,0,0,,101,185,.546,65,83,.783,45,203,11,28,41,57,66,267,/wnba/players/f/fowlesy01w.html,https://www.basketball-reference.com/wnba/players/f/fowlesy01w.html,fowlesy01w
Markeisha Gatling,CHI,C,29,319,1,46,71,.648,0,0,,46,71,.648,16,22,.727,23,69,1,3,13,20,64,108,/wnba/players/g/gatlima01w.html,https://www.basketball-reference.com/wnba/players/g/gatlima01w.html,gatlima01w
Briana Gilbreath-Butler,CON,G,6,36,0,1,6,.167,0,2,.000,1,4,.250,0,0,,0,5,0,1,1,2,3,2,/wnba/players/g/gilbrbr01w.html,https://www.basketball-reference.com/wnba/players/g/gilbrbr01w.html,gilbrbr01w
Sasha Goodlett,CHI,C,34,440,15,44,97,.454,0,0,,44,97,.454,26,36,.722,26,78,11,11,17,21,52,114,/wnba/players/g/goodlsa01w.html,https://www.basketball-reference.com/wnba/players/g/goodlsa01w.html,goodlsa01w
Angel Goodrich,TUL,G,28,181,0,12,24,.500,1,2,.500,11,22,.500,4,7,.571,2,10,23,8,0,20,13,29,/wnba/players/g/goodran01w.html,https://www.basketball-reference.com/wnba/players/g/goodran01w.html,goodran01w
Kalana Greene,WAS,G,20,78,0,6,15,.400,0,2,.000,6,13,.462,3,4,.750,0,11,1,7,0,0,9,15,/wnba/players/g/greenka01w.html,https://www.basketball-reference.com/wnba/players/g/greenka01w.html,greenka01w
Nikki Greene,LAS,F-C,11,38,0,2,10,.200,0,0,,2,10,.200,1,1,1.000,3,11,0,1,1,5,10,5,/wnba/players/g/greenni01w.html,https://www.basketball-reference.com/wnba/players/g/greenni01w.html,greenni01w
Kelsey Griffin,CON,F,31,594,10,52,159,.327,8,30,.267,44,129,.341,24,34,.706,58,159,25,39,15,20,73,136,/wnba/players/g/griffke01w.html,https://www.basketball-reference.com/wnba/players/g/griffke01w.html,griffke01w
Brittney Griner,PHO,C,34,1045,34,219,379,.578,0,0,,219,379,.578,93,116,.802,62,271,56,22,129,65,109,531,/wnba/players/g/grinebr01w.html,https://www.basketball-reference.com/wnba/players/g/grinebr01w.html,grinebr01w
Sandrine Gruda,LAS,F-C,34,409,0,51,130,.392,0,0,,51,130,.392,26,39,.667,40,102,19,13,5,45,43,128,/wnba/players/g/grudasa01w.html,https://www.basketball-reference.com/wnba/players/g/grudasa01w.html,grudasa01w
Becky Hammon,SAS,G,32,784,32,91,218,.417,47,118,.398,44,100,.440,35,35,1.000,3,45,135,13,4,53,37,264,/wnba/players/h/hammobe01w.html,https://www.basketball-reference.com/wnba/players/h/hammobe01w.html,hammobe01w
Lindsey Harding,LAS,G,31,705,10,70,210,.333,5,22,.227,65,188,.346,33,42,.786,14,55,98,32,1,45,50,178,/wnba/players/h/hardili01w.html,https://www.basketball-reference.com/wnba/players/h/hardili01w.html,hardili01w
Bria Hartley,WAS,G,34,921,29,116,305,.380,33,101,.327,83,204,.407,64,82,.780,19,72,105,24,2,85,60,329,/wnba/players/h/hartlbr01w.html,https://www.basketball-reference.com/wnba/players/h/hartlbr01w.html,hartlbr01w
Jasmine Hassell,IND,F,2,21,0,3,5,.600,0,0,,3,5,.600,0,0,,0,0,1,3,0,2,5,6,/wnba/players/h/hasseja01w.html,https://www.basketball-reference.com/wnba/players/h/hasseja01w.html,hasseja01w
Tianna Hawkins,WAS,F,34,360,0,57,119,.479,5,17,.294,52,102,.510,23,32,.719,49,103,17,14,7,33,69,142,/wnba/players/h/hawkiti01w.html,https://www.basketball-reference.com/wnba/players/h/hawkiti01w.html,hawkiti01w
Tiffany Hayes,ATL,G,34,966,32,143,307,.466,40,112,.357,103,195,.528,111,146,.760,31,101,86,34,9,40,83,437,/wnba/players/h/hayesti01w.html,https://www.basketball-reference.com/wnba/players/h/hayesti01w.html,hayesti01w
Aneika Henry-Morello,ATL,F-C,34,435,4,64,110,.582,0,0,,64,110,.582,25,37,.676,47,115,9,7,23,32,59,153,/wnba/players/h/henryan01w.html,https://www.basketball-reference.com/wnba/players/h/henryan01w.html,henryan01w
Allison Hightower,CON,G,14,335,10,41,104,.394,6,27,.222,35,77,.455,20,22,.909,10,31,20,18,4,13,34,108,/wnba/players/h/hightal01w.html,https://www.basketball-reference.com/wnba/players/h/hightal01w.html,hightal01w
Tayler Hill,WAS,G,5,39,0,1,13,.077,1,7,.143,0,6,.000,2,2,1.000,0,1,2,1,0,0,0,5,/wnba/players/h/hillta01w.html,https://www.basketball-reference.com/wnba/players/h/hillta01w.html,hillta01w
Roneeka Hodges,TUL,G,34,720,34,64,185,.346,29,112,.259,35,73,.479,23,29,.793,19,60,47,17,5,20,68,180,/wnba/players/h/hodgero01w.html,https://www.basketball-reference.com/wnba/players/h/hodgero01w.html,hodgero01w
Ebony Hoffman,CON,F,8,68,0,6,18,.333,0,1,.000,6,17,.353,0,0,,6,14,4,5,0,6,12,12,/wnba/players/h/hoffmeb01w.html,https://www.basketball-reference.com/wnba/players/h/hoffmeb01w.html,hoffmeb01w
Jordan Hooper,TUL,F,34,646,1,68,192,.354,46,140,.329,22,52,.423,15,21,.714,23,81,19,12,7,28,46,197,/wnba/players/h/hoopejo01w.html,https://www.basketball-reference.com/wnba/players/h/hoopejo01w.html,hoopejo01w
Charde Houston,NYL,F,17,142,0,23,51,.451,1,8,.125,22,43,.512,9,13,.692,6,17,10,9,6,15,25,56,/wnba/players/h/houstch01w.html,https://www.basketball-reference.com/wnba/players/h/houstch01w.html,houstch01w
Natasha Howard,IND,F,34,576,15,98,221,.443,0,1,.000,98,220,.445,41,69,.594,52,104,21,26,23,52,87,237,/wnba/players/h/howarna01w.html,https://www.basketball-reference.com/wnba/players/h/howarna01w.html,howarna01w
Tiffany Jackson-Jones,TUL,F,7,71,0,6,15,.400,0,0,,6,15,.400,3,4,.750,3,13,1,4,1,4,9,15,/wnba/players/j/jacksti02w.html,https://www.basketball-reference.com/wnba/players/j/jacksti02w.html,jacksti02w
Briann January,IND,G,31,895,31,109,282,.387,36,94,.383,73,188,.388,66,75,.880,12,50,116,38,9,71,73,320,/wnba/players/j/januabr01w.html,https://www.basketball-reference.com/wnba/players/j/januabr01w.html,januabr01w
Chucky Jeffery,NYL,G,15,72,0,7,17,.412,0,1,.000,7,16,.438,1,4,.250,3,15,3,6,1,4,7,15,/wnba/players/j/jeffeja01w.html,https://www.basketball-reference.com/wnba/players/j/jeffeja01w.html,jeffeja01w
