player,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Natalie Achonwa,IND,F,24,195,0,36,66,.545,0,0,,36,66,.545,14,20,.700,16,47,6,10,1,12,27,86,/wnba/players/a/achonna01w.html,https://www.basketball-reference.com/wnba/players/a/achonna01w.html,achonna01w
Matee Ajavon,ATL,G,32,338,2,36,118,.305,3,13,.231,33,105,.314,30,40,.750,19,52,38,12,8,33,52,105,/wnba/players/a/ajavoma01w.html,https://www.basketball-reference.com/wnba/players/a/ajavoma01w.html,ajavoma01w
Kayla Alexander,SAS,C,25,489,0,77,141,.546,0,0,,77,141,.546,46,61,.754,47,113,13,11,13,28,55,200,/wnba/players/a/alexaka01w.html,https://www.basketball-reference.com/wnba/players/a/alexaka01w.html,alexaka01w
Rebecca Allen,NYL,F-G,21,280,6,45,98,.459,17,30,.567,28,68,.412,13,15,.867,12,35,11,9,11,13,35,120,/wnba/players/a/allenre01w.html,https://www.basketball-reference.com/wnba/players/a/allenre01w.html,allenre01w
Ameryst Alston,NYL,G,1,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,/wnba/players/a/alstoam01w.html,https://www.basketball-reference.com/wnba/players/a/alstoam01w.html,alstoam01w
Jayne Appel-Marinelli,SAS,C,34,786,34,51,119,.429,0,4,.000,51,115,.443,36,49,.735,41,184,72,30,35,54,113,138,/wnba/players/a/appelja01w.html,https://www.basketball-reference.com/wnba/players/a/appelja01w.html,appelja01w
Seimone Augustus,MIN,G-F,29,765,29,138,300,.460,13,39,.333,125,261,.479,37,46,.804,14,84,71,15,11,55,43,326,/wnba/players/a/augusse01w.html,https://www.basketball-reference.com/wnba/players/a/augusse01w.html,augusse01w
Rachel Banham,CON,G,15,164,0,20,49,.408,13,37,.351,7,12,.583,2,3,.667,1,11,14,8,1,8,19,55,/wnba/players/b/banhara01w.html,https://www.basketball-reference.com/wnba/players/b/banhara01w.html,banhara01w
Mistie Bass,PHO,F,33,434,1,37,80,.463,0,0,,37,80,.463,22,27,.815,28,64,25,16,11,20,49,96,/wnba/players/b/bassmi01w.html,https://www.basketball-reference.com/wnba/players/b/bassmi01w.html,bassmi01w
Vicki Baugh,SAS,F-C,11,148,0,19,33,.576,0,0,,19,33,.576,6,9,.667,16,41,3,4,3,14,25,44,/wnba/players/b/baughvi01w.html,https://www.basketball-reference.com/wnba/players/b/baughvi01w.html,baughvi01w
Alana Beard,LAS,G-F,34,997,34,100,214,.467,13,38,.342,87,176,.494,27,39,.692,31,111,73,58,20,43,96,240,/wnba/players/b/beardal01w.html,https://www.basketball-reference.com/wnba/players/b/beardal01w.html,beardal01w
Evgeniya Belyakova,LAS,F,21,238,0,16,54,.296,5,28,.179,11,26,.423,7,16,.438,2,15,15,13,1,8,24,44,/wnba/players/b/belyaeu01w.html,https://www.basketball-reference.com/wnba/players/b/belyaeu01w.html,belyaeu01w
Alex Bentley,CON,G,34,979,34,169,439,.385,48,168,.286,121,271,.446,51,65,.785,10,63,85,30,3,49,84,437,/wnba/players/b/bentlal01w.html,https://www.basketball-reference.com/wnba/players/b/bentlal01w.html,bentlal01w
Tiffany Bias,DAL,G,10,64,0,8,23,.348,3,11,.273,5,12,.417,10,12,.833,1,5,6,2,0,11,5,29,/wnba/players/b/biasti01w.html,https://www.basketball-reference.com/wnba/players/b/biasti01w.html,biasti01w
Sue Bird,SEA,G,34,1076,34,160,356,.449,72,162,.444,88,194,.454,44,56,.786,6,97,196,34,6,84,46,436,/wnba/players/b/birdsu01w.html,https://www.basketball-reference.com/wnba/players/b/birdsu01w.html,birdsu01w
Abby Bishop,SEA,F,13,67,0,4,11,.364,1,6,.167,3,5,.600,3,4,.750,0,6,8,1,1,1,17,12,/wnba/players/b/bishoab01w.html,https://www.basketball-reference.com/wnba/players/b/bishoab01w.html,bishoab01w
DeWanna Bonner,PHO,G-F,34,1064,24,154,363,.424,50,152,.329,104,211,.493,134,168,.798,42,182,83,44,21,56,55,492,/wnba/players/b/bonnede01w.html,https://www.basketball-reference.com/wnba/players/b/bonnede01w.html,bonnede01w
Brittany Boyd,NYL,G,33,651,9,75,208,.361,6,36,.167,69,172,.401,59,81,.728,17,83,119,52,3,65,82,215,/wnba/players/b/boydbr01w.html,https://www.basketball-reference.com/wnba/players/b/boydbr01w.html,boydbr01w
Imani McGee-Stafford,CHI,C,31,587,16,87,157,.554,0,0,,87,157,.554,33,50,.660,54,175,18,19,42,28,94,207,/wnba/players/b/boyetim01w.html,https://www.basketball-reference.com/wnba/players/b/boyetim01w.html,boyetim01w
Jessica Breland,CHI,F,34,585,16,87,176,.494,0,0,,87,176,.494,31,39,.795,44,151,24,17,37,36,75,205,/wnba/players/b/brelaje01w.html,https://www.basketball-reference.com/wnba/players/b/brelaje01w.html,brelaje01w
Rebekkah Brunson,MIN,F,33,812,33,92,193,.477,0,1,.000,92,192,.479,60,70,.857,73,240,58,30,9,28,84,244,/wnba/players/b/brunsre01w.html,https://www.basketball-reference.com/wnba/players/b/brunsre01w.html,brunsre01w
Adut Bulgak,NYL,C,7,23,0,5,11,.455,1,2,.500,4,9,.444,3,4,.750,3,9,0,0,0,1,3,14,/wnba/players/b/bulgaad01w.html,https://www.basketball-reference.com/wnba/players/b/bulgaad01w.html,bulgaad01w
Cierra Burdick,ATL,F,8,29,0,1,8,.125,0,0,,1,8,.125,1,2,.500,3,4,0,0,0,2,6,3,/wnba/players/b/burdici01w.html,https://www.basketball-reference.com/wnba/players/b/burdici01w.html,burdici01w
Essence Carson,LAS,G,34,791,34,102,227,.449,23,64,.359,79,163,.485,49,55,.891,12,68,52,37,8,42,46,276,/wnba/players/c/carsoes01w.html,https://www.basketball-reference.com/wnba/players/c/carsoes01w.html,carsoes01w
Swin Cash,NYL,F,31,604,23,61,161,.379,1,8,.125,60,153,.392,41,60,.683,38,105,43,23,14,41,54,164,/wnba/players/c/cashsw01w.html,https://www.basketball-reference.com/wnba/players/c/cashsw01w.html,cashsw01w
Tamika Catchings,IND,F,34,844,34,146,337,.433,35,100,.350,111,237,.468,106,123,.862,40,163,66,62,10,42,70,433,/wnba/players/c/catchta01w.html,https://www.basketball-reference.com/wnba/players/c/catchta01w.html,catchta01w
Tina Charles,NYL,C,32,1077,32,273,622,.439,17,49,.347,256,573,.447,125,154,.812,74,317,121,27,25,63,48,688,/wnba/players/c/charlti01w.html,https://www.basketball-reference.com/wnba/players/c/charlti01w.html,charlti01w
Karima Christmas-Kelly,DAL,F-G,34,1075,34,128,320,.400,38,120,.317,90,200,.450,129,162,.796,82,200,71,41,23,51,93,423,/wnba/players/c/chriska02w.html,https://www.basketball-reference.com/wnba/players/c/chriska02w.html,chriska02w
Layshia Clarendon,ATL,G,34,959,32,124,266,.466,18,52,.346,106,214,.495,88,115,.765,43,147,118,25,3,75,79,354,/wnba/players/c/clarela01w.html,https://www.basketball-reference.com/wnba/players/c/clarela01w.html,clarela01w
Alysha Clark,SEA,F,33,911,32,105,217,.484,36,93,.387,69,124,.556,50,59,.847,40,121,64,24,2,44,87,296,/wnba/players/c/clarkal01w.html,https://www.basketball-reference.com/wnba/players/c/clarkal01w.html,clarkal01w
Natasha Cloud,WAS,G,31,753,28,56,161,.348,23,68,.338,33,93,.355,43,57,.754,5,94,118,24,3,43,65,178,/wnba/players/c/cloudna01w.html,https://www.basketball-reference.com/wnba/players/c/cloudna01w.html,cloudna01w
Marissa Coleman,IND,G-F,32,781,21,85,246,.346,33,123,.268,52,123,.423,64,85,.753,23,105,63,29,9,56,67,267,/wnba/players/c/colemma01w.html,https://www.basketball-reference.com/wnba/players/c/colemma01w.html,colemma01w
Sydney Colson,SAS,G,34,573,0,59,137,.431,5,26,.192,54,111,.486,49,59,.831,14,55,87,38,1,51,62,172,/wnba/players/c/colsosy01w.html,https://www.basketball-reference.com/wnba/players/c/colsosy01w.html,colsosy01w
Kahleah Copper,WAS,G-F,30,487,3,65,156,.417,14,30,.467,51,126,.405,43,63,.683,13,92,23,15,2,33,54,187,/wnba/players/c/coppeka01w.html,https://www.basketball-reference.com/wnba/players/c/coppeka01w.html,coppeka01w
Carla Cortijo,ATL,G,27,294,1,45,127,.354,13,45,.289,32,82,.390,25,32,.781,4,42,43,8,1,28,32,128,/wnba/players/c/cortica01w.html,https://www.basketball-reference.com/wnba/players/c/cortica01w.html,cortica01w
Anna Cruz,MIN,G,6,60,0,5,11,.455,1,1,1.000,4,10,.400,6,6,1.000,1,6,12,2,0,2,8,17,/wnba/players/c/cruzan01w.html,https://www.basketball-reference.com/wnba/players/c/cruzan01w.html,cruzan01w
Monique Currie,SAS,F,34,868,34,125,324,.386,25,78,.321,100,246,.407,90,98,.918,36,148,73,27,13,61,89,365,/wnba/players/c/currimo01w.html,https://www.basketball-reference.com/wnba/players/c/currimo01w.html,currimo01w
Ana Dabovic,LAS,G,22,236,0,20,54,.370,3,19,.158,17,35,.486,22,29,.759,6,17,29,13,0,19,37,65,/wnba/players/d/dabovan01w.html,https://www.basketball-reference.com/wnba/players/d/dabovan01w.html,dabovan01w
Elena Delle Donne,CHI,F-G,28,927,28,214,441,.485,43,101,.426,171,340,.503,130,139,.935,48,197,53,16,43,35,64,601,/wnba/players/d/delleel01w.html,https://www.basketball-reference.com/wnba/players/d/delleel01w.html,delleel01w
Erika de Souza,CHI,F-C,31,516,18,77,149,.517,0,0,,77,149,.517,27,36,.750,61,161,20,17,22,22,63,181,/wnba/players/d/desouer01w.html,https://www.basketball-reference.com/wnba/players/d/desouer01w.html,desouer01w
