player,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Svetlana Abrosimova,SEA,F,34,686,1,97,234,.415,38,101,.376,59,133,.444,25,44,.568,24,104,69,40,3,61,72,257,/wnba/players/a/abrossv01w.html,https://www.basketball-reference.com/wnba/players/a/abrossv01w.html,abrossv01w
Jessica Adair,MIN,C,1,14,0,1,1,1.000,0,0,,1,1,1.000,3,4,.750,4,8,0,0,0,0,4,5,/wnba/players/a/adairje01w.html,https://www.basketball-reference.com/wnba/players/a/adairje01w.html,adairje01w
Matee Ajavon,WAS,G,34,497,0,66,191,.346,9,49,.184,57,142,.401,58,75,.773,16,53,47,38,2,52,60,199,/wnba/players/a/ajavoma01w.html,https://www.basketball-reference.com/wnba/players/a/ajavoma01w.html,ajavoma01w
Nicky Anosike,MIN,F-C,31,928,30,83,223,.372,0,0,,83,223,.372,119,154,.773,82,212,60,62,32,66,93,285,/wnba/players/a/anosini01w.html,https://www.basketball-reference.com/wnba/players/a/anosini01w.html,anosini01w
Jayne Appel-Marinelli,SAS,C,28,306,0,38,71,.535,1,3,.333,37,68,.544,19,34,.559,21,71,13,7,5,19,40,96,/wnba/players/a/appelja01w.html,https://www.basketball-reference.com/wnba/players/a/appelja01w.html,appelja01w
Seimone Augustus,MIN,G-F,25,832,25,176,410,.429,36,107,.336,140,303,.462,34,51,.667,9,81,47,17,7,35,33,422,/wnba/players/a/augusse01w.html,https://www.basketball-reference.com/wnba/players/a/augusse01w.html,augusse01w
Alison Bales,ATL,C,34,529,3,42,97,.433,5,12,.417,37,85,.435,43,54,.796,32,128,28,24,39,23,61,132,/wnba/players/b/balesal01w.html,https://www.basketball-reference.com/wnba/players/b/balesal01w.html,balesal01w
Mistie Bass,CHI,F,34,642,20,68,129,.527,0,2,.000,68,127,.535,30,48,.625,54,131,36,19,15,39,49,166,/wnba/players/b/bassmi01w.html,https://www.basketball-reference.com/wnba/players/b/bassmi01w.html,bassmi01w
Ashley Battle,SAS,F,5,35,0,4,12,.333,0,5,.000,4,7,.571,0,0,,4,9,1,0,0,3,5,8,/wnba/players/b/battlas01w.html,https://www.basketball-reference.com/wnba/players/b/battlas01w.html,battlas01w
Tully Bevilaqua,IND,G,34,659,27,46,120,.383,26,77,.338,20,43,.465,14,24,.583,18,73,54,48,4,40,64,132,/wnba/players/b/beviltu01w.html,https://www.basketball-reference.com/wnba/players/b/beviltu01w.html,beviltu01w
Sue Bird,SEA,G,33,1005,33,135,311,.434,59,148,.399,76,163,.466,36,42,.857,7,88,190,50,5,60,45,365,/wnba/players/b/birdsu01w.html,https://www.basketball-reference.com/wnba/players/b/birdsu01w.html,birdsu01w
Abby Bishop,SEA,F,16,109,0,16,45,.356,6,24,.250,10,21,.476,6,11,.545,11,20,4,2,1,12,26,44,/wnba/players/b/bishoab01w.html,https://www.basketball-reference.com/wnba/players/b/bishoab01w.html,bishoab01w
Chante Black,TUL,C,34,712,23,80,149,.537,0,0,,80,149,.537,17,49,.347,85,222,22,18,54,43,72,177,/wnba/players/b/blackch01w.html,https://www.basketball-reference.com/wnba/players/b/blackch01w.html,blackch01w
Nikki Blue,NYL,G,15,77,0,6,21,.286,1,6,.167,5,15,.333,5,7,.714,1,6,13,4,0,9,12,18,/wnba/players/b/blueni01w.html,https://www.basketball-reference.com/wnba/players/b/blueni01w.html,blueni01w
DeWanna Bonner,PHO,G-F,32,813,4,132,284,.465,19,53,.358,113,231,.489,100,119,.840,67,196,40,22,37,41,58,383,/wnba/players/b/bonnede01w.html,https://www.basketball-reference.com/wnba/players/b/bonnede01w.html,bonnede01w
