player,wnba_age,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Li Meng,28,WAS,G,2,14,0,1,5,.200,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,1,0,3,/wnba/players/m/mengli01w.html,https://www.basketball-reference.com/wnba/players/m/mengli01w.html,mengli01w
Aerial Powers,29,MIN,G,1,14,0,0,6,.000,0,2,.000,0,4,.000,4,4,1.000,1,3,0,1,0,3,1,4,/wnba/players/p/powerae01w.html,https://www.basketball-reference.com/wnba/players/p/powerae01w.html,powerae01w
Kelsey Plum,28,LVA,G,9,331,9,55,132,.417,27,67,.403,28,65,.431,28,32,.875,4,29,34,12,0,28,22,165,/wnba/players/p/plumke01w.html,https://www.basketball-reference.com/wnba/players/p/plumke01w.html,plumke01w
Robyn Parks,30,CHI,F,2,26,0,2,6,.333,1,3,.333,1,3,.333,0,0,,0,4,0,0,0,1,3,5,/wnba/players/p/parksro01w.html,https://www.basketball-reference.com/wnba/players/p/parksro01w.html,parksro01w
Cheyenne Parker-Tyus,30,ATL,F,2,67,2,10,31,.323,3,6,.500,7,25,.280,3,4,.750,4,13,4,2,4,5,6,26,/wnba/players/p/parkech01w.html,https://www.basketball-reference.com/wnba/players/p/parkech01w.html,parkech01w
Arike Ogunbowale,26,DAL,G,5,189,5,38,98,.388,13,37,.351,25,61,.410,9,14,.643,8,24,26,8,0,7,15,98,/wnba/players/o/ogunbar01w.html,https://www.basketball-reference.com/wnba/players/o/ogunbar01w.html,ogunbar01w
Olivia Nelson-Ododa,22,CON,C,7,108,1,14,21,.667,0,0,,14,21,.667,2,2,1.000,10,24,4,7,6,3,11,30,/wnba/players/n/nelsool01w.html,https://www.basketball-reference.com/wnba/players/n/nelsool01w.html,nelsool01w
Tiffany Mitchell,28,MIN,G,3,65,3,5,12,.417,1,2,.500,4,10,.400,0,0,,3,10,11,1,0,7,5,11,/wnba/players/m/mitchti01w.html,https://www.basketball-reference.com/wnba/players/m/mitchti01w.html,mitchti01w
Diamond Miller,22,MIN,F,3,69,3,6,23,.261,2,9,.222,4,14,.286,2,3,.667,0,4,6,3,0,1,11,16,/wnba/players/m/milledi03w.html,https://www.basketball-reference.com/wnba/players/m/milledi03w.html,milledi03w
Nikolina Milic,29,MIN,F,3,22,0,2,5,.400,0,1,.000,2,4,.500,2,2,1.000,0,4,2,0,0,2,2,6,/wnba/players/m/milicni01w.html,https://www.basketball-reference.com/wnba/players/m/milicni01w.html,milicni01w
Danielle Robinson,34,ATL,G,2,44,2,1,5,.200,0,0,,1,5,.200,3,4,.750,2,3,8,2,0,4,2,5,/wnba/players/r/robinda01w.html,https://www.basketball-reference.com/wnba/players/r/robinda01w.html,robinda01w
Aari McDonald,24,ATL,G,2,36,0,3,11,.273,1,4,.250,2,7,.286,0,0,,0,2,5,2,0,5,5,7,/wnba/players/m/mcdonaa01w.html,https://www.basketball-reference.com/wnba/players/m/mcdonaa01w.html,mcdonaa01w
Teaira McCowan,26,DAL,C,5,152,5,23,37,.622,0,0,,23,37,.622,12,23,.522,21,63,8,4,7,9,14,58,/wnba/players/m/mccowte01w.html,https://www.basketball-reference.com/wnba/players/m/mccowte01w.html,mccowte01w
Kayla McBride,31,MIN,G,3,118,3,19,44,.432,10,27,.370,9,17,.529,6,6,1.000,4,18,8,3,0,5,2,54,/wnba/players/m/mcbrika01w.html,https://www.basketball-reference.com/wnba/players/m/mcbrika01w.html,mcbrika01w
Marina Mabrey,26,CHI,G,2,65,2,8,23,.348,2,9,.222,6,14,.429,1,1,1.000,0,7,3,0,3,6,7,19,/wnba/players/m/mabrema01w.html,https://www.basketball-reference.com/wnba/players/m/mabrema01w.html,mabrema01w
Betnijah Laney-Hamilton,29,NYL,G-F,10,361,10,61,129,.473,19,52,.365,42,77,.545,11,15,.733,12,41,30,8,0,20,18,152,/wnba/players/l/laneybe01w.html,https://www.basketball-reference.com/wnba/players/l/laneybe01w.html,laneybe01w
Awak Kuier,21,DAL,F,5,52,0,9,14,.643,2,7,.286,7,7,1.000,0,2,.000,2,7,1,3,4,4,1,20,/wnba/players/k/kuieraw01w.html,https://www.basketball-reference.com/wnba/players/k/kuieraw01w.html,kuieraw01w
Sika Kon̩,20,CHI,F,2,9,0,2,3,.667,0,0,,2,3,.667,0,0,,0,1,1,0,0,0,2,4,/wnba/players/k/konesi01w.html,https://www.basketball-reference.com/wnba/players/k/konesi01w.html,konesi01w
