player,wnba_age,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Michaela Onyenwere,22,NYL,F,3,22,0,4,11,.364,0,3,.000,4,8,.500,6,6,1.000,1,4,0,0,0,0,0,14,/wnba/players/o/onyenmi01w.html,https://www.basketball-reference.com/wnba/players/o/onyenmi01w.html,onyenmi01w
Aisha Sheppard,23,LVA,G,4,16,0,0,4,.000,0,3,.000,0,1,.000,0,0,,0,0,3,0,0,2,1,0,/wnba/players/s/sheppai01w.html,https://www.basketball-reference.com/wnba/players/s/sheppai01w.html,sheppai01w
Satou Sabally,24,DAL,F,3,46,0,7,21,.333,3,10,.300,4,11,.364,4,5,.800,0,4,9,0,1,2,6,21,/wnba/players/s/sabalsa01w.html,https://www.basketball-reference.com/wnba/players/s/sabalsa01w.html,sabalsa01w
Iliana Rupert,20,LVA,C,7,49,0,5,16,.313,5,14,.357,0,2,.000,0,0,,1,3,0,0,1,3,6,15,/wnba/players/r/ruperil01w.html,https://www.basketball-reference.com/wnba/players/r/ruperil01w.html,ruperil01w
DiDi Richards,23,NYL,G-F,2,17,0,2,5,.400,0,2,.000,2,3,.667,4,4,1.000,0,3,2,2,0,4,2,8,/wnba/players/r/richadi01w.html,https://www.basketball-reference.com/wnba/players/r/richadi01w.html,richadi01w
Allie Quigley,36,CHI,G,8,232,8,26,77,.338,15,47,.319,11,30,.367,10,14,.714,1,25,25,8,2,10,15,77,/wnba/players/q/quiglal01w.html,https://www.basketball-reference.com/wnba/players/q/quiglal01w.html,quiglal01w
Epiphanny Prince,34,SEA,G,6,34,0,1,5,.200,0,3,.000,1,2,.500,0,0,,0,2,2,1,0,1,3,2,/wnba/players/p/princep01w.html,https://www.basketball-reference.com/wnba/players/p/princep01w.html,princep01w
Kelsey Plum,27,LVA,G,10,333,10,56,137,.409,18,63,.286,38,74,.514,41,46,.891,8,39,38,9,0,19,22,171,/wnba/players/p/plumke01w.html,https://www.basketball-reference.com/wnba/players/p/plumke01w.html,plumke01w
Theresa Plaisance,30,LVA,F,4,20,0,2,5,.400,1,3,.333,1,2,.500,0,0,,0,5,2,1,2,1,4,5,/wnba/players/p/plaisth01w.html,https://www.basketball-reference.com/wnba/players/p/plaisth01w.html,plaisth01w
Shey Peddy,33,PHO,G,1,26,1,3,13,.231,2,7,.286,1,6,.167,0,0,,1,2,5,2,0,1,0,8,/wnba/players/p/peddysh01w.html,https://www.basketball-reference.com/wnba/players/p/peddysh01w.html,peddysh01w
Candace Parker,36,CHI,F-C,8,235,8,42,96,.438,12,36,.333,30,60,.500,22,29,.759,10,86,37,11,21,17,18,118,/wnba/players/p/parkeca01w.html,https://www.basketball-reference.com/wnba/players/p/parkeca01w.html,parkeca01w
Jennie Simms,28,PHO,G,2,49,2,4,15,.267,2,10,.200,2,5,.400,1,5,.200,1,6,4,0,0,2,4,11,/wnba/players/s/simmsje01w.html,https://www.basketball-reference.com/wnba/players/s/simmsje01w.html,simmsje01w
Arike Ogunbowale,25,DAL,G,1,6,0,0,3,.000,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,/wnba/players/o/ogunbar01w.html,https://www.basketball-reference.com/wnba/players/o/ogunbar01w.html,ogunbar01w
Emma Meesseman,29,CHI,F,8,237,8,39,83,.470,6,20,.300,33,63,.524,5,6,.833,13,32,28,12,7,9,16,89,/wnba/players/m/meessem01w.html,https://www.basketball-reference.com/wnba/players/m/meessem01w.html,meessem01w
Teaira McCowan,25,DAL,C,3,74,1,12,25,.480,0,0,,12,25,.480,8,15,.533,11,28,3,1,5,10,9,32,/wnba/players/m/mccowte01w.html,https://www.basketball-reference.com/wnba/players/m/mccowte01w.html,mccowte01w
Ezi Magbegor,22,SEA,F-C,6,93,0,14,24,.583,0,0,,14,24,.583,2,3,.667,3,16,6,4,6,1,12,30,/wnba/players/m/magbeez01w.html,https://www.basketball-reference.com/wnba/players/m/magbeez01w.html,magbeez01w
Rui Machida,29,WAS,G,2,11,0,2,3,.667,1,2,.500,1,1,1.000,0,0,,1,1,1,0,0,0,1,5,/wnba/players/m/machiru01w.html,https://www.basketball-reference.com/wnba/players/m/machiru01w.html,machiru01w
Marina Mabrey,25,DAL,G,3,98,3,18,42,.429,5,11,.455,13,31,.419,4,4,1.000,2,12,5,2,2,14,10,45,/wnba/players/m/mabrema01w.html,https://www.basketball-reference.com/wnba/players/m/mabrema01w.html,mabrema01w
Jewell Loyd,28,SEA,G,6,222,6,37,95,.389,15,42,.357,22,53,.415,26,28,.929,2,14,15,3,0,6,16,115,/wnba/players/l/loydje01w.html,https://www.basketball-reference.com/wnba/players/l/loydje01w.html,loydje01w
Betnijah Laney-Hamilton,28,NYL,G-F,3,73,3,13,31,.419,1,4,.250,12,27,.444,7,8,.875,2,12,10,2,1,7,6,34,/wnba/players/l/laneybe01w.html,https://www.basketball-reference.com/wnba/players/l/laneybe01w.html,laneybe01w
Julie Allemand,25,CHI,G,8,92,0,7,14,.500,3,10,.300,4,4,1.000,3,6,.500,0,4,16,2,1,4,4,20,/wnba/players/a/allemju01w.html,https://www.basketball-reference.com/wnba/players/a/allemju01w.html,allemju01w
