player,wnba_age,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Renee Montgomery,29,MIN,G,8,101,0,10,27,.370,4,9,.444,6,18,.333,9,10,.900,1,3,15,4,0,8,5,33,/wnba/players/m/montgre01w.html,https://www.basketball-reference.com/wnba/players/m/montgre01w.html,montgre01w
Allie Quigley,30,CHI,G,5,66,0,10,24,.417,3,10,.300,7,14,.500,5,5,1.000,1,5,7,1,0,3,2,28,/wnba/players/q/quiglal01w.html,https://www.basketball-reference.com/wnba/players/q/quiglal01w.html,quiglal01w
Epiphanny Prince,28,NYL,G,1,17,0,4,8,.500,2,3,.667,2,5,.400,2,2,1.000,2,3,3,0,0,0,3,12,/wnba/players/p/princep01w.html,https://www.basketball-reference.com/wnba/players/p/princep01w.html,princep01w
Cappie Pondexter,33,CHI,G,5,141,5,24,59,.407,1,5,.200,23,54,.426,13,13,1.000,2,6,9,7,1,11,8,62,/wnba/players/p/pondeca01w.html,https://www.basketball-reference.com/wnba/players/p/pondeca01w.html,pondeca01w
Sonja Petrovic,27,PHO,F,2,25,0,4,9,.444,3,4,.750,1,5,.200,0,2,.000,1,2,5,1,0,1,6,11,/wnba/players/p/petroso01w.html,https://www.basketball-reference.com/wnba/players/p/petroso01w.html,petroso01w
Jia Perkins,34,MIN,G,8,141,0,16,41,.390,1,10,.100,15,31,.484,8,8,1.000,3,16,15,8,1,3,8,41,/wnba/players/p/perkiji01w.html,https://www.basketball-reference.com/wnba/players/p/perkiji01w.html,perkiji01w
Cheyenne Parker-Tyus,23,CHI,F,5,47,0,4,12,.333,0,0,,4,12,.333,6,12,.500,5,9,2,1,0,3,4,14,/wnba/players/p/parkech01w.html,https://www.basketball-reference.com/wnba/players/p/parkech01w.html,parkech01w
Candace Parker,30,LAS,F-C,9,297,9,61,130,.469,10,32,.313,51,98,.520,42,54,.778,18,78,29,15,17,24,19,174,/wnba/players/p/parkeca01w.html,https://www.basketball-reference.com/wnba/players/p/parkeca01w.html,parkeca01w
Nneka Ogwumike,25,LAS,F,9,282,9,65,104,.625,2,9,.222,63,95,.663,29,38,.763,28,84,23,18,10,26,38,161,/wnba/players/o/ogwumnn01w.html,https://www.basketball-reference.com/wnba/players/o/ogwumnn01w.html,ogwumnn01w
Kaleena Mosqueda-Lewis,22,SEA,F,1,15,0,2,6,.333,1,4,.250,1,2,.500,3,3,1.000,0,0,0,0,0,1,3,8,/wnba/players/m/mosquka01w.html,https://www.basketball-reference.com/wnba/players/m/mosquka01w.html,mosquka01w
Maya Moore,27,MIN,F,8,263,8,62,120,.517,12,31,.387,50,89,.562,43,46,.935,7,58,37,15,4,22,23,179,/wnba/players/m/moorema01w.html,https://www.basketball-reference.com/wnba/players/m/moorema01w.html,moorema01w
Noelle Quinn,31,SEA,G,1,11,0,1,3,.333,0,0,,1,3,.333,0,0,,2,4,0,0,0,0,2,2,/wnba/players/q/quinnno01w.html,https://www.basketball-reference.com/wnba/players/q/quinnno01w.html,quinnno01w
Tiffany Mitchell,21,IND,G,1,10,0,1,5,.200,0,2,.000,1,3,.333,0,0,,0,0,0,0,0,1,0,2,/wnba/players/m/mitchti01w.html,https://www.basketball-reference.com/wnba/players/m/mitchti01w.html,mitchti01w
Angel McCoughtry,29,ATL,F-G,2,70,2,23,42,.548,7,10,.700,16,32,.500,11,15,.733,4,9,16,1,0,7,7,64,/wnba/players/m/mccouan01w.html,https://www.basketball-reference.com/wnba/players/m/mccouan01w.html,mccouan01w
Janel McCarville,33,MIN,F-C,4,19,0,2,5,.400,0,0,,2,5,.400,0,0,,2,4,1,0,0,1,2,4,/wnba/players/m/mccarja01w.html,https://www.basketball-reference.com/wnba/players/m/mccarja01w.html,mccarja01w
Jewell Loyd,22,SEA,G,1,33,1,8,18,.444,3,9,.333,5,9,.556,5,6,.833,1,5,2,0,0,0,3,24,/wnba/players/l/loydje01w.html,https://www.basketball-reference.com/wnba/players/l/loydje01w.html,loydje01w
Jantel Lavender,27,LAS,F,9,140,0,34,56,.607,0,2,.000,34,54,.630,0,0,,7,21,9,0,1,2,13,68,/wnba/players/l/lavenja01w.html,https://www.basketball-reference.com/wnba/players/l/lavenja01w.html,lavenja01w
Erlana Larkins,30,IND,F,1,28,1,6,11,.545,0,0,,6,11,.545,0,0,,4,6,1,0,0,2,5,12,/wnba/players/l/larkier01w.html,https://www.basketball-reference.com/wnba/players/l/larkier01w.html,larkier01w
Crystal Langhorne,29,SEA,F-C,1,21,1,2,6,.333,0,0,,2,6,.333,3,3,1.000,2,7,2,0,1,2,4,7,/wnba/players/l/langhcr01w.html,https://www.basketball-reference.com/wnba/players/l/langhcr01w.html,langhcr01w
Lynetta Kizer,26,IND,F,1,13,0,2,3,.667,0,0,,2,3,.667,0,0,,0,2,0,0,0,0,3,4,/wnba/players/k/kizerly01w.html,https://www.basketball-reference.com/wnba/players/k/kizerly01w.html,kizerly01w
Shenise Johnson,25,IND,G,1,22,0,3,16,.188,0,8,.000,3,8,.375,2,2,1.000,1,4,1,1,0,2,3,8,/wnba/players/j/johnssh02w.html,https://www.basketball-reference.com/wnba/players/j/johnssh02w.html,johnssh02w
Courtney Vandersloot,27,CHI,G,5,148,5,22,51,.431,6,18,.333,16,33,.485,16,16,1.000,1,12,31,10,1,13,14,66,/wnba/players/v/vandeco01w.html,https://www.basketball-reference.com/wnba/players/v/vandeco01w.html,vandeco01w
Shavonte Zellous,29,NYL,G,1,28,0,4,9,.444,0,1,.000,4,8,.500,2,4,.500,1,3,1,1,0,0,1,10,/wnba/players/z/zellosh01w.html,https://www.basketball-reference.com/wnba/players/z/zellosh01w.html,zellosh01w
Amanda Zahui B.,22,NYL,C,1,6,0,1,1,1.000,0,0,,1,1,1.000,0,0,,1,2,0,0,0,0,1,2,/wnba/players/z/zahuiam01w.html,https://www.basketball-reference.com/wnba/players/z/zahuiam01w.html,zahuiam01w
Tamera Young,29,CHI,F,5,138,5,23,60,.383,0,0,,23,60,.383,3,6,.500,10,24,16,6,2,9,23,49,/wnba/players/y/youngta01w.html,https://www.basketball-reference.com/wnba/players/y/youngta01w.html,youngta01w
Marta Xargay,25,PHO,G,5,121,5,12,27,.444,3,11,.273,9,16,.563,12,15,.800,4,9,19,2,0,13,25,39,/wnba/players/x/xargama01w.html,https://www.basketball-reference.com/wnba/players/x/xargama01w.html,xargama01w
Tanisha Wright,32,NYL,G,1,28,1,10,14,.714,1,3,.333,9,11,.818,0,0,,0,1,5,0,0,4,3,21,/wnba/players/w/wrighta01w.html,https://www.basketball-reference.com/wnba/players/w/wrighta01w.html,wrighta01w
Elizabeth Williams,23,ATL,C-F,2,77,2,8,21,.381,0,0,,8,21,.381,7,9,.778,9,25,3,1,5,1,10,23,/wnba/players/w/williel01w.html,https://www.basketball-reference.com/wnba/players/w/williel01w.html,williel01w
Erica Wheeler,25,IND,G,1,26,1,3,6,.500,2,2,1.000,1,4,.250,2,2,1.000,1,3,3,0,0,1,3,10,/wnba/players/w/wheeler01w.html,https://www.basketball-reference.com/wnba/players/w/wheeler01w.html,wheeler01w
Lindsay Whalen,34,MIN,G,8,213,8,41,72,.569,3,7,.429,38,65,.585,20,24,.833,4,15,31,3,1,16,12,105,/wnba/players/w/whaleli01w.html,https://www.basketball-reference.com/wnba/players/w/whaleli01w.html,whaleli01w
Ann Wauters,35,LAS,C,2,5,0,1,2,.500,0,0,,1,2,.500,0,0,,1,2,0,0,1,1,2,2,/wnba/players/w/wautean01w.html,https://www.basketball-reference.com/wnba/players/w/wautean01w.html,wautean01w
Briann January,29,IND,G,1,33,1,4,13,.308,0,1,.000,4,12,.333,4,6,.667,0,0,9,3,0,1,5,12,/wnba/players/j/januabr01w.html,https://www.basketball-reference.com/wnba/players/j/januabr01w.html,januabr01w
