player,wnba_age,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Jessica Moore,26,IND,F-C,10,120,0,8,24,.333,0,0,,8,24,.333,6,8,.750,9,17,3,5,2,3,24,22,/wnba/players/m/mooreje01w.html,https://www.basketball-reference.com/wnba/players/m/mooreje01w.html,mooreje01w
Ashley Robinson,26,SEA,C,3,18,0,0,2,.000,0,0,,0,2,.000,0,0,,1,1,0,0,1,1,2,0,/wnba/players/r/robinas01w.html,https://www.basketball-reference.com/wnba/players/r/robinas01w.html,robinas01w
Ruth Riley,29,SAS,C,3,44,0,4,8,.500,0,0,,4,8,.500,4,6,.667,4,7,1,1,4,1,7,12,/wnba/players/r/rileyru01w.html,https://www.basketball-reference.com/wnba/players/r/rileyru01w.html,rileyru01w
Noelle Quinn,24,LAS,G,6,158,4,10,38,.263,1,10,.100,9,28,.321,8,8,1.000,5,19,23,7,3,19,10,29,/wnba/players/q/quinnno01w.html,https://www.basketball-reference.com/wnba/players/q/quinnno01w.html,quinnno01w
Armintie Herrington,24,ATL,G,2,31,0,3,9,.333,0,0,,3,9,.333,4,7,.571,3,6,4,4,0,2,2,10,/wnba/players/p/pricear01w.html,https://www.basketball-reference.com/wnba/players/p/pricear01w.html,pricear01w
Cappie Pondexter,26,PHO,G,11,340,11,76,164,.463,9,36,.250,67,128,.523,39,44,.886,11,40,39,13,0,16,26,200,/wnba/players/p/pondeca01w.html,https://www.basketball-reference.com/wnba/players/p/pondeca01w.html,pondeca01w
Candace Parker,23,LAS,F-C,6,211,6,38,71,.535,1,4,.250,37,67,.552,31,44,.705,21,64,10,5,11,10,23,108,/wnba/players/p/parkeca01w.html,https://www.basketball-reference.com/wnba/players/p/parkeca01w.html,parkeca01w
Nicole Ohlde,27,PHO,F-C,11,150,0,14,22,.636,0,0,,14,22,.636,1,5,.200,9,30,4,4,3,10,21,29,/wnba/players/o/ohldeni01w.html,https://www.basketball-reference.com/wnba/players/o/ohldeni01w.html,ohldeni01w
Deanna Nolan,29,DET,G-F,5,190,5,39,98,.398,9,28,.321,30,70,.429,21,23,.913,5,8,16,9,2,18,18,108,/wnba/players/n/nolande01w.html,https://www.basketball-reference.com/wnba/players/n/nolande01w.html,nolande01w
Shay Murphy,24,IND,G,4,9,0,0,5,.000,0,2,.000,0,3,.000,0,0,,1,2,1,0,0,0,2,0,/wnba/players/m/murphsh01w.html,https://www.basketball-reference.com/wnba/players/m/murphsh01w.html,murphsh01w
Nakia Sanford,33,WAS,C-F,2,35,0,5,7,.714,0,0,,5,7,.714,0,2,.000,3,5,3,0,1,2,10,10,/wnba/players/s/sanfona01w.html,https://www.basketball-reference.com/wnba/players/s/sanfona01w.html,sanfona01w
DeLisha Milton-Jones,34,LAS,F,6,190,6,20,57,.351,4,13,.308,16,44,.364,10,16,.625,16,35,15,10,1,13,14,54,/wnba/players/m/miltode01w.html,https://www.basketball-reference.com/wnba/players/m/miltode01w.html,miltode01w
Coco Miller,30,ATL,G,2,13,0,3,5,.600,1,1,1.000,2,4,.500,0,0,,0,0,2,0,0,1,0,7,/wnba/players/m/milleco01w.html,https://www.basketball-reference.com/wnba/players/m/milleco01w.html,milleco01w
Chasity Melvin,33,WAS,C-F,2,45,2,7,12,.583,0,0,,7,12,.583,3,3,1.000,2,6,4,2,1,7,10,17,/wnba/players/m/melvich01w.html,https://www.basketball-reference.com/wnba/players/m/melvich01w.html,melvich01w
Taj McWilliams-Franklin,38,DET,F-C,5,134,5,18,28,.643,1,1,1.000,17,27,.630,1,2,.500,6,22,9,5,2,13,18,38,/wnba/players/m/mcwilta01w.html,https://www.basketball-reference.com/wnba/players/m/mcwilta01w.html,mcwilta01w
Angel McCoughtry,22,ATL,F-G,2,58,2,15,31,.484,4,7,.571,11,24,.458,4,6,.667,1,11,6,2,0,12,7,38,/wnba/players/m/mccouan01w.html,https://www.basketball-reference.com/wnba/players/m/mccouan01w.html,mccouan01w
Kelly Mazzante,27,PHO,G,4,14,0,0,2,.000,0,1,.000,0,1,.000,0,0,,0,2,0,0,0,1,0,0,/wnba/players/m/mazzake01w.html,https://www.basketball-reference.com/wnba/players/m/mazzake01w.html,mazzake01w
Kristen Mann,25,WAS,F,1,8,0,1,2,.500,1,2,.500,0,0,,0,0,,1,1,0,0,0,1,1,3,/wnba/players/m/mannkr01w.html,https://www.basketball-reference.com/wnba/players/m/mannkr01w.html,mannkr01w
Sancho Lyttle,25,ATL,F,2,51,2,7,17,.412,0,1,.000,7,16,.438,3,7,.429,3,10,4,4,0,4,8,17,/wnba/players/l/lyttlsa01w.html,https://www.basketball-reference.com/wnba/players/l/lyttlsa01w.html,lyttlsa01w
Camille Smith,24,SEA,F,3,102,3,10,25,.400,1,6,.167,9,19,.474,2,2,1.000,1,10,3,2,2,4,14,23,/wnba/players/l/littlca01w.html,https://www.basketball-reference.com/wnba/players/l/littlca01w.html,littlca01w
