player,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Svetlana Abrosimova,SEA,F,19,329,4,34,98,.347,8,36,.222,26,62,.419,11,24,.458,11,56,31,20,3,40,26,87,/wnba/players/a/abrossv01w.html,https://www.basketball-reference.com/wnba/players/a/abrossv01w.html,abrossv01w
Jessica Adair,MIN,C,19,168,0,13,37,.351,0,0,,13,37,.351,20,35,.571,11,40,6,3,4,14,28,46,/wnba/players/a/adairje01w.html,https://www.basketball-reference.com/wnba/players/a/adairje01w.html,adairje01w
Danielle Adams,SAS,F-C,34,686,5,141,320,.441,38,112,.339,103,208,.495,82,108,.759,61,159,33,23,23,42,94,402,/wnba/players/a/adamsda01w.html,https://www.basketball-reference.com/wnba/players/a/adamsda01w.html,adamsda01w
Matee Ajavon,WAS,G,33,712,22,82,274,.299,31,103,.301,51,171,.298,67,81,.827,20,60,67,53,6,65,97,262,/wnba/players/a/ajavoma01w.html,https://www.basketball-reference.com/wnba/players/a/ajavoma01w.html,ajavoma01w
Nicky Anosike,LAS,F-C,10,57,0,2,8,.250,0,0,,2,8,.250,6,6,1.000,0,12,5,3,2,6,9,10,/wnba/players/a/anosini01w.html,https://www.basketball-reference.com/wnba/players/a/anosini01w.html,anosini01w
Jayne Appel-Marinelli,SAS,C,33,625,30,47,85,.553,0,1,.000,47,84,.560,22,29,.759,62,213,39,18,29,39,67,116,/wnba/players/a/appelja01w.html,https://www.basketball-reference.com/wnba/players/a/appelja01w.html,appelja01w
Seimone Augustus,MIN,G-F,29,826,29,192,391,.491,45,103,.437,147,288,.510,52,61,.852,16,105,72,27,6,50,31,481,/wnba/players/a/augusse01w.html,https://www.basketball-reference.com/wnba/players/a/augusse01w.html,augusse01w
Mistie Bass,CON,F,32,598,10,99,187,.529,0,1,.000,99,186,.532,57,80,.713,59,143,33,24,13,40,59,255,/wnba/players/b/bassmi01w.html,https://www.basketball-reference.com/wnba/players/b/bassmi01w.html,bassmi01w
Alana Beard,LAS,G-F,33,1017,33,137,314,.436,35,87,.402,102,227,.449,66,83,.795,10,71,109,66,13,83,91,375,/wnba/players/b/beardal01w.html,https://www.basketball-reference.com/wnba/players/b/beardal01w.html,beardal01w
Tully Bevilaqua,SAS,G,28,157,0,2,12,.167,1,8,.125,1,4,.250,1,2,.500,1,7,11,7,1,9,7,6,/wnba/players/b/beviltu01w.html,https://www.basketball-reference.com/wnba/players/b/beviltu01w.html,beviltu01w
Sue Bird,SEA,G,29,898,29,133,290,.459,53,138,.384,80,152,.526,36,46,.783,6,83,155,26,3,65,32,355,/wnba/players/b/birdsu01w.html,https://www.basketball-reference.com/wnba/players/b/birdsu01w.html,birdsu01w
Chante Black,TUL,C,29,366,13,35,70,.500,0,0,,35,70,.500,22,32,.688,26,77,10,15,18,24,33,92,/wnba/players/b/blackch01w.html,https://www.basketball-reference.com/wnba/players/b/blackch01w.html,blackch01w
Shannon Bobbitt,WAS,G,28,418,5,29,88,.330,9,40,.225,20,48,.417,11,18,.611,11,33,72,14,2,35,38,78,/wnba/players/b/bobbish01w.html,https://www.basketball-reference.com/wnba/players/b/bobbish01w.html,bobbish01w
DeWanna Bonner,PHO,G-F,32,1120,32,212,582,.364,52,184,.283,160,398,.402,184,216,.852,55,230,71,54,28,75,46,660,/wnba/players/b/bonnede01w.html,https://www.basketball-reference.com/wnba/players/b/bonnede01w.html,bonnede01w
Kara Braxton,NYL,C-F,34,535,18,102,212,.481,1,5,.200,101,207,.488,18,40,.450,61,153,36,17,21,74,59,223,/wnba/players/b/braxtka01w.html,https://www.basketball-reference.com/wnba/players/b/braxtka01w.html,braxtka01w
Rebekkah Brunson,MIN,F,31,837,31,138,273,.505,0,0,,138,273,.505,76,112,.679,108,277,37,37,29,40,71,352,/wnba/players/b/brunsre01w.html,https://www.basketball-reference.com/wnba/players/b/brunsre01w.html,brunsre01w
Kelley Cain,NYL,C,20,136,0,8,18,.444,0,0,,8,18,.444,7,11,.636,11,30,2,2,4,10,13,23,/wnba/players/c/cainke01w.html,https://www.basketball-reference.com/wnba/players/c/cainke01w.html,cainke01w
Dominique Canty,WAS,G,6,72,5,6,23,.261,0,3,.000,6,20,.300,5,10,.500,3,8,6,2,0,8,10,17,/wnba/players/c/cantydo01w.html,https://www.basketball-reference.com/wnba/players/c/cantydo01w.html,cantydo01w
Essence Carson,NYL,G,34,927,23,158,395,.400,36,105,.343,122,290,.421,42,54,.778,29,117,58,37,25,59,52,394,/wnba/players/c/carsoes01w.html,https://www.basketball-reference.com/wnba/players/c/carsoes01w.html,carsoes01w
Sydney Carter,CHI,G,1,9,0,2,6,.333,0,2,.000,2,4,.500,0,0,,0,0,0,1,0,1,0,4,/wnba/players/c/cartesy01w.html,https://www.basketball-reference.com/wnba/players/c/cartesy01w.html,cartesy01w
Swin Cash,CHI,F,34,1021,34,126,343,.367,32,114,.281,94,229,.410,75,98,.765,55,197,79,34,17,94,81,359,/wnba/players/c/cashsw01w.html,https://www.basketball-reference.com/wnba/players/c/cashsw01w.html,cashsw01w
Iziane Castro Marques,WAS,F-G,11,132,0,14,53,.264,1,6,.167,13,47,.277,5,7,.714,4,12,8,3,0,8,8,34,/wnba/players/c/castriz01w.html,https://www.basketball-reference.com/wnba/players/c/castriz01w.html,castriz01w
Tamika Catchings,IND,F,34,1036,34,200,463,.432,50,132,.379,150,331,.453,140,162,.864,62,258,107,70,29,59,84,590,/wnba/players/c/catchta01w.html,https://www.basketball-reference.com/wnba/players/c/catchta01w.html,catchta01w
Tina Charles,CON,C,33,1096,33,250,501,.499,1,5,.200,249,496,.502,93,116,.802,123,345,57,17,47,74,64,594,/wnba/players/c/charlti01w.html,https://www.basketball-reference.com/wnba/players/c/charlti01w.html,charlti01w
Shameka Christon,SAS,G,34,695,31,83,232,.358,54,158,.342,29,74,.392,50,64,.781,17,67,43,18,16,20,41,270,/wnba/players/c/chrissh01w.html,https://www.basketball-reference.com/wnba/players/c/chrissh01w.html,chrissh01w
Alysha Clark,SEA,F,23,238,0,29,53,.547,9,20,.450,20,33,.606,12,17,.706,13,47,7,5,1,19,27,79,/wnba/players/c/clarkal01w.html,https://www.basketball-reference.com/wnba/players/c/clarkal01w.html,clarkal01w
Marissa Coleman,LAS,G-F,34,548,2,37,116,.319,14,55,.255,23,61,.377,18,20,.900,24,87,36,21,8,24,44,106,/wnba/players/c/colemma01w.html,https://www.basketball-reference.com/wnba/players/c/colemma01w.html,colemma01w
Monique Currie,WAS,F,34,820,28,129,319,.404,22,80,.275,107,239,.448,127,164,.774,28,122,59,35,7,59,85,407,/wnba/players/c/currimo01w.html,https://www.basketball-reference.com/wnba/players/c/currimo01w.html,currimo01w
Jessica Davenport,IND,C,34,514,2,84,179,.469,1,3,.333,83,176,.472,60,81,.741,35,115,22,23,26,51,62,229,/wnba/players/d/davenje01w.html,https://www.basketball-reference.com/wnba/players/d/davenje01w.html,davenje01w
Erika de Souza,ATL,F-C,15,449,15,79,151,.523,0,0,,79,151,.523,16,23,.696,48,123,24,20,23,31,45,174,/wnba/players/d/desouer01w.html,https://www.basketball-reference.com/wnba/players/d/desouer01w.html,desouer01w
Scholanda Dorrell,TUL,G,26,385,8,37,113,.327,16,50,.320,21,63,.333,20,30,.667,13,32,13,25,3,25,46,110,/wnba/players/d/dorresc01w.html,https://www.basketball-reference.com/wnba/players/d/dorresc01w.html,dorresc01w
Katie Douglas,IND,G-F,32,990,32,184,445,.413,80,189,.423,104,256,.406,81,96,.844,33,121,71,48,10,53,55,529,/wnba/players/d/douglka01w.html,https://www.basketball-reference.com/wnba/players/d/douglka01w.html,douglka01w
Victoria Dunlap,SEA,F,5,28,0,3,10,.300,0,1,.000,3,9,.333,7,10,.700,7,11,1,0,0,3,4,13,/wnba/players/d/dunlavi01w.html,https://www.basketball-reference.com/wnba/players/d/dunlavi01w.html,dunlavi01w
Candice Dupree,PHO,F,13,345,12,71,147,.483,0,1,.000,71,146,.486,30,37,.811,16,62,17,8,7,27,20,172,/wnba/players/d/dupreca01w.html,https://www.basketball-reference.com/wnba/players/d/dupreca01w.html,dupreca01w
Dawn Evans,LAS,G,3,15,0,1,5,.200,0,4,.000,1,1,1.000,0,0,,0,0,3,1,0,2,1,2,/wnba/players/e/evansda01w.html,https://www.basketball-reference.com/wnba/players/e/evansda01w.html,evansda01w
