player,wnba_age,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Kayla McBride,33,MIN,G,6,221,6,41,88,.466,20,42,.476,21,46,.457,18,18,1.000,3,22,16,7,2,7,6,120,/wnba/players/m/mcbrika01w.html,https://www.basketball-reference.com/wnba/players/m/mcbrika01w.html,mcbrika01w
Janelle SalaÃ¼n,23,GSV,F,2,69,2,9,18,.500,5,11,.455,4,7,.571,4,5,.800,1,10,1,1,0,2,4,27,/wnba/players/s/salauja01w.html,https://www.basketball-reference.com/wnba/players/s/salauja01w.html,salauja01w
Satou Sabally,27,PHO,F,10,326,10,57,143,.399,24,72,.333,33,71,.465,52,60,.867,12,70,25,11,2,22,28,190,/wnba/players/s/sabalsa01w.html,https://www.basketball-reference.com/wnba/players/s/sabalsa01w.html,sabalsa01w
Nyara Sabally,25,NYL,C,1,7,0,0,3,.000,0,0,,0,3,.000,1,2,.500,0,1,1,1,0,0,0,1,/wnba/players/s/sabalny01w.html,https://www.basketball-reference.com/wnba/players/s/sabalny01w.html,sabalny01w
Iliana Rupert,23,GSV,C,2,48,1,3,7,.429,2,6,.333,1,1,1.000,0,0,,1,5,6,0,2,5,5,8,/wnba/players/r/ruperil01w.html,https://www.basketball-reference.com/wnba/players/r/ruperil01w.html,ruperil01w
Cheyenne Parker-Tyus,32,LVA,F,6,36,0,4,10,.400,1,3,.333,3,7,.429,3,4,.750,3,6,1,0,1,2,7,12,/wnba/players/p/parkech01w.html,https://www.basketball-reference.com/wnba/players/p/parkech01w.html,parkech01w
Te-Hina PaoPao,22,ATL,G,3,29,0,8,15,.533,3,8,.375,5,7,.714,0,0,,1,5,1,1,1,4,2,19,/wnba/players/p/paopate01w.html,https://www.basketball-reference.com/wnba/players/p/paopate01w.html,paopate01w
Nneka Ogwumike,34,SEA,F,3,93,3,18,42,.429,6,11,.545,12,31,.387,9,10,.900,5,27,8,2,0,5,4,51,/wnba/players/o/ogwumnn01w.html,https://www.basketball-reference.com/wnba/players/o/ogwumnn01w.html,ogwumnn01w
Aaliyah Nye,22,LVA,G-F,6,15,0,0,3,.000,0,1,.000,0,2,.000,0,0,,0,1,0,0,0,0,2,0,/wnba/players/n/nyeaa01w.html,https://www.basketball-reference.com/wnba/players/n/nyeaa01w.html,nyeaa01w
Kelsey Mitchell,29,IND,G,8,261,8,59,138,.428,21,49,.429,38,89,.427,39,45,.867,4,12,24,8,2,18,18,178,/wnba/players/m/mitchke01w.html,https://www.basketball-reference.com/wnba/players/m/mitchke01w.html,mitchke01w
Emma Meesseman,32,NYL,F,3,40,0,5,18,.278,0,1,.000,5,17,.294,3,6,.500,5,16,6,0,0,5,2,13,/wnba/players/m/meessem01w.html,https://www.basketball-reference.com/wnba/players/m/meessem01w.html,meessem01w
Jessica Shepard,28,MIN,F,6,106,1,12,27,.444,0,2,.000,12,25,.480,7,8,.875,8,30,11,4,0,6,4,31,/wnba/players/s/shepaje01w.html,https://www.basketball-reference.com/wnba/players/s/shepaje01w.html,shepaje01w
Kate Martin,25,GSV,G,2,32,0,4,10,.400,3,8,.375,1,2,.500,5,7,.714,1,3,2,0,1,1,0,16,/wnba/players/m/martika01w.html,https://www.basketball-reference.com/wnba/players/m/martika01w.html,martika01w
Dominique Malonga,19,SEA,C,3,68,0,9,23,.391,2,2,1.000,7,21,.333,6,7,.857,8,26,4,2,5,3,10,26,/wnba/players/m/malondo01w.html,https://www.basketball-reference.com/wnba/players/m/malondo01w.html,malondo01w
Ezi Magbegor,25,SEA,F-C,3,74,3,7,12,.583,0,2,.000,7,10,.700,1,4,.250,4,13,7,3,3,2,11,15,/wnba/players/m/magbeez01w.html,https://www.basketball-reference.com/wnba/players/m/magbeez01w.html,magbeez01w
Natasha Mack,27,PHO,F-C,11,154,11,15,27,.556,0,1,.000,15,26,.577,2,2,1.000,15,43,8,4,8,4,10,32,/wnba/players/m/mackna01w.html,https://www.basketball-reference.com/wnba/players/m/mackna01w.html,mackna01w
Jewell Loyd,31,LVA,G,12,351,0,37,89,.416,26,63,.413,11,26,.423,13,15,.867,20,47,10,12,7,12,33,113,/wnba/players/l/loydje01w.html,https://www.basketball-reference.com/wnba/players/l/loydje01w.html,loydje01w
Carla Leite,21,GSV,G,2,16,0,0,4,.000,0,1,.000,0,3,.000,4,4,1.000,0,2,1,0,0,3,1,4,/wnba/players/l/leiteca01w.html,https://www.basketball-reference.com/wnba/players/l/leiteca01w.html,leiteca01w
Monique Akoa Makani,24,PHO,G,11,268,11,26,73,.356,10,30,.333,16,43,.372,14,15,.933,9,27,33,6,0,16,26,76,/wnba/players/a/akoamo01w.html,https://www.basketball-reference.com/wnba/players/a/akoamo01w.html,akoamo01w
Anastasiia Kosu,20,MIN,F,3,7,0,3,3,1.000,0,0,,3,3,1.000,0,0,,0,1,1,0,0,0,4,6,/wnba/players/k/kosuan01w.html,https://www.basketball-reference.com/wnba/players/k/kosuan01w.html,kosuan01w
Jonquel Jones,31,NYL,C,3,90,3,7,26,.269,2,11,.182,5,15,.333,1,2,.500,4,33,7,0,6,4,11,17,/wnba/players/j/jonesjo01w.html,https://www.basketball-reference.com/wnba/players/j/jonesjo01w.html,jonesjo01w
Shatori Walker-Kimbrough,30,ATL,G,2,6,0,0,0,,0,0,,0,0,,0,0,,0,1,1,2,1,0,0,0,/wnba/players/w/walkesh01w.html,https://www.basketball-reference.com/wnba/players/w/walkesh01w.html,walkesh01w
Cecilia Zandalasini,29,GSV,F,2,62,2,9,26,.346,3,9,.333,6,17,.353,7,8,.875,1,9,5,2,0,5,6,28,/wnba/players/z/zandace01w.html,https://www.basketball-reference.com/wnba/players/z/zandace01w.html,zandace01w
Jackie Young,27,LVA,G,12,418,12,86,174,.494,21,68,.309,65,106,.613,52,55,.945,20,58,66,17,0,30,38,245,/wnba/players/y/youngja01w.html,https://www.basketball-reference.com/wnba/players/y/youngja01w.html,youngja01w
A'ja Wilson,28,LVA,C,12,432,12,118,247,.478,6,15,.400,112,232,.483,80,102,.784,16,120,40,25,30,28,25,322,/wnba/players/w/wilsoa01w.html,https://www.basketball-reference.com/wnba/players/w/wilsoa01w.html,wilsoa01w
Kiana Williams,26,PHO,G,2,7,0,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,0,0,0,0,1,2,/wnba/players/w/williki02w.html,https://www.basketball-reference.com/wnba/players/w/williki02w.html,williki02w
Gabby Williams,28,SEA,F,3,91,3,13,27,.481,1,6,.167,12,21,.571,2,2,1.000,2,10,6,4,0,6,2,29,/wnba/players/w/williga01w.html,https://www.basketball-reference.com/wnba/players/w/williga01w.html,williga01w
Courtney Williams,31,MIN,G,6,195,6,42,95,.442,6,22,.273,36,73,.493,4,5,.800,1,32,36,16,1,17,13,94,/wnba/players/w/willico01w.html,https://www.basketball-reference.com/wnba/players/w/willico01w.html,willico01w
Sami Whitcomb,36,PHO,G,11,253,0,23,80,.288,13,54,.241,10,26,.385,6,9,.667,5,21,28,13,2,12,15,65,/wnba/players/w/whitcsa01w.html,https://www.basketball-reference.com/wnba/players/w/whitcsa01w.html,whitcsa01w
Erica Wheeler,34,SEA,G,3,80,0,14,36,.389,5,17,.294,9,19,.474,4,4,1.000,2,6,9,3,0,3,12,37,/wnba/players/w/wheeler01w.html,https://www.basketball-reference.com/wnba/players/w/wheeler01w.html,wheeler01w
Kathryn Westbeld,29,PHO,F,11,128,0,13,30,.433,9,24,.375,4,6,.667,0,0,,6,26,6,8,1,4,8,35,/wnba/players/w/westbka01w.html,https://www.basketball-reference.com/wnba/players/w/westbka01w.html,westbka01w
Kitija Laksa,29,PHO,G,2,9,0,1,3,.333,1,3,.333,0,0,,0,0,,1,2,0,0,0,1,0,3,/wnba/players/l/laksaki01w.html,https://www.basketball-reference.com/wnba/players/l/laksaki01w.html,laksaki01w
Maria Kliundikova,26,MIN,F,5,51,0,7,18,.389,0,4,.000,7,14,.500,0,0,,7,18,6,2,5,1,4,14,/wnba/players/v/vadeema01w.html,https://www.basketball-reference.com/wnba/players/v/vadeema01w.html,vadeema01w
Brianna Turner,28,IND,F-C,8,143,0,8,12,.667,0,0,,8,12,.667,3,4,.750,9,28,5,7,4,7,12,19,/wnba/players/t/turnebr01w.html,https://www.basketball-reference.com/wnba/players/t/turnebr01w.html,turnebr01w
Makayla Timpson,22,IND,F-C,8,51,0,6,9,.667,0,0,,6,9,.667,6,8,.750,8,15,0,2,3,3,3,18,/wnba/players/t/timpsma01w.html,https://www.basketball-reference.com/wnba/players/t/timpsma01w.html,timpsma01w
Alyssa Thomas,33,PHO,F,11,404,11,79,158,.500,0,1,.000,79,157,.503,28,43,.651,19,99,97,19,4,45,28,186,/wnba/players/t/thomaal01w.html,https://www.basketball-reference.com/wnba/players/t/thomaal01w.html,thomaal01w
Taylor Thierry,22,ATL,G-F,1,2,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,/wnba/players/t/thierta01w.html,https://www.basketball-reference.com/wnba/players/t/thierta01w.html,thierta01w
Camryn Taylor,25,MIN,F,2,4,0,0,1,.000,0,0,,0,1,.000,0,0,,0,1,0,0,0,0,1,0,/wnba/players/t/tayloca01w.html,https://www.basketball-reference.com/wnba/players/t/tayloca01w.html,tayloca01w
Kiah Stokes,32,LVA,C,9,12,0,0,0,,0,0,,0,0,,0,0,,0,1,0,0,0,0,2,0,/wnba/players/s/stokeki01w.html,https://www.basketball-reference.com/wnba/players/s/stokeki01w.html,stokeki01w
Breanna Stewart,30,NYL,F,3,95,3,17,37,.459,3,7,.429,14,30,.467,17,22,.773,2,17,9,4,3,4,6,54,/wnba/players/s/stewabr01w.html,https://www.basketball-reference.com/wnba/players/s/stewabr01w.html,stewabr01w
Alanna Smith,28,MIN,F,6,141,6,15,34,.441,2,17,.118,13,17,.765,4,7,.571,7,31,12,6,9,9,18,36,/wnba/players/s/smithal01w.html,https://www.basketball-reference.com/wnba/players/s/smithal01w.html,smithal01w
Jordin Canada,29,ATL,G,3,81,3,11,29,.379,0,3,.000,11,26,.423,2,7,.286,2,7,20,3,1,5,12,24,/wnba/players/c/canadjo01w.html,https://www.basketball-reference.com/wnba/players/c/canadjo01w.html,canadjo01w
Temi Fagbenle,32,GSV,C,1,20,1,5,8,.625,0,1,.000,5,7,.714,2,4,.500,0,3,3,0,0,1,5,12,/wnba/players/f/fagbete01w.html,https://www.basketball-reference.com/wnba/players/f/fagbete01w.html,fagbete01w
Dana Evans,26,LVA,G,12,236,0,37,79,.468,16,30,.533,21,49,.429,11,11,1.000,2,12,35,7,0,12,26,101,/wnba/players/e/evansda02w.html,https://www.basketball-reference.com/wnba/players/e/evansda02w.html,evansda02w
Skylar Diggins,34,SEA,G,3,97,3,18,44,.409,9,14,.643,9,30,.300,6,8,.750,3,7,15,5,2,7,8,51,/wnba/players/d/diggisk01w.html,https://www.basketball-reference.com/wnba/players/d/diggisk01w.html,diggisk01w
Brionna Jones,29,ATL,F,3,85,3,14,21,.667,1,2,.500,13,19,.684,3,4,.750,4,14,8,6,1,6,12,32,/wnba/players/j/jonesbr01w.html,https://www.basketball-reference.com/wnba/players/j/jonesbr01w.html,jonesbr01w
Zia Cooke,24,SEA,G,1,7,0,1,3,.333,0,0,,1,3,.333,1,2,.500,0,0,1,0,0,1,0,3,/wnba/players/c/cookezi01w.html,https://www.basketball-reference.com/wnba/players/c/cookezi01w.html,cookezi01w
Napheesa Collier,28,MIN,F,5,174,5,43,80,.538,7,25,.280,36,55,.655,10,14,.714,9,34,12,5,5,13,16,103,/wnba/players/c/collina01w.html,https://www.basketball-reference.com/wnba/players/c/collina01w.html,collina01w
Nia Coffey,30,ATL,F,3,16,0,1,5,.200,0,1,.000,1,4,.250,0,0,,0,3,0,0,0,0,1,2,/wnba/players/c/coffeni01w.html,https://www.basketball-reference.com/wnba/players/c/coffeni01w.html,coffeni01w
Natasha Cloud,33,NYL,G,3,103,3,13,23,.565,6,12,.500,7,11,.636,6,7,.857,1,11,9,8,1,9,9,38,/wnba/players/c/cloudna01w.html,https://www.basketball-reference.com/wnba/players/c/cloudna01w.html,cloudna01w
Kaitlyn Chen,23,GSV,G,1,4,0,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,0,0,0,0,2,/wnba/players/c/chenka01w.html,https://www.basketball-reference.com/wnba/players/c/chenka01w.html,chenka01w
