player,team,pos,g,mp,gs,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,pts,player_href,player_url,player_id
Natalie Achonwa,MIN,F,22,332,0,47,91,.516,0,2,.000,47,89,.528,22,27,.815,25,90,37,9,7,22,36,116,/wnba/players/a/achonna01w.html,https://www.basketball-reference.com/wnba/players/a/achonna01w.html,achonna01w
Julie Allemand,CHI,G,25,402,4,25,60,.417,9,31,.290,16,29,.552,15,18,.833,9,39,85,14,3,33,23,74,/wnba/players/a/allemju01w.html,https://www.basketball-reference.com/wnba/players/a/allemju01w.html,allemju01w
Lindsay Allen,MIN,G,9,134,0,20,38,.526,8,14,.571,12,24,.500,12,13,.923,0,14,31,2,0,7,11,60,/wnba/players/a/allenli01w.html,https://www.basketball-reference.com/wnba/players/a/allenli01w.html,allenli01w
Rebecca Allen,NYL,F-G,25,523,19,64,169,.379,26,83,.313,38,86,.442,20,24,.833,8,84,31,19,24,24,48,174,/wnba/players/a/allenre01w.html,https://www.basketball-reference.com/wnba/players/a/allenre01w.html,allenre01w
Yvonne Anderson,CON,G,11,101,0,12,26,.462,4,10,.400,8,16,.500,7,7,1.000,3,9,12,3,2,11,14,35,/wnba/players/a/anderyv01w.html,https://www.basketball-reference.com/wnba/players/a/anderyv01w.html,anderyv01w
Kristine Anigwe,PHO,F-C,10,65,1,5,10,.500,0,0,,5,10,.500,5,10,.500,5,13,2,1,2,6,12,15,/wnba/players/a/anigwkr01w.html,https://www.basketball-reference.com/wnba/players/a/anigwkr01w.html,anigwkr01w
Ariel Atkins,WAS,G,36,1081,36,185,440,.420,70,192,.365,115,248,.464,87,103,.845,34,117,83,47,9,51,99,527,/wnba/players/a/atkinar01w.html,https://www.basketball-reference.com/wnba/players/a/atkinar01w.html,atkinar01w
Amy Atwell,LAS,F,4,32,1,1,9,.111,1,6,.167,0,3,.000,0,0,,1,2,2,0,0,2,1,3,/wnba/players/a/atwelam01w.html,https://www.basketball-reference.com/wnba/players/a/atwelam01w.html,atwelam01w
Shakira Austin,WAS,F-C,36,776,32,122,223,.547,0,1,.000,122,222,.550,68,109,.624,63,232,33,27,30,54,84,312,/wnba/players/a/austish01w.html,https://www.basketball-reference.com/wnba/players/a/austish01w.html,austish01w
Rachel Banham,MIN,G,36,630,5,101,235,.430,57,149,.383,44,86,.512,24,30,.800,3,48,81,9,4,48,62,283,/wnba/players/b/banhara01w.html,https://www.basketball-reference.com/wnba/players/b/banhara01w.html,banhara01w
Kierstan Bell,LVA,F,21,121,1,10,33,.303,3,22,.136,7,11,.636,4,4,1.000,4,19,7,2,3,5,10,27,/wnba/players/b/bellki01w.html,https://www.basketball-reference.com/wnba/players/b/bellki01w.html,bellki01w
Katie Benzan,WAS,G,3,27,0,5,9,.556,5,7,.714,0,2,.000,3,4,.750,1,2,1,0,1,2,7,18,/wnba/players/b/benzaka01w.html,https://www.basketball-reference.com/wnba/players/b/benzaka01w.html,benzaka01w
Monique Billings,ATL,F,23,401,8,55,117,.470,0,1,.000,55,116,.474,39,51,.765,45,146,26,19,8,31,54,149,/wnba/players/b/billimo01w.html,https://www.basketball-reference.com/wnba/players/b/billimo01w.html,billimo01w
Sue Bird,SEA,G,31,818,31,85,211,.403,56,144,.389,29,67,.433,16,16,1.000,6,59,186,37,4,60,23,242,/wnba/players/b/birdsu01w.html,https://www.basketball-reference.com/wnba/players/b/birdsu01w.html,birdsu01w
DeWanna Bonner,CON,G-F,33,991,33,156,355,.439,46,140,.329,110,215,.512,86,104,.827,25,156,91,41,11,52,59,444,/wnba/players/b/bonnede01w.html,https://www.basketball-reference.com/wnba/players/b/bonnede01w.html,bonnede01w
Lexie Brown,LAS,G,34,850,16,93,211,.441,53,133,.398,40,78,.513,4,6,.667,8,78,70,34,7,28,44,243,/wnba/players/b/brownle02w.html,https://www.basketball-reference.com/wnba/players/b/brownle02w.html,brownle02w
Kennedy Burke,WAS,G-F,16,222,4,33,74,.446,11,32,.344,22,42,.524,10,17,.588,8,35,7,16,4,8,17,87,/wnba/players/b/burkeke01w.html,https://www.basketball-reference.com/wnba/players/b/burkeke01w.html,burkeke01w
Rae Burrell,LAS,G-F,3,44,1,1,9,.111,1,6,.167,0,3,.000,2,2,1.000,1,3,1,2,0,1,4,5,/wnba/players/b/burrera01w.html,https://www.basketball-reference.com/wnba/players/b/burrera01w.html,burrera01w
Veronica Burton,DAL,G,36,548,6,25,76,.329,12,43,.279,13,33,.394,32,32,1.000,17,53,68,34,11,35,51,94,/wnba/players/b/burtove01w.html,https://www.basketball-reference.com/wnba/players/b/burtove01w.html,burtove01w
Maya Caldwell,ATL,G,9,214,7,38,74,.514,18,32,.563,20,42,.476,4,5,.800,5,22,20,7,2,14,15,98,/wnba/players/c/caldwma01w.html,https://www.basketball-reference.com/wnba/players/c/caldwma01w.html,caldwma01w
Liz Cambage,LAS,C,25,584,24,117,230,.509,4,14,.286,113,216,.523,87,111,.784,33,160,52,16,41,57,79,325,/wnba/players/c/cambael01w.html,https://www.basketball-reference.com/wnba/players/c/cambael01w.html,cambael01w
Jordin Canada,LAS,G,32,865,25,104,271,.384,7,50,.140,97,221,.439,79,98,.806,7,73,176,44,5,75,58,294,/wnba/players/c/canadjo01w.html,https://www.basketball-reference.com/wnba/players/c/canadjo01w.html,canadjo01w
Bridget Carleton,MIN,F,36,606,2,54,135,.400,29,83,.349,25,52,.481,19,26,.731,12,77,40,16,5,23,56,156,/wnba/players/c/carlebr01w.html,https://www.basketball-reference.com/wnba/players/c/carlebr01w.html,carlebr01w
DiJonai Carrington,CON,G-F,36,631,2,84,203,.414,19,62,.306,65,141,.461,57,76,.750,38,112,38,29,4,59,70,244,/wnba/players/c/carridi01w.html,https://www.basketball-reference.com/wnba/players/c/carridi01w.html,carridi01w
Chennedy Carter,LAS,G,24,393,2,85,189,.450,2,10,.200,83,179,.464,41,55,.745,9,45,46,15,9,43,52,213,/wnba/players/c/cartech01w.html,https://www.basketball-reference.com/wnba/players/c/cartech01w.html,cartech01w
Kaila Charles,ATL,G-F,1,2,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,/wnba/players/c/charlka01w.html,https://www.basketball-reference.com/wnba/players/c/charlka01w.html,charlka01w
Alysha Clark,WAS,F,29,766,29,91,196,.464,30,99,.303,61,97,.629,21,23,.913,23,131,59,28,8,38,55,233,/wnba/players/c/clarkal01w.html,https://www.basketball-reference.com/wnba/players/c/clarkal01w.html,clarkal01w
Natasha Cloud,WAS,G,34,1065,34,123,308,.399,43,135,.319,80,173,.462,75,91,.824,16,122,239,35,10,94,55,364,/wnba/players/c/cloudna01w.html,https://www.basketball-reference.com/wnba/players/c/cloudna01w.html,cloudna01w
Nia Clouden,CON,G,28,250,0,18,53,.340,12,29,.414,6,24,.250,10,17,.588,2,23,21,6,1,12,26,58,/wnba/players/c/cloudni01w.html,https://www.basketball-reference.com/wnba/players/c/cloudni01w.html,cloudni01w
